Chapter, Etz Yoseph Paragraphs, Midrash Rabba Paragraphs
*1, 28, 25
*2, 36, 37
*3, 0, 17
*4, 18, 11
*5, 0, 15
*6, 12, 14
*7, 0, 12
*8, 16, 7
*9, 0, 9
*10, 13, 4
*11, 0, 11
