Chapter, Etz Yoseph Paragraphs, Midrash Rabba Paragraphs
1, 12, 12
*2, 24, 26
3, 14, 14
*4, 19, 20
*5, 10, 9
*6, 10, 11
7, 10, 10
*8, 10, 9
*9, 54, 50
*10, 29, 25
*11, 0, 8
*12, 0, 21
*13, 0, 20
*14, 0, 22
*15, 0, 25
*16, 0, 28
*17, 0, 6
*18, 0, 23
*19, 0, 33
*20, 0, 25
*21, 0, 25
*22, 0, 9
*23, NA, 14
