Chapter, Etz Yoseph Paragraphs, Midrash Rabba Paragraphs
1, 15, 15
2, 12, 12
3, 7, 7
4, 8, 8
5, 8, 8
6, 6, 6
7, 6, 6
8, 4, 4
9, 9, 9
10, 9, 9
11, 9, 9
*12, 4, 5
13, 5, 5
*14, 8, 9
15, 9, 9
16, 9, 9
17, 7, 7
18, 5, 5
19, 6, 6
20, 12, 12
21, 12, 12
22, 10, 10
23, 13, 13
24, 9, 9
25, 8, 8
*26, 8, 9
27, 12, 12
28, 6, 6
*29, 10, 12
*30, 15, 16
*31, 9, 11
*32, 7, 8
33, 6, 6
34, 16, 16
*35, 5, 12
*36, 5, 6
37, 4, 4
