Siftei Kohen on Shulchan Arukh, Yoreh De'ah 101:6:1	פרק גיד הנשה ריש דף צ"ו	פרק גיד הנשה ריש (חולין דף צ"ו)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 102:8:1	בפרק הזהב (דף נ"ג	בפרק הזהב (בבא מציעא דף נ"ג
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 105:5:1	פ' דם חטאת (דף צ"ה ע"א	פ' דם חטאת (זבחים דף צ"ה ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 105:5:1	פ' כירה (דף מ"ב ע"ב	' כירה (שבת דף מ"ב ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 108:1:1	פרק כיצד צולין (דף ע"ו	פרק כיצד צולין (פסחים דף ע"ו
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 108:27:1	פ' לולב הגזול (דף ל"ז ע"ב	פ' לולב הגזול (סוכה דף ל"ז ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 109:3:1	פ' הערל ריש דף פ"ב	פ' הערל ריש (יבמות דף פ"ב)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 110:2:1	פ' הערל (דף פ"א	פ' הערל (יבמות דף פ"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 110:63:17	פרק גיד הנשה דף צ"ה ע"א	פרק גיד הנשה (חולין דף צ"ה ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 110:63:20	בפרק בכל מערבין דף ל"ה	בפרק בכל מערבין (עירובין דף ל"ה)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 111:19:1	ס"פ האשה שנתארמלה (דף כ"ו	ס"פ האשה שנתארמלה (כתובות דף כ"ו
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 119:18:1	פ' זה בורר (דף כ"ו ע"ב	פ' זה בורר (סנהדרין דף כ"ו ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 123:12:1	בפ' המוכר פירות (דף צ"ה	בפ' המוכר פירות (בבא בתרא דף צ"ה
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 124:6:1	פרק החולץ דף מ"ח	פרק החולץ (יבמות דף מ"ח)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 124:6:1	פ' ר"י (דף נ"ז ע"ב	פ' ר"י (עבודה זרה דף נ"ז ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 124:8:1	פ' ר"י דף נ"ז ע"א	פ' ר"י (עבודה זרה דף נ"ז ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 125:3:1	פ' ר"י דף ס' ע"א	פ' ר"י (עבודה זרה דף ס' ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 127:14:2	בפרק האשה שלום (דף קי"ז	בפרק האשה שלום (יבמות דף קי"ז
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 128:6:1	פרק ר"י (דף ס' ע"ב	פרק ר"י (עבודה זרה דף ס' ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 137:19:1	פ' הגוזל בתרא (דף קי"ד	פ' הגוזל בתרא (בבא קמא דף קי"ד
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 139:1:1	פרק ר"י (דף נ"ג ע"ב	פרק ר"י (עבודה זרה דף נ"ג ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 139:1:1	פ' כל הצלמים (דף מ"ו	' כל הצלמים (עבודה זרה דף מ"ו
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:2:1	בפ' כל שעה (דף כ"ז ע"ב	בפ' כל שעה (פסחים דף כ"ז ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:2:1	פרק כל הצלמים (דף מ"ב ע"א	רק כל הצלמים (עבודה זרה דף מ"ב ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:10:2	בפ' כל שעה (דף כ"ו ע"ב	בפ' כל שעה (פסחים דף כ"ו ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:10:4	בפרק כיצד צולין (דף ע"ה ע"א	בפרק כיצד צולין (פסחים דף ע"ה ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:32:1	בפ' כל שעה (דף כ"ה ע"ב	בפ' כל שעה (פסחים דף כ"ה ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 142:34:1	בפ' כל שעה (דף כ"ה ע"ב	בפ' כל שעה (פסחים דף כ"ה ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 151:9:1	פרק מקום שנהגו (דף נ"ג ע"א	פרק מקום שנהגו (פסחים דף נ"ג ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 153:1:1	פ' מפנין (דף קכ"ז ע"ב	פ' מפנין (שבת דף קכ"ז ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 178:4:1	פרק כל הבשר (דף ק"ז	פרק כל הבשר (חולין דף ק"ז
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 179:22:1	בפרק ד' מיתות (דף ס"ה ע"א	בפרק ד' מיתות (סנהדרין דף ס"ה ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 182:6:1	פרק שני נזירים (דף נ"ט ע"א	פרק שני נזירים (נזיר דף נ"ט ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 184:7:1	פרק תינוקת (דף ס"ה ע"ב	פרק תינוקת (נדה דף ס"ה ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 187:4:1	בפ' כל היד (דף י"ד ע"א	בפ' כל היד (נדה דף י"ד ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 187:24:1	פרק כל היד (דף ט"ז ע"א	פרק כל היד (נדה דף ט"ז ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 187:26:1	פרק כל היד (דף ט"ו ע"א	פרק כל היד (נדה דף ט"ו ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 189:13:1	בס"פ בנות כותים דף ל"ח ע"א	בס"פ בנות כותים (נדה דף ל"ח ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 191:3:1	פרק כל היד דף י"ד ע"ב	פרק כל היד (נדה דף י"ד ע"ב)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 195:11:1	פרק הדר דף ס"ג ע"ב	פרק הדר (עירובין דף ס"ג ע"ב)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 198:61:2	בפרק ערבי פסחים (דף קי"א ע"א	בפרק ערבי פסחים (פסחים דף קי"א ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 199:16:1	פ' תינוקת (דף ס"ו ע"ב	פ' תינוקת (נדה דף ס"ו ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 200:1:1	פ' מי שמתו (דף כ"ד ע"א	פ' מי שמתו (ברכות דף כ"ד ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 201:144:1	פרק המוכר את הבית (דף ס"ה ע"ב	פרק המוכר את הבית (בבא בתרא דף ס"ה ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 216:1:1	פרק השותפין דף מ"ז	פרק השותפין (נדרים דף מ"ז)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 216:3:1	פרק הנודר מן הירק דף נ"ט ע"א	פרק הנודר מן הירק (נדרים דף נ"ט ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 228:9:1	פ' הדר (דף ס"ד ע"ב	פ' הדר (עירובין דף ס"ד ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 228:48:1	פ' השולח (דף ל"ה ע"ב	פ' השולח (גיטין דף ל"ה ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 228:65:1	פ' השולח ריש דף ל"ו	פ' השולח ריש (גיטין דף ל"ו)
