Text with Addition,Ref,New Text,Our Text,Difference
New Text,Esther 1:6,<big>ח֣</big>וּר& <b>׀</b> כַּרְפַּ֣ס וּתְכֵ֗לֶת אָחוּז֙ בְּחַבְלֵי־ב֣וּץ וְאַרְגָּמָ֔ן עַל־גְּלִ֥ילֵי כֶ֖סֶף וְעַמּ֣וּדֵי שֵׁ֑שׁ מִטּ֣וֹת& <b>׀</b> זָהָ֣ב וָכֶ֗סֶף עַ֛ל רִֽצְפַ֥ת בַּהַט־וָשֵׁ֖שׁ וְדַ֥ר וְסֹחָֽרֶת׃,<big>ח֣</big>וּר <b>׀</b> כַּרְפַּ֣ס וּתְכֵ֗לֶת אָחוּז֙ בְּחַבְלֵי־ב֣וּץ וְאַרְגָּמָ֔ן עַל־גְּלִ֥ילֵי כֶ֖סֶף וְעַמּ֣וּדֵי שֵׁ֑שׁ מִטּ֣וֹת <b>׀</b> זָהָ֣ב וָכֶ֗סֶף עַ֛ל רִֽצְפַ֥ת בַּהַט־וָשֵׁ֖שׁ וְדַ֥ר וְסֹחָֽרֶת׃,&
New Text,Esther 3:7,"בַּחֹ֤דֶשׁ הָרִאשׁוֹן֙ הוּא־חֹ֣דֶשׁ נִיסָ֔ן בִּשְׁנַת֙ שְׁתֵּ֣ים עֶשְׂרֵ֔ה לַמֶּ֖לֶךְ אֲחַשְׁוֵר֑וֹשׁ הִפִּ֣יל פּוּר֩ ה֨וּא הַגּוֹרָ֜ל לִפְנֵ֣י הָמָ֗ן מִיּ֧וֹם& <small>׀</small>& לְי֛וֹם וּמֵחֹ֛דֶשׁ לְחֹ֥דֶשׁ שְׁנֵים־עָשָׂ֖ר הוּא־חֹ֥דֶשׁ אֲדָֽר׃ <span class=""mam-spi-samekh"">{ס}</span>        ",בַּחֹ֤דֶשׁ הָרִאשׁוֹן֙ הוּא־חֹ֣דֶשׁ נִיסָ֔ן בִּשְׁנַת֙ שְׁתֵּ֣ים עֶשְׂרֵ֔ה לַמֶּ֖לֶךְ אֲחַשְׁוֵר֑וֹשׁ הִפִּ֣יל פּוּר֩ ה֨וּא הַגּוֹרָ֜ל לִפְנֵ֣י הָמָ֗ן מִיּ֧וֹם <small>׀</small> לְי֛וֹם וּמֵחֹ֛דֶשׁ לְחֹ֥דֶשׁ שְׁנֵים־עָשָׂ֖ר הוּא־חֹ֥דֶשׁ אֲדָֽר׃ <span>{ס}</span>        ,"& class=""mam-spi-samekh"""
New Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:7,וְאֵ֧ת& <small>׀</small>& פַּרְשַׁנְדָּ֛<small>תָ</small>א         וְאֵ֥ת& <small>׀</small>& דַּֽלְפ֖וֹן         וְאֵ֥ת& <small>׀</small>& אַסְפָּֽתָא׃        ,וְאֵ֧ת <small>׀</small> פַּרְשַׁנְדָּ֛<small>תָ</small>א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> דַּֽלְפ֖וֹן <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אַסְפָּֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:8,וְאֵ֧ת& <small>׀</small>& פּוֹרָ֛תָא         וְאֵ֥ת& <small>׀</small>& אֲדַלְיָ֖א         וְאֵ֥ת& <small>׀</small>& אֲרִידָֽתָא׃        ,וְאֵ֧ת <small>׀</small> פּוֹרָ֛תָא <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲדַלְיָ֖א <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִידָֽתָא׃ <span>{ס}</span>        ,&
New Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",&
New Text,Esther 9:9,"וְאֵ֤ת& <small>׀</small>& פַּרְמַ֙<small>שְׁ</small>תָּא֙         וְאֵ֣ת& <small>׀</small>& אֲרִיסַ֔י         וְאֵ֥ת& <small>׀</small>& אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i>         וְאֵ֥ת& <small>׀</small>& <big>וַ</big>יְ<small>זָֽ</small>תָא׃        ","וְאֵ֤ת <small>׀</small> פַּרְמַ֙<small>שְׁ</small>תָּא֙ <span>{ס}</span>         וְאֵ֣ת <small>׀</small> אֲרִיסַ֔י <span>{ס}</span>         וְאֵ֥ת <small>׀</small> אֲרִדַ֖י<sup>*</sup><i class=""footnote"">(בספרים אחרים אֲרִידַ֖י וכך כתוב במגילות רבות)</i> <span>{ס}</span>         וְאֵ֥ת <small>׀</small> <big>וַ</big>יְ<small>זָֽ</small>תָא׃ <span>{ס}</span>        ",&
