name
ר' אבא מבומסלא
"ר' אבא מורי ב""ר משה"
ר' אבטליון
ר' אביגדור בר' אליעזר הילדנסהיים
"הג""מ אביגדור קרא מפראג"
"ר' אביגדור כ""ץ"
ר' אביגדור סופר
ר' אביל מיני אבן אבו נגיד
אבן סיני
"אבן רש""ד"
"הראב""ע ר' אברהם בר' מאיר אבן עזרא"
ר' אברהם פריצול
אברהם המכונה שמסולי ספרדי
"הג""מ אברהם במ' משה היילפרין"
ר' אברהם אבולעפיא ספרדי
ר' אברהם בן אשר
"הראב""ד הראשון ר' אברהם בן דיאור"
ר' אברהם ששון
דון אברהם חיון
ר' אברהם בר יהודה ברצלוני
ר' אברהם בן דון שלמה ן' עקרא
ר' אברהם בר' יצחק מנפליירו
ר' אברהם יגל
"הג""מ אברהם בהג""מ אביגדור"
מ' אברהם כהן אירירה ספרדי
ר' אברהם בר' שמואל זכותא
ר' אברהם בר' שמואל בר חסדאי
מ' אברהם במ' שבתי שעפטיל הורוויץ הלוי
ר' אברהם סופר מפראג
ר' אברהם בר יצחק מרימון ספרדי
"הג""מ אברהם בהג""מ שלמה טריווש"
ר' אברהם בן שלמה חיים
ר' אברהם הזרקל
ר' אברהם הזקן הלוי
ר' אברהם בי באגו או ביבץ בר' שם טוב
"מ' אברהם בהג""מ יצחק חיות"
"הראב""ד השני ר' אברהם בר דוד מפסקירה"
מ' אברהם חזקוני בר' יצחק
מ' אברהם במ' מרדכי אזולאי
ר' אברהם דיל ויקיו
ר' אברהם בר' יודא חזן
ר' אברהם בר' יחיאל כהן פורטא
ר' אברהם הרואה
ר' אברהם קונטי
רבינו אברהם בר יצחק הנרבוני
ר' אברהם כהן ספרדי
ר' אברהם בדרשי
ר' אברהם בן יצחק צהלון ספרדי
מ' אברהם בן שמואל גדליה מירושלים
ר' אברהם בן יהודה
ר' אברהם גלאנטי
ר' אברהם מגעש
מ' אברהם בר דוד מאוסטרהא
ר' אברהם קלוניא
ר' אברהם אלי אגארא
הדרשן מ' אברהם במ' משה ברור
"הג""מ אברהם ן' עוזז המכונה בורגל"
"הג""מ אברהם די בוטין"
ר' אברהם ן' אלימלך
ר' אברהם בר חייא הנאזי
מ' אברהם הלוי במ' יוסף
ר' אברהם בן יצחק לאניידו
ר' אברהם שמואל מסופייא
ר' אברהם כאזלארי
ר' אברהם קלוזנער
ר' אברהם בר נתן הירחי
ר' אברהם מרון מאזמיר
מ' אברהם הכהן פימונטיל
מ' אברהם במ' אריה ליב קלמנקש
"ר' אברהם בהג""מ ליב סרוואל"
ר' אברהם מימין
ר' אברהם בר' מאיר די בלמש
ר' אברהם שלום בר' יצחק
"הג""מ אברהם במ' יהודה אב""ד דגניזין"
מ' אברהם קוספעלד בר' יצחק אויערבך
ר' אברהם הנשיא
ר' אברהם די פונשיקא
ר' אברהם ן' אל נוביב
ר' אברהם
ר' אברהם מאיר בר' יהודה מאיר
ר' אברהם ן' בוניט
ר' אברהם מההר
ר' אברהם אליהו הכהן
ר' אברהם התוכן בר ר' חייא הלוי הספרדי
ר' אברהם בן חיים
אברהם נחמיאש הרופא מפורטגאל
ר' אברהם בר' יהודה
אברהם בן שלמה
"ר' אברהם בן הרמב""ם"
מ' אברהם במ' דוד משער אריה
ר' אברהם פיקס
"הג""מ אברהם חיים בהג""מ צבי הירש שור"
רבינו אברהם זוטרא
מ' אברהם במ' אליעזר הכהן
הרב מ' אברהם בהרב מ' מרדכי
