																								
Required. If you change a name, you'll need to change any references to it on the Works page or here in relationships.	Optional.  Comma Separated.	Required	Optional.  Comma Separated.	Required.   Use "c." for circa	Required	Required.  Use "c." for circa	Required	Required	Desired	Desired.	Desired	Desired	Desired	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Nice to Have	Required	YIVO Encyclopdiea Link
Primary English Name	Secondary English Names	Primary Hebrew Name	Secondary Hebrew Names	Birth Year 	Birth Place	Death Year	Death Place	Halachic Era	English Biography	Hebrew Biography	English Wikipedia Link	Hebrew Wikipedia Link	Jewish Encyclopedia Link	Brill Online Reference Words (Encyclopedia of Jewish in the Islamic, Encyclopedia of the Hebrew Language, Encyclopedia of Judaism)	Child of	Grandchild of	Son/Daughter in Law of	Student of	From the school of	Corresponded With	Opposed	Cousin	Sex	
																		Baal Shem Tov						
																								
Issachar Solomon Teichtel		יששכר שלמהטי יכטאל		1885		1945		Contemporary																
Benjamin of Zalocze		בנימין מזלוזיץ	בנימין בן אהרן	c. 1740		1791		Achronim																
Joseph Blokh		יוסף בלוך	 יוסף בן אברהם	c. 1725		1790		Achronim																
Hayyim Haykl of Amdur						1787		Achronim										Maggid of Mezritsh					M	http://www.yivoencyclopedia.org/article.aspx/Hayim_Haykl_of_Amdur
Israel of Kozienice	The Maggid of Kozienice	ישראל הופשטיין מקוז'ניץ		c. 1737		1814		Achronim			https://en.wikipedia.org/wiki/Yisroel_Hopsztajn	https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%94%D7%95%D7%A4%D7%A9%D7%98%D7%99%D7%99%D7%9F_%D7%9E%D7%A7%D7%95%D7%96%27%D7%A0%D7%99%D7%A5												http://www.yivoencyclopedia.org/article.aspx/Yisrael_ben_Shabetai_of_Kozienice
Abraham Hayyim of Zlotshev		אברהם חיים מזלוטשוב		1750		1816		Achronim																
Israel of Piekov		 ישראל מפיקוב	 ישראל בן לוי יצחק			1818		Achronim																
Ya'akov Yitshak Horowitz	The Seer of Lublin	יעקב יצחק הורוביץ	 החוזה מלובלין	1745		1815		Achronim			https://en.wikipedia.org/wiki/Yaakov_Yitzchak_of_Lublin	https://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%99%D7%A6%D7%97%D7%A7_%D7%94%D7%95%D7%A8%D7%95%D7%91%D7%99%D7%A5												http://www.yivoencyclopedia.org/article.aspx/Apt_Hasidic_Dynasty
Avraham Joshua Heschel of Apt		אברהם יהושע השל מאפטא		c. 1748		1825		Achronim			https://en.wikipedia.org/wiki/Avraham_Yehoshua_Heshel	https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%99%D7%94%D7%95%D7%A9%D7%A2_%D7%94%D7%A9%D7%99%D7%9C_%D7%9E%D7%90%D7%A4%D7%98%D7%90												http://www.yivoencyclopedia.org/article.aspx/Apt_Hasidic_Dynasty
Tsevi Elimelekh Shapira of Dinov		רבי צבי אלימלך שפירא מדינוב		1785		1841		Achronim				https://he.wikipedia.org/wiki/%D7%A6%D7%91%D7%99_%D7%90%D7%9C%D7%99%D7%9E%D7%9C%D7%9A_%D7%A9%D7%A4%D7%99%D7%A8%D7%90												http://www.yivoencyclopedia.org/article.aspx/Tsevi_Elimelekh_of_Dinov
Moshe Elyakam Beriah of Kozienice		רבי משה אליקים בריעה מקוז'ניץ	משה אליקים בריעה האפשטיין 	c. 1777		1828		Achronim																
Menachem Mendel Schneersohn	Tsemah Tsedek	מנחם מנדל שניאורסון	צמח צדק	1789		1866		Achronim			https://en.wikipedia.org/wiki/Menachem_Mendel_Schneersohn	https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%97%D7%9D_%D7%9E%D7%A0%D7%93%D7%9C_%D7%A9%D7%A0%D7%99%D7%90%D7%95%D7%A8%D7%A1%D7%95%D7%9F_(%D7%94%D7%A6%D7%9E%D7%97_%D7%A6%D7%93%D7%A7)												http://www.yivoencyclopedia.org/article.aspx/Yisrael_ben_Shabetai_of_Kozienice
Shalom Dovber Schneersohn	RaSHaB	שלום דובער שניאורסון	רש״ב	1860		1920		Achronim			https://en.wikipedia.org/wiki/Sholom_Dovber_Schneersohn	https://he.wikipedia.org/wiki/%D7%A9%D7%9C%D7%95%D7%9D_%D7%93%D7%95%D7%91%D7%A2%D7%A8_%D7%A9%D7%A0%D7%99%D7%90%D7%95%D7%A8%D7%A1%D7%95%D7%9F												http://www.yivoencyclopedia.org/article.aspx/Lubavitch_Hasidism
Moshe Hagar		משה הגר	משה בן יוסף אלטר									https://he.wikipedia.org/wiki/%D7%97%D7%A1%D7%99%D7%93%D7%95%D7%AA_%D7%A7%D7%95%D7%A1%D7%95%D7%91												http://www.yivoencyclopedia.org/article.aspx/Lubavitch_Hasidism
Elimelekh Shapira of Grodzisk		אלימלך שפירא מגרודז'יסק		1823		1892		Achronim			https://en.wikipedia.org/wiki/Elimelech_Szapira	https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%9E%D7%9C%D7%9A_%D7%A9%D7%A4%D7%99%D7%A8%D7%90_(%D7%92%D7%A8%D7%95%D7%93%D7%96%27%D7%99%D7%A1%D7%A7)												
Yehoshua Heschel of Rimanov		 יהושע השל מרימנוב																						
																								
Yitshak ben Mordecai of Neshkhiz		יצחק בן מרדכי מנשכיז		c. 1790		c. 1868		Achronim																
Yehudah Modern		יהודה מודרן	יהודה בן ישעיה	1819		1893		Achronim			https://en.wikipedia.org/wiki/Rabbi_Yehuda_Modern													
David Hefter		דוד הפטר																						
Tsadok ha-Kohen of Lublin	Tsadok ha-Kohen Rabinowicz	צדוק הכהן מלובלין	צדוק הכהן רבינוביץ'	1823		1900		Achronim			https://en.wikipedia.org/wiki/Zadok_HaKohen	https://he.wikipedia.org/wiki/%D7%A6%D7%93%D7%95%D7%A7_%D7%94%D7%9B%D7%94%D7%9F_%D7%9E%D7%9C%D7%95%D7%91%D7%9C%D7%99%D7%9F												http://www.yivoencyclopedia.org/article.aspx/Tsadok_ha-Kohen_of_Lublin
Yosef Binyamin Reich		יוסף בנימין רייך																						
Avraham of Frankfurt		 אברהם אבוש בן צבי הירש מפרנקפורט דמיין																						
Hayyim Yitshak Jostman		חיים יצחק איזיק יוסטמן																						
Moshe Greenwald		משה גרינוולד		1853		1910		Achronim			https://en.wikipedia.org/wiki/Moshe_Greenwald	https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%92%D7%A8%D7%99%D7%A0%D7%95%D7%95%D7%9C%D7%93												
Ya'akov Leiner		יעקב ליינער																						
Yerahmiel Yisra’el Yitshak Danziger of Aleksander		ירחמיאל ישראל יצחק דנציגר		1854		1910		Achronim			https://en.wikipedia.org/wiki/Aleksander_(Hasidic_dynasty)	https://he.wikipedia.org/wiki/%D7%99%D7%A8%D7%97%D7%9E%D7%99%D7%90%D7%9C_%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%99%D7%A6%D7%97%D7%A7_%D7%93%D7%A0%D7%A6%D7%99%D7%92%D7%A8												http://www.yivoencyclopedia.org/article.aspx/Aleksander_Hasidic_Dynasty
Shmu’el Kaufman		שמואל קויפמן				1938		Achronim																
Hayyim Tsevi Mannheimer		חיים צבי מאנהיימער		1814		1886		Contemporary																
Shalom Goldenberg		שלום גולדנברג																						
Eliyahu Rosen		אליהו רוזן	אליהו בן אברהם אריה ליב	1890		1943		Contemporary																
Yehudah Potok		יהודא הלוי פאטאק																						
Shaul Yedidyah Elazar Taube		שאול ידידיה אלעזר טאוב		1866		1947		Contemporary				https://he.wikipedia.org/wiki/%D7%A9%D7%90%D7%95%D7%9C_%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94_%D7%90%D7%9C%D7%A2%D7%96%D7%A8_%D7%98%D7%90%D7%95%D7%91												
Yehudah Leibush Schiffman		יהודה ליבוש שיפמאן																						
Moshe Yehiel ha-Levi Epstein of Ozharov		משה יחיאל הלוי אפשטיין מאוז'רוב		1889		1971		Contemporary			https://en.wikipedia.org/wiki/Ozharov_(Hasidic_dynasty)	https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%99%D7%97%D7%99%D7%90%D7%9C_%D7%94%D7%9C%D7%95%D7%99_%D7%90%D7%A4%D7%A9%D7%98%D7%99%D7%99%D7%9F												
Yitshak Meir Morgenstern		יצחק מאיר מורגנשטרן		c. 1966								https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%9E%D7%90%D7%99%D7%A8_%D7%9E%D7%95%D7%A8%D7%92%D7%A0%D7%A9%D7%98%D7%A8%D7%9F												
Menahem Nahum Twersky of  Chernobyl 		מנחם נחום מצ'רנוביל		c. 1730		1797		Achronim			https://en.wikipedia.org/wiki/Menachem_Nachum_Twersky	https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%97%D7%9D_%D7%A0%D7%97%D7%95%D7%9D_%D7%9E%D7%A6%27%D7%A8%D7%A0%D7%95%D7%91%D7%99%D7%9C												http://www.yivoencyclopedia.org/article.aspx/Chernobil_Hasidic_Dynasty
R. Yosef Yitzchak Schneersohn		יוסף יצחק שניאורסון	ריי"צ	1880		1950		Contemporary			https://en.wikipedia.org/wiki/Yosef_Yitzchak_Schneersohn	https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%A1%D7%A3_%D7%99%D7%A6%D7%97%D7%A7_%D7%A9%D7%A0%D7%99%D7%90%D7%95%D7%A8%D7%A1%D7%95%D7%9F												
R. Menachem Mendel Schneerson		מנחם מנדל שניאורסון	רמ״ש	1902		1994		Contemporary			https://en.wikipedia.org/wiki/Menachem_Mendel_Schneerson	https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%97%D7%9D_%D7%9E%D7%A0%D7%93%D7%9C_%D7%A9%D7%A0%D7%99%D7%90%D7%95%D7%A8%D7%A1%D7%95%D7%9F												http://www.yivoencyclopedia.org/article.aspx/Lubavitch_Hasidism
Yeshayah Yosef Wolf of Drogobych		 ישעיה יוסף װאלף																						http://www.yivoencyclopedia.org/article.aspx/Lubavitch_Hasidism
Elazar Shapiro		אלעזר בן מרדכי ‬שפירא																						
Aaron Elimelekh Rozenberg		אהרון אלימלך רוזנברג		1881		1960		Contemporary																
