ID,Gen,Type,He
923,3,אמורא,רב הונא בר מניומי
20896,,,רב הונא בר נתן
928,4,אמורא,רב הונא בר סחורה
20898,,,רב הונא בר קטינא
935,4,תנא,רב הונא בר תורתא
20899,,,רב הונא בר תחליפא
915,6,אמורא,רב הונא ברבי חלוון
20900,,,רב הונא בריה דרב אידי
903,4,אמורא,רב הונא בריה דרב איקא
20902,,,רב הונא בריה דרב חייא
20903,,,רב הונא בריה דרב יהודה
20904,,,רב הונא בריה דרב נחמיה
926,4,אמורא,רב הונא בריה דרב נחמן
927,5-6,אמורא,רב הונא בריה דרב נתן
2415,3,אמורא,רב עולא בריה דרב עילאי
938,4,אמורא,רב הונא מדסקרתא
1290,6,אמורא,רב חנינא מסורא
20910,,,רב הונא מר בר חייא
943,6,אמורא,רב הונא מר בריה דרב נחמיה
947,3,אמורא,רבי חונה רבה דציפורין
20917,,,רב הילל
966,4/5,אמורא,רב הלל
2277,5,אמורא,רב נחמיה בריה דרב יוסף
1277,4,אמורא,רב חיננא בריה דרבא מפשרוניא
981,4,אמורא,רב המנונא זוטא
982,3,אמורא,רב המנונא סבא
988,,אמורא,רב זבדי
20932,,,רב זביד בר אושעיא
995,5,אמורא,רב זביד מנהרדעא
1002,6,אמורא,רב זוטי דבי רב פפי
20933,,,רב זוטרא
1006,3,אמורא,רב זוטרא בר טוביא
20935,,,רב זוטרא ברבי טוביה
1005,4/5,אמורא,רב זוטרא בריה דרב זירא
20936,,,רב זוטרא בריה דרב מרי
20937,,,רב זירא
20939,,,רב זעירא
20940,,,רב זריקא
1051,7,אמורא,רב חביבא מסורא דפרת
1053,,אמורא,רב חביבא בר סורמקי
1052,6,אמורא,רב חביבא בריה דרב יוסף בריה דרבא
1055,6,אמורא,רב חביבי מחוזנאה
20946,,,רב חגא
1077,5,אמורא,רב חזקיה
1090,4,אמורא,רב חייא אריכא
20952,,,רב חייא בר אבא
1094,3,אמורא,רבי חייא בר אבין
1101,4,אמורא,רב חייא בר אמי
20953,,,רב חייא בר גוריא
2788,3,אמורא,רב שמואל בר יהודה
1125,,אמורא,רב חייא בר עמרם
20955,,,רב חייא בר רב אשי
1098,6,אמורא,רב חייא בריה דרב אויא
1106,5,אמורא,רב חייא בריה דרב הונא
1114,4,אמורא,רב חייא בריה דרב ייבא
1115,7,אמורא,רב חייא בריה דרב יצחק
1121,,אמורא,רב חייא בריה דרב נחמן
1123,5,אמורא,רב חייא בריה דרב נתן
1129,4,אמורא,רב חייא בריה דרבה בר נחמני
1133,4,אמורא,רב חייא מהורמיז ארדשיד
1134,5,אמורא,רב חייא מווסתניא
20959,,,רב חיננא
1225,4,אמורא,רב חנינא בר אבין
20960,,,רב חיננא בר אבין
20961,,,רב חיננא בר אידי
1903,3,אמורא,רבי יצחק בר ביסנא
1251,2,אמורא,רב חיננא בר יהודה
1261,3,אמורא,רב חיננא בר כהנא
20965,,,רב חיננא בר פפא
20966,,,רב חיננא בר רב כהנא
20967,,,רב חיננא בר שילא
20968,,,רב חיננא בר שילת
1279,2,אמורא,רב חיננא בר שלמיא
20969,,,רב חיננא בריה
20970,,,רב חיננא בריה דרב איקא
1286,3,אמורא,רב חיננא וורדאן
20974,,,רב חיננא מסורא
1292,3,אמורא,רב חיננא סבא
20975,,,רב חלבו
1160,2,אמורא,רב חלקיה בר טובי
20977,,,רב חלקיה בר טוביה
1159,6,אמורא,רב חלקיה בריה דרב אויא
1161,,אמורא,רב חלקיה מהגרוניא
1168,2,אמורא,רב חמא בר אבא
1172,5,אמורא,רב חמא בר בוזי
1174,4,אמורא,רב חמא בר ברתיה דחסא
20983,,,רב חמא בר חנינא
20985,,,רב חמא בר טוביה
20987,,,רב חמא בר עוקבא
20990,,,רב חמא בריה דרבה בר אבוה
1185,3,אמורא,רב חנא
1187,2,אמורא,רב חנא בגדתאה
1189,3,אמורא,רב חנא בר אדא
143,3,אמורא,רבין בר רב אדא
1194,3,אמורא,רב חנא בר חנילאי
20999,,,רב חנא בר רב קטינא
21003,,,רב חנה
21004,,,רב חנה בר ביזנא
1196,,אמורא,רב חנה בר לואי
21006,,,רב חנילאי
1208,6/7,אמורא,רב חנילאי מחוזנאה
1305,2,אמורא,רב חנין
21008,,,רב חנין בר אבא
21009,,,רב חנין בר אמי
1314,2,אמורא,רב חנן בר אמי
21010,,,רב חנין בר ביזנא
21012,,,רב חנין בר רב
21013,,,רב חנין בר רב חסדא
21014,,,רב חנין בר רבא
1319,4,אמורא,רב חנין בריה דרב ייבא
1336,6,אמורא,רב חנין מחוזנאה
1213,3,אמורא,רב חנינא חברון דרבנין
1222,2,אמורא,רב חנינא בר אבדימי
1264,5,אמורא,רב חנינא בר מניומי
21018,,,רב חנינא בר שלמיא
1235,5,אמורא,רב חנינא בריה דרב איקא
21021,,,רב חנינא ורב הושעיא
1287,3,אמורא,רב חנינא חוזאה
1307,6,אמורא,רב חנן
21024,,,רב חנן בר חסדא
1321,3,אמורא,רב חנן בר מולדה
21027,,,רב חנן בר רב
1318,4,אמורא,רב חנן בר רב חסדא
21030,,,רב חנן בר רבה
2459,2,אמורא,רב ענן בר תחליפא
1337,4,אמורא,רב חנן מנהרדעא
21035,,,רב חננא בריה דרב אידי
1339,2,אמורא,רב חננאל
21038,,,רב חנניא בר אבין
1239,6,אמורא,רב חנניא בר ביבי
21044,,,רב חנניה בר מניומי
1278,1,אמורא,רב חנניה בר שילא
21046,,,רב חנניה בר שלמיא
1344,3,אמורא,רב חסא
1889,1ב,אמורא,רבי יצחק בר אבדימי רובא
1351,5,אמורא,רב טבות
21051,,,רב טבי בר קיסנא
1358,5,אמורא,רב טביומי
1367,2,אמורא,רב טובי בר קיסנא
21052,,,רב טבלא
21055,,,רב טובי בר רב מתנה
21057,,,רב טובי בר רב קיסנא
1401,4,אמורא,רב יהודה אחוה דרב סלא חסידא
1407,,אמורא,רב יהודה בר אבא
1416,3,אמורא,רבי יהודה בר אמי
1410,3,אמורא,רב יהודה בר אושעיא
2774,4,אמורא,רב שמואל בר אחיתאי
1413,2-3,אמורא,רב יהודה בר אידי
1415,3,אמורא,רב יהודה בר אישתתא
21063,,,רב יהודה בר אמי
21064,,,רב יהודה בר זבידא
21065,,,רב יהודה בר זבינא
1439,2,אמורא,רב יהודה בר חביבא
21066,,,רב יהודה בר חיננא
21067,,,רב יהודה בר ישמעאל
21068,,,רב יהודה בר מנשיא
21069,,,רב יהודה בר סימון
21071,,,רב יהודה בר שילא
21072,,,רב יהודה בר שילת
1489,,אמורא,רב יהודה בר שמואל
21074,,,רב יהודה ברבי חייא
21075,,,רב יהודה בריה דרב שמואל
1490,2,אמורא,רב יהודה בריה דרב שמואל בר שילת
21077,,,רב יהודה בריה דרבי שמעון בן פזי
21079,,,רב יהודה מדאסקרתא
1512,4,אמורא,רב יהודה מדיסקרתא
21080,,,רב יהודה מדסקרתא
1514,3,אמורא,רב יהודה מהגרוניא
1516,,אמורא,רב יהודה מסורא
21082,,,רב יהושע
1530,3,אמורא,רב יהושע בר אבא
21084,,,רב יונתן
21085,,,רב יוסי
1660,3,אמורא,רב יוסי בר אבא
21092,,,רב יוסף בר אבא
1768,3,אמורא,רב יוסף בר אבדימי
1770,5,אמורא,רב יוסף בר אמי
21093,,,רב יוסף בר דוסאי
21094,,,רב יוסף בר חנינא
1775,4,אמורא,רב יוסף בר מניומי
1784,5,אמורא,רב יוסף בר שמעיה
21097,,,רב יוסף ברבי שמעיה
1776,2,אמורא,רב יוסף בריה דרב מנשיא מדויל
1777,3,אמורא,רב יוסף בריה דרב נחוניא
1779,5,אמורא,רב יוסף בריה דרב סלא חסידא
21099,,,רב יוסף בריה דרב עילאי
21100,,,רב יוסף בריה דרב שמעיה
1781,5,אמורא,רב יוסף בריה דרבא
21101,,,רב יוסף בריה דרבה
21102,,,רב יוסף בריה דרבי יהושע בן לוי
1758,5,אמורא,רבי יוסי ציידניא
1797,1,אמורא,רב יחזקאל
1799,3,אמורא,רב יחיאל
21103,,,רב ייבא
2606,2,אמורא,רבה בר יוסף
1802,3,אמורא,רב ייבא סבא
1807,5,אמורא,רב יימר בר שלמיא
21106,,,רב יימר בר שלמיה
21107,,,רב יימר בריה דרב הילל
1965,5,אמורא,רב ירמיה מדיפתי
21109,,,רב ינאי
2658,3,אמורא,רבנאי אחוה דרבי חייא בר אבא
21110,,,רב יעקב
1841,4,אמורא,רב יעקב בר אבא
1843,5,אמורא,רב יעקב בר אבוה
21112,,,רב יעקב בר אידי
1853,4,אמורא,רב יעקב בריה דרב אחא בר יעקב
1878,6,אמורא,רב יעקב מנהר פקוד
21114,,,רב יצחק בן אלעזר
21115,,,רב יצחק בן יוסף
1887,4,אמורא,רב יצחק בר אבא
1890,3,אמורא,רב יצחק בר אבדימי
1891,3,אמורא,רב יצחק בר אבין
1892,2,אמורא,רב יצחק בר אדא
1901,4,אמורא,רב יצחק בר אמי
21117,,,רב יצחק בר אשי
1902,2,אמורא,רב יצחק בר אשיאן
1904,2,אמורא,רב יצחק בר בר חנה
21119,,,רב יצחק בר זעירא
21122,,,רב יצחק בר חנניא
21123,,,רב יצחק בר חנניה
21124,,,רב יצחק בר נחמני
1869,6/7,אמורא,רב יעקב בר נפתלי
21126,,,רב יצחק בר רב משרשיא
1930,3,אמורא,רב יצחק בר רדיפה
1931,5,אמורא,רב יצחק בר שילא
21128,,,רב יצחק בר שמואל
1932,2,אמורא,רב יצחק בר שמואל בר מרתא
21129,,,רב יצחק ברבי יוסף
1925,3-4,אמורא,רב יצחק ברבי סבריו
21132,,,רב יצחק בריה דרב אידי
21133,,,רב יצחק בריה דרב אמי
1913,3,אמורא,רב יצחק בריה דרב יהודה
1920,5,אמורא,רב יצחק בריה דרב משרשיא
1929,4,אמורא,רב יצחק בריה דרבה בר בר חנה
1953,3,אמורא,רב ירמיה ביראה
21136,,,רב ירמיה בר אחא
21137,,,רב ירמיה בר אמי
21139,,,רב ירמיה מדפתי
21140,,,רב כהן
21144,,,רב כהנא בר מלכיו
2014,3,אמורא,רב כהנא בר מתתיה
2018,3,אמורא,רב כהנא בר תחליפא
2010,4,אמורא,רב כהנא בריה דרב חיננא סבא
2015,2,אמורא,רב כהנא בריה דרב נחוניא
2016,4,אמורא,רב כהנא בריה דרב נחמיה
2019,4,אמורא,רב כהנא חמוה דרב משרשיא
2020,3,אמורא,רב כהנא רביה דרב
2062,3,אמורא,רב לילי בר ממל
2092,3,אמורא,רב מלכיא
21156,,,רב מלכיה
2093,4,אמורא,רב מלכיו
21157,,,רב מנא
2108,2,אמורא,רב מנחם איש כפר
21158,,,רב מני
2129,3,אמורא,רב מניומי בר חלקיה
2130,3,אמורא,רב מניומי בריה דרב נחומי
2131,6,אמורא,רב מניומי בריה דרב ניחומי
2139,3,אמורא,רב מנשה
21161,,,רב מנשה בר זביד
2141,2,אמורא,רב מנשיא
2140,4,אמורא,רב מנשיא בר גדא
21167,,,רב מנשיא בר זביד
2142,3,אמורא,רב מנשיא בר יעקב
2143,2,אמורא,רב מנשיא בר ירמיה מגיפתי
2145,6,תנא,רב מנשיא בר עות
2147,3,אמורא,רב מנשיא בר שגובלי
2148,4,אמורא,רב מנשיא בר תחליפא
2146,,אמורא,רב מנשיא בריה דרבא
21171,,,רב מנשיה
2173,6-7,אמורא,רב מרדכי
2174,3,אמורא,רב מרי
2176,4,אמורא,רב מרי בר אבוה
2183,3,אמורא,רב מרי בר חמא
21174,,,רב מרי בר מר
2190,4,אמורא,רב מרי בר רחל
21176,,,רב מרי בריה דרב אשי
2179,3,אמורא,רב מרי בריה דרב ביזנא
21178,,,רב מרי בריה דרב הונא בריה דרבי ירמיה בר אבא
2186,4,אמורא,רב מרי בריה דרב כהנא
2213,,בדור אמוראים,רב משרשיא בר חילקאי
21181,,,רב משרשיא בר רב
2208,7,אמורא,רב משרשיא בריה דרב אחא
2209,5,אמורא,רב משרשיא בריה דרב אידי
2216,3,אמורא,רב משרשיא דבי רבי אמי
2212,6/7,אמורא,רב משרשיא בריה דרב חייא
2214,7,אמורא,רב משרשיא בריה דרב נתן
2217,5,אמורא,רב משרשיא מתוסנייא
2225,4,אמורא,רב מתנה
2253,5,אמורא,רב נחומי
2254,2,אמורא,רב נחומי בר אדא
2255,4-5,אמורא,רב נחומי בר זכריה
21189,,,רב נחוניא
2271,4,אמורא,רב נחמיה בר ברוך
21190,,,רב נחמיה בר יוסף
21194,,,רב נחמן בר אבא
2287,,אמורא,רב נחמן בר אדא
2340,3,אמורא,רב נתן בר אושעיא
2289,5,אמורא,רב נחמן בר אושפזתי
1315,4,אמורא,רבי חנן בר אמי
21196,,,רב נחמן בר כהן
2300,5,אמורא,רב נחמן בר פפא
21198,,,רב נחמן בר רב אדא
21200,,,רב נחמן בר רב יצחק
21201,,,רב נחמן בר רבא
21205,,,רב נחמן ברבי יצחק
21206,,,רב נחמן בריה דרב חסדא
2304,6,אמורא,רב נחמן מפרהטיא
2316,1,אמורא,רב ניתאי
21207,,,רב נפקא
2344,5,תנא,רב נתן בן המשולם
21208,,,רב נתן אבוה דרב הונא
21209,,,רב נתן אבוה דרב הונא בריה דרב נתן
2334,2,אמורא,רב נתן בר אבא
2341,5,אמורא,רב נתן בר אמי
754,3,בדור אמוראים,בר נתן אסיא
21210,,,רב נתן בר הושעיא
2347,4,אמורא,רב נתן בר מניומי
2349,3,אמורא,רב נתן בר מר עוקבא
2364,3,אמורא,רב סחורה
2384,7,אמורא,רב סמא בריה דרב אתי
21212,,,רב סימאי בר חילקאי
21213,,,רב סימון
2378,5,אמורא,רב סלא
21215,,,רב סלא חסידא
2382,7,אמורא,רב סמא
2392,7,אמורא,רב סמא בר רקתא
2383,7,אמורא,רב סמא בריה דרב אשי
2399,5,אמורא,רב ספרא בריה דרב ייבא
2388,,אמורא,רב סמא בריה דרב ירמיה
2389,3,אמורא,רב סמא בריה דרב מרי
2390,6,אמורא,רב סמא בריה דרב משרשיא
2391,7-8,אמורא,רב סמא בריה דרבא
2930,4,בדור אמוראים,רב שעורים אחוה דרבא
2398,3-4,אמורא,רב ספרא
21219,,,רב עבדא
2402,5,אמורא,רב עובדיה
2406,5,אמורא,רב עוירא
21220,,,רב עולא
2411,4,אמורא,רב עולא בר אבא
2412,,אמורא,רב עולא בריה דרב אידי
21222,,,רב עוקבא
2429,4,אמורא,מר/רב עוקבא בר חמא
2430,6,אמורא,רב עוקבא ממישן
21226,,,רב עזא
2408,5,אמורא,רבי עולא
2440,4,אמורא,רב עיליש
2441,2,אמורא,רב עינא
2442,3,אמורא,רב עינא סבא
21227,,,רב עלה
2445,2,אמורא,רב עמרם
21229,,,רב עמרם בריה דרבי שמעון בר אבא
2448,3,אמורא,רב עמרם חסידא
2453,2,אמורא,רב ענן
2454,2,אמורא,רב ענן בר חייא
2464,4,אמורא,רב עקביה
2497,5,אמורא,רב פנחס
2502,5,אמורא,רב פנחס בריה דרב אמי
2507,4,אמורא,רב פנחס בריה דרב חסדא
2519,5,אמורא,רב פפא בר אבא
2527,3-4,אמורא,רב פפא בר שמואל
2520,4,אמורא,רב פפא בריה דרב אחא בר אדא
2521,3,אמורא,רב פפא בריה דרב חנין
2522,4,אמורא,רב פפא בריה דרב חנן
2523,5,אמורא,רב פפא בריה דרב חנן מבי כלוחית
2528,2,אמורא,רב פפא סבא
2703,,אמורא,רב שבא
21243,,,רב שזבי
2716,4,אמורא,רב שיזבי
2717,7,אמורא,רב שייא
21244,,,רב שילא בר אבימי
2725,2,אמורא,רב שילא בר אבינא
2729,6,אמורא,רב שילא משלנייא
2735,5,אמורא,רב שימי בר אשי
2732,5,אמורא,רב שימי בר אבא
2773,5,אמורא,רב שמואל בר אחא
21246,,,רב שימי בר זירי קמיה
2739,3,אמורא,רב שימי בר עוקבא
21248,,,רב שימי בר רב אשי
2740,,אמורא,רב שימי מבירתא דשיחורי
2741,4,אמורא,רב שימי מחוזנאה
2742,4,אמורא,רב שימי מנהרדעא
2749,5,אמורא,רב שלום
2752,4,אמורא,רב שלמן
2759,5,אמורא,רב שמואל
2769,2,אמורא,רב שמואל בר אבא מאקרוניא
21257,,,רב שמואל בר אוניא
2775,5,אמורא,רב שמואל בר אידי
21258,,,רב שמואל בר איני
21260,,,רב שמואל בר אמי
21261,,,רב שמואל בר בידרי
2781,4,אמורא,רב שמואל בר ביסנא
2782,4,אמורא,רב שמואל בר בר חנה
2784,5,אמורא,רב שמואל בר זוטרא
21263,,,רב שמואל בר חייא
21266,,,רב שמואל בר חתאי
2768,3,אמורא,רבי/רב שמואל בר אבא
2794,,אמורא,רב שמואל בר יעקב
21271,,,רב שמואל בר נחמן
21272,,,רב שמואל בר נחמני
21274,,,רב שמואל בר ססרטי
21275,,,רב שמואל בר רב יהודה
2805,4,אמורא,רב שמואל בר רב קטינא
2807,3,אמורא,רב שמואל בר שבא
2808,1,אמורא,רב שמואל בר שילת
2809,5,אמורא,רב שמואל בר שימי
2770,7,אמורא,רב שמואל בריה דרבי אבהו
2806,4,אמורא,רב שמואל בריה דרבה בר בר חנה
21281,,,רב שמואל קפוטקאה
2828,6,אמורא,רב שמן מסיכרא
2928,5,אמורא,רב שמעיה בר זעירא
2923,4,אמורא,רב שמעיה
779,1,בדור אמוראים,בר שפיר
2934,5,אמורא,רב שרביא
21288,,,רב שרביה
21291,,,רב ששת בריה דרב יהושע
2940,6,אמורא,רב ששת מקטרזיא
2948,3-4,אמורא,רב תחליפא
2950,5,אמורא,רב תחליפא אבוה דרב הונא
2951,4,אמורא,רב תחליפא אחוה דרבנאי חוזאה
21294,,,רב תחליפא בן שאול
2952,2,אמורא,רב תחליפא בר אבדימי
21295,,,רב תחליפא בר אבודימי
2953,2,אמורא,רב תחליפא בר אבינא
2955,7,אמורא,רב תחליפא בר גזא
21297,,,רב תחליפא בר גיזא
2957,3,אמורא,רב תחליפא בר מערבא
21298,,,רב תחליפא בר שאול
21299,,,רב תחליפא בר שמואל
21301,,,רבא אחוה דרב מרי בר רחל
2585,3,אמורא,רבא בר אבא
21302,,,רבא בר אבין
21304,,,רבא בר אדא
2589,5,אמורא,רבא בר אהילאי
21306,,,רבא בר אהינא
2593,3-4,אמורא,רבא בר איתי
21310,,,רבא בר המדורי
21313,,,רבא בר זימונא
21315,,,רבא בר חיננא
21316,,,רבא בר חנינא
21317,,,רבא בר חנן
21318,,,רבא בר חקלאי
21319,,,רבא בר יוסף
21320,,,רבא בר יצחק
21321,,,רבא בר ירמיה
2609,5,אמורא,רבא בר ישמעאל
21323,,,רבא בר ליואי
21325,,,רבא בר מארי
2612,3,אמורא,רבא בר מחסיא
21326,,,רבא בר מרי
2614,6,אמורא,רבא בר משרשיא
21328,,,רבא בר מתנה
21329,,,רבא בר נתן
2618,4,אמורא,רבה בר עולא
21334,,,רבא בר פפא
21336,,,רבא בר קסנא
2588,3,אמורא,רבא בר רב אדא
2597,5,אמורא,רבא בר רב הונא זוטי
21338,,,רבא בר רב חנא
21339,,,רבא בר רב חנין
2602,4,אמורא,רבה בר רב חנן
21342,,,רבא בר רב יצחק
21343,,,רבא בר רב נחמן
21344,,,רבא בר רב עולא
21345,,,רבא בר רב שילא
21346,,,רבא בר רבה
21347,,,רבא בר רבי ישמעאל
21348,,,רבא בר שאילתא
21349,,,רבא בר שילא
2630,3,אמורא,רבא בר שירא
2631,3,אמורא,רבא בר שמואל
2632,4,אמורא,רבא בר שרשום
21350,,,רבא בר תחליפא
21353,,,רבא ברבי יצחק
2591,5,אמורא,רבא בריה דרב אחא בר רב הונא
21357,,,רבא בריה דרב יוסף
21358,,,רבא בריה דרב עולא
2624,4,אמורא,רבא בריה דרבה
2625,4,אמורא,רבא בריה דרבה בר רב הונא
21359,,,רבא זוטי
2635,3,אמורא,רבא זעירא
2636,6,אמורא,רבא מברניש
2637,6,אמורא,רבא מפרזקיא
2592,,אמורא,רבה בן איסי
21364,,,רבה בר איבו
21366,,,רבה בר איתי
21367,,,רבה בר בר חנא
2595,3,אמורא,רבה בר ברונא
21369,,,רבה בר זוטרא
2598,2,אמורא,רבה בר חייא קטוספאה
2599,2,אמורא,רבה בר חיננא סבא
21372,,,רבה בר חנא
2601,2,אמורא,רבה בר חנינא
21374,,,רבה בר חנן
2607,3,אמורא,רבה בר יצחק
2605,4,אמורא,רבה בר יונתן
21377,,,רבה בר יוסף בר חמא
2608,2-3,אמורא,רבה בר ירמיה
2610,4,אמורא,רבה בר ליואי
2611,2,אמורא,רבה בר לימא
21382,,,רבה בר מארי
21383,,,רבה בר מחסיא
21384,,,רבה בר ממל
2613,3-4,אמורא,רבה בר מריון
2615,4,אמורא,רבה בר מתנה
2617,3,אמורא,רבה בר נתן
2619,4,אמורא,רבה בר עופרן
2622,2,בדור אמוראים,רבה בר עשבי
21390,,,רבה בר רב אדא
21391,,,רבה בר רב הונא זוטא מנהרדעא
21393,,,רבה בר רב חנא
21394,,,רבה בר רב חנין
21395,,,רבה בר רב יצחק
2616,4,אמורא,רבה בר רב נחמן
2627,4,אמורא,רבה בר שילא
21397,,,רבה בר שאילתא
2628,4,אמורא,רבה בר שימי
2633,3,אמורא,רבה בר תחליפא
21402,,,רבה בריה
21404,,,רבה בריה דרב הונא
21405,,,רבה בריה דרבא
21406,,,רבה דבי רב שילא
21407,,,רבה זוטא
2634,6,אמורא,רבה זוטי
2638,7,בדור אמוראים,רבה מקובי
21412,,,רבה תוספאה
21414,,,רבותינו שבבבל
21416,,,רבותינו שבדרום
6,2,אמורא,רבי אבא
15,3,אמורא,רבי אבא אחוה דרבי יהודה בר זבדי
21423,,,רבי אבא בר אבינא
31,2-3,אמורא,רבי אבא בר זבדא
32,2,אמורא,רבי אבא בר זוטרא
40,3,אמורא,רבי אבא בר יעקב
21444,,,רבי אבא בר ירמיה
43,3,אמורא,רבי אבא בר כהנא
47,3,אמורא,רבי אבא בר ממל
51,3,אמורא,רבי אבא בר פפא
21454,,,רבי אבא בר רב אדא
21455,,,רבי אבא בר רב יצחק
54,5,אמורא,רבי אבא בר שומני
21457,,,רבי אבא בר שילא
21458,,,רבי אבא בר שמואל
21461,,,רבי אבא בריה דרב יוסף בר רבא
56,3,אמורא,רבי אבא דמן חיפא
57,3,אמורא,רבי אבא דמן עכו
216,3,אמורא,רבי אדא דקיסרין
59,3,אמורא,רבי אבא הכהן
21471,,,רבי אבא זוטי
68,4,אמורא,רבי אבא סלא רבא
64,4-5,אמורא,רבי אבא מרי
21489,,,רבי אבדימי בר חמא
21494,,,רבי אבדימי דמן חיפא
85,3,אמורא,רבי אבדימי דמן חיפה
95,,אמורא,רבי אבהו בן זוטרתי
96,3,אמורא,רבי אבהו בר כהנא
21501,,,רבי אבוה
116,6,תנא,רבי אבטילס ברבי יוסי
140,3,אמורא,רבי אבין
21519,,,רבי אבין בר חייא
21522,,,רבי אבין בר כהנא
21523,,,רבי אבין בר רב אדא
159,4,אמורא,רבי אבין בר שבא
164,4,אמורא,רבי אבין הלוי
21530,,,רבי אבין נגרא
21531,,,רבי אבינא
171,3,אמורא,רבי אביתר
210,3,אמורא,רבי אדא בר פפא
215,3,אמורא,רבי אדא דמן יפו
1457,4,תנא,רבי יהודה בן ישעיה הבשם
246,2,אמורא,רבי אושעיא ברבי חייא
294,3,אמורא,רבי אחא בר פפא
21,1ב,אמורא,רבי אבא בר אחא
21554,,,רבי אחא בר יעקב
21559,,,רבי אחא ברבי חנינא
322,6,תנא,רבי אחי ברבי יאשיה
310,3,אמורא,רבי אחא שר הבירה
320,3,אמורא,רבי אחי
1444,5,תנא,רבי יהודה בן חנניה
328,6,תנא,רבי אחייה
333,2,אמורא,רבי איבון
21569,,,רבי איבו בר נגדי
352,3,בדור אמוראים,רבי אידי סרסיה דרב ששת
21574,,,רבי אייבו
338,3-4,אמורא,רבי אייבו בר נגרי
362,2,אמורא,רבי אילא בריה דרב שמואל בר מרתא
21578,,,רבי אילעא בר יברכיה
369,2,אמורא,רבי אילעאי בן אלעזר
21579,,,רבי אילעי
458,3,אמורא,רבי אליעזר בן מלאי
21594,,,רבי אליעזר בן רבי צדוק
21596,,,רבי אליעזר בר בי רב
21598,,,רבי אליעזר בר צדוק
491,,אמורא,רבי אליעזר ניותאה
1897,4,אמורא,רבי יצחק בן אלישיב
411,2,אמורא,רבי אלכסנדרי
21607,,,רבי אלעא הזקן
370,,אמורא,רבי אלעאי בר ברכיה
426,2,אמורא,רבי אלעזר בן אנטיגנוס
21618,,,רבי אלעזר בן דגלאי
442,1,בדור תנאים,רבי אלעזר בן חרסום
21628,,,רבי אלעזר בן יעקב
453,4,תנא,רבי אלעזר בן יצחק איש כפר דרום
471,5,תנא,רבי אלעזר בן פנחס
462,4,תנא,רבי אלעזר בן מתיא
21630,,,רבי אלעזר בן עזריא
479,5,תנא,רבי אלעזר בן תדאי
423,3,אמורא,רבי אלעזר בר אבינא
21638,,,רבי אלעזר בר בי רב
21641,,,רבי אלעזר בר יוסי
21642,,,רבי אלעזר בר ינאי
460,3,אמורא,רבי אלעזר בר מניומי
21649,,,רבי אלעזר בר רבי יוסי
21650,,,רבי אלעזר בר רבי צדוק
21651,,,רבי אלעזר בר שמעון
21661,,,רבי אלעזר ברבי יהודה
445,6,תנא,רבי אלעזר ברבי יוסי
449,1ב,אמורא,רבי אלעזר ברבי ינאי
481,2,אמורא,רבי אלעזר דמן ננוה
486,2,אמורא,רבי אלעזר הקפר ברבי
21665,,,רבי אלעזר הקפר בריבי
490,5,אמורא,רבי אלעזר מהגרוניא
21668,,,רבי אלעי
21670,,,רבי אמי בר אבא
148,3,אמורא,רבי אבון בר חייה
21671,,,רבי אמי בר חמא
507,,אמורא,רבי אמי בר טביומי
21689,,,רבי אסי בן שאול
1689,2,אמורא,רבי יוסי ברבי חנינא
555,,אמורא,רבי אפטוריקי
21705,,,רבי אתי
599,3,אמורא,רבי ביבי
607,3/4,אמורא,רבי ביזנא בר זבדא
618,5,תנא,רבי ביסא
21730,,,רבי בירים
21734,,,רבי בנאה בריה דרבי עולא
691,5,תנא,רבי בנימין
694,4,אמורא,רבי בנימין בר גידל
21737,,,רבי בנימין בר חייא
695,3,אמורא,רבי בנימין בר יפת
788,,אמורא,רבי ברוקא חוזאה
814,4,אמורא,רבי גוריון
21756,,,רבי גמליאל
861,,אמורא,רבי דוסתאי דמן בירי
21771,,,רבי דוסתאי בר ינאי
21772,,,רבי דוסתאי בר מתון
860,,תנא,רבי דוסתאי ברבי מתון
21778,,,רבי דניאל בר רב קטינא
954,4,תנא,רבי הורקנוס
241,3,אמורא,רבי הושעיא
21793,,,רבי הושעיה
971,1ב,אמורא,רבי הלל בריה דרבי וולס
973,4,אמורא,רבי הלל בריה דרבי שמואל בר נחמני
21801,,,רבי וולס
1001,,תנא,רבי זוהמאי
1003,5,תנא,רבי זוטרא
1013,6,תנא,רבי זיואי
1015,6,תנא,רבי זילאי
21805,,,רבי זירא בר ממל
1022,2,אמורא,רבי זכאי
1029,4,אמורא,רבי זכריה
1030,2,תנא,רבי זכריה בן אבקולס
1031,2,תנא,רבי זכריה בן הקצב
1032,1,תנא,רבי זכריה בן קבוטל
21811,,,רבי זכריה בן קפוטל
1039,2,תנא,רבי זעירא
21817,,,רבי זעירא בר חנינא
21822,,,רבי זעירי
21825,,,רבי חגא
21837,,,רבי חוצפית המתורגמן
21844,,,רבי חייא אריכא
1093,,אמורא,רבי חייא בר אבויה
21849,,,רבי חייא בר אמי
21850,,,רבי חייא בר אמי משמיה
21851,,,רבי חייא בר אסי
1105,1ב,אמורא,רבי חייא בר גמדא
1108,3,אמורא,רבי חייא בר זרנוקי
21864,,,רבי חייא בר לולייני
1122,5,תנא,רבי חייא בר נחמני
1126,3,אמורא,רבי חייא בר פפא
21875,,,רבי חייא בר רב
21876,,,רבי חייא בר רב אשי
21879,,,רבי חייא ברבי אבא
