ID,Gen,Type,He
386,1,בדור אמוראים,איפרא הורמיז
421,,תנא,אליעזר איש ביריא
432,1,בדור תנאים,אליעזר בן דינאי
487,1,בדור אמוראים,אליעזר זעירא
1993,2,בדור תנאים,ישמעאל בן פיאבי
20183,,,אלישע בעל כנפים
406,5,בדור אמוראים,אלכסא
410,1,בדור תנאים,אלכסנדרוס מוקדון
413,3,בדור אמוראים,אלכסנדרי
431,,בדור תנאים,אלעזר בן דורדיא
436,2,בדור תנאים,אלעזר בן הנד
20191,,,אלעזר בן יהודה איש אבלים
457,,תנא,אלעזר בן מהבאי
468,1,בדור תנאים,אלעזר בן פועירה
20193,,,אלעזר בן פנחס
492,3,תנא,אלעזר ספרא
20197,,,אמוראי דפומבדיתא
20199,,,אמי בר נתן
512,4,אמורא,אמי ורדינאה
20202,,,אמי שפיר נאה
513,2,בדור אמוראים,אמי תנורא
20205,,,אמרי בי רב
20206,,,אמרי במערבא
517,1,בדור אמוראים,אנדרולינאי
520,6,בדור תנאים,אנטונינוס
532,1,בדור תנאים,אסוירוס
539,1,אמורא,אסי בר היני
553,2,בדור תנאים,אספסיינוס
554,,בדור תנאים,אפוסטמוס
558,3,אמורא,אפרים ספרא
20216,,,אפרים מקשאה תלמידו של רבי מאיר
20217,,,אפרים ספרא תלמידו של ריש לקיש
565,1,בדור תנאים,אריסטובלוס
574,3,אמורא,אשיאן
577,2,אמורא,אשיאן בר נדבך
594,2,בדור אמוראים,בטי בר טוביה
584,4,אמורא,באלי
20223,,,בבא בן בוטא
590,1,בדור תנאים,בוני
596,1א,אמורא,בטנית בריה דאבא שאול בן בטנית
610,5,בדור תנאים,בייתוס בן זונין
169,3,אמורא,רב אבינא
117,1,בדור תנאים,בית אבטינס
608,1,בדור תנאים,בית בייתוס
813,5,בדור תנאים,בית גוריון
844,1,בדור תנאים,בית גרמו
963,1-2,בדור תנאים,בית הלל
20240,,,בית הלל ובית שמאי
2551,1/2,בדור תנאים,צפנת בת פניאל כהן גדול
1302,1,בדור תנאים,בית חנין
1391,,בדור תנאים,בית יהוא
2094,5,בדור תנאים,בית ממל
2103,4,בדור תנאים,בית מנחם
20241,,,בית נתזה
2545,1,בדור תנאים,בית צבועים
2554,1,בדור תנאים,בית קופאי
2756,1-2,בדור תנאים,בית שמאי
20243,,,ביתוס בן זונין
624,3,בדור תנאים,בלוריא הגיורת
635,2,בדור תנאים,בן אבטיח
625,1,בדור תנאים,בן אחיה
20249,,,בן אלם
628,6,בדור תנאים,בן אלעשה
626,1,בדור תנאים,בן אטיטס
630,1,בדור תנאים,בן ארזה
633,4,בדור תנאים,בן בוהיין
634,2,תנא,בן בוכרי
592,6,בדור תנאים,בונייס בן בונייס
637,4,תנא,בן בנו של זכריה בן קבוטל
1536,3,תנא,רבי יהושע בן בתירא
1579,2-3,תנא,רבי יוחנן בן גודגדא
1538,2,בדור תנאים,יהושע בן גמלא
434,4,תנא,רבי אלעזר בן דמא
20255,,,בן דרוסאי
2854,4,תנא,רבי שמעון בן הסגן
650,3,בדור תנאים,בן זזא
20260,,,בן כוזיבא
659,3,בדור תנאים,בן כלבא שבוע
665,3,בדור אמוראים,בן נצר
667,1,בדור תנאים,בן סירא
20266,,,בן עקיבא
670,3,אמורא,בן פזי
1972,1,בדור תנאים,ישו בן פנדירא
674,1,בדור תנאים,בן ציון
675,2,בדור תנאים,בן ציצית הכסת
678,1,בדור תנאים,בן קטין
680,1,בדור תנאים,בן קמצר
2670,4,אמורא,רב רחומי
682,4,תנא,בן שלקות
684,2,בדור אמוראים,בן תדל
686,,בדור תנאים,בן תמליון
561,1,בדור תנאים,בני ארח בן יהודה
20272,,,בני בתירא
800,1,בדור תנאים,בני בתירה
20273,,,בני גדל
20274,,,בני גליל
848,1,בדור תנאים,בני דוד בן יהודה
1048,1,בדור תנאים,בני זתוא בן יהודה
1614,1,בדור תנאים,בני יונדב בן רכב
2395,1,בדור תנאים,בני סנאה
2401,1,בדור תנאים,בני עדין בן יהודה
2482,1,בדור תנאים,בני פחת מואב בן יהודה
2542,1,בדור תנאים,בני פרעוש בן יהודה
20278,,,בני רחבה
693,3,בדור אמוראים,בנימין אסיא
700,,בדור תנאים,בנימין הצדיק
701,1,בדור אמוראים,בנימין רעיא
20282,,,בנן של קדושים
20283,,,בצלאל בן אורי
730,4,בדור אמוראים,בר חבו
20284,,,בר אביי
708,6,בדור אמוראים,בר אבין
20288,,,בר אדא
711,5,בדור אמוראים,בר אדא סבולאה
712,4,אמורא,בר אהינא
714,4,בדור אמוראים,בר אלישיב
717,4,בדור אמוראים,בר ביניתוס
718,2,בדור אמוראים,בר ברתיה דרבי ינאי סבא
20295,,,בר גלילא
721,2,בדור תנאים,בר דרומא
723,3,אמורא,בר הדיא
962,3,אמורא,רב הינק
726,2,אמורא,בר המדורי
20300,,,בר זוזא
733,4,בדור אמוראים,בר חמא
743,2,אמורא,בר ליואי
2761,5,בדור אמוראים,מר שמואל
748,3,בדור אמוראים,בר מריון
20311,,,בר נפחא
756,3,בדור אמוראים,בר סיסין
759,4,בדור אמוראים,בר עדי טייעא
763,1ב,אמורא,בר פדא
20314,,,בר פדייה
20316,,,בר פחתי
766,1,בדור אמוראים,בר פיולי
769,4,בדור אמוראים,בר ציתאי
770,3,בדור אמוראים,בר צרצור
1482,,אמורא,רב יהודה בר קזא
773,6,בדור אמוראים,בר קיפוף
20318,,,בר קיפוק
774,2,בדור תנאים,בר קמצא
20319,,,בר קשא
994,2,אמורא,רב זביד אבוה דרבי שמעון בר זביד
777,4,בדור אמוראים,בר שישך
20320,,,בר שמואל
780,1,אמורא,בר תאוטני
20321,,,בר תוטני
783,1ב,אמורא,ברדלא
786,,שם,ברוך בן לוי
20323,,,ברוך בן נריה
789,5,בדור תנאים,ברוריה
20324,,,בריה דרב יוסף
