Rabbi,Count
  Rabbi Yehuda,7881
  Rabbi Yohanan,4877
  Rabbi Shimon,3331
  Rabbi Yosei,3295
  Rabbi Meir,3110
  Rabbi Eliezer,2588
  Rabbi Akiva,2348
  Rabbi Elazar,2183
  Rav Huna,2042
  Rav Yehuda,1918
  Rav Nahman,1812
  Rabbi Yishmael,1382
  Rav Hisda,1327
  Rav Pappa,1189
  Rav Yosef,1171
  Rabbi Yehoshua,1070
  Rav Ashi,1033
  Rabbi Hanina,817
  Rabbi Zeira,730
  Rav Sheshet,704
  Rabbi Hiyya,685
  Rabbi Yehoshua b. Levi,607
  Rabbi Yitzhak,546
  Rav Kahana,546
  Rabbi Abbahu,510
  Rabbi Ami,403
  Rav Asi,387
  Rabbi Shimon b. Elazar,384
  Rabbi Eliezer b. Ya'akov,379
  Rav Nahman b. Yitzhak,374
  Rabbi Shimon b. Lakish,360
  Rabbi Yirmeya,358
  Rabbi Hiyya b. Abba,353
  Rabbi Abba,351
  Rabbi Tarfon,340
  Rabbi Natan,312
  Rabbi Yannai,311
  Rav Dimi,297
  Rabbi Asi,266
  Rabbi Nehemya,262
  Rabbi Oshaya,250
  Rabbi Elazar b. Azarya,248
  Rav Hamnuna,232
  Rav Aha,225
  Rav Adda b. Ahava,209
  Rabbi Yonatan,197
  Rabbi Shimon b. Yohai,195
  Rav Yehoshua,189
  Rabbi Yoshiya,187
  Rabbi Yohanan b. Beroka,186
  Rabbi Yehuda b. Beteira,171
  Rabbi Yohanan b. Nuri,170
  Rabbi Ya'akov,167
  Rav Aha b. Ya'akov,157
  Rav Yitzhak,154
  Rav Safra,151
  Rabbi Shmuel b. Nahmani,142
  Rav Zevid,124
  Rabbi Yehoshua b. Korha,114
  Rav Mattana,113
  Rav Giddel,112
  Rabbi Avin,104
  Rabbi Dosa,96
  Rabbi Yosei b. Hanina,95
  Rabbi Tzadok,92
  Rabbi Hanina b. Antigonus,79
  Rabbi Shimon b. Yehuda,76
  Rav Idi b. Avin,73
  Rav Mari,73
  Rabbi Yosei b. Yehuda,73
  Rav Idi,70
  Rabbi Ile'a,69
  Rabbi Yirmeya b. Abba,68
  Rav Pappi,67
  Rabbi Shimon b. Pazi,66
  Rav Mesharshiyya,63
  Rav Hiyya b. Ashi,62
  Rav Anan,61
  Rabbi Shimon b. Menasya,61
  Rav Oshaya,60
  Rabbi Levi,59
  Rav Ika,58
  Rav Avya,58
  Rav Ketina,58
  Rav Yirmeya b. Abba,58
  Rabbi Ilai,58
  Rav Amram,57
  Rabbi Yehuda b. Bava,56
  Rabbi Aha,55
  Rav Shmuel b. Yehuda,54
  Rav Adda,53
  Rav Yitzhak b. Yosef,52
  Rabbi Yehoshua b. Hananya,52
  Rav Ami,51
  Rav Shmuel b. Rav,51
  Rabbi Hama,50
  Rav Beivai,50
  Rav Shimi b. Ashi,50
  Rav Hoshaya,49
  Rav Hanina,49
  Rabbi Hanina b. Gamliel,47
  Rav Hanan,45
  Rav Hama b. Gurya,45
  Rabbi Elai,45
  Rav Beivai b. Abaye,44
  Rabbi Hiyya b. Avin,44
  Rav Yitzhak b. Avdimi,44
  Rabbi Ya'akov b. Idi,42
  Rav Hiyya b. Avin,42
  Rabbi Yona,41
  Rabbi Tanhum,41
  Rav Yirmeya,41
  Rabbi Hiyya b. Yosef,41
  Rabbi Hoshaya,41
  Rabbi Hanina b. Dosa,40
  Rabbi Sheila,40
  Rav Hanan b. Rava,40
  Rav Hama,39
  Rav Sheisha,38
  Rabbi Abba b. Memel,38
  Rabbi Simai,37
  Rav Yosef b. Hama,37
  Rav Sheila,36
  Rav Hananel,36
  Rav Huna b. Hiyya,36
  Rabbi Nehunya,36
  Rabbi Helbo,35
  Rabbi Ila,35
  Rabbi Simlai,35
  Rav Yosef b. Minyumi,35
  Rav Hiyya,34
  Rabbi Elazar b. Shammua,34
  Rabbi Pedat,33
  Rav Adda b. Mattana,33
  Rav Pinehas,33
  Rabbi Aha b. Hanina,32
  Rav Yitzhak b. Shmuel,31
  Rav Yeimar,31
  Rabbi Shimon b. Yehotzadak,31
  Rabbi Abba b. Kahana,30
  Rabbi Avina,29
  Rabbi Hanina b. Pappa,29
  Rav Huna b. Yehuda,28
  Rabbi Yosei b. Avin,28
  Rav Aha b. Rav,28
  Rav Shmuel b. Sheilat,28
  Rav Shimi b. Hiyya,28
  Rabbi Hananya b. Akavya,28
  Rabbi Zerika,27
  Rabbi Shmuel b. Rav,27
  Rav Sherevya,27
  Rabbi Mani,26
  Rabbi Abba b. Zavda,26
  Rav Huna b. Hinnana,26
  Rabbi Hanina b. Teradyon,26
  Rav Shmuel b. Yitzhak,25
  Rav Nahman b. Rav,25
  Rabbi Perida,25
  Rabbi Yeshevav,25
  Rabbi Hiyya b. Ashi,24
  Rav Pappa b. Shmuel,24
  Rav Shemen b. Abba,24
  Rav Mordekhai,23
  Rav Shimi,23
  Rav Avira,22
  Rabbi Zakkai,22
  Rabbi Binyamin b. Yefet,22
  Rav Hana,22
  Rabbi Nehorai,22
  Rabbi Elazar b. Perata,22
  Rabbi Dostai,21
  Rabbi Bena'a,21
  Rabbi Ela,21
  Rav Sheizevi,21
  Rabbi Zekharya,21
  Rabbi Ahai,20
  Rav Hana b. Bizna,20
  Rav Sheizvi,20
  Rav Aha b. Huna,20
  Rabbi Eliezer b. Yaakov,20
  Rabbi Dosa b. Harkinas,20
  Rabbi Elazar b. Rabbi,20
  Rabbi Elazar b. Tzadok,19
  Rabbi Yosei b. Rabbi,19
  Rabbi Yosei b. Shaul,19
  Rabbi Yehuda b. Teima,19
  Rabbi Matya b. Harash,19
  Rav Yitzhak b. Avudimi,19
  Rabbi Menahem,18
  Rabbi Alexandri,18
  Rav Natan,18
  Rabbi Yosei b. Keifar,18
  Rabbi Pinehas b. Ya'ir,18
  Rabbi Yosef,18
  Rabbi Yehuda b. Agra,18
  Rabbi Afes,17
  Rav Aha b. Adda,17
  Rabbi Yirmeya b. Elazar,17
  Rav Beruna,17
  Rav Ahadvoi b. Ami,17
  Rabbi Shimon b. Nannas,17
  Rav Tahlifa,17
  Rav Ukva b. Hama,17
  Rabbi Hananya b. Gamliel,17
  Rabbi Shimon b. Yohai,16
  Rav Haviva,16
  Rav Menashe,16
  Rav Hananya,16
  Rav Ilish,16
  Rabbi Shimon b. Elyakim,16
  Rabbi Yosei b. Zimra,15
  Rabbi Yohanan b. Zakkai,15
  Rabbi Yitzhak b. Nahmani,15
  Rav Hiyya b. Yosef,15
  Rav Huna b. Avin,15
  Rabbi Ahiyya,15
  Rabbi Yohanan b. Gudgeda,15
  Rabbi Yosei b. Kisma,15
  Rabbi Hanan,14
  Rabbi Hanin,14
  Rabbi Hananya,14
  Rav Nehemya,14
  Rabbi Hiyya b. Rav,14
  Rabbi Tavla,14
  Rav Hanan b. Ami,14
  Rav Mari b. Rahel,14
  Rav Menashya,14
  Rav Shmuel b. Abba,14
  Rav Aha b. Yaakov,14
  Rav Malkiyyu,14
  Rav Sehora,13
  Rabbi Hiyya b. Ami,13
  Rav Hinnana,13
  Rav Ya'akov,13
  Rav Ahai,13
  Rabbi Shimon b. Rabbi,13
  Rabbi Shimon b. Abba,13
  Rabbi Hama b. Hanina,13
  Rabbi Shimon b. Halafta,13
  Rabbi Hanina b. Pappi,13
  Rav Shemaya,13
  Rav Yeiva,13
  Rav Menashya b. Gadda,13
  Rav Adda b. Abba,13
  Rabbi Meyasha,12
  Rav Zeira,12
  Rabbi Yitzhak b. Yosef,12
  Rav Zutra b. Toviya,12
  Rabbi Yitzhak b. Avdimi,12
  Rabbi Hiyya b. Gamda,12
  Rav Mesharshiya,12
  Rav Shmuel,12
  Rav Natan b. Oshaya,12
  Rabbi Hidka,12
  Rabbi Hananya b. Teradyon,12
  Rabbi Yishmael b. Elisha,11
  Rav Zutra,11
  Rabbi Yonatan b. Yosef,11
  Rabbi Ya'akov b. Aha,11
  Rabbi Yehuda b. Elai,11
  Rav Hillel,11
  Rav Yehiel,11
  Rav Tovi,11
  Rav Geviha,11
  Rabbi Menahem b. Yosei,11
  Rabbi Yohanan b. Matya,11
  Rabbi Tanhum b. Hanilai,10
  Rav Ahadvoi,10
  Rabbi Yitzhak b. Elazar,10
  Rabbi Yehuda b. Lakish,10
  Rav Hiyya b. Abba,10
  Rav Hilkiya b. Tovi,10
  Rabbi Elazar b. Arakh,10




Rav Hanin,10
Rav Hanilai b. Idi,10
Rav Hinnana b. Pappa,10
Rabbi Evyatar,10
Rabbi Hagga,10
Rabbi Dostai b. Yehuda,10
Rav Zutra b. Toviyya,10
Rav Malkiyya,10
Rav Aha b. Hanina,9
Rav Dimi b. Yosef,9
Rav Tahalifa,9
Rav Yohanan,9
Rabbi Shimon b. Gamliel,9
Rabbi Anani b. Sason,9
Rabbi Hanina b. Akavya,9
Rabbi Elazar b. Pedat,9
Rabbi Hanina b. Kahana,9
Rabbi Yirmeya b. Tahlifa,9
Rav Huna b. Manoah,9
Rav Shmuel b. Bisna,9
Rav Nahman b. Ya'akov,9
Rav Aha b. Minyumi,9
Rabbi Hillel,9
Rabbi Hilkiya,9
Rabbi Avin b. Hiyya,9
Rabbi Avin b. Kahana,9
Rabbi Shimon b. Yosei,9
Rabbi Levi b. Hama,8
Rav Yitzhak b. Ashyan,8
Rabbi Tavi,8
Rabbi El'ai,8
