sefaria_key,bonayich,bonayich_name,comments,Slug
Rabbi Hanina b. Gamliel,1242,חנינא בר גמליאל,,rabbi-hanina-b-gamliel
Rabbi Hanina b. Dosa,1243,חנינא בן דוסא,,rabbi-chanina-b-dosa
Rabbi Eliezar of Bertota,422,אלעזר איש ברתותא,,rabbi-eliezar-of-bertota
Rabbi Hanina b. Hama,1212,חנינא [ב],,rabbi-chanina-b-chama
Rabbi Hanina of Tzipori,1214,חנינא [ד],,rabbi-hanina-of-tzipori
Rabbi Hanina Segan haKohanim,1293,חנינא סגן הכהנים,,rabbi-hanina-segan-hakohanim
Rabbi Hanina b. Pappa,1275,חנינא בר פפא,,rabbi-hanina-b-pappa
Rav Hanan b. Rabbah,1327,חנן בר רבא,,rav-hanan-b-rabbah
Rabbi Hananyah b. Hakhinai,1247,חנינא בר חכינאי,,rabbi-hananyah-b-hakhinai
Hananyah,1230,חנניה בן אחי רבי יהושע,,hananyah
Rabbi Hananyah b. Teradyon,1282,חנינא בן תרדיון,,rabbi-hananyah-b-teradyon
Rav Hisda,1345,חסדא,,rav-chisda
Rabbi Tarfon,1383,טרפון,,rabbi-tarfon
Rabbi Yehudah b. Bava,1418,יהודה בן בבא,,rabbi-yehudah-b-bava
Rabbi Yehudah b. Betera (II),1424,יהודה בר בתירא [ב],,rabbi-yehudah-b-betera-(ii)
Rabbi Yehudah b. Betera (I),1423,יהודה בר בתירא [א],,rabbi-yehudah-b-betera-(i)
Yehudah b. Hiyya,1441,יהודה בר חייא,,yehudah-b-hiyya
Yehudah b. Tabbai,1447,יהודה בן טבאי,,yehudah-b-tabbai
Rav Yehudah b. Yehezkel,1394,יהודה (בר יחזקאל),,rav-yehudah-b-yechezkel
Rabbi Yehudah b. Pazi,1473,יהודה בן פזי,,rabbi-yehudah-b-pazi
Rabbi Yehudah b. R' II'ai,1395,יהודה (ברבי אילעאי),,rabbi-yehudah-b-ilai
Rabbi Yehudah haNasi,1508,יהודה הנשיא,,rabi
Rabbi Yehudah Nesi'a (II),1519,יהודה נשיאה [ב],,rabbi-yehudah-nesia-(ii)
Rabbi Yehudah Nesi'a (I),1518,יהודה נשיאה [א],,rabbi-yehudah-nesia-(i)
Rabbi Yehoshua b. Hananyah,1527,יהושע (בן חנניה),,rabbi-yehoshua-b-hananyah
Rabbi Yehoshua b. Levi,1544,יהושע בן לוי,,rabbi-yehoshua-b-levi
Yehoshua b. Perachya,1552,יהושע בן פרחיה,,yehoshua-b-perachya
Rabbi Yehoshua b. Korha,1556,יהושע בן קרחה,,rabbi-yehoshua-b-korha
Rabbi Yehoshua b. Idi,1532,יהושע בריה דרב אידי,,rabbi-yehoshua-b-idi
Rabbi Yohanan b. Berokah,1577,יוחנן בן ברוקא,,rabbi-yohanan-b-berokah
Rabbi Yohanan b. Zakkai,1583,יוחנן בן זכאי,,rabban-yochanan-b-zakkai
Rabbi Yohanan b. Nuri,1593,יוחנן בן נורי,,rabbi-yohanan-b-nuri
Rabbi Yohanan b. Nappaha,1570,יוחנן [ב],,rabbi-yochanan-b-napacha
Rabbi Yohanan haSandlar,1608,יוחנן הסנדלר,,rabbi-yohanan-hasandlar
Rabbi Yonah,1615,יונה,,rabbi-yonah
Rabbi Yonatan,1623,יונתן [א],,rabbi-yonatan
Rabbi Yonatan b. Uziel,1637,יונתן בן עוזיאל,,rabbi-yonatan-b-uziel
Rabbi Yose b. Halafta,1657,יוסי (בן חלפתא),,rabbi-yose-b-chalafta
Rabbi Yose b. Yehudah,1695,יוסי ברבי יהודה,,rabbi-yose-b-yehudah
Yose b. Yochanan,1699,יוסי בן יוחנן איש ירושלים,,yose-b-yochanan
Rabbi Yose b. Zevida,1684,יוסי (בר זבידא),,rabbi-yose-b-zevida
Rabbi Yose haGelili,1742,יוסי הגלילי,,rabbi-yose-hagelili
Rabbi Yose haKohen,1745,יוסי הכהן [א],,rabbi-yose-hakohen
Rav Yosef b. Hiyya,1764,יוסף [א] (בר חייא),,rav-yosef-b-chiyya
Rav Yeimar,1804,יימר,,rav-yeimar
Rabbi Yannai,1814,ינאי [ב] (רבה),,rabbi-yannai
Rabbi Ya'akov b. Idi,1854,יעקב בר אידי,,rabbi-yaakov-b-idi
Rabbi Yitzhak b. Elazar,1900,יצחק בר אלעזר [ב],,rabbi-yitzhak-b-elazar
Rabbi Yitzhak b. Nahman,1922,יצחק בר נחמן,,rabbi-yitzhak-b-nahman
Rabbi Yitzhak Nappaha,1885,יצחק [ב] (נפחא/ בן טבלאי),,rabbi-yitzhak-nappaha
Rav Yirmeyah b. Abba,1954,ירמיה בר אבא [א],,rav-yirmeyah-b-abba
Rabbi Yirmeyah,1952,ירמיה [ב],,rabbi-yirmeyah
