"_id",generated_by,source_text_oid,availableLangs.0.0,availableLangs.0.1,availableLangs.1.0,availableLangs.1.1,refs.0,refs.1,type,auto
5d075db3ecfd7d299fe2def4,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:2,Commentary of the Rosh on Nedarim 13a:2,commentary,true
5d075db3ecfd7d299fe2def6,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:3,Commentary of the Rosh on Nedarim 13a:3,commentary,true
5d075db3ecfd7d299fe2def8,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:5,Commentary of the Rosh on Nedarim 13a:4,commentary,true
5d075db3ecfd7d299fe2defa,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:10,Commentary of the Rosh on Nedarim 13a:5,commentary,true
5d075db3ecfd7d299fe2defc,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:12,Commentary of the Rosh on Nedarim 13a:6,commentary,true
5d075db3ecfd7d299fe2defe,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:13,Commentary of the Rosh on Nedarim 13a:7,commentary,true
5d075db3ecfd7d299fe2df00,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:13,Commentary of the Rosh on Nedarim 13a:8,commentary,true
5d075db3ecfd7d299fe2df02,Rosh_on_Nedarim,,he,en,he,,Nedarim 13a:14,Commentary of the Rosh on Nedarim 13a:9,commentary,true
5d075db3ecfd7d299fe2df08,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:5,Commentary of the Rosh on Nedarim 13b:3,commentary,true
5d075db3ecfd7d299fe2df0a,Rosh_on_Nedarim,,he,,he,,Nedarim 13b:6-7,Commentary of the Rosh on Nedarim 13b:4,commentary,true
5d075db3ecfd7d299fe2df0c,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:7,Commentary of the Rosh on Nedarim 13b:5,commentary,true
5d075db3ecfd7d299fe2df0e,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:7,Commentary of the Rosh on Nedarim 13b:6,commentary,true
5d075db3ecfd7d299fe2df10,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:8,Commentary of the Rosh on Nedarim 13b:7,commentary,true
5d075db3ecfd7d299fe2df12,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:9,Commentary of the Rosh on Nedarim 13b:8,commentary,true
5d075db3ecfd7d299fe2df14,Rosh_on_Nedarim,,he,en,he,,Nedarim 13b:10,Commentary of the Rosh on Nedarim 13b:9,commentary,true
5d075db3ecfd7d299fe2df16,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:3,Commentary of the Rosh on Nedarim 14a:1,commentary,true
5d075db3ecfd7d299fe2df18,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:5,Commentary of the Rosh on Nedarim 14a:2,commentary,true
5d075db3ecfd7d299fe2df1a,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:5,Commentary of the Rosh on Nedarim 14a:3,commentary,true
5d075db3ecfd7d299fe2df1c,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:6,Commentary of the Rosh on Nedarim 14a:4,commentary,true
5d075db3ecfd7d299fe2df1e,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:6,Commentary of the Rosh on Nedarim 14a:5,commentary,true
5d075db4ecfd7d299fe2df20,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:8,Commentary of the Rosh on Nedarim 14a:6,commentary,true
5d075db4ecfd7d299fe2df22,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:8,Commentary of the Rosh on Nedarim 14a:7,commentary,true
5d075db4ecfd7d299fe2df24,Rosh_on_Nedarim,,he,en,he,,Nedarim 14a:9,Commentary of the Rosh on Nedarim 14a:8,commentary,true
5d075db4ecfd7d299fe2df26,Rosh_on_Nedarim,,he,en,he,,Nedarim 14b:1,Commentary of the Rosh on Nedarim 14b:1,commentary,true
5d075db4ecfd7d299fe2df28,Rosh_on_Nedarim,,he,en,he,,Nedarim 14b:3,Commentary of the Rosh on Nedarim 14b:2,commentary,true
5d075db4ecfd7d299fe2df2a,Rosh_on_Nedarim,,he,en,he,,Nedarim 14b:6,Commentary of the Rosh on Nedarim 14b:4,commentary,true
5d075db4ecfd7d299fe2df2c,Rosh_on_Nedarim,,he,en,he,,Nedarim 14b:6,Commentary of the Rosh on Nedarim 14b:5,commentary,true
5d075db4ecfd7d299fe2df2e,Rosh_on_Nedarim,,he,en,he,,Nedarim 14b:7,Commentary of the Rosh on Nedarim 14b:7,commentary,true
5d075db4ecfd7d299fe2df30,Rosh_on_Nedarim,,he,en,he,,Nedarim 15a:3,Commentary of the Rosh on Nedarim 15a:1,commentary,true
5d075db4ecfd7d299fe2df32,Rosh_on_Nedarim,,he,en,he,,Nedarim 15a:3,Commentary of the Rosh on Nedarim 15a:2,commentary,true
5d075db4ecfd7d299fe2df34,Rosh_on_Nedarim,,he,en,he,,Nedarim 15a:6,Commentary of the Rosh on Nedarim 15a:3,commentary,true
5d075db4ecfd7d299fe2df36,Rosh_on_Nedarim,,he,en,he,,Nedarim 15a:9,Commentary of the Rosh on Nedarim 15a:5,commentary,true
5d075db4ecfd7d299fe2df38,Rosh_on_Nedarim,,he,en,he,,Nedarim 15a:9,Commentary of the Rosh on Nedarim 15a:7,commentary,true
5d075db4ecfd7d299fe2df3a,Rosh_on_Nedarim,,he,en,he,,Nedarim 15b:7-8,Commentary of the Rosh on Nedarim 15b:1,commentary,true
5d075db4ecfd7d299fe2df3c,Rosh_on_Nedarim,,he,en,he,,Nedarim 15b:11,Commentary of the Rosh on Nedarim 15b:3,commentary,true
5d075db4ecfd7d299fe2df3e,Rosh_on_Nedarim,,he,en,he,,Nedarim 15b:13,Commentary of the Rosh on Nedarim 15b:5,commentary,true
5d075db4ecfd7d299fe2df40,Rosh_on_Nedarim,,he,en,he,,Nedarim 15b:13,Commentary of the Rosh on Nedarim 15b:7,commentary,true
5d075db4ecfd7d299fe2df42,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:4,Commentary of the Rosh on Nedarim 16a:1,commentary,true
5d075db4ecfd7d299fe2df44,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:4,Commentary of the Rosh on Nedarim 16a:2,commentary,true
5d075db4ecfd7d299fe2df46,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:6,Commentary of the Rosh on Nedarim 16a:5,commentary,true
5d075db4ecfd7d299fe2df48,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:6,Commentary of the Rosh on Nedarim 16a:6,commentary,true
5d075db4ecfd7d299fe2df4a,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:7,Commentary of the Rosh on Nedarim 16a:7,commentary,true
5d075db4ecfd7d299fe2df4c,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:9,Commentary of the Rosh on Nedarim 16a:8,commentary,true
5d075db4ecfd7d299fe2df4e,Rosh_on_Nedarim,,he,en,he,,Nedarim 16a:10,Commentary of the Rosh on Nedarim 16a:9,commentary,true
5d075db4ecfd7d299fe2df50,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:1,Commentary of the Rosh on Nedarim 16b:1,commentary,true
5d075db4ecfd7d299fe2df52,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:2,Commentary of the Rosh on Nedarim 16b:2,commentary,true
5d075db4ecfd7d299fe2df54,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:3,Commentary of the Rosh on Nedarim 16b:3,commentary,true
5d075db4ecfd7d299fe2df56,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:4,Commentary of the Rosh on Nedarim 16b:4,commentary,true
5d075db4ecfd7d299fe2df58,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:4,Commentary of the Rosh on Nedarim 16b:5,commentary,true
5d075db4ecfd7d299fe2df5a,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:5,Commentary of the Rosh on Nedarim 16b:6,commentary,true
5d075db4ecfd7d299fe2df5c,Rosh_on_Nedarim,,he,en,he,,Nedarim 16b:6,Commentary of the Rosh on Nedarim 16b:7,commentary,true
5d075db4ecfd7d299fe2df5e,Rosh_on_Nedarim,,he,en,he,,Nedarim 17a:1,Commentary of the Rosh on Nedarim 17a:1,commentary,true
5d075db4ecfd7d299fe2df60,Rosh_on_Nedarim,,he,en,he,,Nedarim 17a:3,Commentary of the Rosh on Nedarim 17a:2,commentary,true
5d075db5ecfd7d299fe2df62,Rosh_on_Nedarim,,he,en,he,,Nedarim 17a:3,Commentary of the Rosh on Nedarim 17a:3,commentary,true
5d075db5ecfd7d299fe2df64,Rosh_on_Nedarim,,he,en,he,,Nedarim 17a:4,Commentary of the Rosh on Nedarim 17a:4,commentary,true
5d075db5ecfd7d299fe2df66,Rosh_on_Nedarim,,he,en,he,,Nedarim 17a:5,Commentary of the Rosh on Nedarim 17a:5,commentary,true
5d075db5ecfd7d299fe2df68,Rosh_on_Nedarim,,he,en,he,,Nedarim 17b:4,Commentary of the Rosh on Nedarim 17b:1,commentary,true
5d075db5ecfd7d299fe2df6a,Rosh_on_Nedarim,,he,en,he,,Nedarim 17b:5,Commentary of the Rosh on Nedarim 17b:2,commentary,true
5d075db5ecfd7d299fe2df6c,Rosh_on_Nedarim,,he,en,he,,Nedarim 17b:7,Commentary of the Rosh on Nedarim 17b:3,commentary,true
5d075db5ecfd7d299fe2df6e,Rosh_on_Nedarim,,he,en,he,,Nedarim 17b:8,Commentary of the Rosh on Nedarim 17b:4,commentary,true
5d075db5ecfd7d299fe2df70,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:2,Commentary of the Rosh on Nedarim 18a:1,commentary,true
