Tractate, % Matched to Daf, % Matched to Rashi, % Matched to Tosafot, Total Segments in Tractate
Rashash on Arakhin,66,19,24,341
Rashash on Avodah Zarah,76,23,36,585
Rashash on Bava Batra,51,3,28,1525
Rashash on Bava Kamma,69,14,25,474
Rashash on Bava Metzia,78,24,23,862
Rashash on Beitzah,64,19,16,260
Rashash on Bekhorot,72,24,31,664
Rashash on Berakhot,80,23,16,369
Rashash on Chagigah,81,17,36,205
Rashash on Chullin,78,30,29,1153
Rashash on Eruvin,79,28,18,514
Rashash on Gittin,75,24,32,908
Rashash on Horayot,59,14,4,132
Rashash on Keritot,70,29,9,312
Rashash on Ketubot,76,19,35,914
Rashash on Kiddushin,75,20,30,884
Rashash on Makkot,81,20,28,147
Rashash on Megillah,74,22,14,374
Rashash on Meilah,67,21,34,221
Rashash on Menachot,80,32,19,460
Rashash on Moed Katan,73,19,34,312
Rashash on Nazir,70,16,36,362
Rashash on Nedarim,3,0,0,585
Rashash on Niddah,74,26,27,791
Rashash on Pesachim,71,22,21,818
Rashash on Rosh Hashanah,79,17,22,309
Rashash on Sanhedrin,77,36,12,950
Rashash on Shabbat,78,26,21,835
Rashash on Shevuot,80,19,37,393
Rashash on Sotah,77,23,29,426
Rashash on Sukkah,67,18,14,475
Rashash on Taanit,73,29,12,265
Rashash on Temurah,73,30,18,288
Rashash on Yevamot,79,20,32,715
Rashash on Yoma,75,24,16,766
Rashash on Zevachim,77,27,18,513
