Author's Introduction,הקדמה
הלכות שחיטה,Laws of Slaughtering
הלכות טריפות,Laws of Unfit Animals
הלכות מתנות כהונה,Laws of Priestly Gifts
הלכות אבר מן החי,Laws of a Limb from a Live Animal
הלכות בשר שנתעלם מן העין,Laws of Meat that was Unobserved
הלכות חלב ודם,Laws of Fat and Blood
הלכות דם,Laws of Blood
הלכות מליחה,Laws of Salting
הלכות סימני בהמה וחיה טהורה,Laws of Domesticated and Undomesticated Animals
הלכות דברים היוצאים מן החי,Laws of Things that Come from a Live Animal
הלכות סימני עוף טהור,Laws of Birds
הלכות דגים,Laws of Fish
הלכות תולעים,Laws of Insects
הלכות ביצים,Laws of Eggs
הלכות בשר בחלב,Laws of Meat and Milk
הלכות תערובות,Laws of Mixtures
"הלכות מאכלי עכו""ם",Laws of Non Jewish Food
הלכות הכשר כלים,Laws of Kashering Vessels
הלכות נותן טעם לפגם,Laws of Taste Transfer
הלכות יין נסך,Laws of Libational Wine
הלכות כלי היין,Laws of Wine Vessels
הלכות עבודת אלילים,Laws of Idol Worship
הלכות ריבית,Laws of Interest
"הלכות חוקות העכו""ם",Laws of Idolatrous Practices
הלכות מעונן ומנחש,Laws of Sourcerers and Enchanters
הלכות קרחה וכתובת קעקע,Laws of Shaving and Tatooing
הלכות גילוח,Laws of Shaving
הלכות לא ילבש גבר,Laws of Forbidden Dresss
הלכות נדה,Laws of a Menstruant
הלכות מקוואות,Laws of Ritual Baths
הלכות נדרים,Laws of Vows
הלכות שבועות,Laws of Oaths
הלכות כיבוד אב ואם,Laws of Honouring One's Father and Mother
הלכות כבוד רבו ותלמיד חכם,Laws of Honouring One's Rabbi and a Torah Scholar
הלכות מלמדים,Laws of Teachers
הלכות תלמוד תורה,Laws of Torah Study
הלכות צדקה,Laws of Charity
הלכות מילה,Laws of Circumcision
הלכות עבדים,Laws of Slaves
הלכות גרים,Laws of Converts
הלכות ספר תורה,Laws of a Torah Scroll
הלכות מזוזה,Laws of a Mezuzah
הלכות שילוח הקן,Laws of Sending Away the Mother Bird
הלכות חדש,Laws of New Grain
הלכות ערלה,Laws of Three Year Old Trees
הלכות כלאי הכרם ואילן,Laws of Mixed Crops
הלכות כלאי בהמה,Laws of Mixed Breeding
הלכות כלאי בגדים,Laws of Fobidden Fabric Blends
הלכות פדיון בכור,Laws of Redeeming the Firstborn
הלכות בכור בהמה טהורה,Laws of Firstborn Kosher Animals
הלכות פדיון פטר חמור,Laws of Firstborn Donkey
הלכות חלה,Laws of Separating From Dough
הלכות תרומות ומעשרות,Laws of Tithes
הלכות ראשית הגז,Laws of First Shearings
