old_ref,beeri_ref,other_ref,type,generated_by
Mekhilta DeRabbi Yishmael Old 12:17:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16","Mekhilta DeRabbi Yishmael, Tractate Pischa 7:20-23",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:13:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:24-26",Song of Songs 2:8,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:13:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:24-26",Rashi on Exodus 12:13:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:13:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:24-26",Shemot Rabbah 15:4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:14:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:27",Numbers 33:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:14:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:27",Rashi on Exodus 12:14:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:14:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:27",Pesikta Rabbati 15:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:7-13","Mekhilta DeRabbi Yishmael, Tractate Pischa 7:28-30",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3","Mekhilta DeRabbi Yishmael, Tractate Pischa 7:28-30",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:17:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16","Mekhilta DeRabbi Yishmael, Tractate Pischa 7:28-30",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:14:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 7:31",Rashi on Exodus 12:14:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:15:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2",Sifrei Bamidbar 146:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:20:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:11-15","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2","Sifra, Kedoshim, Chapter 6 1",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:1-2",Sifrei Bamidbar 110:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",Sifrei Bamidbar 114:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 31:15:1,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:21-23","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:17:3-18:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16-10:1","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6","Otzar Midrashim, Maaseh Beraishit & Maaseh Merkavah, Seder Rabbah d'Beraishit d'Merkavah 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 15:3:1,"Mekhilta DeRabbi Yishmael, Tractate Shirah 4:1-17","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:2:6,"Mekhilta DeRabbi Yishmael, Tractate Pischa 2:13-15","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6","Sifra, Emor, Chapter 11 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 35:1:2,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 2:3-5","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:6:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 5:1-14","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6","Sifra, Emor, Chapter 12 5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:4-6",Sifrei Bamidbar 107:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",Rashi on Exodus 12:15:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 23:18:1,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 4:18","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",Menachot 66a:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",Pesachim 5a:16,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:7-9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Rashi on Exodus 12:15:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Rashi on Exodus 12:15:5,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sifrei Bamidbar 70:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 31:14:3,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:19-20","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sifrei Bamidbar 146:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Pesachim 27b:8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sifrei Bamidbar 6:1,mesorat hashas,mesorat_hashas.py All
