old_ref,beeri_ref,other_ref,type,generated_by
Mekhilta DeRabbi Yishmael Old 22:29:2,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 1:27-31","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:5",Sifrei Bamidbar 146:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:5",Sifrei Bamidbar 110:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:5",Sanhedrin 63a:20-21,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 31:15:1,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:21-23",ERROR: Mekhilta DeRabbi Yishmael Old 13:6:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 20:21:2,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 11:5-8",ERROR: Mekhilta DeRabbi Yishmael Old 13:6:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:7-13",Menachot 92b:18,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:7:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:17-18",Ramban on Exodus 12:19:1,,add_ramban_links
Mekhilta DeRabbi Yishmael Old 13:8:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:19","Pesach Haggadah, Magid, Yechol Me'rosh Chodesh 1",,
Mekhilta DeRabbi Yishmael Old 13:8:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:19",Rashi on Exodus 13:8:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 13:8,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:19-20","Redeeming Relevance; Exodus, CHAPTER 7 The Zikaron of Pesach; Productive Selectivity 32",,add_links_from_text
Mekhilta DeRabbi Yishmael Old 13:8,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:19-20",Sefer HaChinukh 21:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 13:9:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:23-25","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:21-22",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:29-30","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:21-22",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:29-30","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:23-25",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:26-27",Tosefta Chullin 9:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:26-27",Sifrei Bamidbar 15:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:23:10,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 8:16","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:26-27",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:16:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 5:17-19","Mekhilta DeRabbi Yishmael, Tractate Pischa 17:26-27",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:28",Shabbat 61a:10,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:28",Tractate Tefillin 1:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:28",Menachot 36a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:29-30",Tractate Tefillin 1:10,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:29-30",Menachot 37b:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:29-30","Sifra, Emor, Chapter 18 5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:6,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:31-32",Tractate Tefillin 1:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:6,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:31-32",Pesikta Rabbati 22:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:9:7,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:33",Shut min haShamayim 48:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:3,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:6",Rashi on Exodus 14:10:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Psalms 55:18,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Psalms 145:18,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Numbers 21:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Numbers 20:18,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Rashi on Exodus 14:10:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Shemot Rabbah 52:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Taanit 7b:13,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 15:3:1,"Mekhilta DeRabbi Yishmael, Tractate Shirah 4:1-17","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Sanhedrin 95b:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Pesikta DeRav Kahanna 23:10,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Mishnah Peah 8:9,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Sotah 14a:10,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:10:4,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:7-16",Sotah 42b:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:11,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:17",Rashi on Exodus 14:12:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:13:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",Song of Songs 2:14,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:13:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",Psalms 18:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 15:20:1,"Mekhilta DeRabbi Yishmael, Tractate Shirah 10:12-15","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 20:17:1,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 9:13","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:13:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",Shir HaShirim Rabbah 1:9:4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:13:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24","Otzar Midrashim, Baraita of Yeshua (""Salvation"") 1:23",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:24:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 6:11-13","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:13:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:18-24",Shir HaShirim Rabbah 7:1:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:13:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:25-27",Sefer HaChinukh 500:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:13:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:25-27","Otzar Midrashim, Pirkei Rabbeinu HaKadosh 1:38",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:14:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:28-31",Psalms 149:6,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:14:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:28-31","Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 1) 13",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:14:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:28-31","Otzar Midrashim, Perek Shirah ('Chapter of Song') 1:51",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:14:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:28-31","Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 1) 26",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:8:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 2:34","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 3:28-31",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6",Numbers 12:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6",Rashi on Exodus 14:15:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 16:28:1,"Mekhilta DeRabbi Yishmael, Tractate Vayassa 6:1","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6","Otzar Midrashim, Midrash Konen ('He Established') 3:2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 16:4:1,"Mekhilta DeRabbi Yishmael, Tractate Vayassa 3:1-3","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:1-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Psalms 114:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Psalms 105:42,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Psalms 136:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Numbers 12:7,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Proverbs 17:17,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Psalms 122:8,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Zechariah 10:11,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Psalms 106:22,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Rashi on Exodus 14:15:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, The Garden of Eden; Gehinnom, The Judgment of the Grave 6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 15:22:1,"Mekhilta DeRabbi Yishmael, Tractate Vayassa 1:1-5","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Pesachim 68b:13,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Sotah 37a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Shemot Rabbah 41:7,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 1) 43",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim on Moses Our Master, Drash on Petirat Moshe 5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Chuppah of Eliyahu, Seven Chupot or Eliyahu's Chuppah 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Sanhedrin 99b:18,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Nedarim 32a:7,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrash Yelamdeinu, Last Composition from Midrash Yelamdenu 8",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Shemot Rabbah 21:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrash  Vayosha ('And He Saved') 1:3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:22:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 6:1-4","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Tanna debei Eliyahu Zuta, Additions to Seder Eliyahu Zuta, Pirkei DeRabbi Eliezer 5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 1) 38",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim on Megilat Esther, Drash on Purim 8",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Shabbat 137b:8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Shemot Rabbah 21:8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 265",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrash Harninu 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Tanna Debei Eliyahu Rabbah 23:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Mishnah Nedarim 3:11,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim on Moses Our Master, Drash on Petirat Moshe 7",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Sanhedrin 110b:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Vayikra Rabbah 35:4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Tanna Debei Eliyahu Rabbah 7:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Tanna debei Eliyahu Zuta, Additions to Seder Eliyahu Zuta, Pirkei DeRabbi Eliezer 2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Pesikta Rabbati 21:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26","Otzar Midrashim, Midrashim on Megilat Esther, Midrash on the Book of Esther 5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Tanna Debei Eliyahu Rabbah 18:9,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:15:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 4:7-26",Pesachim 119a:4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1",Psalms 74:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1",Psalms 78:16,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1","Otzar Midrashim, Midrash Shelosha v'Arba'ah 4:3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1","Otzar Midrashim, Midrash  Vayosha ('And He Saved') 7:2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1","Otzar Midrashim, Midrash  Vayosha ('And He Saved') 8:1",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1","Otzar Midrashim, Midrash on Hallel 'Sefer HaMa'asim' 2:5",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1",Shemot Rabbah 24:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 15:8:3,"Mekhilta DeRabbi Yishmael, Tractate Shirah 6:18","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:16:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:1",Psalms 136:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",Psalms 105:39,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",Psalms 78:11,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",Song of Songs 4:15,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",Proverbs 5:15,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2",Rashi on Exodus 14:19:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:19,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2",Rashi on Exodus 14:20:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 15:8:3,"Mekhilta DeRabbi Yishmael, Tractate Shirah 6:18","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 19:4:3,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 2:7-8","Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:2-4",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5",Pesikta Rabbati 8:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5",Sanhedrin 99a:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5","Tanna debei Eliyahu Zuta, Additions to Seder Eliyahu Zuta, Pirkei DeRabbi Eliezer 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5",Tanna Debei Eliyahu Rabbah 18:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5","Otzar Midrashim, Midrashim of Rabbi Eliezer, The Chapter of Rabbi Eliezer ben Hurkanus 10",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5","Otzar Midrashim, Perek Shirah ('Chapter of Song') 1:7-8",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5",Pesikta Rabbati 36:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:5",Pesikta DeRav Kahanna 7:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:20:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:6",Rashi on Exodus 14:20:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:20:2,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:6","Otzar Midrashim, Midrashim on Moses Our Master, Divrei HaYamim of Moses Our Master 10",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 14:21:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:7",Psalms 114:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 14:21:1,"Mekhilta DeRabbi Yishmael, Tractate Vayehi Beshalach 5:7","Otzar Midrashim, Midrash on Hallel 'Sefer HaMa'asim' 2:6-7",mesorat hashas,mesorat_hashas.py All
