book type,tractate,chapter,halakha,image start,image end,manuscript,im run,file name,library,description,extended description,manuscript id,library id
תוספתא,ברכות,ג,ט,ברכות ג:א,ברכות ג:ט ,Or. fol. 1220,7,..\MnuImages\N1484\w\0006.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,ט,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,י,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יא,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יב,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יג,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יד,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,טו,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,טז,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יז,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
