Score,Ref,Version,Lang,Content,Field
40.128136,Ikar Tosafot Yom Tov on Pirkei Avot 5:19:3,On Your Way,he,יורשין <b>גיהנם</b>. בעוה''ז. כדאמר [יומא דף ע''ב]. לא תירתו תרתי <b>גיהנם</b>. מר''ש:,ngram
38.95629,Rashi on Nedarim 39b:3:1,Vilna Edition,he,ואם לאו - שאין <b>גיהנם</b> נברא עדיין:,ngram
51.34815,Rashi on Sotah 22a:9:3,Vilna Edition,he,בראת רשעים - לירש <b>גיהנם</b>:,ngram
39.81318,Nahalat Yaakov on Tractate Gerim 2:6:3,"Talmud Bavli, Vilna 1883 ed.",he,מיראה. מיראת <b>גיהנם</b> והפורעניות האמורה עליהם: ,ngram
28.276726,Metzudat Zion on Proverbs 27:20:2,On Your Way,he,"ואבדו. <b>הגיהנם</b>:
",aggresive-ngram
45.44901,Kitzur Baal Haturim on Genesis 39:10:1,On Your Way,he,"להיות עמה בגימטריא לתוך <b>גיהנם</b>:

",ngram
28.365791,Metzudat Zion on Proverbs 23:14:1,On Your Way,he,"משאול. <b>מגיהנם</b>:
",aggresive-ngram
34.245735,Yoma 72b:13,Wikisource Talmud Bavli,he,אמר להו רבא לרבנן  במטותא מינייכו לא תירתון תרתי <b>גיהנם</b> ,infreq
41.13793,Kitzur Baal Haturim on Genesis 27:33:2,On Your Way,he, איפוא בגימטריא <b>גהנם</b> שנכנס <b>גיהנם</b> עמו:,ngram
43.382263,Nedarim 39b:8,William Davidson Edition - Aramaic,he,<b>גיהנם</b> דכתיב כי ערוך מאתמול תפתה,ngram
34.245735,Yevamot 102b:10,William Davidson Edition - Aramaic,he,והכתיב יחלץ עני בעניו בשכר עניו יחלצו מדינה של <b>גיהנם</b> ,infreq
29.16783,Kitzur Baal Haturim on Exodus 31:17:3,On Your Way,he, וינפש בגימט' אלו <b>שבגיהנם</b> שאף אור של <b>גיהנם</b> שובת בשבת:,aggresive-ngram
51.585945,Rashi on Job 38:17:1,On Your Way,he,"שערי מות . זה <b>גיהנם</b> :
",ngram
38.95629,Rashi on Sanhedrin 110b:2:1,Wikisource Rashi,he,כל תלתין יומין מהדר להו <b>גיהנם</b> - הכא:,ngram
51.443012,Kitzur Baal Haturim on Deuteronomy 28:43:2,On Your Way,he," מטה מטה בגימ' <b>גיהנם</b>:

",ngram
38.95629,Rashi on Beitzah 32b:3:1,Vilna Edition,he,יורדי <b>גיהנם</b> הן - שאינן מרחמים לעשות צדקה:,ngram
38.95629,Rashi on Chullin 133a:49:2,Wikisource Rashi,he,תאכלהו אש לא נופח - אשו של <b>גיהנם</b>: ,ngram
44.92963,Rashi on Job 26:5:1,On Your Way,he,הרפאים . <b>גיהנם</b> המרפה את הבריות : ,ngram
45.16976,Rashi on Avodah Zarah 17a:28:1,WikiSource Rashi,he,שצועקות <b>מגיהנם</b> - על רוב ייסורי <b>גיהנם</b>:,ngram
28.824015,Rashi on Isaiah 66:24:2,On Your Way,he,ואשם . <b>בגיהנם</b> : ,aggresive-ngram
45.10606,Rashi on Kiddushin 40a:2:4,Vilna Edition,he,נפיל בהא - באור של <b>גיהנם</b>:,ngram
24.39581,Rashi on Isaiah 30:33:2,On Your Way,he,תפתה . <b>גיהנם</b> שכל המתפתה ביצרו נופל שם : ,hebmorph-standard
40.21925,Eruvin 19a:18,William Davidson Edition - Aramaic,he,ותו ליכא והאיכא <b>גיהנם</b> גיא שעמוקה (<b>בגיהנם</b>) שהכל יורד לה על עסקי <b>הנם</b>,ngram
51.549778,Rashi on Proverbs 21:16:2,On Your Way,he,"בקהל רפאים . בעדת <b>גיהנם</b> :
",ngram
64.30376,Metzudat Zion on Isaiah 14:9:1,On Your Way,he,שאול. <b>גיהנם</b>: ,ngram
45.10606,Rashi on Proverbs 5:9:2,On Your Way,he,"ושנותיך לאכזרי . לשר של <b>גיהנם</b> :
",ngram
