Score,Ref,Version,Lang,Content,Field
143.22348,Mishnah Avodah Zarah 4:4,"Mishnah, ed. Romm, Vilna 1913",he,<b>עבודה</b> <b>זרה</b> של נכרי. אסורה מיד. ושל ישראל. אין אסורה עד שתיעבד. נכרי מבטל <b>עבודה</b> <b>זרה</b> שלו. ושל חברו. וישראל אין מבטל <b>עבודה</b> <b>זרה</b> של נכרי. המבטל <b>עבודה</b> <b>זרה</b> ביטל משמשיה. ביטל משמשיה. משמשיה מותרין. והיא אסורה: ,hebmorph-standard
150.97115,Metzudat Zion on I Samuel 5:2:1,On Your Way,he,דגון. שם <b>עבודה</b> <b>זרה</b>: ,hebmorph-standard
125.93774,Temurah 15b:9,Wikisource Talmud Bavli,he,על <b>עבודה</b> <b>זרה</b> שעשו בימי צדקיהו ,hebmorph-standard
26.74279,Rashi on Exodus 18:11:2,On Your Way,he,מכל האלהים. מלמד שהיה מכיר בכל <b>עבודה</b> <b>זרה</b> שבעולם שלא הניח <b>עבודה</b> <b>זרה</b> שלא <b>עבדה</b>: ,aggresive-ngram
42.90381,Mishnah Avodah Zarah 3:7,Torat Emet 357,he,"שלשה בתים הן. בית שבנוי מתחלה <b>לעבודה</b> <b>זרה</b>, הרי זה אסור. סידו וכירו <b>לעבודה</b> <b>זרה</b> וחדש, נוטל מה שחדש. הכניס לתוכה <b>עבודה</b> <b>זרה</b> והוציאה, הרי זה מתר. שלש אבנים הן. אבן שחצבה מתחלה לבימוס, הרי זו אסורה. סידה",infreq
44.7547,Berakhot 52b:32,William Davidson Edition - Aramaic,he,הא מדקתני סיפא אין מברכין לא על הנר ולא על הבשמים של <b>עבודה</b> <b>זרה</b> מכלל דרישא לאו <b>בעבודה</b> <b>זרה</b> עסקינן ,ngram
113.24124,Rashi on II Kings 17:16:2,On Your Way,he,"את הבעל . <b>עבודה</b> <b>זרה</b> ששמה בעל :
",hebmorph-standard
150.97115,Metzudat Zion on Judges 11:24:1,On Your Way,he,כמוש. שם <b>עבודה</b> <b>זרה</b>: ,hebmorph-standard
142.33832,Rashi on Leviticus 20:7:1,On Your Way,he,"והתקדשתם. זו פרישות <b>עבודה</b> <b>זרה</b>:
",hebmorph-standard
150.98833,Ikar Tosafot Yom Tov on Mishnah Sanhedrin 5:1:5,On Your Way,he,ביחיד העובד <b>עבודה</b> <b>זרה</b>:,hebmorph-standard
117.96863,Rashi on Genesis 26:35:2,On Your Way,he,"ליצחק ולרבקה. שהיו עובדות <b>עבודה</b> <b>זרה</b>:

",hebmorph-standard
105.40157,Eruvin 69b:1,William Davidson Edition - Aramaic,he,עד דהוי מומר <b>לעבודה</b> <b>זרה</b>,aggresive-ngram
108.13656,Rashi on Numbers 15:27:1,On Your Way,he,תחטא בשגגה. <b>בעבודה</b> <b>זרה</b>: ,aggresive-ngram
132.11478,Rashi on Ketubot 46a:7:1,Vilna Edition,he,לכדרבי פנחס - במסכת <b>עבודה</b> <b>זרה</b>:,hebmorph-standard
113.61829,Mishnah Berakhot 9:1,Torat Emet 357,he,"הרואה מקום שנעשו בו נסים לישראל, אומר ברוך שעשה נסים לאבותינו במקום הזה. מקום שנעקרה ממנו <b>עבודה</b> <b>זרה</b>, אומר ברוך שעקר <b>עבודה</b> <b>זרה</b> מארצנו: 
",hebmorph-standard
117.303734,Nedarim 18b:2,Wikisource Talmud Bavli,he,אם בשל <b>עבודה</b> <b>זרה</b> נדר מותר ואם סתם אסור,hebmorph-standard
119.375305,Sforno on Deuteronomy 4:28:1,Sforno on Deuteronomy -- Daat,he,"ועבדתם-שם אלהים. 'ישראל שבחוצה לארץ, עובדי <b>עבודה</b> <b>זרה</b> בטהרה הם' (<b>עבודה</b> <b>זרה</b> ח, א). ",hebmorph-standard
112.920555,Metzudat Zion on Judges 8:33:1,On Your Way,he,"בעל ברית. שם <b>עבודה</b> <b>זרה</b> מה:

",hebmorph-standard
108.12171,Rashi on Genesis 35:2:2,On Your Way,he,והטהרו. <b>מעבודה</b> <b>זרה</b>: ,aggresive-ngram
131.03372,Metzudat Zion on I Samuel 31:10:1,On Your Way,he,עשתרות. שם <b>עבודה</b> <b>זרה</b> מה: ,hebmorph-standard
113.12797,Rashi on Genesis 24:31:1,On Your Way,he,"פניתי הבית. <b>מעבודה</b> <b>זרה</b>:
",aggresive-ngram
105.93939,Kiddushin 20b:1,William Davidson Edition - Aramaic,he,זה הנמכר <b>לעבודה</b> <b>זרה</b> עצמה,aggresive-ngram
132.11478,Rashi on II Kings 5:18:1,On Your Way,he,בית רמון . שם <b>עבודה</b> <b>זרה</b> : ,hebmorph-standard
114.626816,Berakhot 54a:1,William Davidson Edition - Aramaic,he,מתני׳ הרואה מקום שנעשו בו נסים לישראל אומר ברוך שעשה נסים לאבותינו במקום הזה מקום שנעקרה ממנו <b>עבודה</b> <b>זרה</b> אומר ברוך שעקר <b>עבודה</b> <b>זרה</b> מארצנו,hebmorph-standard
131.03372,Metzudat Zion on Judges 2:13:1,On Your Way,he,"לבעל ולעשתרות. שמות <b>עבודה</b> <b>זרה</b>:
",hebmorph-standard
121.84702,"Mishneh Torah, Other Sources of Defilement 6:6",Torat Emet 363,he,"המכניס ראשו ורבו לבית <b>עבודה</b> <b>זרה</b> נטמא כנוגע. וכן כלי חרס שהכניס אוירו לבית <b>עבודה</b> <b>זרה</b> נטמא. ספסלים וקתדראות שהכניס רבן לבית <b>עבודה</b> <b>זרה</b> טמאים וכלן ראשון לטמאה: 
",hebmorph-standard
