Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Mishneh Torah, Positive Mitzvot 207",Sefaria Community Translation,en,207.  To love the convert [to Judaism] as it says “and you shall love the convert” ( Devarim 10:19),ngram,27.496956
1,--,Psalms 116:1,The Holy Scriptures: A New Translation (JPS 1917),en,I love that the LORD should hear my voice and my supplications.,ngram,33.830902
2,--,"Mishneh Torah, Positive Mitzvot 3",Sefaria Community Translation,en,"To love him, as it is stated, ""And thou shalt love the LORD thy God"" (Deuteronomy 6:5, Deuteronomy 11:1)",ngram,26.608864
3,--,Sanhedrin 7a:51,Sefaria Community Translation,en,"“When our love was strong, we slept on the width of a sword. Now that our love is not strong, even a bed of sixty cubits could not hold us.",infreq,20.68493
4,--,Psalms 102:15,The Holy Scriptures: A New Translation (JPS 1917),en,"For Thy servants take pleasure in her stones, and love her dust.",ngram,30.305298
5,--,Proverbs 8:36,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,	But he who sins against me despoils his soul; all who hate me love death.,ngram,34.034073
6,--,Proverbs 8:17,The Holy Scriptures: A New Translation (JPS 1917),en,"I love them that love me, And those that seek me earnestly shall find me.",ngram,39.822384
7,--,Leviticus 19:18,The Holy Scriptures: A New Translation (JPS 1917),en,"Thou shalt not take vengeance, nor bear any grudge against the children of thy people, but thou shalt love thy neighbour as thyself: I am the LORD.",ngram,29.98925
8,--,Pirkei Avot 5:16,Open Mishnah,en,"Any love that is dependent on something, when that thing perishes, so too does the love. [A love]r  that is not dependent on something, does not ever perish. What's an example of a love that is",ngram,44.094646
9,--,Proverbs 9:8,The Holy Scriptures: A New Translation (JPS 1917),en,"Reprove not a scorner, lest he hate thee; reprove a wise man, and he will love thee.",ngram,29.171831
10,--,Song of Songs 1:4,The Holy Scriptures: A New Translation (JPS 1917),en,"Draw me, we will run after thee; The king hath brought me into his chambers; We will be glad and rejoice in thee, We will find thy love more fragrant than wine! Sincerely do they love thee.",ngram,25.614502
11,--,Bartenura on Pirkei Avot 6:6:7,Sefaria Community Translation,en,acceptance of afflictions: He accepts afflictions with love.,ngram,27.966654
12,--,Psalms 26:8,The Holy Scriptures: A New Translation (JPS 1917),en,"LORD, I love the habitation of Thy house, and the place where Thy glory dwelleth.",ngram,27.626234
13,--,Deuteronomy 10:8,Sefaria Community Translation,en,"10:19	You must also show love toward the foreigner, since you were foreigners in the land of Egypt.",ngram,30.995636
14,--,Song of Songs 8:7,The Holy Scriptures: A New Translation (JPS 1917),en,"Many waters cannot quench love, Neither can the floods drown it; If a man would give all the substance of his house for love, He would utterly be contemned.",ngram,28.442839
15,--,II Samuel 1:26,The Holy Scriptures: A New Translation (JPS 1917),en,"I am distressed for thee, my brother Jonathan; Very pleasant hast thou been unto me; Wonderful was thy love to me, Passing the love of women.",ngram,25.597286
16,--,Exodus 20:6,The Holy Scriptures: A New Translation (JPS 1917),en,and showing mercy unto the thousandth generation of them that love Me and keep My commandments.,ngram,35.355843
17,--,Berakhot 5b:6,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en," Yes, they may be considered an altar of atonement, but not chastenings of love. ",ngram,25.223843
18,--,Exodus 21:5,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And if the man-servant will say: I love my master, my wife [the bondswoman] and my children; I shall not go out free,",ngram,26.284426
19,--,Berakhot 5b:4,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,R. Johanan said :  Plagues and childlessness are not to be considered chastenings of love. ,ngram,25.04652
20,--,Psalms 18:2,The Holy Scriptures: A New Translation (JPS 1917),en,"And he said: I love thee, O LORD, my strength.",ngram,40.7139
21,--,Psalms 119:113,The Holy Scriptures: A New Translation (JPS 1917),en,SAMECH. I hate them that are of a double mind; but Thy law do I love.,ngram,24.806618
22,--,Proverbs 1:22,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	How long, O simpletons, will you love deception, and scoffers lust mockery, and fools hate wisdom?",ngram,28.076838
23,--,Psalms 119:127,The Holy Scriptures: A New Translation (JPS 1917),en,"Therefore I love Thy commandments Above gold, yea, above fine gold.",aggresive-ngram,18.229994
24,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 61b:11,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,I.e. thy life to prove thy love of God. ,ngram,29.13919
25,--,Akeidat Yitzchak 8:29,Akeydat Yitzchak by Eliyahu Munk,en,"The Torah emphasizes the positive aspects of love by commanding ""love your fellowman like yourself,"" i.e. when that fellowman is similar to yourself. (Leviticus 19, 18) Love is not demanded for those utterly unlike you, such as animals etc.",infreq,20.598671
26,--,Rashi on Deuteronomy 7:9:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,לאהביו are those who do the commandments out of love.,ngram,27.927898
27,--,Proverbs 27:5,The Holy Scriptures: A New Translation (JPS 1917),en,Better is open rebuke Than love that is hidden.,ngram,32.72137
28,--,Pirkei Avot 5:3,Open Mishnah,en,"With ten tests Abraham, our father, was tested - and he withstood them all; in order to show how great his love was, peace be upon him.",ngram,25.630493
29,--,Proverbs 20:13,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,	Do not love sleep lest you grow poor. Open your eyes and be sated with bread.,ngram,26.84089
30,--,Proverbs 5:19,The Holy Scriptures: A New Translation (JPS 1917),en,"A lovely hind and a graceful doe, Let her breasts satisfy thee at all times; With her love be thou ravished always.",ngram,29.115438
31,--,Berakhot 11b:9,William Davidson Edition - English,en,"That was also taught in a baraita: One does not recite: An eternal love [ahavat olam]; rather, one recites: An abounding love. And the Rabbis say that one recites: An eternal love, and so it says: “And an eternal love I have loved you, therefore I have drawn you with kindness” (Jeremiah 31:2).",ngram,29.79909
32,--,"Sefer HaIkkarim, Forward 106","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en,"Chapter thirty-seven inquires whether it is possible that love may proceed from God to man, pointing out that there are three kinds of love, love of similarity, natural love and love of relation",ngram,27.826473
33,--,Psalms 122:6,"Rabbi Mike Feuer, Jerusalem Anthology",en,Request the welfare of Jerusalem; may those who love you enjoy tranquility.,ngram,27.362806
34,--,Pesachim 113b:12,William Davidson Edition - English,en,"The Gemara continues: Canaan commanded his sons with regard to five matters that are apparently normal behavior for slaves: Love one another, love robbery, love promiscuity, hate your masters, and do not speak the truth.",ngram,30.053694
35,--,Song of Songs 7:7,The Holy Scriptures: A New Translation (JPS 1917),en,"How fair and how pleasant art thou, O love, for delights! .",ngram,28.359756
36,--,Pirkei Avot 1:10,Open Mishnah,en,"Shemayah and Avtalyon received from them. Shemayah says, ""Love work, hate lordship and do not become familiar with the government.""",ngram,34.511303
37,--,Psalms 109:4,The Holy Scriptures: A New Translation (JPS 1917),en,In return for my love they are my adversaries; But I am all prayer.,ngram,26.148062
38,--,Bartenura on Pirkei Avot 5:16:1,Sefaria Community Translation,en,"Any love that is dependent on something transient: that does not last. When the thing that was the cause for that love perishes, the love will also perish. But any love that is not dependent on",ngram,25.897484
39,--,Deuteronomy 6:6,The Rashi chumash by Rabbi Shraga Silverstein,en,"	[""And you shall love, etc."" What is this love?] And these things that I command you this day [(They should be like a ""new edict"" to you)] shall be upon your heart [(for you thereby come to know the Holy One Blessed be He and to cleave to His ways)].",ngram,25.939428
40,--,Song of Songs 2:10,The Holy Scriptures: A New Translation (JPS 1917),en,"My beloved spoke, and said unto me: ‘Rise up, my love, my fair one, and come away.",ngram,25.093306
41,--,Proverbs 8:21,The Holy Scriptures: A New Translation (JPS 1917),en,"That I may cause those that love me to inherit substance, And that I may fill their treasuries.",ngram,31.039743
42,--,Proverbs 10:12,The Holy Scriptures: A New Translation (JPS 1917),en,Hatred stirreth up strifes; but love covereth all transgressions.,ngram,32.070553
43,--,Psalms 119:159,The Holy Scriptures: A New Translation (JPS 1917),en,"O see how I love Thy precepts; Quicken me, O LORD, according to Thy lovingkindness.",aggresive-ngram,18.67849
44,--,Hosea 3:1,The Holy Scriptures: A New Translation (JPS 1917),en,"And the LORD said unto me: ‘Go yet, love a woman beloved of her friend and an adulteress, even as the LORD loveth the children of Israel, though they turn unto other gods, and love cakes of raisins.",ngram,27.858318
45,--,Deuteronomy 6:5,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And you shall love the L-rd your G-d [(Do His mitzvoth out of love)], with all your heart [(with both of your inclinations)] and with all your soul [(even if He takes your soul)] and with all your might [(with all your wealth — this, for one whose wealth is more beloved of him than his soul)].",ngram,29.932135
46,--,Psalms 119:97,The Holy Scriptures: A New Translation (JPS 1917),en,MEM. O how love I Thy law! It is my meditation all the day.,ngram,27.03549
47,--,Akeidat Yitzchak 8:33,Akeydat Yitzchak by Eliyahu Munk,en,"The term ""love"" is reserved for the whole person. ""Love the Lord your G'd;"" ""love your fellowman like yourself,” i.e. identification with the other party is love. Such an identification is based on a",original,12.149483
48,--,Song of Songs 4:7,The Holy Scriptures: A New Translation (JPS 1917),en,"Thou art all fair, my love; And there is no spot in thee.",ngram,29.776705
49,--,Song of Songs 1:2,The Holy Scriptures: A New Translation (JPS 1917),en,Let him kiss me with the kisses of his mouth— For thy love is better than wine.,ngram,29.211645
50,--,Song of Songs 1:3,The Holy Scriptures: A New Translation (JPS 1917),en,Thine ointments have a goodly fragrance; Thy name is as ointment poured forth; Therefore do the maidens love thee.,ngram,24.89174
51,--,Proverbs 7:18,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Come, let us sate ourselves with love until the morning; let us rejoice in love-making.",ngram,40.66222
52,--,Song of Songs 2:5,The Holy Scriptures: A New Translation (JPS 1917),en,"’Stay ye me with dainties, refresh me with apples; For I am love-sick.’",ngram,32.562805
53,--,Song of Songs 2:4,The Holy Scriptures: A New Translation (JPS 1917),en,"He hath brought me to the banqueting-house, And his banner over me is love.",ngram,30.001465
54,--,Psalms 119:163,The Holy Scriptures: A New Translation (JPS 1917),en,I hate and abhor falsehood; Thy law do I love. .,ngram,27.776121
55,--,Psalms 119:165,The Holy Scriptures: A New Translation (JPS 1917),en,Great peace have they that love Thy law; And there is no stumbling for them.,ngram,28.868515
56,--,Song of Songs 2:2,The Holy Scriptures: A New Translation (JPS 1917),en,"As a lily among thorns, So is my love among the daughters.",ngram,25.690613
57,--,Jeremiah 31:3,The Holy Scriptures: A New Translation (JPS 1917),en,"’From afar the LORD appeared unto me.’ ’Yea, I have loved thee with an everlasting love; Therefore with affection have I drawn thee.",ngram,25.652687
58,--,Hosea 4:18,The Holy Scriptures: A New Translation (JPS 1917),en,"When their carouse is over, They take to harlotry; Her rulers deeply love dishonour.",ngram,24.722395
59,--,Song of Songs 5:16,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	His palate is sweet [(i.e., His words are sweet)] and He is altogether desirable. This is my Beloved and this is my Love, O daughters of Jerusalem.",aggresive-ngram,18.423248
60,--,Deuteronomy 10:19,The Holy Scriptures: A New Translation (JPS 1917),en,Love ye therefore the stranger; for ye were strangers in the land of Egypt.,ngram,26.26834
61,--,Hosea 14:5,The Holy Scriptures: A New Translation (JPS 1917),en,"I will heal their backsliding, I will love them freely; For Mine anger is turned away from him.",ngram,27.728523
