Score,Ref,Version,Lang,Content,Field
135.27925,Arakhin 29a:54,Wikisource Talmud Bavli,he,אין <b>עבד</b> <b>עברי</b> נוהג אלא בזמן שהיובל נוהג שנאמר,hebmorph-standard
159.0179,Exodus 21:2,Tanach with Nikkud,he,כי תקנה <b>עבד</b> <b>עברי</b> שש שנים יעבד ובשבעת יצא לחפשי חנם,hebmorph-standard
123.98549,Kiddushin 21a:20,Wikisource Talmud Bavli,he,תא שמע בכל גאולה תתנו לרבות בתים <b>ועבד</b> <b>עברי</b> מאי לאו  בתי ערי חומה <b>ועבד</b> <b>עברי</b> הנמכר לישראל  לא <b>עבד</b> <b>עברי</b> הנמכר לעובד כוכבים,hebmorph-standard
43.941505,Gur Aryeh on Shemot 21:2:1,OYW,he,"או אינו אלא <b>עבד</b> של <b>עברי</b>. כי לשון ""<b>עבד</b> <b>עברי</b> "" משמע שהוא <b>עבד</b> כבר, ולפיכך יש לפרש <b>עבד</b> של <b>עברי</b>:",ngram
142.75157,Bava Metzia 71a:16,William Davidson Edition - Aramaic,he,<b>עבד</b> <b>עברי</b> צניע לה עבד כנעני פריץ לה,hebmorph-standard
187.9583,"Sefer Hamitzvot of Rasag, Positive Commandments 62","Sefer Hamitzvot L'Rasag, Warsaw, 1914",he,ובהם תחפיש <b>עבד</b> <b>עברי</b> הנלקח.,hebmorph-standard
128.17485,Kiddushin 14b:3,William Davidson Edition - Aramaic,he,גמ׳ <b>עבד</b> <b>עברי</b> נקנה בכסף מנלן אמר קרא מכסף מקנתו מלמד שנקנה בכסף אשכחן <b>עבד</b> <b>עברי</b> הנמכר לנכרי הואיל וכל קנינו בכסף,hebmorph-standard
145.04378,Rashi on Zevachim 82b:25:2,Wikisource Rashi,he,קנין שנים - <b>עבד</b> <b>עברי</b> שעתיד לצאת בשביעית:,hebmorph-standard
145.04378,"Chizkuni, Genesis 31:41:1",Chizkuni,he,ושש שנים בצאנך כדין <b>עבד</b> <b>עברי</b>.,hebmorph-standard
143.8956,Shadal on Exodus 21:2:2,"Shadal first edition, Padua 1871",he,"<b>עבד</b> <b>עברי</b>: ישראלי, ע'  רש""י וראב""ע.",hebmorph-standard
131.83124,Bava Metzia 71a:11,William Davidson Edition - Aramaic,he,אמר מר ולא לך אלא לגר שנאמר לגר למימרא דגר קני <b>עבד</b> <b>עברי</b> ורמינהי אין הגר נקנה <b>בעבד</b> <b>עברי</b> ואין אשה וגר קונין <b>עבד</b> <b>עברי</b>,hebmorph-standard
24.126768,Rashi on Kiddushin 27a:5:2,Vilna Edition,he,כסף ושטר - קונין <b>עבד</b> <b>עברי</b> בפרקין ילפינן לעיל (דף יד:):,original
156.65369,Metzudat David on Jeremiah 34:15:2,On Your Way,he,לרעהו. <b>לעבדו</b> <b>העברי</b>: ,hebmorph-standard
60.25833,Metzudat David on II Kings 4:1:2,On Your Way,he,"<b>לעבדים</b>. <b>בעבור</b> חוב הממון:
",aggresive-ngram
24.104576,Rashbam on Leviticus 25:10:2,Rashbam on Leviticus - Daat,he,ואיש אל משפחתו - <b>עבד</b> <b>עברי</b> חוזר חפשי ביובל.,original
168.57777,Bava Kamma 113b:6,Wikisource Talmud Bavli,he,"א""ל אביי <b>עבד</b> <b>עברי</b> הפקעת הלוואתו הוא רבא לטעמיה דאמר רבא <b>עבד</b> <b>עברי</b> גופו קנוי",hebmorph-standard
145.04378,Rashi on Kiddushin 17b:14:1,Vilna Edition,he,דבר תורה - מדאיצטריך למעוטי <b>עבד</b> <b>עברי</b>:,hebmorph-standard
59.17389,Temurah 30a:15,Wikisource Talmud Bavli,he,שפחה <b>לעבד</b> <b>עברי</b> מישרא שריא ,aggresive-ngram
24.403801,Rashi on Arakhin 29a:54:1,Wikisource Rashi,he,אין <b>עבד</b> <b>עברי</b> נוהג - דאינו נמכר בזמן הזה:,original
17.60467,"Mishneh Torah, Positive Mitzvot 232",Mishneh Torah,he,"לדון בעבד <b>עברי</b> כהלכותיו, שנאמר: ""כי תקנה <b>עבד</b> <b>עברי</b>"" (שמות כא,ב).",original
36.746323,Kiddushin 14b:5,William Davidson Edition - Aramaic,he,אשכחן אמה <b>העבריה</b> הואיל ומיקדשה בכסף מיקניא בכסף <b>עבד</b> <b>עברי</b> מנלן אמר קרא כי ימכר לך אחיך <b>העברי</b> או <b>העבריה</b> <b>ועבדך</b> שש שנים מקיש <b>עברי</b> <b>לעבריה</b>,ngram
