Score,Ref,Version,Lang,Content,Field
60.279945,Ezekiel 37:26,Tanach with Ta'amei Hamikra,he,וכרתי להם <b>ברית</b> <b>שלום</b> ברית עולם יהיה אותם ונתתים והרביתי אותם ונתתי את־מקדשי בתוכם לעולם,hebmorph-standard
9.153347,Ibn Ezra on Numbers 25:12:1,Ibn Ezra on Numbers -- Torat Emet,he,את בריתי שלום. טעמו את בריתי <b>ברית</b> <b>שלום</b> כמו כסאך אלהים ורבים כן והטעם שלא יגור מאחי זמרי כי הוא נשיא בית אב ושכרו שתהיה לו ולזרעו אחריו ברית כהונת עולם ונצח כי הכהנים הגדולים היו מבני פינחס ויתכן שהיו בנים אחרים לאלעזר:,hebmorph-exact
60.385887,Ibn Ezra on Psalms 73:28:3,Ibn Ezra on Psalms -- Daat,he,"שתי - חסר תי""ו השורש, כדרך: וכרתי להם <b>ברית</b> <b>שלום</b> להתחברות שני תווי""ן. ",hebmorph-standard
59.976376,Metzudat David on Hosea 2:20:1,On Your Way,he,וכרתי וגו׳. ר״ל חית השדה וכו׳ לא ישחיתו בהם כאלו כרתו עמהם <b>ברית</b> <b>שלום</b>: ,hebmorph-standard
59.976376,Metzudat David on Ezekiel 37:26:1,On Your Way,he,<b>ברית</b> <b>שלום</b>. שישבו בארצם בשלום והברית הזה יהיה עמהם עד עולם: ,hebmorph-standard
55.09182,"Chizkuni, Numbers 32:27:1",Chizkuni,he,כל חלוץ צבא פי׳‎ כל חלוץ שהוא חלוץ צבא כמו הארון הברית שפירושו הארון שהוא ארון הברית וכן את <b>בריתי</b> <b>שלום</b> כמו את בריתי <b>ברית</b> <b>שלום</b>.,hebmorph-standard
59.93458,Metzudat David on Isaiah 54:10:2,On Your Way,he,"וחסדי. אבל חסדי הוא דבר המתקיים ולא יסור מאתך והבטחת <b>ברית</b> <b>שלומי</b> וכו׳ וכפל הדבר במ״ש:
",hebmorph-standard
11.3871355,Malbim on Ezekiel 37:25:7,On Your Way,he,"וכרתי להם <b>ברית</b> <b>שלום</b> זה כולל אם השלום שבין ה' ובין ישראל, שלא יחטאו עוד ולא יסתיר פנים מהם, אם השלום בין העם, אם השלום לכ''א בגוף ובנפש ובנכסים, וברית הזה ",hebmorph-exact
22.68337,Sanhedrin 82b:19,Wikisource Talmud Bavli,he,"הקדם לו <b>שלום</b> שנאמר (במדבר כה, יב) לכן אמור הנני נותן לו את <b>בריתי</b> <b>שלום</b>",hebmorph-standard
60.279945,Malbim on Ezekiel 34:25:4,On Your Way,he,"שיכרות <b>ברית</b> <b>שלום</b> וישבו במדבר לבטח ולא ייראו מפני חרב שודד, וע''י ",hebmorph-standard
52.744953,Ibn Ezra on Zechariah 11:10:1,Ibn Ezra on Zecharia -- Daat,he,"ואקח - אז מת זרובבל שהוא נועם שהיה לו ברית את כל הגוים סביבות ירושלם <b>ברית</b> <b>שלום</b>, וזהו ואגדע אותו. ",hebmorph-standard
33.520912,Malbim on I Samuel 11:1:2,On Your Way,he,"כרת לנו <b>ברית</b> הוא <b>ברית</b> אהבה <b>ושלום</b> ובשכר זה נעבדך :
",ngram
74.97047,Metzudat David on Ezekiel 34:25:1,On Your Way,he,וכרתי. אז אכרות עמהם <b>ברית</b> <b>שלום</b> להיות מתמידים לשבת בשלוה: ,hebmorph-standard
38.392223,Ibn Ezra on Proverbs 16:7:1,Ibn Ezra on Proverbs -- Daat,he,ישלים - יביאם <b>בברית</b> <b>שלם</b> עמו ומלת גם לרבות על הרצון.,aggresive-ngram
27.916187,Joshua 9:15,Tanach with Text Only,he,ויעש להם יהושע <b>שלום</b> ויכרת להם <b>ברית</b> לחיותם וישבעו להם נשיאי העדה,ngram
37.89808,Ralbag on I Samuel 20:17:1,On Your Way,he,"והוסיף גם כן יהונתן להשביע את דוד בדרך שיהיה <b>ברית</b> <b>שלום</b> ביניהם מצד חוזק אהבתו אותו כי אהבת נפשו אהבו :
",aggresive-ngram
12.928602,Ibn Ezra on Job 5:23:1,Ibn Ezra on Job -- Daat,he,כי עם אבני השדה - כאילו <b>ברית</b> כרתה עם האבנים שלא תנזק בהן ועשית <b>שלום</b> עם החיות.,hebmorph-exact
55.370667,Sforno on Leviticus 26:9:3,On Your Way,he," אתכם אקימהו עמכם בזכותכם לא שאזכור לכם ברית אבות בלבד כאמרו וכרתי להם <b>ברית</b> <b>שלום</b> ברית עולם יהיה אותם וכאמרו <b>וברית</b> <b>שלומי</b> לא תמוט:

",hebmorph-standard
53.280445,"Chizkuni, Numbers 25:12:1",Chizkuni,he,את <b>בריתי</b> <b>שלום</b> אין לו לירא מקרובי זמרי וכזבי.,hebmorph-standard
16.18225,Malbim on I Samuel 22:8:3,On Your Way,he,<b>ברית</b>) ,aggresive-ngram
75.48235,Malbim on Ezekiel 34:25:2,On Your Way,he,"שיכרות <b>ברית</b> <b>שלום</b> שלא יעבור רגל אויב ושודד, ",hebmorph-standard
74.147644,Numbers 25:12,Tanach with Text Only,he,לכן אמר הנני נתן לו את־<b>בריתי</b> <b>שלום</b>,hebmorph-standard
11.484608,Ibn Ezra on Isaiah 54:10:1,"Michael Friedlander, Society of Hebrew Literature, 1877",he,"י: כי וגו', הטעם, יתכן שימושו הרים רק חסדי מאתך לא תמוש וברית שלומי ביני ובינך, והטעם כבעל עם אשתו ביניהם <b>ברית</b> <b>שלום</b>: תמוטינה, כמו תשובינה [יחזקאל ט""ז נ""ה], כי לשון נקבות בפעלים השניים הנראים יבואו על שני משקלים:",original
60.279945,Ezekiel 34:25,Tanach with Text Only,he,וכרתי להם <b>ברית</b> <b>שלום</b> והשבתי חיה־רעה מן־הארץ וישבו במדבר לבטח וישנו ביערים,hebmorph-standard
