Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Rashi on I Samuel 14:4:2,On Your Way,he,"שן הסלע . שם שן האחד 'בוצץ' , ושם השני 'סנה' :
",hebmorph-standard,22.855015
1,--,Rashi on Bava Kamma 119b:19:4,Vilna Edition,he,היגא - סנה:,infreq,62.82677
2,--,"Tafsir Rasag, Genesis 5:9","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש אנוש תסעין סנה אולד קינן ,infreq,37.922245
3,--,"Tafsir Rasag, Genesis 5:8","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה ואתנתי עשרה סנה תם מאת ,infreq,31.413385
4,--,"Tafsir Rasag, Genesis 5:5","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה ותלתין סנה תם מאת ,infreq,31.60187
5,--,"Tafsir Rasag, Genesis 5:4","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פעאש בעד דלך תמאן מאיה סנה אולד פיהא בנין ובנאת ,infreq,31.463583
6,--,"Tafsir Rasag, Leviticus 27:3","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פיכון קימה אלדכר מן עשרין סנה אלי סתין סנה כמסין מתקאל פצה במתקאל אלקדס ,infreq,35.753433
7,--,"Tafsir Rasag, Genesis 47:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש יעקוב פי בלד מצר סבע עשרה סנה פצאר גימיע עמרה סני חיותה מאיה וסבעא וארבעין סנה ,infreq,31.814373
8,--,Rashi on Genesis 7:22:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,אשר בחרבה ולא דגים שבים (סנה’ ק”ח):,infreq,38.282597
9,--,Rashi on Deuteronomy 33:16:1,On Your Way,he,ורצון שכני סנה. כמו שוכן סנה ותהא ארצו מבורכת מרצונו ונחת רוחו של הקדוש ברוך הוא הנגלה עלי תחלה בסנה: ,infreq,32.68028
10,--,"Tafsir Rasag, Genesis 31:41","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, הדיא לי עשרון סנה פי מנזלך כידמתך מנהא ארבע עשרה סנה בבנתיך וסת סנין פי גנמך פבדלת אגירתי עשרה אעדאד ,infreq,32.738132
11,--,"Tafsir Rasag, Genesis 9:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, תם עאש נוח בעד אלטופאן תלת מאיה וכמסין סנה ,infreq,31.413385
12,--,"Tafsir Rasag, Genesis 5:31","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה סבע מאיה סנה וסבע וסבעין סנה תם מאת ,infreq,35.753433
13,--,"Chizkuni, Deuteronomy 33:15:3",Chizkuni,he,"ורצון שכני סנה רצון של שוכן סנה יהי כן.
",infreq,44.496227
14,--,"Tafsir Rasag, Numbers 8:25","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ומן אבן כמסין סנה ירגע ענה ולא יכדמה אבדא ,infreq,31.492392
15,--,"Tafsir Rasag, Numbers 4:35","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה כל מן ידכל ללגיש לכדמה כבא אלמחצר ,infreq,35.59698
16,--,"Tafsir Rasag, Numbers 4:30","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה כל מן ידכל ללגיש לכדמה כבא אלמחצר ,infreq,35.59698
17,--,"Tafsir Rasag, Genesis 14:4","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, אתינתי עשר סנה אטאעו כדרלעמר ופי אלתאלתה עשרה עצוה ,infreq,31.60187
18,--,"Tafsir Rasag, Numbers 4:23","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה תעדהם כל מן ידכל ללגיש לכדמה כבא אלמחצר ,infreq,31.814373
19,--,"Tafsir Rasag, Numbers 4:3","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, מן אבן תלתין סנה פצאעדא אלי כמסין סנה כל מן ידכל ללגיש ליעמל צנאעה פי כבא אלמחצר ,infreq,31.814373
20,--,Ibn Ezra on Deuteronomy 33:16:3,On Your Way,he,ורצון שכני סנה. הוא השמים,infreq,44.24262
21,--,Ibn Ezra on Deuteronomy 33:16:2,Ibn Ezra on Devarim -- Torat Emet,he,ומלואה. מאשר היא מלאה: ורצון שכני סנה. הוא השמים:,infreq,31.463583
22,--,"Tafsir Rasag, Genesis 23:1","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, וכאן עמר סארה מאיה וסבע ועשרין סנה סני חיותהא ,infreq,31.463583
23,--,"Tafsir Rasag, Leviticus 25:13","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ופי הדה סנה אלאטלאק ירגע כל אמר אלי חוזה ,infreq,31.463583
24,--,"Tafsir Rasag, Genesis 11:22","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש שרוג תלתין סנה אולד נחור ,infreq,37.79087
25,--,"Tafsir Rasag, Genesis 11:23","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש בעד דלך מאיתין סנה אולד פיהא בנין ובנאת ,infreq,31.60187
26,--,"Tafsir Rasag, Genesis 11:20","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש רעו אתנתין ותלתין סנה אולד שרוג ,infreq,31.60187
27,--,"Tafsir Rasag, Genesis 11:26","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש תרח סבעין סנה אולד אברם ונחור והרן ,infreq,31.413385
28,--,Bartenura on Mishnah Kelim 10:6:4,On Your Way,he,בסינים. שנתן בין נסר לנסר קליפות דקות של סנה:,infreq,33.64222
29,--,"Tafsir Rasag, Genesis 11:24","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש נחור תסע ועשרין סנה אולד תרח ,infreq,31.492392
30,--,"Tafsir Rasag, Genesis 11:25","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש בעד דלך מאיה סנה ותסע עשרה סנה אולד פיהא בנין ובנאת ,infreq,35.540184
31,--,"Tafsir Rasag, Numbers 33:39","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, וכאן לה מאיה ותלאת ועשרון סנה למא מאת הנאך ,infreq,31.413385
32,--,"Tafsir Rasag, Exodus 7:7","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, וכאן מוסי אבן תמנין סנה והרון אבן תלת ותמנין סנה חין כלמא פרעון ,infreq,35.753433
33,--,"Tafsir Rasag, Genesis 17:17","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פוקע אברהים עלי וגהה וצחך וקאל פי נפסה אלאבן מאיה סנה יולד וסארה בנת תסעין סנה תלד ,original,16.657005
34,--,"Tafsir Rasag, Genesis 11:12","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש ארפכשד כמס ותלתין סנה אולד שלח ,infreq,31.463583
35,--,"Tafsir Rasag, Genesis 11:18","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש פלג תלתין סנה אולד רעו ,infreq,38.564846
36,--,"Tafsir Rasag, Genesis 5:15","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש מהללאל כמס וסתין סנה אולד ירד ,infreq,31.463583
37,--,"Tafsir Rasag, Genesis 5:14","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה סנה ועשר סנין תם מאת ,infreq,34.29234
38,--,"Tafsir Rasag, Genesis 5:17","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תמאן מאיה סנה וכמס ותסעין סנה תם מאת ,infreq,36.359283
39,--,"Tafsir Rasag, Genesis 5:16","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש בעד דלך תמאן מאיה סנה ותלתין סנה אולד פיהא בנין ובנאת ,infreq,35.540184
40,--,Targum Jonathan on Joshua 15:49,Mikraot Gedolot,he,ודנה וקרית סנה היא דביר:,infreq,43.978737
41,--,"Tafsir Rasag, Genesis 5:10","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש אנוש בעד דלך תמאן מאיה סנה וכמס עשרה סנה אולד פיהא בנין ובנאת ,infreq,35.753433
42,--,"Tafsir Rasag, Genesis 5:12","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש קינן סבעין סנה אולד מהללאל ,infreq,37.7563
43,--,Joshua 15:49,Tanach with Ta'amei Hamikra,he,ודנה וקרית־סנה היא דבר,infreq,44.24262
44,--,"Tafsir Rasag, Genesis 5:19","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ועאש בעד דלך תמאן מאיה סנה אולד פיהא בנין ובנאת ,infreq,31.463583
45,--,"Tafsir Rasag, Genesis 5:18","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש ירד מאיה ואתנתין וסתין סנה אולד חנוך ,infreq,31.60187
46,--,"Tafsir Rasag, Genesis 21:5","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, וכאן אברהים אבן מאיה סנה חין ולד לה אסחק אבנה ,infreq,32.13737
47,--,"Tafsir Rasag, Genesis 5:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש למך מאיה אתנתין ותמאנין סנה אולד אבנא ,infreq,31.463583
48,--,"Tafsir Rasag, Genesis 35:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פכאן עמר אסחק מאיה סנה ותמאנין סנה ,infreq,53.310276
49,--,Rashi on Bava Kamma 80a:12:1,Vilna Edition,he,וורדני - סנה:,infreq,62.927166
50,--,Deuteronomy 33:16,Tanach with Nikkud,he,וממגד ארץ ומלאה ורצון שכני סנה תבואתה לראש יוסף ולקדקד נזיר אחיו,infreq,31.824959
51,--,"Tafsir Rasag, Genesis 11:14","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש שלח תלתין סנה אולד עבר ,infreq,37.922245
52,--,Rashi on Bava Kamma 119b:19:7,Vilna Edition,he,היגא - סנה:,infreq,62.927166
53,--,Rashi on Avodah Zarah 28a:61:6,WikiSource Rashi,he,דאסנא - סנה:,infreq,63.20374
