chinukh,smk,rambam,smg,mishneh,shulchanArukh
310,[],"[u'Positive Commandments', 163]","[u'Positive Commandments', 36]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
311,[],"[u'Negative Commandments', 326]","[u'Negative Commandments', 73]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
312,[],"[u'Positive Commandments', 47]","[u'Positive Commandments', 203]","[u'Mishneh Torah, Daily Offerings and Additional Offerings']",[]
313,[221],"[u'Positive Commandments', 164]","[u'Positive Commandments', 32]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']"
314,[],"[u'Positive Commandments', 48]","[u'Positive Commandments', 204]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10']",[]
315,[],"[u'Negative Commandments', 329]","[u'Negative Commandments', 68]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']"
316,[],[],[],[],[]
317,[],"[u'Positive Commandments', 165]","[u'Positive Commandments', 31]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']"
318,[],"[u'Positive Commandments', 166]","[u'Positive Commandments', 37]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
319,[194],"[u'Negative Commandments', 327]","[u'Negative Commandments', 74]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
320,[],"[u'Positive Commandments', 50]","[u'Positive Commandments', 205]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10:3-4']",[]
321,[],"[u'Positive Commandments', 167]","[u'Positive Commandments', 38]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
322,[],"[u'Positive Commandments', 51]","[u'Positive Commandments', 206]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10']",[]
323,[194],"[u'Negative Commandments', 328]","[u'Negative Commandments', 75]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']"
324,[193],"[u'Positive Commandments', 169]","[u'Positive Commandments', 44]","[u'Mishneh Torah, Shofar, Sukkah and Lulav 7-8']","[u'Shulchan Arukh, Orach Chayim 651']"
325,[93],"[u'Positive Commandments', 168]","[u'Positive Commandments', 43]","[u'Mishneh Torah, Shofar, Sukkah and Lulav 4-6']","[u'Shulchan Arukh, Orach Chayim 633']"
326,[],"[u'Negative Commandments', 220]","[u'Negative Commandments', 266]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1:1']",[]
327,[],"[u'Negative Commandments', 221]","[u'Negative Commandments', 267]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1:3']",[]
328,[],"[u'Negative Commandments', 222]","[u'Negative Commandments', 268]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:1-22']",[]
329,[],"[u'Negative Commandments', 223]","[u'Negative Commandments', 269]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:22-24']",[]
330,[],"[u'Positive Commandments', 140]","[u'Positive Commandments', 150]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:1-9']",[]
331,[],"[u'Positive Commandments', 137]","[u'Positive Commandments', 152]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:10']",[]
332,[],"[u'Positive Commandments', 136]","[u'Positive Commandments', 151]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:1']",[]
333,[],"[u'Negative Commandments', 224]","[u'Negative Commandments', 272]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[]
334,[],"[u'Negative Commandments', 225]","[u'Negative Commandments', 273]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[]
335,[],"[u'Negative Commandments', 226]","[u'Negative Commandments', 274]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[]
336,[],"[u'Positive Commandments', 245]","[u'Positive Commandments', 82]","[u'Mishneh Torah, Sales']","[u'Shulchan Arukh, Choshen Mishpat']"
337,[271],"[u'Negative Commandments', 250]","[u'Negative Commandments', 170]","[u'Mishneh Torah, Sales 12-14']","[u'Shulchan Arukh, Choshen Mishpat 227']"
338,[122],"[u'Negative Commandments', 251]","[u'Negative Commandments', 171]","[u'Mishneh Torah, Sales 14:12-14']","[u'Shulchan Arukh, Choshen Mishpat 228']"
339,[],"[u'Negative Commandments', 227]","[u'Negative Commandments', 275]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 11']",[]
340,[],"[u'Positive Commandments', 138]","[u'Positive Commandments', 153]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 12']",[]
341,[],"[u'Positive Commandments', 139]","[u'Positive Commandments', 154]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 12']",[]
342,[],"[u'Negative Commandments', 228]","[u'Negative Commandments', 278]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 13']",[]
343,[259],"[u'Negative Commandments', 235]","[u'Negative Commandments', 191]","[u'Mishneh Torah, Creditor and Debtor 4-6']","[u""Shulchan Arukh, Yoreh De'ah 159-177""]"
344,[],"[u'Negative Commandments', 257]","[u'Negative Commandments', 176]","[u'Mishneh Torah, Slaves 1:7']",[]
345,[],"[u'Negative Commandments', 258]","[u'Negative Commandments', 175]","[u'Mishneh Torah, Slaves 1:5']","[u""Shulchan Arukh, Yoreh De'ah 267""]"
346,[],"[u'Negative Commandments', 259]","[u'Negative Commandments', 174]","[u'Mishneh Torah, Slaves 1:6']",[]
347,[60],"[u'Positive Commandments', 235]","[u'Positive Commandments', 87]","[u'Mishneh Torah, Slaves 5-9']","[[u""Shulchan Arukh, Yoreh De'ah 267""], [u'Shulchan Arukh, Choshen Mishpat 196']]"
348,[],"[u'Negative Commandments', 260]","[u'Negative Commandments', 177]","[u'Mishneh Torah, Slaves 1:6']",[]
349,[180],"[u'Negative Commandments', 12]","[u'Negative Commandments', 43]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:6']","[u'Shulchan Arukh, Orach Chayim 131']"
350,[],"[u'Positive Commandments', 114]","[u'Positive Commandments', 128]","[u'Mishneh Torah, Appraisals and Devoted Property 1-5']",[]
351,[],"[u'Negative Commandments', 106]","[u'Negative Commandments', 345]","[u'Mishneh Torah, Substitution']",[]
352,[],"[u'Positive Commandments', 87]","[u'Positive Commandments', 222]","[u'Mishneh Torah, Substitution']",[]
353,[],"[u'Positive Commandments', 115]","[u'Positive Commandments', 129]","[u'Mishneh Torah, Appraisals and Devoted Property 5:5']",[]
354,[],"[u'Positive Commandments', 116]",[],"[u'Mishneh Torah, Appraisals and Devoted Property 5:3']",[]
355,[],"[u'Positive Commandments', 117]","[u'Positive Commandments', 131]","[u'Mishneh Torah, Appraisals and Devoted Property 4']",[]
356,[],"[u'Negative Commandments', 107]","[u'Negative Commandments', 346]","[[u'Mishneh Torah, Substitution 4:11'], [u'Mishneh Torah, Gifts to the Poor 8']]","[[u'Shulchan Arukh, Orach Chayim 153'], [u""Shulchan Arukh, Yoreh De'ah 251""]]"
357,[],"[u'Positive Commandments', 145]","[u'Positive Commandments', 132]","[u'Mishneh Torah, Appraisals and Devoted Property 6']",[]
358,[],"[u'Negative Commandments', 110]","[u'Negative Commandments', 251]","[u'Mishneh Torah, Appraisals and Devoted Property 6:4']",[]
359,[],"[u'Negative Commandments', 111]","[u'Negative Commandments', 252]","[u'Mishneh Torah, Appraisals and Devoted Property 6:4']",[]
360,[],"[u'Positive Commandments', 78]","[u'Positive Commandments', 212]","[u'Mishneh Torah, Firstlings 6-8']",[]
361,[],"[u'Negative Commandments', 109]","[u'Negative Commandments', 344]","[u'Mishneh Torah, Firstlings 6:5-8']",[]
362,[],[u'Positive Commandments'],"[u'Positive Commandments', 174]","[u'Mishneh Torah, Admission into the Sanctuary 3']",[]
363,[],"[u'Negative Commandments', 77]","[u'Negative Commandments', 304]","[u'Mishneh Torah, Admission into the Sanctuary 3']",[]
364,[53],"[u'Positive Commandments', 73]","[u'Positive Commandments', 16]","[u'Mishneh Torah, Repentance']","[u'Shulchan Arukh, Orach Chayim 606']"
365,[],"[u'Positive Commandments', 223]","[u'Positive Commandments', 26]","[u'Mishneh Torah, Woman Suspected of Infidelity']","[u'Shulchan Arukh, Even HaEzer 11']"
366,[],"[u'Negative Commandments', 104]","[u'Negative Commandments', 87]","[u'Mishneh Torah, Woman Suspected of Infidelity 3:13']",[]
367,[],"[u'Negative Commandments', 105]","[u'Negative Commandments', 88]","[u'Mishneh Torah, Woman Suspected of Infidelity 3']",[]
368,[],"[u'Negative Commandments', 202]","[u'Negative Commandments', 243]","[u'Mishneh Torah, Nazariteship 1:1-2']",[]
369,[],"[u'Negative Commandments', 203]","[u'Negative Commandments', 244]","[u'Mishneh Torah, Nazariteship 1:1-2']",[]
370,[],"[u'Negative Commandments', 204]","[u'Negative Commandments', 245]","[u'Mishneh Torah, Nazariteship 1:1-2']",[]
371,[],"[u'Negative Commandments', 205]","[u'Negative Commandments', 246]","[u'Mishneh Torah, Nazariteship 1:1-5:461']",[]
372,[],"[u'Negative Commandments', 206]","[u'Negative Commandments', 247]","[u'Mishneh Torah, Nazariteship 1:1-5:461']",[]
373,[],"[u'Negative Commandments', 209]","[u'Negative Commandments', 250]","[u'Mishneh Torah, Nazariteship 1:1-2']",[]
374,[],"[u'Positive Commandments', 92]","[u'Positive Commandments', 226]","[u'Mishneh Torah, Nazariteship 1:1-3']",[]
375,[],"[u'Negative Commandments', 208]","[u'Negative Commandments', 248]","[u'Mishneh Torah, Nazariteship 5:18']",[]
376,[],"[u'Negative Commandments', 207]","[u'Negative Commandments', 249]","[u'Mishneh Torah, Nazariteship 1:1-2']",[]
377,[],"[u'Positive Commandments', 93]","[u'Positive Commandments', 237]","[u'Mishneh Torah, Nazariteship 8']",[]
378,[113],"[u'Positive Commandments', 26]","[u'Positive Commandments', 20]","[u'Mishneh Torah, Prayer and the Priestly Blessing 14-15']","[u'Shulchan Arukh, Orach Chayim 128']"
379,[],[],"[u'Positive Commandments', 168]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[]
380,[],"[u'Positive Commandments', 57]","[u'Positive Commandments', 224]","[u'Mishneh Torah, Paschal Offering 5-7']",[]
381,[],"[u'Positive Commandments', 58]","[u'Positive Commandments', 226]","[u'Mishneh Torah, Paschal Offering 8:3']",[]
382,[],"[u'Negative Commandments', 119]","[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:15']",[]
383,[],"[u'Negative Commandments', 121]","[u'Negative Commandments', 357]","[u'Mishneh Torah, Paschal Offering 10:15']",[]
384,[],"[u'Positive Commandments', 59]","[u'Positive Commandments', 170]","[u'Mishneh Torah, Fasts 1:1-4']","[u'Shulchan Arukh, Orach Chayim 576']"
385,[245],"[u'Positive Commandments', 133]","[u'Positive Commandments', 141]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 5-8']","[u""Shulchan Arukh, Yoreh De'ah""]"
386,[31],"[u'Positive Commandments', 14]","[u'Positive Commandments', 26]","[u'Mishneh Torah, Fringes']","[u'Shulchan Arukh, Orach Chayim 8-27']"
387,[12],"[u'Negative Commandments', 47]","[u'Negative Commandments', 15]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2:3']",[]
388,[],"[u'Positive Commandments', 22]","[u'Positive Commandments', 165]","[u'Mishneh Torah, The Chosen Temple 8']",[]
389,[],"[u'Negative Commandments', 72]","[u'Negative Commandments', 297]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 3:9-11']",[]
390,[],"[u'Negative Commandments', 74]","[u'Negative Commandments', 309]","[u'Mishneh Torah, Admission into the Sanctuary 9']",[]
391,[],"[u'Negative Commandments', 67]",[],"[u'Mishneh Torah, The Chosen Temple 8:3']",[]
392,[244],"[u'Positive Commandments', 80]","[u'Positive Commandments', 144]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 11']","[u""Shulchan Arukh, Yoreh De'ah 305""]"
393,[],"[u'Negative Commandments', 108]","[u'Negative Commandments', 343]","[u'Mishneh Torah, Firstlings 1:17']","[u""Shulchan Arukh, Yoreh De'ah 321""]"
394,[],"[u'Positive Commandments', 23]","[u'Positive Commandments', 169]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[]
395,[],"[u'Positive Commandments', 127]","[u'Positive Commandments', 135]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit 1""]","[u""Shulchan Arukh, Yoreh De'ah 331""]"
396,[],"[u'Positive Commandments', 129]","[u'Positive Commandments', 134]","[u'Mishneh Torah, Heave Offerings 3']","[u""Shulchan Arukh, Yoreh De'ah 331""]"
397,[],"[[u'Positive Commandments', 113], [u'Positive Commandments', 107]]","[[u'Positive Commandments', 232], [u'Positive Commandments', 231]]","[[u'Mishneh Torah, Red Heifer 1-5'], [u'Mishneh Torah, Defilement by a Corpse']]","[u""Shulchan Arukh, Yoreh De'ah 369""]"
398,[],"[u'Positive Commandments', 107]","[u'Positive Commandments', 231]","[u'Mishneh Torah, Defilement by a Corpse']","[u""Shulchan Arukh, Yoreh De'ah 369""]"
399,[],"[u'Positive Commandments', 108]","[u'Positive Commandments', 233]","[u'Mishneh Torah, Red Heifer 6-15']",[]
400,[],"[u'Positive Commandments', 248]","[u'Positive Commandments', 96]","[u'Mishneh Torah, Inheritances']","[u'Shulchan Arukh, Choshen Mishpat 276-289']"
401,[],"[u'Positive Commandments', 39]","[u'Positive Commandments', 190]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 1']",[]
402,[],"[u'Positive Commandments', 41]","[u'Positive Commandments', 195]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 4:9']",[]
403,[],"[u'Positive Commandments', 42]","[u'Positive Commandments', 196]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 7:1']",[]
404,[],"[u'Positive Commandments', 45]","[u'Positive Commandments', 201]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 8:1']",[]
405,[92],"[u'Positive Commandments', 170]","[u'Positive Commandments', 42]","[u'Mishneh Torah, Shofar, Sukkah and Lulav 1']","[u'Shulchan Arukh, Orach Chayim 585-590']"
406,[81],"[u'Positive Commandments', 95]","[u'Positive Commandments', 125]","[u'Mishneh Torah, Oaths 6']","[u""Shulchan Arukh, Yoreh De'ah 203:228-234""]"
407,[],"[u'Negative Commandments', 157]","[u'Negative Commandments', 242]","[u'Mishneh Torah, Oaths 6']","[[u""Shulchan Arukh, Yoreh De'ah 228-234""], [u'Shulchan Arukh, Even HaEzer 74']]"
408,[],"[u'Positive Commandments', 183]",[],"[u'Mishneh Torah, Sabbatical Year and the Jubilee 13']",[]
409,[],"[u'Negative Commandments', 292]","[u'Negative Commandments', 163]","[u'Mishneh Torah, Murderer and the Preservation of Life']",[]
410,[],"[u'Positive Commandments', 225]","[u'Positive Commandments', 75]","[u'Mishneh Torah, Murderer and the Preservation of Life']",[]
411,[],"[u'Negative Commandments', 291]",[31],"[u'Mishneh Torah, Testimony 5:8']",[]
412,[],"[u'Negative Commandments', 296]","[u'Negative Commandments', 161]","[u'Mishneh Torah, Murderer and the Preservation of Life']",[]
413,[],"[u'Negative Commandments', 295]","[u'Negative Commandments', 162]","[u'Mishneh Torah, Murderer and the Preservation of Life']",[]
414,[],"[u'Negative Commandments', 284]","[u'Negative Commandments', 194]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 3:8']","[u'Shulchan Arukh, Choshen Mishpat 8']"
415,[],"[u'Negative Commandments', 276]","[u'Negative Commandments', 207]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 22:1-2']","[u'Shulchan Arukh, Choshen Mishpat 12']"
416,[],"[u'Negative Commandments', 266]","[u'Negative Commandments', 158]","[u'Mishneh Torah, Robbery and Lost Property 1:10-11']","[u'Shulchan Arukh, Choshen Mishpat 359']"
417,[2],"[u'Positive Commandments', 2]","[u'Positive Commandments', 2]","[u'Mishneh Torah, Foundations of the Torah 1:7']","[u'Shulchan Arukh, Orach Chayim 61']"
418,[],"[u'Positive Commandments', 3]","[u'Positive Commandments', 3]","[u'Mishneh Torah, Foundations of the Torah 2']",[]
419,"[105, 106]","[u'Positive Commandments', 11]","[u'Positive Commandments', 12]","[u'Mishneh Torah, Torah Study']","[u""Shulchan Arukh, Yoreh De'ah 246""]"
420,[104],"[u'Positive Commandments', 10]","[u'Positive Commandments', 18]","[u'Mishneh Torah, Reading the Shema']","[u'Shulchan Arukh, Orach Chayim 61']"
