chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
159,[],"[u'Positive Commandments', 97]","[u'Positive Commandments', 245]","[u'Mishneh Torah, Other Sources of Defilement 4']",[],[u'Leviticus 11:29-30']
160,[]," מצוות עשה צ""ח"," עשין רמ""ו","רמב""ם הלכות טומאת אוכלין פרק א' והלכות כלים",[],"ויקרא יא, לד."
160,[],"[u'Positive Commandments', 98]","[u'Positive Commandments', 246]","[u'Mishneh Torah, Defilement of Foods 1']",[],[u'Leviticus 11:34']
161,[]," מצוות עשה צ""ו"," עשין רמ""ד","רמב""ם הלכות אבות הטומאות פרקים א'-ב'",[],"ויקרא יא, לט."
161,[],"[u'Positive Commandments', 96]","[u'Positive Commandments', 244]","[u'Mishneh Torah, Other Sources of Defilement 1-2']",[],[u'Leviticus 11:39']
162," סימן ר""י."," לא תעשה קע""ו"," לאוין קל""א","רמב""ם הלכות מאכלות אסורות אסורות פרק ב' הלכות ו'-יא'"," יורה דעה סימן פ""ד","ויקרא יא, מא."
162,[210],"[u'Negative Commandments', 176]","[u'Negative Commandments', 131]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 84""]",[u'Leviticus 11:41']
163," סימן רי""ב."," לא תעשה קע""ח, "," לא מנה זה וכללו בלאוין קל""ב","רמב""ם הלכות מאכלות אסורות אסורות פרק ב' הלכות יד'-טז"," יורה דעה סימן פ""ד","ויקרא יא, מב."
163,[212],"[u'Negative Commandments', 178]",[31],"[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 84""]",[u'Leviticus 11:42']
164,[]," לא תעשה קע""ט, "," לאוין קל""ב","רמב""ם הלכות מאכלות אסורות פרק ב' הלכה יב"," יורה דעה סימן ק""פ","ויקרא יא, מג."
164,[],"[u'Negative Commandments', 179]","[u'Negative Commandments', 132]","[u'Mishneh Torah, Forbidden Foods 2:12']","[u""Shulchan Arukh, Yoreh De'ah 180""]",[u'Leviticus 11:43']
165," סימן רי""ב."," לא תעשה קע""ז"," (לא מנה לאו זה) לאוין קל""ב","רמב""ם הלכות מאכלות אסורות אסורות פרק ב' הלכה יג'"," יורה דעה סימן ק""פ","ויקרא יא, מד."
165,[212],"[u'Negative Commandments', 177]",[],"[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 180""]",[u'Leviticus 11:44']
166,[], מצוות עשה ק'," עשין רמ""ג",[]," יורה דעה סימן קצ""ד","ויקרא יב, ב. |ויקרא יב, ד.  |ויקרא יב, ה.]."
166,[],"[u'Positive Commandments', 100]","[u'Positive Commandments', 243]",[],"[u""Shulchan Arukh, Yoreh De'ah 194""]","[[u'Leviticus 12:2'], [u'Leviticus 12:4'], [u'Leviticus 12']]"
167,[]," לא תעשה קכ""ט"," לאוין של""ט","רמב""ם הלכות פסולי המוקדשין פרק י""ח הלכות יג'-כד'",[],"ויקרא יב, ד."
167,[],"[u'Negative Commandments', 129]","[u'Negative Commandments', 339]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18:13-24']",[],[u'Leviticus 12:4']
168,[]," מצוות עשה ע""ו"," עשין ר""כ","רמב""ם הלכות מחוסרי כפרה פרק א'",[],"ויקרא יב, ו.  |ויקרא יב, ח."
168,[],"[u'Positive Commandments', 76]","[u'Positive Commandments', 220]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1']",[],"[[u'Leviticus 12:6'], [u'Leviticus 12:8']]"
169,[]," מצוות עשה ק""א"," עשין רל""ד","רמב""ם הלכות טומאת צרעת פרק א' הלכות א'-ג'",[],"ויקרא יג, ב."
169,[],"[u'Positive Commandments', 101]","[u'Positive Commandments', 234]","[u'Mishneh Torah, Defilement by Leprosy 1:1-3']",[],[u'Leviticus 13:2']
170,[]," לא תעשה, ש""ז"," לאוין שס""ב","רמב""ם הלכות טומאת צרעת פרק ח' הלכה ג'",[],"ויקרא יג, לג."
170,[],"[u'Negative Commandments', 307]","[u'Negative Commandments', 362]","[u'Mishneh Torah, Defilement by Leprosy 8:3']",[],[u'Leviticus 13:33']
171,[]," מצוות עשה קי""ב"," עשין רל""ה","רמב""ם הלכות טומאת צרעת פרק י' הלכה ו'",[],"ויקרא ויודיע שהוא טמא. |ויקרא יג,מו."
171,[],"[u'Positive Commandments', 112]","[u'Positive Commandments', 235]","[u'Mishneh Torah, Defilement by Leprosy 10:6']",[],"[[u'Leviticus'], [u'Leviticus']]"
172,[]," מצוות עשה ק""ב"," עשין רל""ח","רמב""ם הלכות טומאת צרעת פרקים י""ב-""ג",[],"ויקרא יג, מז."
172,[],"[u'Positive Commandments', 102]","[u'Positive Commandments', 238]","[u'Mishneh Torah, Defilement by Leprosy']",[],[u'Leviticus 13:47']
173,[]," מצוות עשה ק""י"," עשין רל""ו","רמב""ם הלכות טומאת צרעת פרק י""א",[],"ויקרא יד, ב."
173,[],"[u'Positive Commandments', 110]","[u'Positive Commandments', 236]","[u'Mishneh Torah, Defilement by Leprosy 11']",[],[u'Leviticus 14:2']
174,[]," מצוות עשה קי""א "," עשין רל""ז","רמב""ם הלכות טומאת צרעת פרק י""א הלכה ג'",[],"ויקרא יד, ט. "
174,[],"[u'Positive Commandments', 111]","[u'Positive Commandments', 237]","[u'Mishneh Torah, Defilement by Leprosy 11:3']",[],[u'Leviticus 14:9']
175,[]," מצוות עשה ק""ט"," עשין רמ""ח","רמב""ם הלכות מקואות פרקים א'"," יורה דעה סימנים קצ""ז, קצ""ח, ר""א","ויקרא יד, ט."
175,[],"[u'Positive Commandments', 109]","[u'Positive Commandments', 248]","[u'Mishneh Torah, Immersion Pools 1']","[u""Shulchan Arukh, Yoreh De'ah 197""]",[u'Leviticus 14:9']
176,[]," מצוות עשה ע""ז"," עשין רכ""א","רמב""ם הלכות מחוסרי כפרה פרק ב' הלכה ג'",[],"ויקרא יד, י."
176,[],"[u'Positive Commandments', 77]","[u'Positive Commandments', 221]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 2:3']",[],[u'Leviticus 14:10']
177,[]," מצוות עשה ק""ג"," עשין רל""ט","רמב""ם הלכות טומאת צרעת פרקים יד' - טו'",[],"ויקרא יד, לד."
177,[],"[u'Positive Commandments', 103]","[u'Positive Commandments', 239]","[u'Mishneh Torah, Defilement by Leprosy 14-15']",[],[u'Leviticus 14:34']
178,[]," מצוות עשה ק""ד"," עשין ר""מ",[],[],"ויקרא טו, ג-ד. "
178,[],"[u'Positive Commandments', 104]","[u'Positive Commandments', 240]",[],[],[u'Leviticus 15:3-4']
179,[]," מצוות עשה ע""ד"," עשין רי""ח","רמב""ם הלכות מחוסרי כפרה פרק א' הלכה ה'",[],"ויקרא טו, יד-טו."
179,[],"[u'Positive Commandments', 74]","[u'Positive Commandments', 218]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:5']",[],[u'Leviticus 15:14-15']
180,[]," מצוות עשה ק""ה"," עשין רמ""ז","רמב""ם הלכות אבות הטומאות פרק ה' הלכה א'"," אורח חיים סימן פ""ט","ויקרא טו, טז."
180,[],"[u'Positive Commandments', 105]","[u'Positive Commandments', 247]","[u'Mishneh Torah, Other Sources of Defilement 5:1']","[u'Shulchan Arukh, Orach Chayim 89']",[u'Leviticus 15:16']
181," סימן רצ""ג."," מצוות עשה צ""ט"," עשין רמ""א","רמב""ם הלכות מטמאי משכב ומושב פרק ים א'-ו'"," יורה דעה סימן קפ""ג","ויקרא טו, יט."
181,[293],"[u'Positive Commandments', 99]","[u'Positive Commandments', 241]","[u'Mishneh Torah, Those Who Defile Bed or Seat']","[u""Shulchan Arukh, Yoreh De'ah 183""]",[u'Leviticus 15:19']
182,[],[],[],[],[],"דברים שבהם היא נעשית זבה, "
182,[],[],[],[],[],[u'Deuteronomy']
183,[]," מצוות עשה ע""ה"," עשין רי""ט","רמב""ם הלכות מחוסרי כפרה פרק א' הלכות א'-ד'",[],"ויקרא טו, כט-ל."
183,[],"[u'Positive Commandments', 75]","[u'Positive Commandments', 219]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:1-4']",[],[u'Leviticus 15:29-30']
184,[]," לא תעשה ס""ח"," לאוין ש""ג","רמב""ם הלכות ביאת המקדש פרק ב' הלכות א'-ד'",[],"ויקרא טז, ב."
184,[],"[u'Negative Commandments', 68]","[u'Negative Commandments', 303]","[u'Mishneh Torah, Admission into the Sanctuary 2:1-4']",[],[u'Leviticus 16:2']
185,[]," מצוות עשה מ""ט"," עשין ר""ט","רמב""ם הלכות עבודת יום הכפורים",[],"ויקרא טז, ג."
185,[],"[u'Positive Commandments', 49]","[u'Positive Commandments', 209]","[u'Mishneh Torah, Service on the Day of Atonement']",[],[u'Leviticus 16:3']
186,[], לא תעשה צ'," לאוין של""ג","רמב""ם הלכות מעשה הקרבנות פרק י""ח",[],"ויקרא יז, ג-ד."
186,[],"[u'Negative Commandments', 90]","[u'Negative Commandments', 333]","[u'Mishneh Torah, Sacrificial Procedure 18']",[],[u'Leviticus 17:3-4']
187," סימן קנ""ו."," מצוות עשה קמ""ז"," עשין ס""ד","רמב""ם הלכות שחיטה פרק י""ד"," יורה דעה סימן כ""ח","ויקרא יז, יג."
187,[156],"[u'Positive Commandments', 147]","[u'Positive Commandments', 64]","[u'Mishneh Torah, Ritual Slaughter 14']","[u""Shulchan Arukh, Yoreh De'ah 28""]",[u'Leviticus 17:13']
188,[]," לא תעשה, שנ""ג"," לאוין קכ""ו","רמב""ם הלכות איסורי ביאה פרק כ""א"," אבן העזר סימנים כ""א-כ"" ד","ויקרא יח, ו."
188,[],"[u'Negative Commandments', 353]","[u'Negative Commandments', 126]","[u'Mishneh Torah, Forbidden Intercourse 21']","[u'Shulchan Arukh, Even HaEzer']",[u'Leviticus 18:6']
189,[]," לא תעשה, שנ""א"," לאוין פ""ט",[],[],"ויקרא יח, ז."
189,[],"[u'Negative Commandments', 351]","[u'Negative Commandments', 89]",[],[],[u'Leviticus 18:7']
190," סימן שי""ג."," לא תעשה, ש""ל"," לאוין צ""ב","רמב""ם הלכות איסורי ביאה פרק ב' הלכות א'-ב'"," אבן העזר סימן ט""ו","ויקרא יח, ז."
190,[313],"[u'Negative Commandments', 330]","[u'Negative Commandments', 92]","[u'Mishneh Torah, Forbidden Intercourse 2:1-2']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:7']
191,[]," לא תעשה, של""א"," לאוין צ""א","רמב""ם הלכות איסורי ביאה פרק ב' הלכה א'"," אבן העזר סימן ט""ו","ויקרא יח, ח."
191,[],"[u'Negative Commandments', 331]","[u'Negative Commandments', 91]","[u'Mishneh Torah, Forbidden Intercourse 2:1']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:8']
192," סימן קצ""ט."," לא תעשה, של""ב"," לאוין ק""ד","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ג'"," אבן העזר סימן ט""ו","ויקרא יח, ט."
192,[199],"[u'Negative Commandments', 332]","[u'Negative Commandments', 104]","[u'Mishneh Torah, Forbidden Intercourse 2:3']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:9']
193," סימן ש""ט."," לא תעשה, של""ד"," לאוין צ""ח","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ז'"," אבן העזר סימן ט""ו","ויקרא יח, י."
193,[309],"[u'Negative Commandments', 334]","[u'Negative Commandments', 98]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:10']
194," סימן ש""י."," לא תעשה, של""ד, של""ה"," לאוין צ""ט","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ז'"," אבן העזר סימן ט""ו","ויקרא יח, י."
194,[310],"[u'Negative Commandments', 334, 335]","[u'Negative Commandments', 99]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:10']
195," סימן ש""ח."," לא תעשה, של""ו", לאוין ק',"רמב""ם הלכות איסורי ביאה פרק ב' הלכה ו'"," אבן העזר סימן ט""ו",[]
195,[308],"[u'Negative Commandments', 336]","[u'Negative Commandments', 100]","[u'Mishneh Torah, Forbidden Intercourse 2:6']","[u'Shulchan Arukh, Even HaEzer 15']",[]
196,[]," לא תעשה, של""ג"," לאוין ק""ד","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ג'"," אבן העזר סימן ט""ו","ויקרא יח, יא."
196,[],"[u'Negative Commandments', 333]","[u'Negative Commandments', 104]","[u'Mishneh Torah, Forbidden Intercourse 2:3']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:11']
197, סימן ש'.," לא תעשה, ש""מ"," לאוין ק""ו","רמב""ם הלכות איסור ביאה פרק ב' הלכה ב'"," אבן העזר סימן ט""ו","ויקרא יח, יב."
197,[300],"[u'Negative Commandments', 340]","[u'Negative Commandments', 106]",,"[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:12']
198, סימן ש'.," לא תעשה, שמ""א"," לאוין ק""ז","רמב""ם הלכות איסור ביאה פרק ב' הלכה ב'"," אבן העזר סימן ט""ו","ויקרא יח, יג."
198,[300],"[u'Negative Commandments', 341]","[u'Negative Commandments', 107]",,"[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:13']
199,[]," לא תעשה, שנ""ב", לאוין צ',"רמב""ם הלכות איסורי ביאה פרק ב' הלכה ב'"," אבן העזר סימן ט""ו","ויקרא יח, יד."
199,[],"[u'Negative Commandments', 352]","[u'Negative Commandments', 90]","[u'Mishneh Torah, Forbidden Intercourse 2:2']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:14']
200," סימן ש""ג."," לא תעשה, שמ""ב"," לאוין ק""י","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ב'"," אבן העזר סימן ט""ו","ויקרא יח, יד."
200,[303],"[u'Negative Commandments', 342]","[u'Negative Commandments', 110]","[u'Mishneh Torah, Forbidden Intercourse 2:2']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:14']
201," סימן שי""ד."," לא תעשה, שמ""ג"," לאוין צ""ג","רמב""ם הלכות איסור ביאה פרק ב' הלכה א'"," אבן העזר סימן ט""ו","ויקרא יח, טו."
201,[314],"[u'Negative Commandments', 343]","[u'Negative Commandments', 93]",,"[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:15']
202," סימן ש""ב."," לא תעשה, שמ""ד"," לאוין ק""ט","רמב""ם הלכות איסורי ביאה פרק ב' הלכה א'"," אבן העזר סימן ט""ו","ויקרא יח, טז."
202,[302],"[u'Negative Commandments', 344]","[u'Negative Commandments', 109]","[u'Mishneh Torah, Forbidden Intercourse 2:1']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:16']
203," סימן ש""ה."," לא תעשה, של""ז"," לאוין ק""א","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ז'"," אבן העזר סימן ט""ו","ויקרא יח, יז."
203,[305],"[u'Negative Commandments', 337]","[u'Negative Commandments', 101]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:17']
204," סימן ש""ו."," לא תעשה, של""ח"," לאוין ק""ב","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ז'"," אבן העזר סימן ט""ו","ויקרא יח, יז."
204,[306],"[u'Negative Commandments', 338]","[u'Negative Commandments', 102]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:17']
205," סימן ש""ז."," לא תעשה, של""ט"," לאוין ק""ג","רמב""ם הלכות איסורי ביאה פרק א'"," אבן העזר סימן ט""ו","ויקרא יח, יז."
205,[307],"[u'Negative Commandments', 339]","[u'Negative Commandments', 103]","[u'Mishneh Torah, Forbidden Intercourse 1']","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:17']
206," סימן ש""א; "," לא תעשה, שמ""ה"," לאוין ק""ח","רמב""ם הלכות איסורי ביאה פרק ב' הלכה ט' |רמב""ם הלכות אישות"," אבן העזר סימן ט""ו","ויקרא יח, יח."
206,[301],"[u'Negative Commandments', 345]","[u'Negative Commandments', 108]","[[u'Mishneh Torah, Forbidden Intercourse 2:9'], [u'Mishneh Torah, Marriage']]","[u'Shulchan Arukh, Even HaEzer 15']",[u'Leviticus 18:18']
207," סימן רפ""ז, רפ""ח, ר v""ג."," לא תעשה, שמ""ו"," לאוין קי""א","רמב""ם הלכות איסורי ביאה פרקים ד' - יא'"," יורה דעה סימנים קפ""ג- ר'","ויקרא יח, יט."
207,"[287, 288, 200]","[u'Negative Commandments', 346]","[u'Negative Commandments', 111]","[u'Mishneh Torah, Forbidden Intercourse 4-11']","[u""Shulchan Arukh, Yoreh De'ah 183-200""]",[u'Leviticus 18:19']
208," סימן ס""ד.", לא תעשה ז', לאוין מ',"רמב""ם הלכות עבודת כוכבים פ""ו הלכות ג'-ה'",[],"ויקרא יח, כא."
208,[64],"[u'Negative Commandments', 7]","[u'Negative Commandments', 40]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:3-5']",[],[u'Leviticus 18:21']
209,[]," לא תעשה, ש""נ"," לאוין צ""ד","רמב""ם הלכות איסורי ביאה פרק א' הלכות יא'-טו'"," אבן העזר סימן כ""ד","ויקרא יח, כב."
209,[],"[u'Negative Commandments', 350]","[u'Negative Commandments', 94]","[u'Mishneh Torah, Forbidden Intercourse 1:11-15']","[u'Shulchan Arukh, Even HaEzer 24']",[u'Leviticus 18:22']
210,[]," לא תעשה, שמ""ח"," לאוין צ""ה","רמב""ם הלכות איסורי ביאה פרק א' הלכות טז'-יח'"," אבן העזר סימן כ""ד","ויקרא יח, כג."
210,[],"[u'Negative Commandments', 348]","[u'Negative Commandments', 95]","[u'Mishneh Torah, Forbidden Intercourse 1:16-18']","[u'Shulchan Arukh, Even HaEzer 24']",[u'Leviticus 18:23']
211,[]," לא תעשה, שמ""ט"," לאוין צ""ו","רמב""ם הלכות איסורי ביאה פרק א' הלכות טז'-יח'"," אבן העזר סימן כ""ד","ויקרא יח, כג."
211,[],"[u'Negative Commandments', 349]","[u'Negative Commandments', 96]","[u'Mishneh Torah, Forbidden Intercourse 1:16-18']","[u'Shulchan Arukh, Even HaEzer 24']",[u'Leviticus 18:23']
212, סימן ז'.," מצוות עשה רי""א"," עשין קי""ג","רמב""ם הלכות ממרים פרק ו'"," יורה דעה סימן ר""מ","ויקרא יט, ג."
212,[7],"[u'Positive Commandments', 211]","[u'Positive Commandments', 113]","[u'Mishneh Torah, Rebels 6']","[u""Shulchan Arukh, Yoreh De'ah 240""]",[u'Leviticus 19:3']
213,[], לא תעשה י'," לאוין י""ד","רמב""ם הלכות עבודת כוכבים פרק ב' הלכה ג'",[],"ויקרא יט,ד."
213,[],"[u'Negative Commandments', 10]","[u'Negative Commandments', 14]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2:3']",[],[u'Leviticus']
214," סימן קס""א.", לא תעשה ג'," לאוין כ""א","רמב""ם הלכות עבודת כוכבים פרק ג' הלכות ט'-יא'"," יורה דעה סימן קמ""א","ויקרא יט, ד"
214,[161],"[u'Negative Commandments', 3]","[u'Negative Commandments', 21]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3:9-11']","[u""Shulchan Arukh, Yoreh De'ah 141""]",[u'Leviticus 19:4']
215,[]," לא תעשה קל""א"," לאוין של""ו","רמב""ם הלכות פסולי המוקדשין פרק י""ח",[],"ויקרא יט, ז-ח."
215,[],"[u'Negative Commandments', 131]","[u'Negative Commandments', 336]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18']",[],[u'Leviticus 19:7-8']
216,[]," עשה ק""כ"," עשין נ""ו","רמב""ם הלכות מתנות עניים פרקים א' -ג"," יורה דעה סימן של""ב","ויקרא יט, י."
216,[],"[u'Positive Commandments', 120]","[u'Positive Commandments', 56]","[u'Mishneh Torah, Gifts to the Poor 1-3']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
217,[]," לא תעשה ר""י"," לאוין רפ""ד","רמב""ם הלכות מתנות עניים פרק א' הלכה ג'"," יורה דעה סימן של""ב","ויקרא יט, ט."
217,[],"[u'Negative Commandments', 210]","[u'Negative Commandments', 284]","[u'Mishneh Torah, Gifts to the Poor 1:3']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:9']
218,[]," מצוות עשה קכ""א"," עשין קנ""ז","רמב""ם הלכות מתנות עניים פרק א'"," יורה דעה סימן של""ב","ויקרא יט, י."
218,[],"[u'Positive Commandments', 121]","[u'Positive Commandments', 157]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
219,[]," לא תעשה רי""א"," לאוין רפ""ה","רמב""ם הלכות מתנות עניים פרק א'"," יורה דעה סימן של""ב","ויקרא יט, ט."
219,[],"[u'Negative Commandments', 211]","[u'Negative Commandments', 285]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:9']
220,[]," מצוות עשה קכ""ג"," עשין קנ""ט","רמב""ם הלכות מתנות עניים פרק א' הלכות יז'-כז'"," יורה דעה סימן של""ב","ויקרא יט, י."
220,[],"[u'Positive Commandments', 123]","[u'Positive Commandments', 159]","[u'Mishneh Torah, Gifts to the Poor 1:17-27']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
221,[]," לא תעשה רי""ב"," לאוין רפ""ז","רמב""ם הלכות מתנות עניים פרק א' הלכות יז'-כז'"," יורה דעה סימן של""ב","ויקרא יט, י."
221,[],"[u'Negative Commandments', 212]","[u'Negative Commandments', 287]","[u'Mishneh Torah, Gifts to the Poor 1:17-27']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
222,[]," מצוות עשה קכ""ד"," עשין ק""ס","רמב""ם הלכות מתנות עניים פרק א' ופרק ד' הלכות ט""ו"," יורה דעה סימן של""ב","ויקרא יט, י."
222,[],"[u'Positive Commandments', 124]","[u'Positive Commandments', 160]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
223,[]," לא תעשה רי""ג, מצוות עשה קכ""ד"," לאוין רפ""ז","רמב""ם הלכות מתנות עניים פרק א' הלכות ט""ו-ט""ז"," יורה דעה סימן של""ב","ויקרא יט, י."
223,[],"[u'Negative Commandments', 213, u'Positive Commandments', 124]","[u'Negative Commandments', 287]","[u'Mishneh Torah, Gifts to the Poor 1:15-16']","[u""Shulchan Arukh, Yoreh De'ah 332""]",[u'Leviticus 19:10']
224," סימן רס""א."," לא תעשה רמ""ד"," לאוין קנ""ה","רמב""ם הלכות גניבה פרקים א'-ו'"," חושן משפט סימן שמ""ח","ויקרא יט, יא."
224,[261],"[u'Negative Commandments', 244]","[u'Negative Commandments', 155]","[u'Mishneh Torah, Theft 1-6']","[u'Shulchan Arukh, Choshen Mishpat 348']",[u'Leviticus 19:11']
225,[]," לא תעשה רמ""ח"," לאוין ר""מ","רמב""ם הלכות שבועות פרק א'"," חושן משפט רצ""ד","ויקרא יט, יא. |ויקרא; "
225,[],"[u'Negative Commandments', 248]","[u'Negative Commandments', 240]","[u'Mishneh Torah, Oaths 1']","[u'Shulchan Arukh, Choshen Mishpat 294']","[[u'Leviticus 19:11'], [u'Leviticus']]"
226,[]," לא תעשה רמ""ט"," לאוין רמ""א","רמב""ם הלכות שבועות פרקים ז'-ח'"," חושן משפט סימן רצ""ד","ויקרא יט, יא."
226,[],"[u'Negative Commandments', 249]","[u'Negative Commandments', 241]","[u'Mishneh Torah, Oaths 7-8']","[u'Shulchan Arukh, Choshen Mishpat 294']",[u'Leviticus 19:11']
227," סימן קכ""ח."," לא תעשה ס""א"," לאוין רל""ט","רמב""ם הלכות שבועות פרק א'-ו'"," יורה דעה סימן רל""ו","ויקרא יט, יב."
227,[128],"[u'Negative Commandments', 61]","[u'Negative Commandments', 239]","[u'Mishneh Torah, Oaths 1-6']","[u""Shulchan Arukh, Yoreh De'ah 236""]",[u'Leviticus 19:12']
228,[]," לא תעשה רמ""ז"," לאוין קנ""ו והוא מסופק אי למנאו בחשבון או לכללו בלאו דלא תגזול עיין לקמן בלאוין ד | סימן ט""ו","רמב""ם הלכות גזלה ואבדה פרק א' הלכה ד'"," חושן משפט סימן שנ""ט","ויקרא יט, יג."
228,[],"[u'Negative Commandments', 247]","[[u'Negative Commandments', 156], []]","[u'Mishneh Torah, Robbery and Lost Property 1:4']","[u'Shulchan Arukh, Choshen Mishpat 359']",[u'Leviticus 19:13']
229," סימן ר""ע."," לא תעשה רמ""ה"," לאוין קנ""ז","רמב""ם הלכות גזלה ואבדה פרק א'"," חושן משפט סימן שנ""ט","ויקרא יט, יג."
229,[270],"[u'Negative Commandments', 245]","[u'Negative Commandments', 157]","[u'Mishneh Torah, Robbery and Lost Property 1']","[u'Shulchan Arukh, Choshen Mishpat 359']",[u'Leviticus 19:13']
230," סימן ר""ס."," לא תעשה רל""ח"," לאוין קפ""א","רמב""ם הלכות שכירות פרק י""א"," חושן משפט סימן של""ט","ויקרא יט, יג."
230,[260],"[u'Negative Commandments', 238]","[u'Negative Commandments', 181]","[u'Mishneh Torah, Hiring 11']","[u'Shulchan Arukh, Choshen Mishpat 339']",[u'Leviticus 19:13']
231," סימן קכ""ג; מקלל עצמו חשבו "," לא תעשה, שי""ז"," לאוין רי""א | ללאו בפני עצמו בלאוין רי"" ב","רמב""ם הלכות סנהדרין פרק כ""ו"," חושן משפט סימן כ""ז","ויקרא יט, יד."
231,[123],"[u'Negative Commandments', 317]","[[u'Negative Commandments', 211], []]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 26']","[u'Shulchan Arukh, Choshen Mishpat 27']",[u'Leviticus 19:14']
232," סימן קע""א; "," לא תעשה רצ""ט"," לאוין קס""ח","רמב""ם הלכות רוצח ושמירת נפש פרק י""ב הלכות יב'-יד'"," יורה דעה סימן קנ""א","ויקרא יט, יד."
232,[171],"[u'Negative Commandments', 299]","[u'Negative Commandments', 168]","[u'Mishneh Torah, Murderer and the Preservation of Life 12:12-14']","[u""Shulchan Arukh, Yoreh De'ah 151""]",[u'Leviticus 19:14']
233," סימן רל""א."," לא תעשה רע""ג"," לאוין ר""ה","רמב""ם הלכות סנהדרין פרק כ'"," חושן משפט סימן י""ז וסימן כ""ה","ויקרא יט, טו."
233,[231],"[u'Negative Commandments', 273]","[u'Negative Commandments', 205]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Leviticus 19:15']
234," סימן רכ""ח."," לא תעשה ער""ה"," לאוין ר""ד","רמב""ם הלכות סנהדרין פרק כא'"," חושן משפט סימן י""ז","ויקרא יט, טו."
234,[228],[u'Negative Commandments'],"[u'Negative Commandments', 204]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Leviticus 19:15']
235," סימן רכ""ד."," מצוות עשה קע""ז"," עשין ק""ו","רמב""ם הלכות סנהדרין פרק כ""א"," חושן משפט סימן י""ז","ויקרא יט, טו."
235,[224],"[u'Positive Commandments', 177]","[u'Positive Commandments', 106]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Leviticus 19:15']
