chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
63,[],"[u'Negative Commandments', 152, 153]","[u'Negative Commandments', 172]","[u'Mishneh Torah, Sales 14:15']","[u'Shulchan Arukh, Choshen Mishpat 228']","[None, [u'Exodus 22:20']]"
64," סימן פ""ח."," לא תעשה רנ""ג"," לאוין קע""ב","רמב""ם הלכות מכירה פרק יד'"," חושן משפט סימן רכ""ח","שמות כב, כ."
64,[88],"[u'Negative Commandments', 253]","[u'Negative Commandments', 172]","[u'Mishneh Torah, Sales 14']","[u'Shulchan Arukh, Choshen Mishpat 228']",[u'Exodus 22:20']
65," סימן פ""ו, פ""ז."," לא תעשה רנ""ו", לאוין ח' (והוא מסופק אם למנותן שני לאוין,"רמב""ם הלכות דעות פרק ו' הלכה י'",[],"שמות כב, כא."
65,"[86, 87]","[u'Negative Commandments', 256]","[u'Negative Commandments', 8]","[u'Mishneh Torah, Human Dispositions 6:10']",[],[u'Exodus 22:21']
66," סימן רמ""ח."," מצוות עשה קצ""ז"," עשין צ""ג","רמב""ם הלכות מלוה ולוה פרק א'"," חושן משפט סימן צ""ז","שמות כב, כד."
66,[248],"[u'Positive Commandments', 197]","[u'Positive Commandments', 93]","[u'Mishneh Torah, Creditor and Debtor 1']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Exodus 22:24']
67,[]," לא תעשה רל""ד"," לאוין קפ""ה","רמב""ם הלכות מלוה ולוה פרק א'"," חושן משפט סימן צ""ז","שמות כב, כד."
67,[],"[u'Negative Commandments', 234]","[u'Negative Commandments', 185]","[u'Mishneh Torah, Creditor and Debtor 1']","[u'Shulchan Arukh, Choshen Mishpat 97']",[u'Exodus 22:24']
68," סימן רנ""ט."," לא תעשה רל""ז"," לאוין קצ""ג","רמב""ם הלכות מלוה ולוה פרק ד'"," יורה דעה סימן ק""ס","שמות כב, כד."
68,[259],"[u'Negative Commandments', 237]","[u'Negative Commandments', 193]","[u'Mishneh Torah, Creditor and Debtor 4']","[u""Shulchan Arukh, Yoreh De'ah 160""]",[u'Exodus 22:24']
69," סימן קכ""ה."," לא תעשה, שט""ו"," לאוין ט""ז","רמב""ם הלכות עבודת כוכבים פרק ב'",[],"שמות כב, כז."
69,[125],"[u'Negative Commandments', 315]","[u'Negative Commandments', 16]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2']",[],[u'Exodus 22:27']
70," סימן קכ""ה.", לא תעשה ס'," לאוין ט""ז","רמב""ם הלכות עבודת כוכבים פרק ב' הלכה ו'",[],"שמות כב, כז."
70,[125],"[u'Negative Commandments', 60]","[u'Negative Commandments', 16]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2:6']",[],[u'Exodus 22:27']
71,[]," לא תעשה, שט""ז"," לאוין ר""י","רמב""ם הלכות סנהדרין פרק כ""ו"," חושן משפט סימן כ""ז","שמות כב, כז."
71,[],"[u'Negative Commandments', 316]","[u'Negative Commandments', 210]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 26']","[u'Shulchan Arukh, Choshen Mishpat 27']",[u'Exodus 22:27']
72,[]," לא תעשה קנ""ד"," לאוין רנ""ג","רמב""ם הלכות תרומות פרק ג' הלכה כ""ג"," יורה דעה סימן של""א","שמות כב, כח."
72,[],"[u'Negative Commandments', 154]","[u'Negative Commandments', 253]","[u'Mishneh Torah, Heave Offerings 3:23']","[u""Shulchan Arukh, Yoreh De'ah 331""]",[u'Exodus 22:28']
73," סימן ר""א; ולענין לאו שבכללות עיין בתוספות חולין דף ק""ב, ותוספות מכות דף י""ח, ובתוספות יומא דף ל""ו."," לא תעשה קפ""א"," לאוין קל""ד","רמב""ם הלכות מאכלות אסורות אסורות פרק ד' ופרק ה'"," יורה דעה סימן י""ד, כ""ט ואילך","שמות כב, ל."
73,[201],"[u'Negative Commandments', 181]","[u'Negative Commandments', 134]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 14""]",[u'Exodus 22:30']
74," סימן רל""ג."," לא תעשה רפ""א", לאוין י',"רמב""ם הלכות סנהדרין פרק כ""א הלכה ז'"," חושן משפט סימן י""ז","שמות כג, א."
74,[233],"[u'Negative Commandments', 281]","[u'Negative Commandments', 10]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21:7']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Exodus 23:1']
75," סימן רל""ו."," לא תעשה רפ""ו"," לאוין רי""ד","רמב""ם הלכות עדות פרק י'", חושן משפט סימן לד',"שמות כג, א."
75,[236],"[u'Negative Commandments', 286]","[u'Negative Commandments', 214]","[u'Mishneh Torah, Testimony 10']","[u'Shulchan Arukh, Choshen Mishpat 34']",[u'Exodus 23:1']
76,[]," לא תעשה רפ""ב"," לאוין קצ""ה","רמב""ם הלכות סנהדרין פרק ח' הלכה א'",[],"שמות כג, ב."
76,[],"[u'Negative Commandments', 282]","[u'Negative Commandments', 195]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 8:1']",[],[u'Exodus 23:2']
77,[]," לא תעשה רפ""ג", לא מנה לאו זה,"רמב""ם הלכות סנהדרין פרק י'",[],"שמות כג, ב."
77,[],"[u'Negative Commandments', 283]",[31],"[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 10']",[],[u'Exodus 23:2']
78," סימן רכ""ה."," מצוות עשה קע""ה"," עשין צ""ח","רמב""ם הלכות סנהדרין פרק ח'"," חושן משפט סימן י""ח","שמות כג, ב."
78,[225],"[u'Positive Commandments', 175]","[u'Positive Commandments', 98]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 8']","[u'Shulchan Arukh, Choshen Mishpat 18']",[u'Exodus 23:2']
79," סימן רכ""ט."," לא תעשה רע""ז"," לאוין ר""ג","רמב""ם הלכות סנהדרין פרק כ' הלכה ד'"," חושן משפט סימן י""ז","שמות כג, ג."
79,[229],"[u'Negative Commandments', 277]","[u'Negative Commandments', 203]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:4']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Exodus 23:3']
80," סימן נ""ד."," מצוות עשה ר""ב", עשין פ',"רמב""ם הלכות רוצח ושמירת נפש פרק יג'"," חושן משפט סימן רע""ב","שמות כג, ה."
80,[54],"[u'Positive Commandments', 202]","[u'Positive Commandments', 80]","[u'Mishneh Torah, Murderer and the Preservation of Life 13']","[u'Shulchan Arukh, Choshen Mishpat 272']",[u'Exodus 23:5']
81,[]," לא תעשה רע""ח", סובר עני ואביון ממש,"רמב""ם הלכות סנהדרין פרק כ' הלכה ה'"," חושן משפט סימן י""ז","שמות כג, ו."
81,[],"[u'Negative Commandments', 278]",[],"[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:5']","[u'Shulchan Arukh, Choshen Mishpat 17']",[u'Exodus 23:6']
82,[]," לא תעשה ר""צ "," לאוין ר""ה","רמב""ם הלכות סנהדרין פרק כ' הלכה א'"," חושן משפט סי nן ט""ו,י""ז","שמות כג, ז."
82,[],"[u'Negative Commandments', 290]","[u'Negative Commandments', 205]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:1']","[u'Shulchan Arukh, Choshen Mishpat']",[u'Exodus 23:7']
83," סימן ר""ל."," לא תעשה רע""ד"," לאוין ר""ח","רמב""ם הלכות סנהדרין פרק כ""ג הלכה א'", חושן משפט סימן ט',[]
83,[230],"[u'Negative Commandments', 274]","[u'Negative Commandments', 208]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 23:1']","[u'Shulchan Arukh, Choshen Mishpat 9']",[]
84,[]," מצוות עשה קל""ד"," עשין קמ""ח","רמב""ם הלכות שמיטה פרק ד' הלכה כד'",[],"שמות כג, יא."
84,[],"[u'Positive Commandments', 134]","[u'Positive Commandments', 148]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:24']",[],[u'Exodus 23:11']
85,[]," מצוות עשה קנ""ד", עשין ל',"רמב""ם הלכות שבת פרק א' ופרק ב'"," אורח חיים הלכות שבת סימנים רמ""ו, ש""ח","שמות כג, יב."
85,[],"[u'Positive Commandments', 154]","[u'Positive Commandments', 30]","[u'Mishneh Torah, Sabbath 1']","[u'Shulchan Arukh, Orach Chayim']",[u'Exodus 23:12']
86,[]," לא תעשה י""ד וע""ש לא תעשה ע""ו"," לא מנה לאו זה וכללו בלאוין ל""ב","רמב""ם הלכות עבודת כוכבים פרק ה' הלכה י'"," יורה דעה סימן קמ""ז","שמות כג, יג."
86,[],"[u'Negative Commandments', 14, u'Negative Commandments', 76]",[31],"[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:10']","[u""Shulchan Arukh, Yoreh De'ah 147""]",[u'Exodus 23:13']
87," סימן קי""ט."," לא תעשה ט""ו"," לאוין כ""ג","רמב""ם הלכות עבודת כוכבים פרק ד'",[],[]
87,[119],"[u'Negative Commandments', 15]","[u'Negative Commandments', 23]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 4']",[],[]
