הלכות פריה ורביה,Laws of Procreation,1
הלכות אישות,Laws of Marriage,7
הלכות קידושין,Laws of Kiddushin,26
הלכות כתובות,Laws of Ketubot,66
הלכות גיטין,Laws of Gittin,119
הלכות מיאון,Laws of Miun,155
הלכות יבום,Laws of Yibbum,156
הלכות חליצה,Laws of Chalitza,169
