Berakhot 64a:6,אֱלֹהֵי אַבְרָהָם וְיִצְחָק? מִכָּאן לְבַעַל הַקּוֹרָה שֶׁיִּכָּנֵס בְּעׇבְיָהּ שֶׁל קוֹרָה.,Meiri on Berakhot 64a:1,וכל הנהנה מסעודה שתלמיד חכם בתוכה כאלו נהנה מזיו
Berakhot 64a:9-10,"לוֹ לְמֹשֶׁה ״לֵךְ לְשָׁלוֹם״, עָלָה וְהִצְלִיחַ. דָּוִד שֶׁאָמַר לוֹ לְאַבְשָׁלוֹם ״לֵךְ בְּשָׁלוֹם״, הָלַךְ וְנִתְלָה. וְאָמַר רַבִּי",Meiri on Berakhot 64a:2,<b>הנפטר מן המת</b> אל יאמר לו לך לשלום אלא לך בשלום שכן כתיב ואתה תבא אל אבותיך
Berakhot 64a:8,כׇּל הַנֶּהֱנֶה מִסְּעוּדָה שֶׁתַּלְמִיד חָכָם שָׁרוּי בְּתוֹכָהּ — כְּאִילּוּ,Meiri on Berakhot 64a:2,והנפטר מחברו אל יאמר לו לך בשלום אלא לך
