Berlin,"p. 276, no. 53",446,,,,
,"p. 276, no. 55",748,,,,
,"p. 276, no. 57",580,,,,
,"p. 276, no. 58",580,,,,
,"p. 277, no. 60",616,,,,
,"p. 281, no. 154",372,,,,
,"p. 284, no. 334",656,,,,
,"p. 285, no. 335",759,,,,
,"p. 285, no. 337",316,,,,
,"p. 285, no. 338",316,,,,
,"p. 285, no. 339",316,,,,
,"p. 286, no. 348",493,,,,
,"p. 291, no. 363",90,,,,
,"p. 291, no. 364",632,,,,
,"p. 292, no. 366",656,,,,
,"p. 292, no. 367",601,,,,
,"p. 292, no. 370",456,,,,
,"p. 293, no. 371",189,,,,
,"p. 294, no. 372",761,,,,
,"p. 294, no. 386",176,,,,
,"p. 295, no. 387",69,,,,
,"p. 295, no. 389",125,,,,
,"p. 2965, no. 390",123,,,,
,"p. 298, no. 392",536,,,,
,"p. 319, no. 780",298,,,,
,"p. 320, no. 792",586,,,,
,"p. 320, no. 865",529,,,,
,"p. 323, no. 978",769,,,,
,p. 346,784,,,,
