PARMA,10,383,,,,
,13,195,,,,
,14,787,,,,
,15,787,,,,
,48,625,,,,
,49,625,,,,
,50,643,,,,
,125,69,,,,
,219,310,,,,
,220,310,,,,
,225,232,,,,
,241,314,,,,
,242,303,,,,
,281,367,,,,
,282,353,,,,
,283,349,,,,
,284,421,,,,
,285,516,,,,
,286,445,,,,
,287,340,,,,
,288,162,,,,
,289,163,,,,
,290,394,,,,
,291,64,,,,
,292,91,,,,
,293,278,,,,
,297,409,,,,
,298,6,,,,
,299,19,,,,
,300,19,,,,
,301,719,,,,
,302,641,,,,
,304,436,,,,
,311,775,,,,
,399,700,,,,
,476,202,,,,
,477,134,,,,
,494,316,,,,
,514,598,,,,
,515,104,,,,
,528,496,,,,
,420,36,,,,
,425,202,,,,
,426,134,,,,
,442,78,,,,
,478,201,,,,
,479,702,,,,
,480,324,,,,
,481,324,,,,
,482,324,,,,
,483,324,,,,
,488,29,,,,
,490,435,,,,
,500,101,,,,
,503,147,,,,
,507,162,,,,
