Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Tzav 1","כל מקום שנא' אהרן מרבה אני את בניו וכ""מ שנא' בני ישראל נאמר ואמרת לרבו",
"Aderet Eliyahu, Tzav 2",בד,Leviticus 6:3
"Aderet Eliyahu, Tzav 3",והרים,Leviticus 6:3
"Aderet Eliyahu, Tzav 4",ושמו אצל המזבח (עיין סוף תמורה) ושמו כלו,
"Aderet Eliyahu, Tzav 5",ופשט ולבש,
"Aderet Eliyahu, Tzav 6","והאש כו' מניין שהמכבה עובר בל""ת ת""ל לא תכבה",
"Aderet Eliyahu, Tzav 7",בבקר בבוק',
"Aderet Eliyahu, Tzav 8",אש תמיד תוקד על המזבח לא תכבה,Leviticus 6:6
"Aderet Eliyahu, Tzav 9",והנותרת ממנה יאכלו,Leviticus 6:9
"Aderet Eliyahu, Tzav 10",תאכל,Leviticus 6:9
"Aderet Eliyahu, Tzav 11",לא תאפה חמץ,Leviticus 6:10
"Aderet Eliyahu, Tzav 12","כל זכר עיין רש""י לרבות בעלי מומין למחלוקת",
"Aderet Eliyahu, Tzav 13",זה קרבן אהרן וכו',Leviticus 6:13
"Aderet Eliyahu, Tzav 14",על מחבת,Leviticus 6:14
"Aderet Eliyahu, Tzav 15",המשיח,Leviticus 6:15
"Aderet Eliyahu, Tzav 16",מבניו,Leviticus 6:15
"Aderet Eliyahu, Tzav 17",וכל מנחת כהן,Leviticus 6:16
"Aderet Eliyahu, Tzav 18",זאת תורת,Leviticus 6:18
"Aderet Eliyahu, Tzav 19",המחטא,Leviticus 6:19
"Aderet Eliyahu, Tzav 20",בבשרה,Leviticus 6:20
"Aderet Eliyahu, Tzav 21",וזה,
"Aderet Eliyahu, Tzav 22",אשר תבשל,Leviticus 6:21
"Aderet Eliyahu, Tzav 23",ומרק,Leviticus 6:21
"Aderet Eliyahu, Tzav 24",חטאת,Leviticus 6:23
"Aderet Eliyahu, Tzav 25",מדמה,Leviticus 6:23
"Aderet Eliyahu, Tzav 26",אל אהל מועד,Leviticus 6:23
"Aderet Eliyahu, Tzav 27",בקדש באש,
