Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Kedoshim 70",אבני צדק,Leviticus 19:36
"Aderet Eliyahu, Kedoshim 71",יהי' לכם,
"Aderet Eliyahu, Kedoshim 72",הוצאתי אתכם,Leviticus 19:36
"Aderet Eliyahu, Kedoshim 73",ושמרתם כו' ליתן שמירה ועשיה כו',Leviticus 20:10
"Aderet Eliyahu, Kedoshim 74",אני ה',
"Aderet Eliyahu, Kedoshim 75",ואל בני ישראל,
"Aderet Eliyahu, Kedoshim 76",אשר יתן,
"Aderet Eliyahu, Kedoshim 77",מות יומת,Leviticus 20:10
"Aderet Eliyahu, Kedoshim 78",באבן,
"Aderet Eliyahu, Kedoshim 79","ואני אתן כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 80",והכרתי,
"Aderet Eliyahu, Kedoshim 81","מקרב עמו, ועמו בשלום",
"Aderet Eliyahu, Kedoshim 82","ואם העלם יעלימו כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 83",לבלתו המית אתו בכל מיתה,
"Aderet Eliyahu, Kedoshim 84","ובמשפחתו והכרתי כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 85","לזנות אחרי כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 86",והנפש,
"Aderet Eliyahu, Kedoshim 87",והתקדשתם,
"Aderet Eliyahu, Kedoshim 88",ושמרתם,
"Aderet Eliyahu, Kedoshim 89",אני ה' מקדשכם,
"Aderet Eliyahu, Kedoshim 90",כי איש,
"Aderet Eliyahu, Kedoshim 91",את אביו,
"Aderet Eliyahu, Kedoshim 92",אביו,
"Aderet Eliyahu, Kedoshim 93",מות יומת,
"Aderet Eliyahu, Kedoshim 94",ואיש,Leviticus 20:11
"Aderet Eliyahu, Kedoshim 95",מות יומת,
"Aderet Eliyahu, Kedoshim 96",אשר ישכב את אשת אביו,Leviticus 20:11
"Aderet Eliyahu, Kedoshim 97","אמו שאינו א""א מניין ת""ל וערות אמך",
"Aderet Eliyahu, Kedoshim 98",דמיהם בם,Leviticus 20:11
"Aderet Eliyahu, Kedoshim 99",ואיש,Leviticus 20:12
"Aderet Eliyahu, Kedoshim 100",משכבי אשה,Leviticus 20:13
"Aderet Eliyahu, Kedoshim 101",ואיש אשר יקח,Leviticus 20:14
"Aderet Eliyahu, Kedoshim 102",את אשה ואת אמה,Leviticus 20:14
"Aderet Eliyahu, Kedoshim 103",אתו ואתהן,Leviticus 20:14
"Aderet Eliyahu, Kedoshim 104",ואיש,Leviticus 20:15
"Aderet Eliyahu, Kedoshim 105",מות יומת,Leviticus 20:15
"Aderet Eliyahu, Kedoshim 106",ואת הבהמה תהרגו,Leviticus 20:15
"Aderet Eliyahu, Kedoshim 107",ואיש,Leviticus 20:17
"Aderet Eliyahu, Kedoshim 108",ונכרתו,Leviticus 20:17
"Aderet Eliyahu, Kedoshim 109",מולדת בית או מולד' חוץ בין שאומרי' לאביך קיים בין שאומרים לו הוצא,
"Aderet Eliyahu, Kedoshim 110","ערות בת אשת אביך לחייב שתים משום אחותו ומשו' בת אשת אביו ר""י ברב""י אומ",
"Aderet Eliyahu, Kedoshim 111",ואיש,Leviticus 20:18
"Aderet Eliyahu, Kedoshim 112",את מקרה הערה,Leviticus 20:18
"Aderet Eliyahu, Kedoshim 113",את מקור דמיה,Leviticus 20:18
"Aderet Eliyahu, Kedoshim 114",ונכרתו,Leviticus 20:18
"Aderet Eliyahu, Kedoshim 115",איש איש,
"Aderet Eliyahu, Kedoshim 116","וערות אחות אמך עיין רש""י ז""ל",Leviticus 20:19
"Aderet Eliyahu, Kedoshim 117",כי את שארו הערה,Leviticus 20:19
"Aderet Eliyahu, Kedoshim 118",ואיש,Leviticus 20:20
"Aderet Eliyahu, Kedoshim 119","ערירים כו' עיין רש""י ז""ל וכה""א כתבו את האיש הזה כו' עונש שמענו אזהרה מניי",
"Aderet Eliyahu, Kedoshim 120",ואיש,Leviticus 20:21
"Aderet Eliyahu, Kedoshim 121",ולא תקיא אתכם הארץ,Leviticus 20:22
"Aderet Eliyahu, Kedoshim 122",אשר אני מביא אתכם שמה לשבת בה,Leviticus 20:22
"Aderet Eliyahu, Kedoshim 123",ולא תלכו בחוקת הגוי,Leviticus 20:23
"Aderet Eliyahu, Kedoshim 124",אשר אני משלח מפניכם,Leviticus 20:23
"Aderet Eliyahu, Kedoshim 125",כי את כל אלה עשו ואקוץ בם,Leviticus 20:23
"Aderet Eliyahu, Kedoshim 126",ואמר לכם,Leviticus 20:24
"Aderet Eliyahu, Kedoshim 127",תירשו את אדמתם,Leviticus 20:24
"Aderet Eliyahu, Kedoshim 128",הבדלתי אתכם,Leviticus 20:24
"Aderet Eliyahu, Kedoshim 129",מן העמים,Leviticus 20:24
"Aderet Eliyahu, Kedoshim 130","ולא תשקצו את נפשתיכם כו' לטמא (מעילה י""ו ע""ב) פתח הכתוב באכיל' וסיים בטומאה מ",
"Aderet Eliyahu, Kedoshim 131",אשר הבדלתי,Leviticus 20:25
"Aderet Eliyahu, Kedoshim 132",והיית' לי קדשים,Leviticus 20:26
"Aderet Eliyahu, Kedoshim 133",כשם שאני קדוש כו' ואבדל אתכ' מן העמים להיות לי,
"Aderet Eliyahu, Kedoshim 134",ואיש,Leviticus 20:27
"Aderet Eliyahu, Kedoshim 135",או אשה,Leviticus 20:27
"Aderet Eliyahu, Kedoshim 136",כי יהיה בהם,Leviticus 20:27
"Aderet Eliyahu, Kedoshim 137","כללים מרבינו הגאון זצללה""ה",
"Aderet Eliyahu, Kedoshim 138","ל""ו כריתות",
"Aderet Eliyahu, Kedoshim 139",וא' בפ' חקת היינו טמא שנכנס למקדש,
"Aderet Eliyahu, Kedoshim 140",עשרה דברים טעונים תנופה היינו מנחת סוטה,
