Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Terumah 1",סוד האדם,
"Aderet Eliyahu, Terumah 2",והאיברים הפנימים מוח הוא הארון וכל כליה וידוע שבמוח סוד הכפרת והכרובים קנה וושט ה,
"Aderet Eliyahu, Terumah 3",והיה המשכן אחד,Exodus 26:6
"Aderet Eliyahu, Terumah 4",,
