Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Ki Tisa 1",כי תשא את כו',Exodus 30:12
"Aderet Eliyahu, Ki Tisa 2","ורחצו ידיהם כו' כפי' רש""י דקאי על המזבח לאזהרה ולעונש",
"Aderet Eliyahu, Ki Tisa 3",מחציתו חמשים ומאתים דרך הפשוט מחציתו של מר דרור וכן דרך הכתוב אבל בקנה בש,
"Aderet Eliyahu, Ki Tisa 4",ועשית אתו שמן כו',Exodus 30:25
"Aderet Eliyahu, Ki Tisa 5",כל הנגע בהם כו',Exodus 30:29
"Aderet Eliyahu, Ki Tisa 6",וקדשת אתם לכהן לי,Exodus 30:30
"Aderet Eliyahu, Ki Tisa 7",זה לי כו',Exodus 30:31
"Aderet Eliyahu, Ki Tisa 8",על בשר אדם כו' הוא כלל אף לכהנים המשוחים שלא לצורך ואמר על זר לאפוק,
"Aderet Eliyahu, Ki Tisa 9",קח לך סמים,Exodus 30:34
"Aderet Eliyahu, Ki Tisa 10",ואת המנורה הטהורה,Exodus 31:8
"Aderet Eliyahu, Ki Tisa 11",ואת בגדי שרד,Exodus 31:10
"Aderet Eliyahu, Ki Tisa 12","ומשה יקח את האהל כו' זה היה תיכף אחר המעשה וכדברי פרקי דר""א שהיה מ",
"Aderet Eliyahu, Ki Tisa 13",ויאמר משה כו' לא הודעתני כו',Exodus 32:21
"Aderet Eliyahu, Ki Tisa 14",ואדעך,Exodus 33:13
"Aderet Eliyahu, Ki Tisa 15",ויאמר פני ילכו כו',Exodus 33:14
"Aderet Eliyahu, Ki Tisa 16",ויאמר אליו אם אין פניך כו',Exodus 33:15
"Aderet Eliyahu, Ki Tisa 17","הלוא בלכתך עמנו ר""ל אתה כנ""ל",Exodus 33:16
"Aderet Eliyahu, Ki Tisa 18",ויאמר כו',Exodus 33:17
"Aderet Eliyahu, Ki Tisa 19","ויאמר הראני כו' עכשיו ביקש שידע את כבודו כמ""ש בתחלה ואדעך למען ידע בהלוכו עמ",
"Aderet Eliyahu, Ki Tisa 20","ויאמר אני אעביר כל טובי על פניך כו' פי' כבודי וכמ""ש על פסוק וכל טו",
"Aderet Eliyahu, Ki Tisa 21",וקראתי בשם ה' לפניך,Exodus 33:19
"Aderet Eliyahu, Ki Tisa 22",ויקרא ה',
"Aderet Eliyahu, Ki Tisa 23","הנה מקום אתי כו' הוא בהר וכמ""ש רז""ל במגילה (י""ט ע""ב)",
"Aderet Eliyahu, Ki Tisa 24","והי' בעבר כבדי ושמתיך כו' ושכתי כפי עליך עד עברי שלא תראני שלא תמות וכמ""",
"Aderet Eliyahu, Ki Tisa 25",ויעבור ה' על פניו ויקרא ה' בשם המיוחד ובמדת טובו,
"Aderet Eliyahu, Ki Tisa 26","אל רחום וחנון שבידו הסליחות והרחמים וכ""ז היה במ' יום האחרוני' וזהו התפלות שעש' כ",
"Aderet Eliyahu, Ki Tisa 27","וימהר משה ויקד ארצה וישתחו ר""ל כששמע כבוד ה' עובר",
"Aderet Eliyahu, Ki Tisa 28",ויאמר אם נא מצאתי חן כו' כאן דחה את המלאך הנאמר בפ' משפטי' ובקש,
"Aderet Eliyahu, Ki Tisa 29",ויאמר הנה אנכי כרת כו',Exodus 34:10
