Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Metzora 1",תורת לרבות בית עולמי',
"Aderet Eliyahu, Metzora 2",אל הכהן מלמ' שטומאתו וטהרתו ביד הכהן ומניין שחיטת צפרים והזיית דם צפור ותגלחת בכה,
"Aderet Eliyahu, Metzora 3","[אינו בת""כ רק בכריתות ט' ע""ב וע""ש בתוספות] ויצא הכהן וראה הכהן מת""ל לפי שנא",
"Aderet Eliyahu, Metzora 4",וצוה הכהן ולקח,Leviticus 14:4
"Aderet Eliyahu, Metzora 5",ושני,Leviticus 14:4
"Aderet Eliyahu, Metzora 6",ואזב,Leviticus 14:4
"Aderet Eliyahu, Metzora 7",וצוה הכהן ושחט,Leviticus 14:5
"Aderet Eliyahu, Metzora 8",את הצפור החיה כו',Leviticus 14:6
"Aderet Eliyahu, Metzora 9",והזה,Leviticus 14:7
"Aderet Eliyahu, Metzora 10","וטהרו יכול יהא מסולק ת""ל ושלח וכבס וגלח ורחץ",
"Aderet Eliyahu, Metzora 11",ושלח,Leviticus 14:7
"Aderet Eliyahu, Metzora 12",על פני השדה,Leviticus 14:7
"Aderet Eliyahu, Metzora 13",וכבס כו',Leviticus 14:8
"Aderet Eliyahu, Metzora 14","ורחץ כו' במים אפי' במי מקוה (ר""ל אף שאינו מי' חיי') ורחץ כו' וטה' ואח",
"Aderet Eliyahu, Metzora 15",שבע' ימי' ולא ימי חלוטו וכן יותם לא הי' לעוזיהו אלא בימי החלטו,
"Aderet Eliyahu, Metzora 16",כל שערו,Leviticus 14:8
"Aderet Eliyahu, Metzora 17",וביום השמיני,Leviticus 14:10
"Aderet Eliyahu, Metzora 18","ולג שמן מה ת""ל שהיה בדין שיביא ג' לוגין מה מצינו עני שמביא עשרון אח",
"Aderet Eliyahu, Metzora 19",והעמיד כו' ואתם,
"Aderet Eliyahu, Metzora 20",לפני ה' כו',
"Aderet Eliyahu, Metzora 21","ולקח וכו' ואת כו' מלמד שטעונין תנופה כאח' ומניין שאף אם הניף כ""א בפני עצמ",
"Aderet Eliyahu, Metzora 22","יכול מקום העמדה תהא שחיטה ת""ל ושחט כו' במקום כו' יכול על טבעתו ת""ל במקו",
"Aderet Eliyahu, Metzora 23",קדש קדשים,Leviticus 14:13
"Aderet Eliyahu, Metzora 24",ולקח ונתן,
"Aderet Eliyahu, Metzora 25",מלג השמן ויצק,Leviticus 14:15
"Aderet Eliyahu, Metzora 26",וכפר,Leviticus 14:18
"Aderet Eliyahu, Metzora 27",והעלה הכהן,Leviticus 14:20
"Aderet Eliyahu, Metzora 28",ואם דל הוא,Leviticus 14:21
"Aderet Eliyahu, Metzora 29",הוא,
"Aderet Eliyahu, Metzora 30","ולקח כו' מה ת""ל אחד שיכול שיביא כל השג ידו כמו בערכין ת""ל אחד",
"Aderet Eliyahu, Metzora 31",ועשרון,Leviticus 14:21
"Aderet Eliyahu, Metzora 32",על המנחה,Leviticus 14:31
"Aderet Eliyahu, Metzora 33",תורת אשר כו',Leviticus 14:32
"Aderet Eliyahu, Metzora 34","תורת מלמד שאדם מביא ע""י בנו ובתו ועבדו ושפחתו קרבן עני ומאכילן בזבחים יכול א",
"Aderet Eliyahu, Metzora 35",כי תבאו,Leviticus 14:34
"Aderet Eliyahu, Metzora 36","ונתתי עיין רש""י ז""ל רש""א פרט לנגעי אונסין כו' [ר""ל נגעי רוחות וכשפי' והוא בהוריו",
"Aderet Eliyahu, Metzora 37",ובא אשר לו,Leviticus 14:35
"Aderet Eliyahu, Metzora 38",וצוה הכהן ופנו,Leviticus 14:36
"Aderet Eliyahu, Metzora 39",וראה את הנגע והנה הנגע,Leviticus 14:37
"Aderet Eliyahu, Metzora 40",ויצא,Leviticus 14:38
"Aderet Eliyahu, Metzora 41",ביום,Leviticus 14:39
"Aderet Eliyahu, Metzora 42",וצוה הכהן וחלצו,Leviticus 14:40
"Aderet Eliyahu, Metzora 43","(עיין ברש""י ור""ל בעודן במקומן מטמאין את הטהרות)",
"Aderet Eliyahu, Metzora 44",יקצע,Leviticus 14:41
"Aderet Eliyahu, Metzora 45",ולקחו אבנים כו',Leviticus 14:42
"Aderet Eliyahu, Metzora 46",ועפר,Leviticus 14:42
"Aderet Eliyahu, Metzora 47",ואם ישוב,Leviticus 14:43
"Aderet Eliyahu, Metzora 48",אבניו,Leviticus 14:45
"Aderet Eliyahu, Metzora 49",והבא אל הבית,Leviticus 14:46
"Aderet Eliyahu, Metzora 50",יטמ' עד הערב,Leviticus 14:46
"Aderet Eliyahu, Metzora 51",והזה אל הבית,Leviticus 14:51
"Aderet Eliyahu, Metzora 52",הצפר החיה אל מחוץ לעיר,Leviticus 14:53
"Aderet Eliyahu, Metzora 53",זאת התורה לכל כו' מניין לכהן שבקי בנגעים ולא בנתקין,
"Aderet Eliyahu, Metzora 54",להורת,Leviticus 14:57
"Aderet Eliyahu, Metzora 55",בני ישראל,Leviticus 15:2
"Aderet Eliyahu, Metzora 56",ואמרתם אלהם,Leviticus 15:2
"Aderet Eliyahu, Metzora 57",זב מבשרו,Leviticus 15:2
"Aderet Eliyahu, Metzora 58",זאת,
"Aderet Eliyahu, Metzora 59",טמאתו בזובו,Leviticus 15:3
"Aderet Eliyahu, Metzora 60",תהי',
"Aderet Eliyahu, Metzora 61",רר בשרו,Leviticus 15:3
"Aderet Eliyahu, Metzora 62",או החתים,Leviticus 15:3
"Aderet Eliyahu, Metzora 63",מזובו,Leviticus 15:3
"Aderet Eliyahu, Metzora 64","כל לרבות (הוא בת""כ לקמן פרק ז' הל' א') אפי' אבן מסמא",
"Aderet Eliyahu, Metzora 65",המשכב,Leviticus 15:4
"Aderet Eliyahu, Metzora 66",אשר ישכב,Leviticus 15:4
"Aderet Eliyahu, Metzora 67",ישכב,Leviticus 15:4
"Aderet Eliyahu, Metzora 68",הזב ז' פעמים א' הזב מטמא משכב ואין משכב עוש' משכב וכן ב' במוש' וכ,
"Aderet Eliyahu, Metzora 69",הכלי,Leviticus 15:4
"Aderet Eliyahu, Metzora 70",וטמא וטמא,
"Aderet Eliyahu, Metzora 71",ואיש אשר יגע כו',Leviticus 15:5
"Aderet Eliyahu, Metzora 72",אשר יגע,Leviticus 15:5
"Aderet Eliyahu, Metzora 73",משכבו ולא הגזול,
"Aderet Eliyahu, Metzora 74",יכבס,Leviticus 15:5
"Aderet Eliyahu, Metzora 75",והישב כו' אשר ישב,
"Aderet Eliyahu, Metzora 76",וטמא,Leviticus 15:5
"Aderet Eliyahu, Metzora 77",בבשר,Leviticus 15:7
"Aderet Eliyahu, Metzora 78",וכי,Leviticus 15:8
"Aderet Eliyahu, Metzora 79",בטהור,Leviticus 15:8
"Aderet Eliyahu, Metzora 80","וכל לרבות אפי' יו""ד מרכבות זע""ז אפי' ע""ג אבן מסמא",
"Aderet Eliyahu, Metzora 81",וכל הנגע,Leviticus 15:10
"Aderet Eliyahu, Metzora 82",וידיו,Leviticus 15:11
"Aderet Eliyahu, Metzora 83",לא שטף במים,Leviticus 15:11
"Aderet Eliyahu, Metzora 84",וכלי,Leviticus 15:12
"Aderet Eliyahu, Metzora 85",בו ולהלן הוא אומר אשר תבשל בו ישבר מה להלן מאוירו אף כו' וכל כל,
"Aderet Eliyahu, Metzora 86",וכי יטהר,Leviticus 15:13
"Aderet Eliyahu, Metzora 87",מזובו ולא מזובו ונגעו,
"Aderet Eliyahu, Metzora 88",לו,Leviticus 15:13
"Aderet Eliyahu, Metzora 89","שבעת ימים יכול אפי' מפוזרין ת""ל לטהרתו טהרה אחת",
"Aderet Eliyahu, Metzora 90",וכבס בגדיו ורחץ מקיש כיבוס לרחיצה לענין חציצה,
"Aderet Eliyahu, Metzora 91",בשרו במים חיים ולא כלים,Leviticus 15:13
"Aderet Eliyahu, Metzora 92",וביום,Leviticus 15:14
"Aderet Eliyahu, Metzora 93",יקח,Leviticus 15:14
"Aderet Eliyahu, Metzora 94",שתי תרים כו' ובא לפני ה',
"Aderet Eliyahu, Metzora 95",ועשה הכהן,
"Aderet Eliyahu, Metzora 96",מזובו מקצת זובו כו',
"Aderet Eliyahu, Metzora 97",ואיש,Leviticus 15:16
"Aderet Eliyahu, Metzora 98",תצא ממנו,Leviticus 15:16
"Aderet Eliyahu, Metzora 99",שכבת זרע,Leviticus 15:16
"Aderet Eliyahu, Metzora 100",במים במי מקוה,
"Aderet Eliyahu, Metzora 101",אשר יהיה עליו,Leviticus 15:17
"Aderet Eliyahu, Metzora 102",ואשה פרט לקטנה,
"Aderet Eliyahu, Metzora 103","ש""ז פרט להעראה",
"Aderet Eliyahu, Metzora 104",ואשה לרבות בת יום א' מכאן אמרו בת יום א' לנדה בת עשרה ימים חיבה,
"Aderet Eliyahu, Metzora 105",תהיה,Leviticus 15:19
"Aderet Eliyahu, Metzora 106",אשר תשב עליו,Leviticus 15:20
"Aderet Eliyahu, Metzora 107",וכל הנגע כו',Leviticus 15:21
"Aderet Eliyahu, Metzora 108","יכול שאינו מטמא בגדים אמרת ק""ו ממשכבה כו' א""כ מה ת""ל הנגע כו' שאין הנוג",
"Aderet Eliyahu, Metzora 109",במשכבה,Leviticus 15:21
"Aderet Eliyahu, Metzora 110",ואם על המשכב הוא,Leviticus 15:23
"Aderet Eliyahu, Metzora 111",איש פרט לקטן,
"Aderet Eliyahu, Metzora 112",איש לרבות בן ט' שנים ויום א',
"Aderet Eliyahu, Metzora 113",ואשה לרבות גיורת ומשוחררת ואשה לרבות בת עשרה ימים שמטמאה בזיבה,
"Aderet Eliyahu, Metzora 114",כל כו' כמשכב,Leviticus 15:26
"Aderet Eliyahu, Metzora 115",טמא יהיה כטמאת נדתה,Leviticus 15:26
"Aderet Eliyahu, Metzora 116",לרבות שומרת יום כנגד יום,
"Aderet Eliyahu, Metzora 117",וכל הנגע בם יטמא,Leviticus 15:27
"Aderet Eliyahu, Metzora 118",ואם טהר',Leviticus 15:28
"Aderet Eliyahu, Metzora 119",שבעת ימים,Leviticus 15:28
"Aderet Eliyahu, Metzora 120",ואחר תטהר,Leviticus 15:28
"Aderet Eliyahu, Metzora 121",וביום,Leviticus 15:29
