Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Vayechi 1",וישלח ישראל כו',Genesis 48:14
"Aderet Eliyahu, Vayechi 2",ואני נתתי לך שכ',Genesis 48:22
"Aderet Eliyahu, Vayechi 3","ויקר' יעקב כו' באחרי' הימי' עיין מ""ש למט'",
"Aderet Eliyahu, Vayechi 4","ראובן בכורי כו' וראשי' אוני כמ""ש כי הו' ראשי' אונו והו' כחי כפירש""י ז""ל",
"Aderet Eliyahu, Vayechi 5",יתר שא' ויתר עז,Genesis 49:3
"Aderet Eliyahu, Vayechi 6",פחז כמים אל תותר,Genesis 49:4
"Aderet Eliyahu, Vayechi 7","יצועי עלה פי' היצוע שעלה על המטה חללת והוא כינוי על האשה (עירובין קו""ף ע""ב",
"Aderet Eliyahu, Vayechi 8",אחים באותו אומנות שמפרש והולך,
"Aderet Eliyahu, Vayechi 9","אל תבא ר""ל לא באה שלא בידיעתי עשו וכן אל תחד ג""כ לא אחדה עמה",
"Aderet Eliyahu, Vayechi 10","כי באפם כו' ואמר איש ושור על האנשים ועל המקנה ועיין רמב""ן",
"Aderet Eliyahu, Vayechi 11",גור אריה יהודה מטרף בני עלית,Genesis 49:9
