Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Shmini 74","אשר לא כרעי' ראב""י או' אעפ""י שאין לו עכשיו ועתיד לגדלן אחר זמן",
"Aderet Eliyahu, Shmini 75",ממעל לרגליו לנתר כו' זו קרסולין,Leviticus 11:21
"Aderet Eliyahu, Shmini 76","(עד שיהא שמו חגב הכל בחולין ס""ה ע""א וע""ב) ארבה זו גובאי סלע' זה רישו",
"Aderet Eliyahu, Shmini 77",אשר לו ארבע,Leviticus 11:23
"Aderet Eliyahu, Shmini 78",הא אם יש לו חמש הרי זה טהור,
"Aderet Eliyahu, Shmini 79",ולאלה תטמאו,Leviticus 11:24
"Aderet Eliyahu, Shmini 80",לכל הבהמה,Leviticus 11:26
"Aderet Eliyahu, Shmini 81",בנבלתם,Leviticus 11:27
"Aderet Eliyahu, Shmini 82",בנבלתם,Leviticus 11:27
"Aderet Eliyahu, Shmini 83",יטמא,Leviticus 11:27
"Aderet Eliyahu, Shmini 84",והנש',Leviticus 11:28
"Aderet Eliyahu, Shmini 85",וזה,Leviticus 11:29
"Aderet Eliyahu, Shmini 86",וזה,Leviticus 11:29
"Aderet Eliyahu, Shmini 87",האנקה,
"Aderet Eliyahu, Shmini 88",אלה הטמאים לכם בכל השרץ,Leviticus 11:31
"Aderet Eliyahu, Shmini 89",וכל אשר יפל עליו מהם,Leviticus 11:32
"Aderet Eliyahu, Shmini 90","להוצי' סולם וקולב ומנורה ומה ראי' ת""ל או שק מה שק מיוחד שמשמש את האד",
"Aderet Eliyahu, Shmini 91",כלי חרס,Leviticus 11:33
"Aderet Eliyahu, Shmini 92",אשר יפל מהם כו',Leviticus 11:33
"Aderet Eliyahu, Shmini 93",אל תוכו,Leviticus 11:33
"Aderet Eliyahu, Shmini 94",כל אשר בתוכו יטמא,Leviticus 11:33
"Aderet Eliyahu, Shmini 95",תוכו,
"Aderet Eliyahu, Shmini 96",ואתו תשברו,Leviticus 11:33
"Aderet Eliyahu, Shmini 97",כל האכל,Leviticus 11:34
"Aderet Eliyahu, Shmini 98",בכל כלי,Leviticus 11:34
"Aderet Eliyahu, Shmini 99",מנבלתם,Leviticus 11:35
"Aderet Eliyahu, Shmini 100","מעין כו' מקוה יכול אפי' מילא בכתפו ת""ל מעין",
"Aderet Eliyahu, Shmini 101",וכי יפל מנבלתם,Leviticus 11:37
"Aderet Eliyahu, Shmini 102","מניין לזרעים טמאים שזרען שטהרו ת""ל אשר יזרע טהור יכול אעפ""י שלא השרישו ת""ל הוא",
"Aderet Eliyahu, Shmini 103",וכי יתן כו' הרי זה בא ללמד שאין השרץ מטמא הזרעים אלא לאחר הכשר,
"Aderet Eliyahu, Shmini 104",וכי ימות,Leviticus 11:39
"Aderet Eliyahu, Shmini 105",לאכלה,Leviticus 11:39
"Aderet Eliyahu, Shmini 106","והאכל מנבלתה כו' עיי' רש""י ז""ל",
"Aderet Eliyahu, Shmini 107",שקץ הוא לא יאכל,Leviticus 11:41
"Aderet Eliyahu, Shmini 108",עד כו',Leviticus 11:42
"Aderet Eliyahu, Shmini 109",אל תשקצו כו' בכל השרץ כו',Leviticus 11:43
"Aderet Eliyahu, Shmini 110",ולא תטמאו בהם ונטמתם בם,Leviticus 11:43
"Aderet Eliyahu, Shmini 111",כי אני ה',Leviticus 11:44
"Aderet Eliyahu, Shmini 112",כי אני ה' המעלה כו',
"Aderet Eliyahu, Shmini 113","בד' מצות א' בעשה וג' בל""ת",
"Aderet Eliyahu, Shmini 114",להיות לכם לאלהים,Leviticus 11:45
"Aderet Eliyahu, Shmini 115","(מכאן עד הכשירו בסי' אחד עיין בחולין כ""ז ע""ב)",
"Aderet Eliyahu, Shmini 116",זאת תורת הבהמ' והעוף כו',Leviticus 11:46
"Aderet Eliyahu, Shmini 117",וכל נפש החיה,Leviticus 11:46
"Aderet Eliyahu, Shmini 118",להבדיל בין הטמא ובין הטהר כו',Leviticus 11:47
