Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Achrei Mot 1",בני אהרן,Leviticus 16:1
"Aderet Eliyahu, Achrei Mot 2",ויאמר ה' אל משה,
"Aderet Eliyahu, Achrei Mot 3",אהרן,Leviticus 16:2
"Aderet Eliyahu, Achrei Mot 4","ולא ימות יכול כולן במיתה ת""ל מבית לפרכת כו' מבית לפרכת ואל פני הכפרת במית",
"Aderet Eliyahu, Achrei Mot 5",בזאת יבא אהרן,Leviticus 16:3
"Aderet Eliyahu, Achrei Mot 6",בזאת יבא אהרן כו',Leviticus 16:3
"Aderet Eliyahu, Achrei Mot 7",אל הקדש,Leviticus 16:3
"Aderet Eliyahu, Achrei Mot 8",בפר בן בקר לחטאת ואיל לעלה,Leviticus 16:3
"Aderet Eliyahu, Achrei Mot 9","בפר בן בקר (מכאן עד ביו""כ אינו בת""כ רק במ""ר פ' כ""א) בזכות אברהם דכתי",
"Aderet Eliyahu, Achrei Mot 10",כתנת בד קדש,Leviticus 16:4
"Aderet Eliyahu, Achrei Mot 11",קדש,Leviticus 16:4
"Aderet Eliyahu, Achrei Mot 12",ומאת עדת בני ישראל,Leviticus 16:5
"Aderet Eliyahu, Achrei Mot 13",יקח שני שעירי עזים,Leviticus 16:5
"Aderet Eliyahu, Achrei Mot 14",והקריב כו' אשר לו,
"Aderet Eliyahu, Achrei Mot 15",וכפר,Leviticus 16:6
"Aderet Eliyahu, Achrei Mot 16",ולקח את שני השעירים,Leviticus 16:7
"Aderet Eliyahu, Achrei Mot 17",ונתן אהרן על שני השעירים גרלות,Leviticus 16:8
"Aderet Eliyahu, Achrei Mot 18",גרלות,
"Aderet Eliyahu, Achrei Mot 19",והקריב כו' אשר עלה עליו,Leviticus 16:9
"Aderet Eliyahu, Achrei Mot 20",ועשהו חטאת,Leviticus 16:9
"Aderet Eliyahu, Achrei Mot 21",חטאת,Leviticus 16:9
"Aderet Eliyahu, Achrei Mot 22",והשעיר אשר עלה עליו הגורל,Leviticus 16:10
"Aderet Eliyahu, Achrei Mot 23",יעמד חי,Leviticus 16:10
"Aderet Eliyahu, Achrei Mot 24",והקריב כו' בעד ביתו,
"Aderet Eliyahu, Achrei Mot 25",ולקח מלא המחתה,Leviticus 16:12
"Aderet Eliyahu, Achrei Mot 26",גחלי,Leviticus 16:12
"Aderet Eliyahu, Achrei Mot 27","מעל המזבח מלפני כו' איזהו (אינו בת""כ רק ביומא מ""ה ע""ב) שמקצתו לפני ה' ול",
"Aderet Eliyahu, Achrei Mot 28",מלפני ה',
"Aderet Eliyahu, Achrei Mot 29",מלא חפניו,Leviticus 16:12
"Aderet Eliyahu, Achrei Mot 30",קטרת סמים,Leviticus 16:12
"Aderet Eliyahu, Achrei Mot 31",סמים,
"Aderet Eliyahu, Achrei Mot 32",והביא מבית לפרכת ונתן את הקטרת על האש לפני ה',Leviticus 16:12-13
"Aderet Eliyahu, Achrei Mot 33",ולא ימות,Leviticus 16:13
"Aderet Eliyahu, Achrei Mot 34",אשר על העדות,
"Aderet Eliyahu, Achrei Mot 35",ולקח מדם הפר,Leviticus 16:14
"Aderet Eliyahu, Achrei Mot 36",על פני הכפרת קדמה,Leviticus 16:14
"Aderet Eliyahu, Achrei Mot 37",ולפני הכפרת,Leviticus 16:14
"Aderet Eliyahu, Achrei Mot 38",יזה,Leviticus 16:14
"Aderet Eliyahu, Achrei Mot 39",ושחט את שעיר החטא' אשר לעם,Leviticus 16:15
"Aderet Eliyahu, Achrei Mot 40",והביא את דמו אל מבית לפרכת,Leviticus 16:15
"Aderet Eliyahu, Achrei Mot 41",והזה אתו על הכפרת,Leviticus 16:15
"Aderet Eliyahu, Achrei Mot 42",וכפר על הקדש מטמאת בני ישראל,Leviticus 16:16
"Aderet Eliyahu, Achrei Mot 43",השכן אתם,Leviticus 16:16
"Aderet Eliyahu, Achrei Mot 44",וכל אדם וכו' וכפר כו' זו הקטרת שכלן נתכפרין בה,
"Aderet Eliyahu, Achrei Mot 45",באהל מועד,Leviticus 16:17
"Aderet Eliyahu, Achrei Mot 46",ויצא אל המזבח אשר לפני ה',Leviticus 16:18
"Aderet Eliyahu, Achrei Mot 47",ולקח,Leviticus 16:18
"Aderet Eliyahu, Achrei Mot 48",וקדשו,Leviticus 16:19
"Aderet Eliyahu, Achrei Mot 49",והקריב את השעי' החי,Leviticus 16:20
"Aderet Eliyahu, Achrei Mot 50",וסמך אהרן את שתי ידו,Leviticus 16:21
"Aderet Eliyahu, Achrei Mot 51","את כל עונת כו' כיצ' היה מתודה [הוא ביומא ל""ו ע""ב] עויתי פשעתי חטאתי דר""",
"Aderet Eliyahu, Achrei Mot 52",ושלח ביד איש,Leviticus 16:21
"Aderet Eliyahu, Achrei Mot 53",ונשא השעיר עליו,Leviticus 16:22
"Aderet Eliyahu, Achrei Mot 54",ושלח את השעיר במדבר,Leviticus 16:22
"Aderet Eliyahu, Achrei Mot 55","ד""א במדבר [שם ס""ז ע""ב] שאברין מותרין כמדבר",
"Aderet Eliyahu, Achrei Mot 56",ובא אהרן,Leviticus 16:23
"Aderet Eliyahu, Achrei Mot 57",ורחץ את בשרו במים,Leviticus 16:24
"Aderet Eliyahu, Achrei Mot 58",ואת חלב החטאת יקטיר,Leviticus 16:25
"Aderet Eliyahu, Achrei Mot 59",והמשלח,Leviticus 16:26
"Aderet Eliyahu, Achrei Mot 60","יכול גזירת מלך ת""ל ואח""כ יבוא נאמר כאן ואח""כ ונאמר להלן ואח""כ מה להלן מפנ",
"Aderet Eliyahu, Achrei Mot 61",ואת פר החטאת ואת שעיר החטאת,Leviticus 16:27
"Aderet Eliyahu, Achrei Mot 62",לכפר בקדש,Leviticus 16:27
"Aderet Eliyahu, Achrei Mot 63",והשרף,Leviticus 16:28
"Aderet Eliyahu, Achrei Mot 64",והיתה לכם,Leviticus 16:29
"Aderet Eliyahu, Achrei Mot 65",תענו את נפשתיכם,Leviticus 16:29
"Aderet Eliyahu, Achrei Mot 66",וכל מלאכה לא תעשו,Leviticus 16:29
"Aderet Eliyahu, Achrei Mot 67",כי ביום הזה יכפר,Leviticus 16:30
"Aderet Eliyahu, Achrei Mot 68","שבת שבתון ועניתם [יומא ע""ו ע""א] שבתון שבות מלמ' שיו""כ אסור באכילה ושתי' ורחיצה כו",
"Aderet Eliyahu, Achrei Mot 69","וכפר הכהן עיין רש""י ז""ל",Leviticus 16:32
"Aderet Eliyahu, Achrei Mot 70","אשר ימשח אתו עיין רש""י ז""ל",Leviticus 16:32
"Aderet Eliyahu, Achrei Mot 71",וכפר את מקדש הקדש,Leviticus 16:33
"Aderet Eliyahu, Achrei Mot 72",והיתה זאת לכם כו',Leviticus 16:34
"Aderet Eliyahu, Achrei Mot 73",ואל כל בני ישראל,Leviticus 17:2
"Aderet Eliyahu, Achrei Mot 74",איש איש,
"Aderet Eliyahu, Achrei Mot 75",ואמרת אליהם,Leviticus 17:2
"Aderet Eliyahu, Achrei Mot 76","ואל פתח כו' למעוטי גגו של היכל שאינו חייב [אינו בת""כ רק בזבחים ק""ז ע""ב]",
"Aderet Eliyahu, Achrei Mot 77",קרבן,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 78","לא הביאו (אינו בת""כ רק בזבחים ק""ו ע""ב) ולמטה הוא אומר לא יביאנו מה למט",
"Aderet Eliyahu, Achrei Mot 79",לאיש ההוא,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 80",דם שפך,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 81",ונכרת האיש,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 82",ההוא,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 83",מקרב עמו,Leviticus 17:4
"Aderet Eliyahu, Achrei Mot 84",למען אשר יביאו,Leviticus 17:5
"Aderet Eliyahu, Achrei Mot 85",על פני השד' מלמד שכל הזובח בבמה כזובח על פני השדה,
"Aderet Eliyahu, Achrei Mot 86",והביאם לה',
"Aderet Eliyahu, Achrei Mot 87",וזבחו זבחי שלמים,Leviticus 17:5
"Aderet Eliyahu, Achrei Mot 88",וזרק הכהן את הדם על מזבח,Leviticus 17:6
"Aderet Eliyahu, Achrei Mot 89",לריח ניחח לה',
"Aderet Eliyahu, Achrei Mot 90",והקטיר,Leviticus 17:6
"Aderet Eliyahu, Achrei Mot 91",לשעירים,Leviticus 17:7
"Aderet Eliyahu, Achrei Mot 92",אשר הם זנים,Leviticus 17:7
"Aderet Eliyahu, Achrei Mot 93",חקת עולם,Leviticus 17:7
"Aderet Eliyahu, Achrei Mot 94",תהיה זאת אף בזמן הזה,Leviticus 17:7
"Aderet Eliyahu, Achrei Mot 95",ואלהם תאמר,Leviticus 17:8
"Aderet Eliyahu, Achrei Mot 96",איש איש,Leviticus 17:8
"Aderet Eliyahu, Achrei Mot 97",אתו,Leviticus 17:9
