Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Vayakhel 1",ויבאו כל איש אשר נשאו לבו וכל אשר נדבה כו' נשאו לבו הוא לקרבה א,Exodus 35:21
"Aderet Eliyahu, Vayakhel 2",ויעשו כל חכם לב וכו' הנה מלאכ' המשכן חזרה התורה ז' פעמי' בכלל ופרט והו,
