a,בּ
c,דּ
B,וֹ
e,וֹּ
G,לֹ
f,זּ
i,יּ
k,כּ
z,תּ
M,שּׁ
L,שׁ
l,לּ
n,מּ
t,פּ
w,קּ
v,צּ
N,שׂ
b,גּ
C,ךְ
E,ךָ
d,הּ
h,טּ
O,שּׂ
q,סּ
p,נּ
H,לֹּ
D,ךָּ
‰,֧
ƒ,֤
€,֑
‹,֒
„,֚
‡,֥
†,֣
•,֞
|,׀
˜,֠
