Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2b:1		טומאת מת	5.9						0	http://www.sefaria.org/Bava_Kamma.2b:1	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.5.9					Bava_Kamma.2b:1	Mishneh_Torah,_Defilement_by_a_Corpse.5.9			
2b:3		טומאת מת	5.7	עשין	231				0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.5.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.231				Bava_Kamma.2b:3	Mishneh_Torah,_Defilement_by_a_Corpse.5.7	Sefer_Mitzvot_Gadol,_Volume_Two.231		
2b:3		טומאת מת	1.5	עשין	247				0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.1.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.247				Bava_Kamma.2b:3	Mishneh_Torah,_Defilement_by_a_Corpse.1.5	Sefer_Mitzvot_Gadol,_Volume_Two.247		
2b:3		שאר אבות הטומאות	1.1						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.1.1					Bava_Kamma.2b:3	Mishneh_Torah,_Other_Sources_of_Defilement.1.1			
2b:3		שאר אבות הטומאות	4.2						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.4.2					Bava_Kamma.2b:3	Mishneh_Torah,_Other_Sources_of_Defilement.4.2			
2b:3		שאר אבות הטומאות	5.1						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.5.1					Bava_Kamma.2b:3	Mishneh_Torah,_Other_Sources_of_Defilement.5.1			
2b:3		טומאת צרעת	10.11						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Defilement_by_Leprosy.10.11					Bava_Kamma.2b:3	Mishneh_Torah,_Defilement_by_Leprosy.10.11			
2b:3		מטמאי משכב ומושב	1.1						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.1					Bava_Kamma.2b:3	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.1			
2b:3		טומאת מת	5.7	עשין	247				0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.5.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.247				Bava_Kamma.2b:3	Mishneh_Torah,_Defilement_by_a_Corpse.5.7	Sefer_Mitzvot_Gadol,_Volume_Two.247		
2b:3		שאר אבות הטומאות	1.1						0	http://www.sefaria.org/Bava_Kamma.2b:3	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.1.1					Bava_Kamma.2b:3	Mishneh_Torah,_Other_Sources_of_Defilement.1.1			
2b:8-9		נזקי ממון	2.1	עשין	67	ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2b:8-9	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2b:8-9	Mishneh_Torah,_Damages_to_Property.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
