Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
23b:49-50		נזקי ממון	5.1	עשין	67	ח"מ	397.1	ח"מ	397	http://www.sefaria.org/Bava_Kamma.23b:49-50	sefaria.org/Mishneh_Torah,_Damages_to_Property.5.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.397.1	sefaria.org/Tur,_Choshen_Mishpat.397		Bava_Kamma.23b:49-50	Mishneh_Torah,_Damages_to_Property.5.1	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.397.1	Tur,_Choshen_Mishpat.397
23b:49-50						ח"מ	397.2	ח"מ	397	http://www.sefaria.org/Bava_Kamma.23b:49-50			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.397.2	sefaria.org/Tur,_Choshen_Mishpat.397		Bava_Kamma.23b:49-50			Shulchan_Arukh,_Choshen_Mishpat.397.2	Tur,_Choshen_Mishpat.397
23b:52		נזקי ממון	6.1	עשין	67	ח"מ	389.5	ח"מ	389	http://www.sefaria.org/Bava_Kamma.23b:52	sefaria.org/Mishneh_Torah,_Damages_to_Property.6.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.5	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.23b:52	Mishneh_Torah,_Damages_to_Property.6.1	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.5	Tur,_Choshen_Mishpat.389
23b:54		נזקי ממון	6.7						0	http://www.sefaria.org/Bava_Kamma.23b:54	sefaria.org/Mishneh_Torah,_Damages_to_Property.6.7					Bava_Kamma.23b:54	Mishneh_Torah,_Damages_to_Property.6.7			
24a:5		מחוסרי כפרה	2.7						0	http://www.sefaria.org/Bava_Kamma.24a:5	sefaria.org/Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.2.7					Bava_Kamma.24a:5	Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.2.7			
24a:5		מחוסרי כפרה	2.8						0	http://www.sefaria.org/Bava_Kamma.24a:5	sefaria.org/Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.2.8					Bava_Kamma.24a:5	Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.2.8			
24a:5		איסורי ביאה	6.7	עשין	243				0	http://www.sefaria.org/Bava_Kamma.24a:5	sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.6.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.243				Bava_Kamma.24a:5	Mishneh_Torah,_Forbidden_Intercourse.6.7	Sefer_Mitzvot_Gadol,_Volume_Two.243		
24a:25-26		נזקי ממון	6.1						0	http://www.sefaria.org/Bava_Kamma.24a:25-26	sefaria.org/Mishneh_Torah,_Damages_to_Property.6.1					Bava_Kamma.24a:25-26	Mishneh_Torah,_Damages_to_Property.6.1			
24a:32		נזקי ממון	6.2						0	http://www.sefaria.org/Bava_Kamma.24a:32	sefaria.org/Mishneh_Torah,_Damages_to_Property.6.2					Bava_Kamma.24a:32	Mishneh_Torah,_Damages_to_Property.6.2			
24a:32		סנהדרין והעונשין המסורין להם	5.12						0	http://www.sefaria.org/Bava_Kamma.24a:32	sefaria.org/Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.5.12					Bava_Kamma.24a:32	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.5.12			
24a:33		עדות	21.8						0	http://www.sefaria.org/Bava_Kamma.24a:33	sefaria.org/Mishneh_Torah,_Testimony.21.8					Bava_Kamma.24a:33	Mishneh_Torah,_Testimony.21.8			
24b:9		עדות	21.8						0	http://www.sefaria.org/Bava_Kamma.24b:9	sefaria.org/Mishneh_Torah,_Testimony.21.8					Bava_Kamma.24b:9	Mishneh_Torah,_Testimony.21.8			
24b:11		עדות	21.8						0	http://www.sefaria.org/Bava_Kamma.24b:11	sefaria.org/Mishneh_Torah,_Testimony.21.8					Bava_Kamma.24b:11	Mishneh_Torah,_Testimony.21.8			
24b:13		עדות	21.8						0	http://www.sefaria.org/Bava_Kamma.24b:13	sefaria.org/Mishneh_Torah,_Testimony.21.8					Bava_Kamma.24b:13	Mishneh_Torah,_Testimony.21.8			
24b:18		נזקי ממון	2.19	עשין	67	ח"מ	395	ח"מ	395	http://www.sefaria.org/Bava_Kamma.24b:18	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.395	sefaria.org/Tur,_Choshen_Mishpat.395		Bava_Kamma.24b:18	Mishneh_Torah,_Damages_to_Property.2.19	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.395	Tur,_Choshen_Mishpat.395
24b:19		נזקי ממון	2.19	עשין	67	ח"מ	395	ח"מ	395	http://www.sefaria.org/Bava_Kamma.24b:19	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.395	sefaria.org/Tur,_Choshen_Mishpat.395		Bava_Kamma.24b:19	Mishneh_Torah,_Damages_to_Property.2.19	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.395	Tur,_Choshen_Mishpat.395
24b:42		נזקי ממון	2.20	עשין	67	ח"מ	389.20	ח"מ	389	http://www.sefaria.org/Bava_Kamma.24b:42	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.20	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.20	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.24b:42	Mishneh_Torah,_Damages_to_Property.2.20	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.20	Tur,_Choshen_Mishpat.389
24b:45-47		נזקי ממון	1.7	עשין	67	ח"מ	389.11	ח"מ	389	http://www.sefaria.org/Bava_Kamma.24b:45-47	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.11	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.24b:45-47	Mishneh_Torah,_Damages_to_Property.1.7	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.11	Tur,_Choshen_Mishpat.389
24b:45-47		נזקי ממון	1.8						0	http://www.sefaria.org/Bava_Kamma.24b:45-47	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.8					Bava_Kamma.24b:45-47	Mishneh_Torah,_Damages_to_Property.1.8			
25a:45		מטמאי משכב ומושב	1.14						0	http://www.sefaria.org/Bava_Kamma.25a:45	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.14					Bava_Kamma.25a:45	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.14			
25b:1		מטמאי משכב ומושב	1.12	עשין	241				0	http://www.sefaria.org/Bava_Kamma.25b:1	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.241				Bava_Kamma.25b:1	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.12	Sefer_Mitzvot_Gadol,_Volume_Two.241		
25b:1		מטמאי משכב ומושב	1.14	עשין	242				0	http://www.sefaria.org/Bava_Kamma.25b:1	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.242				Bava_Kamma.25b:1	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.14	Sefer_Mitzvot_Gadol,_Volume_Two.242		
25b:1		מטמאי משכב ומושב	1.8						0	http://www.sefaria.org/Bava_Kamma.25b:1	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.8					Bava_Kamma.25b:1	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.1.8			
25b:8		כלים	1.13						0	http://www.sefaria.org/Bava_Kamma.25b:8	sefaria.org/Mishneh_Torah,_Vessels.1.13					Bava_Kamma.25b:8	Mishneh_Torah,_Vessels.1.13			
25b:8		כלים	23.1						0	http://www.sefaria.org/Bava_Kamma.25b:8	sefaria.org/Mishneh_Torah,_Vessels.23.1					Bava_Kamma.25b:8	Mishneh_Torah,_Vessels.23.1			
25b:18		כלים	1.13						0	http://www.sefaria.org/Bava_Kamma.25b:18	sefaria.org/Mishneh_Torah,_Vessels.1.13					Bava_Kamma.25b:18	Mishneh_Torah,_Vessels.1.13			
25b:18		כלים	23.1						0	http://www.sefaria.org/Bava_Kamma.25b:18	sefaria.org/Mishneh_Torah,_Vessels.23.1					Bava_Kamma.25b:18	Mishneh_Torah,_Vessels.23.1			
25b:41		טומאת מת	5.1	עשין	231				0	http://www.sefaria.org/Bava_Kamma.25b:41	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.5.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.231				Bava_Kamma.25b:41	Mishneh_Torah,_Defilement_by_a_Corpse.5.1	Sefer_Mitzvot_Gadol,_Volume_Two.231		
26a:27		נזקי ממון	10.13	עשין	67				0	http://www.sefaria.org/Bava_Kamma.26a:27	sefaria.org/Mishneh_Torah,_Damages_to_Property.10.13	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67				Bava_Kamma.26a:27	Mishneh_Torah,_Damages_to_Property.10.13	Sefer_Mitzvot_Gadol,_Volume_Two.67		
26a:44		חובל ומזיק	1.11	עשין	70	ח"מ	421.3	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26a:44	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.3	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26a:44	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.3	Tur,_Choshen_Mishpat.421
26a:44		חובל ומזיק	6.1			ח"מ	378.1	ח"מ	378	http://www.sefaria.org/Bava_Kamma.26a:44	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.1		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.378.1	sefaria.org/Tur,_Choshen_Mishpat.378		Bava_Kamma.26a:44	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.1		Shulchan_Arukh,_Choshen_Mishpat.378.1	Tur,_Choshen_Mishpat.378
26a:45		חובל ומזיק	6.1	עשין	70	ח"מ	378.1	ח"מ	378	http://www.sefaria.org/Bava_Kamma.26a:45	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.378.1	sefaria.org/Tur,_Choshen_Mishpat.378		Bava_Kamma.26a:45	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.1	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.378.1	Tur,_Choshen_Mishpat.378
26a:48		חובל ומזיק	1.11	עשין	70	ח"מ	421.3	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26a:48	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.3	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26a:48	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.3	Tur,_Choshen_Mishpat.421
26a:48		חובל ומזיק	1.15			ח"מ	421.10	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26a:48	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.10	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26a:48	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15		Shulchan_Arukh,_Choshen_Mishpat.421.10	Tur,_Choshen_Mishpat.421
26b:9		חובל ומזיק	1.15	עשין	70	ח"מ	421.10	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26b:9	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.10	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26b:9	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.10	Tur,_Choshen_Mishpat.421
26b:9		שבת	1.9	עשין	30				0	http://www.sefaria.org/Bava_Kamma.26b:9	sefaria.org/Mishneh_Torah,_Sabbath.1.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.30				Bava_Kamma.26b:9	Mishneh_Torah,_Sabbath.1.9	Sefer_Mitzvot_Gadol,_Volume_Two.30		
26b:9				לאוין	65				0	http://www.sefaria.org/Bava_Kamma.26b:9		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65				Bava_Kamma.26b:9		Sefer_Mitzvot_Gadol,_Volume_One.65		
26b:9		רוצח ושמירת נפש	6.14	עשין	75				0	http://www.sefaria.org/Bava_Kamma.26b:9	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.75				Bava_Kamma.26b:9	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.14	Sefer_Mitzvot_Gadol,_Volume_Two.75		
26b:10		עבדים	5.13	עשין	87	י"ד	267.36	י"ד	267	http://www.sefaria.org/Bava_Kamma.26b:10	sefaria.org/Mishneh_Torah,_Slaves.5.13	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.87	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.267.36	sefaria.org/Tur,_Yoreh_Deah.267		Bava_Kamma.26b:10	Mishneh_Torah,_Slaves.5.13	Sefer_Mitzvot_Gadol,_Volume_Two.87	Shulchan_Arukh,_Yoreh_De'ah.267.36	Tur,_Yoreh_Deah.267
26b:12		חובל ומזיק	1.16	עשין	70	ח"מ	421.10	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26b:12	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.16	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.10	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26b:12	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.16	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.10	Tur,_Choshen_Mishpat.421
26b:12		רוצח ושמירת נפש	6.15						0	http://www.sefaria.org/Bava_Kamma.26b:12	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.15					Bava_Kamma.26b:12	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.15			
26b:14		שבת	1.9						0	http://www.sefaria.org/Bava_Kamma.26b:14	sefaria.org/Mishneh_Torah,_Sabbath.1.9					Bava_Kamma.26b:14	Mishneh_Torah,_Sabbath.1.9			
26b:15		חובל ומזיק	1.15	עשין	70	ח"מ	421.10	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26b:15	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.10	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26b:15	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.10	Tur,_Choshen_Mishpat.421
26b:15		שבת	1.9						0	http://www.sefaria.org/Bava_Kamma.26b:15	sefaria.org/Mishneh_Torah,_Sabbath.1.9					Bava_Kamma.26b:15	Mishneh_Torah,_Sabbath.1.9			
26b:15		רוצח ושמירת נפש	6.10						0	http://www.sefaria.org/Bava_Kamma.26b:15	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.10					Bava_Kamma.26b:15	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.10			
26b:16		עבדים	5.11	עשין	87	י"ד	267.36	י"ד	267	http://www.sefaria.org/Bava_Kamma.26b:16	sefaria.org/Mishneh_Torah,_Slaves.5.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.87	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.267.36	sefaria.org/Tur,_Yoreh_Deah.267		Bava_Kamma.26b:16	Mishneh_Torah,_Slaves.5.11	Sefer_Mitzvot_Gadol,_Volume_Two.87	Shulchan_Arukh,_Yoreh_De'ah.267.36	Tur,_Yoreh_Deah.267
26b:17		חובל ומזיק	1.15	עשין	70	ח"מ	421.10	ח"מ	421	http://www.sefaria.org/Bava_Kamma.26b:17	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.10	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.26b:17	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.15	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.10	Tur,_Choshen_Mishpat.421
26b:19		שבת	13.20						0	http://www.sefaria.org/Bava_Kamma.26b:19	sefaria.org/Mishneh_Torah,_Sabbath.13.20					Bava_Kamma.26b:19	Mishneh_Torah,_Sabbath.13.20			
26b:20		רוצח ושמירת נפש	6.10						0	http://www.sefaria.org/Bava_Kamma.26b:20	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.10					Bava_Kamma.26b:20	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.6.10			
26b:22		חובל ומזיק	7.12	עשין	70	ח"מ	386.4	ח"מ	386	http://www.sefaria.org/Bava_Kamma.26b:22	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.386.4	sefaria.org/Tur,_Choshen_Mishpat.386		Bava_Kamma.26b:22	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.12	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.386.4	Tur,_Choshen_Mishpat.386
26b:25		חובל ומזיק	7.17			ח"מ	386.3	ח"מ	386	http://www.sefaria.org/Bava_Kamma.26b:25	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.17		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.386.3	sefaria.org/Tur,_Choshen_Mishpat.386		Bava_Kamma.26b:25	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.17		Shulchan_Arukh,_Choshen_Mishpat.386.3	Tur,_Choshen_Mishpat.386
26b:29		רוצח ושמירת נפש	4.6	לאוין	163				0	http://www.sefaria.org/Bava_Kamma.26b:29	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.163				Bava_Kamma.26b:29	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.4.6	Sefer_Mitzvot_Gadol,_Volume_One.163		
27a:5		נזקי ממון	11.1	עשין	67				0	http://www.sefaria.org/Bava_Kamma.27a:5	sefaria.org/Mishneh_Torah,_Damages_to_Property.11.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67				Bava_Kamma.27a:5	Mishneh_Torah,_Damages_to_Property.11.1	Sefer_Mitzvot_Gadol,_Volume_Two.67		
27a:8		יבום וחליצה	2.4	עשין	81	אה"ע	166.8	אה"ע	166	http://www.sefaria.org/Bava_Kamma.27a:8	sefaria.org/Mishneh_Torah,_Levirate_Marriage_and_Release.2.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.81	sefaria.org/Shulchan_Arukh,_Even_HaEzer.166.8	sefaria.org/Tur,_Even_HaEzer.166		Bava_Kamma.27a:8	Mishneh_Torah,_Levirate_Marriage_and_Release.2.4	Sefer_Mitzvot_Gadol,_Volume_Two.81	Shulchan_Arukh,_Even_HaEzer.166.8	Tur,_Even_HaEzer.166
27a:11		חובל ומזיק	1.10	עשין	70	ח"מ	421.1	ח"מ	421	http://www.sefaria.org/Bava_Kamma.27a:11	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.1	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.27a:11	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.1	Tur,_Choshen_Mishpat.421
27a:13		חובל ומזיק	1.12			ח"מ	421.11	ח"מ	421	http://www.sefaria.org/Bava_Kamma.27a:13	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.11	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.27a:13	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		Shulchan_Arukh,_Choshen_Mishpat.421.11	Tur,_Choshen_Mishpat.421
27a:14		חובל ומזיק	1.12			ח"מ	421.11	ח"מ	421	http://www.sefaria.org/Bava_Kamma.27a:14	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.11	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.27a:14	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		Shulchan_Arukh,_Choshen_Mishpat.421.11	Tur,_Choshen_Mishpat.421
27a:18		חובל ומזיק	1.12			ח"מ	421.11	ח"מ	421	http://www.sefaria.org/Bava_Kamma.27a:18	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.11	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.27a:18	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.12		Shulchan_Arukh,_Choshen_Mishpat.421.11	Tur,_Choshen_Mishpat.421
27a:20						ח"מ	383.1	ח"מ	383	http://www.sefaria.org/Bava_Kamma.27a:20			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.383.1	sefaria.org/Tur,_Choshen_Mishpat.383		Bava_Kamma.27a:20			Shulchan_Arukh,_Choshen_Mishpat.383.1	Tur,_Choshen_Mishpat.383
27a:20		חובל ומזיק	4.22	עשין	70	ח"מ	418.18	ח"מ	418	http://www.sefaria.org/Bava_Kamma.27a:20	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.4.22	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.418.18	sefaria.org/Tur,_Choshen_Mishpat.418		Bava_Kamma.27a:20	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.4.22	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.418.18	Tur,_Choshen_Mishpat.418
27a:24		רוצח ושמירת נפש	3.9						0	http://www.sefaria.org/Bava_Kamma.27a:24	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.3.9					Bava_Kamma.27a:24	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.3.9			
27a:26		חובל ומזיק	5.10	עשין	70	ח"מ	380.1	ח"מ	380	http://www.sefaria.org/Bava_Kamma.27a:26	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.5.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.380.1	sefaria.org/Tur,_Choshen_Mishpat.380		Bava_Kamma.27a:26	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.5.10	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.380.1	Tur,_Choshen_Mishpat.380
27a:32		חובל ומזיק	5.10	עשין	70	ח"מ	383.1	ח"מ	383	http://www.sefaria.org/Bava_Kamma.27a:32	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.5.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.383.1	sefaria.org/Tur,_Choshen_Mishpat.383		Bava_Kamma.27a:32	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.5.10	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.383.1	Tur,_Choshen_Mishpat.383
27a:32		חובל ומזיק	4.22			ח"מ	418.18	ח"מ	418	http://www.sefaria.org/Bava_Kamma.27a:32	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.4.22		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.418.18	sefaria.org/Tur,_Choshen_Mishpat.418		Bava_Kamma.27a:32	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.4.22		Shulchan_Arukh,_Choshen_Mishpat.418.18	Tur,_Choshen_Mishpat.418
27a:34		נזקי ממון	13.5	עשין	68	ח"מ	412.1	ח"מ	412	http://www.sefaria.org/Bava_Kamma.27a:34	sefaria.org/Mishneh_Torah,_Damages_to_Property.13.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.412.1	sefaria.org/Tur,_Choshen_Mishpat.412		Bava_Kamma.27a:34	Mishneh_Torah,_Damages_to_Property.13.5	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.412.1	Tur,_Choshen_Mishpat.412
