txt file line,Perek running counter,page running counter,Perek aprx,Page aprx,Rambam,Semag,Tur Shulchan Arukh,original,problem
15,,,0,14,"['Mishneh Torah, Shofar, Sukkah and Lulav 4', 'Mishneh Torah, Shofar, Sukkah and Lulav 5']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 630']","@11א מיי' פ""ד ופ""ה מהלכות סוכה סמג עשין מג טור א""ח סי' תרל",False
16,,,0,15,"['Mishneh Torah, Shofar, Sukkah and Lulav 5']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 632']","@11ב מיי' פ""ה מהלכות סוכה סמג עשין מג טור א""ח סי' תרלב",False
17,,,0,16,"['Mishneh Torah, Shofar, Sukkah and Lulav 4']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 634']","@11א מיי' פ""ד מהלכות סוכה סמג עשין מג טור א""ח סי' תרלד",False
18,,,0,17,"['Mishneh Torah, Shofar, Sukkah and Lulav 5']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 626']","@11ב מיי' פ""ה מהלכות סוכה סמג עשין מג טור א""ח סי' תרכו",False
19,,,0,18,"['Mishneh Torah, Shofar, Sukkah and Lulav 6', 'Mishneh Torah, Reading the Shema 4']","['Sefer Mitzvot Gadol, Positive Commandments 43', 'Sefer Mitzvot Gadol, Positive Commandments 18']","['Tur, Orach Chaim 660']","@11ב מיי' פ""ו מהלכות סוכה ופ""ד מהל' ק""ש סמג עשין מג יח טור א""ח סי' תרס",False
20,,,0,19,"['Mishneh Torah, Shofar, Sukkah and Lulav 6']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 640']","@11א מיי' פ""ו מהל' סוכה סמג עשין מג טורא""ח סי' תרמ",False
21,,,0,20,"['Mishneh Torah, Shofar, Sukkah and Lulav 6']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 518', 'Tur, Orach Chaim 639']","@11א מיי' פ""ו מהלכות סוכה סמג עשין מג טור א""ח סי' תקיח תרלט",False
22,,,0,21,"['Mishneh Torah, Shofar, Sukkah and Lulav 5']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 637']","@11ב מיי' פ""ה מהל' סוכה סמג עשין שם טור א""ח סי' תרלז",False
23,,,0,22,[],"['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 634']","@11ב מיי' פ""ר מהלכות סוכה סמג עשין מג טור א""ח סי' תרלד",False
24,,,0,23,"['Mishneh Torah, Shofar, Sukkah and Lulav 6']","['Sefer Mitzvot Gadol, Positive Commandments 43']","['Tur, Orach Chaim 640']","@11א מיי' פ""ו מהלכות סוכה סמג עשין מג טור א""ח סי' תרמ",False
25,,,0,24,"['Mishneh Torah, Shofar, Sukkah and Lulav 8']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 649']","@11א מיי' פ""ח מהלכות לולב סמג עשין מד טור א""ח סי' תרמט",False
26,,,0,25,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 650']","@11א מיי' פ""ז מהלכות סוכה סמג עשין מד טור א""ח סי' תרנ",False
