Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a.1	1	שופר וסוכה ולולב	4.1	עשין	43	א"ח	633.1	א"ח	633	http://www.sefaria.org/Sukkah.2a.1	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.633.1	sefaria.org/Tur,_Orach_Chaim.633		Sukkah.2a.1	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.633.1	Tur,_Orach_Chaim.633
2a.2	2	שופר וסוכה ולולב	4.1			א"ח	633.8	א"ח	633	http://www.sefaria.org/Sukkah.2a.2	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.633.8	sefaria.org/Tur,_Orach_Chaim.633		Sukkah.2a.2	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1		Shulchan_Arukh,_Orach_Chayim.633.8	Tur,_Orach_Chaim.633
2a.2	3	שופר וסוכה ולולב	4.2	עשין	43	א"ח	630.2	א"ח	630	http://www.sefaria.org/Sukkah.2a.2	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.630.2	sefaria.org/Tur,_Orach_Chaim.630		Sukkah.2a.2	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.2	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.630.2	Tur,_Orach_Chaim.630
2a.2	4	שופר וסוכה ולולב	5.19	עשין	43	א"ח	631.1	א"ח	631	http://www.sefaria.org/Sukkah.2a.2	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.5.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.631.1	sefaria.org/Tur,_Orach_Chaim.631		Sukkah.2a.2	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.5.19	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.631.1	Tur,_Orach_Chaim.631
2a.4	5	שבת	17.14	עשין דרבנן א	1	א"ח	363.26	א"ח	363	http://www.sefaria.org/Sukkah.2a.4	sefaria.org/Mishneh_Torah,_Sabbath.17.14	http://www.sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Eruvin?lang=he	sefaria.org/Shulchan_Arukh,_Orach_Chayim.363.26	sefaria.org/Tur,_Orach_Chaim.363		Sukkah.2a.4	Mishneh_Torah,_Sabbath.17.14	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Eruvin.1	Shulchan_Arukh,_Orach_Chayim.363.26	Tur,_Orach_Chaim.363
2a.21	6	שופר וסוכה ולולב	6.5	עשין	43	א"ח	639.1	א"ח	639	http://www.sefaria.org/Sukkah.2a.21	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.6.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.639.1	sefaria.org/Tur,_Orach_Chaim.639		Sukkah.2a.21	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.6.5	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.639.1	Tur,_Orach_Chaim.639
3a.13	1	שופר וסוכה ולולב	4.1	עשין	43	א"ח	634.1	א"ח	634	http://www.sefaria.org/Sukkah.3a.13	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.634.1			Sukkah.3a.13	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.634.1	Tur,_Orach_Chaim.634
3a.47	2	שופר וסוכה ולולב	4.1	עשין	43	א"ח	634.4	א"ח	634	http://www.sefaria.org/Sukkah.3a.47	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.43	sefaria.org/Shulchan_Arukh,_Orach_Chayim.634.4	sefaria.org/Tur,_Orach_Chaim.634		Sukkah.3a.47	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.4.1	Sefer_Mitzvot_Gadol,_Volume_Two.43	Shulchan_Arukh,_Orach_Chayim.634.4	Tur,_Orach_Chaim.634
3a.51	3	תפילין ומזוזה וספר תורה	6.2	עשין	23	י"ד	286.13	י"ד	286	http://www.sefaria.org/Sukkah.3a.51	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.6.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.23	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.286.13	sefaria.org/Tur,_Yoreh_Deah.286		Sukkah.3a.51	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.6.2	Sefer_Mitzvot_Gadol,_Volume_Two.23	Shulchan_Arukh,_Yoreh_De'ah.286.13	Tur,_Yoreh_Deah.286
