Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	siman.seif	siman.seif						comments
5a:16		קרבן פסח	5.1						0	Rosh_Hashanah.5a:16	Mishneh_Torah,_Paschal_Offering.5.1				
5b:8		מעשה הקרבנות	14.15	לאוין	331				0	Rosh_Hashanah.5b:8	Mishneh_Torah,_Sacrificial_Procedure.14.15	Sefer_Mitzvot_Gadol,_Volume_One.331			
5b:15		פסולי המוקדשין	12.13						0	Rosh_Hashanah.5b:15	Mishneh_Torah,_Sacrifices_Rendered_Unfit.12.13				
5b:22		מעשה הקרבנות	14.14						0	Rosh_Hashanah.5b:22	Mishneh_Torah,_Sacrificial_Procedure.14.14				
5b:36		בכורות	1.13						0	Rosh_Hashanah.5b:36	Mishneh_Torah,_Firstlings.1.13				
6a:4		מעשה הקרבנות	14.15	לאוין	331				0	Rosh_Hashanah.6a:4	Mishneh_Torah,_Sacrificial_Procedure.14.15	Sefer_Mitzvot_Gadol,_Volume_One.331			
6a:11		מעשה הקרבנות	14.15	לאוין	331				0	Rosh_Hashanah.6a:11	Mishneh_Torah,_Sacrificial_Procedure.14.15	Sefer_Mitzvot_Gadol,_Volume_One.331			
6a:23		מעשה הקרבנות	14.16	לאוין	331				0	Rosh_Hashanah.6a:23	Mishneh_Torah,_Sacrificial_Procedure.14.16	Sefer_Mitzvot_Gadol,_Volume_One.331			
6a:24		מעשה הקרבנות	14.16	לאוין	331				0	Rosh_Hashanah.6a:24	Mishneh_Torah,_Sacrificial_Procedure.14.16	Sefer_Mitzvot_Gadol,_Volume_One.331			
6a:31-36		מעשה הקרבנות	14.4	עשין	123				0	Rosh_Hashanah.6a:31-36	Mishneh_Torah,_Sacrificial_Procedure.14.4	Sefer_Mitzvot_Gadol,_Volume_Two.123			
6a:31-36		נדרים	1.2						0	Rosh_Hashanah.6a:31-36	Mishneh_Torah,_Vows.1.2				
6a:38		נדרים	1.2						0	Rosh_Hashanah.6a:38	Mishneh_Torah,_Vows.1.2				
6a:38		מעשה הקרבנות	14.6						0	Rosh_Hashanah.6a:38	Mishneh_Torah,_Sacrificial_Procedure.14.6				
6a:41		מתנות עניים	8.1			י"ד	257.3	י"ד	257	Rosh_Hashanah.6a:41	Mishneh_Torah,_Gifts_to_the_Poor.8.1		Shulchan_Arukh,_Yoreh_De'ah.257.3	Tur,_Yoreh_Deah.257	rif
6a:48		מעשה הקרבנות	14.13	עשין	184				0	Rosh_Hashanah.6a:48	Mishneh_Torah,_Sacrificial_Procedure.14.13	Sefer_Mitzvot_Gadol,_Volume_Two.184			
6a:50		תמורה	4.1	לאוין	345				0	Rosh_Hashanah.6a:50	Mishneh_Torah,_Substitution.4.1	Sefer_Mitzvot_Gadol,_Volume_One.345			
6b:6		מעשה הקרבנות	14.15						0	Rosh_Hashanah.6b:6	Mishneh_Torah,_Sacrificial_Procedure.14.15				
6b:25		שמיטה ויובל	12.1	עשין	211	י"ד	306.10	י"ד	306	Rosh_Hashanah.6b:25	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.1	Sefer_Mitzvot_Gadol,_Volume_Two.211	Shulchan_Arukh,_Yoreh_De'ah.306.10	Tur,_Yoreh_Deah.306	
6b:25		שמיטה ויובל	12.5						0	Rosh_Hashanah.6b:25	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.5				
6b:25		בכורות	1.12						0	Rosh_Hashanah.6b:25	Mishneh_Torah,_Firstlings.1.12				
6b:34				עשין	47				0	Rosh_Hashanah.6b:34		Sefer_Mitzvot_Gadol,_Volume_Two.47			
6b:40		מעשה הקרבנות	4.14						0	Rosh_Hashanah.6b:40	Mishneh_Torah,_Sacrificial_Procedure.4.14				
6b:48		מעשה הקרבנות	4.14						0	Rosh_Hashanah.6b:48	Mishneh_Torah,_Sacrificial_Procedure.4.14				
6b:58		בכורות	1.8	עשין	214	י"ד	306.7	י"ד	306	Rosh_Hashanah.6b:58	Mishneh_Torah,_Firstlings.1.8	Sefer_Mitzvot_Gadol,_Volume_Two.214	Shulchan_Arukh,_Yoreh_De'ah.306.7	Tur,_Yoreh_Deah.306	
7a:39		קידוש החודש	4.14	עשין	46				0	Rosh_Hashanah.7a:39	Mishneh_Torah,_Sanctification_of_the_New_Month.4.14	Sefer_Mitzvot_Gadol,_Volume_Two.46			
7a:39		קידוש החודש	4.1						0	Rosh_Hashanah.7a:39	Mishneh_Torah,_Sanctification_of_the_New_Month.4.1				
7a:41		קידוש החודש	4.14						0	Rosh_Hashanah.7a:41	Mishneh_Torah,_Sanctification_of_the_New_Month.4.14				
7a:43		קידוש החודש	4.14						0	Rosh_Hashanah.7a:43	Mishneh_Torah,_Sanctification_of_the_New_Month.4.14				
7a:47						א"ח	429.1	א"ח	429	Rosh_Hashanah.7a:47			Shulchan_Arukh,_Orach_Chayim.429.1	Tur,_Orach_Chaim.429	
7a:57		שקלים	4.11	עשין	45				0	Rosh_Hashanah.7a:57	Mishneh_Torah,_Sheqel_Dues.4.11	Sefer_Mitzvot_Gadol,_Volume_Two.45			
7a:62		שקלים	4.11	עשין	45				0	Rosh_Hashanah.7a:62	Mishneh_Torah,_Sheqel_Dues.4.11	Sefer_Mitzvot_Gadol,_Volume_Two.45			
7a:64		כלי המקדש והעובדין בו	8.7						0	Rosh_Hashanah.7a:64	Mishneh_Torah,_Vessels_of_the_Sanctuary_and_Those_who_Serve_Therein.8.7				
7b:4		שכירות	7.15					ח"מ	312	Rosh_Hashanah.7b:4	Mishneh_Torah,_Hiring.7.15			Tur,_Choshen_Mishpat.312	
7b:13		בכורות	6.1	עשין	212					Rosh_Hashanah.7b:13	Mishneh_Torah,_Firstlings.6.1	Sefer_Mitzvot_Gadol,_Volume_Two.212			
7b:32		תמידים ומוספין	7.3	עשין	199	י"ד	293.1	י"ד	293	Rosh_Hashanah.7b:32	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.3	Sefer_Mitzvot_Gadol,_Volume_Two.199	Shulchan_Arukh,_Yoreh_De'ah.293.1	Tur,_Yoreh_Deah.293	
7b:32		תמידים ומוספין	8.1						0	Rosh_Hashanah.7b:32	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.8.1	Sefer_Mitzvot_Gadol,_Volume_Two.212			
8a:50-52		תשובה	3.3						0	Rosh_Hashanah.8a:50-52	Mishneh_Torah,_Repentance.3.3				
8b:29-30		שמיטה ויובל	10.14	עשין	153				0	Rosh_Hashanah.8b:29-30	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.14	Sefer_Mitzvot_Gadol,_Volume_Two.153			
8b:29-32				לאוין	268				0	Rosh_Hashanah.8b:29-32		Sefer_Mitzvot_Gadol,_Volume_One.268			
9a:2		שמיטה ויובל	10.7					י"ד	331	Rosh_Hashanah.9a:2	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.7			Tur,_Yoreh_Deah.331	
9a:11		שמיטה ויובל	3.1						0	Rosh_Hashanah.9a:11	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.3.1				
9a:11		שמיטה ויובל	4.9						0	Rosh_Hashanah.9a:11	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.9				
9a:11		שמיטה ויובל	4.13						0	Rosh_Hashanah.9a:11	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.13				
9a:13		תמידים ומוספין	7.6	עשין	199				0	Rosh_Hashanah.9a:13	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.6	Sefer_Mitzvot_Gadol,_Volume_Two.199			
9a.21-25		שביתת עשור	1.6	לאוין	65	א"ח	608.1	א"ח	608	Rosh_Hashanah.9a.21-25	Mishneh_Torah,_Rest_on_the_Tenth_of_Tishrei.1.6	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.608.1	Tur,_Orach_Chaim.608	
9a:20				עשין	32				0	Rosh_Hashanah.9a:20		Sefer_Mitzvot_Gadol,_Volume_Two.32			
9a:36						א"ח	624.2	א"ח	624	Rosh_Hashanah.9a:36			Shulchan_Arukh,_Orach_Chayim.624.2	Tur,_Orach_Chaim.624	
9b:24		שמיטה ויובל	10.13	עשין	151				0	Rosh_Hashanah.9b:24	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.13	Sefer_Mitzvot_Gadol,_Volume_Two.151			
9b:31		שמיטה ויובל	10.8						0	Rosh_Hashanah.9b:31	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.8				
10a:1		מעשר שני ונטע רבעי	9.6	עשין	139	י"ד	294.4	י"ד	294	Rosh_Hashanah.10a:1	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.6	Sefer_Mitzvot_Gadol,_Volume_Two.139	Shulchan_Arukh,_Yoreh_De'ah.294.4	Tur,_Yoreh_Deah.294	
10a:1		מעשר שני ונטע רבעי	9.1			י"ד	294.5	י"ד	294	Rosh_Hashanah.10a:1	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.1		Shulchan_Arukh,_Yoreh_De'ah.294.5	Tur,_Yoreh_Deah.294	
10a:12		מעשה הקרבנות	1.14	עשין	183				0	Rosh_Hashanah.10a:12	Mishneh_Torah,_Sacrificial_Procedure.1.14	Sefer_Mitzvot_Gadol,_Volume_Two.183			
10b:4		שמיטה ויובל	3.11	לאוין	267				0	Rosh_Hashanah.10b:4	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.3.11	Sefer_Mitzvot_Gadol,_Volume_One.267			
10b:8		שמיטה ויובל	3.11	לאוין	267				0	Rosh_Hashanah.10b:8	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.3.11	Sefer_Mitzvot_Gadol,_Volume_One.267			
10b:8		מעשר שני ונטע רבעי	9	עשין	137	י"ד	294.4	י"ד	294	Rosh_Hashanah.10b:8	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9	Sefer_Mitzvot_Gadol,_Volume_Two.137	Shulchan_Arukh,_Yoreh_De'ah.294.4	Tur,_Yoreh_Deah.294	
10b:10		שמיטה ויובל	3.11	לאוין	267				0	Rosh_Hashanah.10b:10	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.3.11	Sefer_Mitzvot_Gadol,_Volume_One.267			
10b:10		מעשר שני ונטע רבעי	9	עשין	137	י"ד	294.4	י"ד	294	Rosh_Hashanah.10b:10	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9	Sefer_Mitzvot_Gadol,_Volume_Two.137	Shulchan_Arukh,_Yoreh_De'ah.294.4	Tur,_Yoreh_Deah.294	
