Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	siman.seif	siman.seif						comments
18b:14-23		תעניות	5.2	עשין דרבנן ג	1			א"ח	549	Rosh_Hashanah.18b:14-23	Mishneh_Torah,_Fasts.5.2	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1		Tur,_Orach_Chaim.549	
18b:14-23		תעניות	5.4						0	Rosh_Hashanah.18b:14-23	Mishneh_Torah,_Fasts.5.4				
18b:28		תעניות	5.4	עשין דרבנן ג	1			א"ח	549	Rosh_Hashanah.18b:28	Mishneh_Torah,_Fasts.5.4	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1		Tur,_Orach_Chaim.549	
19b:1		כלים	12.13						0	Rosh_Hashanah.19b:1	Mishneh_Torah,_Vessels.12.13				
19b:12		מגילה וחנוכה	2.13			א"ח	573.1	א"ח	573	Rosh_Hashanah.19b:12	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13		Shulchan_Arukh,_Orach_Chayim.573.1	Tur,_Orach_Chaim.573	rif
19b:12		מגילה וחנוכה	3.3						0	Rosh_Hashanah.19b:12	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.3.3				
19b:37		קידוש החודש	4.1						0	Rosh_Hashanah.19b:37	Mishneh_Torah,_Sanctification_of_the_New_Month.4.1				
19b:49		קידוש החודש	5.8						0	Rosh_Hashanah.19b:49	Mishneh_Torah,_Sanctification_of_the_New_Month.5.8				
20a:2		קידוש החודש	1.1						0	Rosh_Hashanah.20a:2	Mishneh_Torah,_Sanctification_of_the_New_Month.1.1				
20a:37-38		קידוש החודש	3.15						0	Rosh_Hashanah.20a:37-38	Mishneh_Torah,_Sanctification_of_the_New_Month.3.15				
20a:37-38		קידוש החודש	3.16						0	Rosh_Hashanah.20a:37-38	Mishneh_Torah,_Sanctification_of_the_New_Month.3.16				
20a:37-38		קידוש החודש	3.17						0	Rosh_Hashanah.20a:37-38	Mishneh_Torah,_Sanctification_of_the_New_Month.3.17				
20a:37-38		קידוש החודש	3.18						0	Rosh_Hashanah.20a:37-38	Mishneh_Torah,_Sanctification_of_the_New_Month.3.18				
20a:46		קידוש החודש	3.15						0	Rosh_Hashanah.20a:46	Mishneh_Torah,_Sanctification_of_the_New_Month.3.15				
20a:46		קידוש החודש	3.16						0	Rosh_Hashanah.20a:46	Mishneh_Torah,_Sanctification_of_the_New_Month.3.16				
20a:46		קידוש החודש	3.17						0	Rosh_Hashanah.20a:46	Mishneh_Torah,_Sanctification_of_the_New_Month.3.17				
20a:46		קידוש החודש	3.18						0	Rosh_Hashanah.20a:46	Mishneh_Torah,_Sanctification_of_the_New_Month.3.18				
21a:10		קידוש החודש	3.12						0	Rosh_Hashanah.21a:10	Mishneh_Torah,_Sanctification_of_the_New_Month.3.12				
21a:27		קידוש החודש	4.2						0	Rosh_Hashanah.21a:27	Mishneh_Torah,_Sanctification_of_the_New_Month.4.2				
21b:1-2		קידוש החודש	3.2						0	Rosh_Hashanah.21b:1-2	Mishneh_Torah,_Sanctification_of_the_New_Month.3.2				
21b:3		קידוש החודש	3.2						0	Rosh_Hashanah.21b:3	Mishneh_Torah,_Sanctification_of_the_New_Month.3.2				
21b:8		קידוש החודש	3.10						0	Rosh_Hashanah.21b:8	Mishneh_Torah,_Sanctification_of_the_New_Month.3.10				
21b:13		קידוש החודש	3.8						0	Rosh_Hashanah.21b:13	Mishneh_Torah,_Sanctification_of_the_New_Month.3.8				
21b:20		קידוש החודש	3.4						0	Rosh_Hashanah.21b:20	Mishneh_Torah,_Sanctification_of_the_New_Month.3.4				
22a:5-6		קידוש החודש	2.1						0	Rosh_Hashanah.22a:5-6	Mishneh_Torah,_Sanctification_of_the_New_Month.2.1				
22a:31-32		עדות	10.4	לאוין	214	ח"מ	34.10	ח"מ	34	Rosh_Hashanah.22a:31-32	Mishneh_Torah,_Testimony.10.4	Sefer_Mitzvot_Gadol,_Volume_One.214	Shulchan_Arukh,_Choshen_Mishpat.34.10	Tur,_Choshen_Mishpat.34	
22a:31-32						ח"מ	34.16			Rosh_Hashanah.22a:31-32			Shulchan_Arukh,_Choshen_Mishpat.34.16		
22a:31-32		עדות	9.1			ח"מ	34.19	ח"מ	34	Rosh_Hashanah.22a:31-32	Mishneh_Torah,_Testimony.9.1		Shulchan_Arukh,_Choshen_Mishpat.34.19	Tur,_Choshen_Mishpat.34	
22a:5-37		גירושין	12.16	עשין	50	אה"ע	17.3	אה"ע	17	Rosh_Hashanah.22a:5-37	Mishneh_Torah,_Divorce.12.16	Sefer_Mitzvot_Gadol,_Volume_Two.50	Shulchan_Arukh,_Even_HaEzer.17.3	Tur,_Even_HaEzer.17	
22a:38-40		קידוש החודש	3.4						0	Rosh_Hashanah.22a:38-40	Mishneh_Torah,_Sanctification_of_the_New_Month.3.4				
22a:42		קידוש החודש	3.3						0	Rosh_Hashanah.22a:42	Mishneh_Torah,_Sanctification_of_the_New_Month.3.3				
22a:43		קידוש החודש	2.2						0	Rosh_Hashanah.22a:43	Mishneh_Torah,_Sanctification_of_the_New_Month.2.2				
22b:19		קידוש החודש	3.3						0	Rosh_Hashanah.22b:19	Mishneh_Torah,_Sanctification_of_the_New_Month.3.3				
22b:23		קידוש החודש	3.14						0	Rosh_Hashanah.22b:23	Mishneh_Torah,_Sanctification_of_the_New_Month.3.14				
22b:31		קידוש החודש	2.2						0	Rosh_Hashanah.22b:31	Mishneh_Torah,_Sanctification_of_the_New_Month.2.2				
22b:47-52		קידוש החודש	3.8						0	Rosh_Hashanah.22b:47-52	Mishneh_Torah,_Sanctification_of_the_New_Month.3.8				
23b:20-21		קידוש החודש	2.7						0	Rosh_Hashanah.23b:20-21	Mishneh_Torah,_Sanctification_of_the_New_Month.2.7				
23b:23		שבת	27.16	לאוין	65				0	Rosh_Hashanah.23b:23	Mishneh_Torah,_Sabbath.27.16	Sefer_Mitzvot_Gadol,_Volume_One.65			
23b:24		שבת	27.16	לאוין	65	א"ח	407.1	א"ח	407	Rosh_Hashanah.23b:24	Mishneh_Torah,_Sabbath.27.16	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.407.1	Tur,_Orach_Chaim.407	
23b:24						א"ח	407.3	א"ח	407	Rosh_Hashanah.23b:24			Shulchan_Arukh,_Orach_Chayim.407.3	Tur,_Orach_Chaim.407	
23b:32		קידוש החודש	2.7						0	Rosh_Hashanah.23b:32	Mishneh_Torah,_Sanctification_of_the_New_Month.2.7				
23b:35		קידוש החודש	2.4						0	Rosh_Hashanah.23b:35	Mishneh_Torah,_Sanctification_of_the_New_Month.2.4				
23b:37-38		קידוש החודש	2.7						0	Rosh_Hashanah.23b:37-38	Mishneh_Torah,_Sanctification_of_the_New_Month.2.7				
24a:10-11		קידוש החודש	2.5						0	Rosh_Hashanah.24a:10-11	Mishneh_Torah,_Sanctification_of_the_New_Month.2.5				
24a:13-14		קידוש החודש	2.5						0	Rosh_Hashanah.24a:13-14	Mishneh_Torah,_Sanctification_of_the_New_Month.2.5				
24a:19		קידוש החודש	2.6						0	Rosh_Hashanah.24a:19	Mishneh_Torah,_Sanctification_of_the_New_Month.2.6				
24a:24		קידוש החודש	2.8						0	Rosh_Hashanah.24a:24	Mishneh_Torah,_Sanctification_of_the_New_Month.2.8				
24a:26		קידוש החודש	2.8						0	Rosh_Hashanah.24a:26	Mishneh_Torah,_Sanctification_of_the_New_Month.2.8				
24a:46		קידוש החודש	2.8							Rosh_Hashanah.24a:46	Mishneh_Torah,_Sanctification_of_the_New_Month.2.8				
24a:55		עבודה זרה וחוקות הגויים	3.11	לאוין	22			י"ד	141	Rosh_Hashanah.24a:55	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.11	Sefer_Mitzvot_Gadol,_Volume_One.22		Tur,_Yoreh_Deah.141	
24a:59		בית הבחירה	7.10			י"ד	141.8	י"ד	141	Rosh_Hashanah.24a:59	Mishneh_Torah,_The_Chosen_Temple.7.10		Shulchan_Arukh,_Yoreh_De'ah.141.8	Tur,_Yoreh_Deah.141	
24b:13						י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:13			Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
24b:16		עבודה זרה וחוקות הגויים	3.10	לאוין	22	י"ד	141.6	י"ד	141	Rosh_Hashanah.24b:16	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.10	Sefer_Mitzvot_Gadol,_Volume_One.22	Shulchan_Arukh,_Yoreh_De'ah.141.6	Tur,_Yoreh_Deah.141	
24b:16		עבודה זרה וחוקות הגויים	3.11	לאוין	22	י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:16	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.11	Sefer_Mitzvot_Gadol,_Volume_One.22	Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
24b:21		עבודה זרה וחוקות הגויים	3.11	לאוין	22	י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:21	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.11	Sefer_Mitzvot_Gadol,_Volume_One.22	Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
24b:34		עבודה זרה וחוקות הגויים	3.11	לאוין	22	י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:34	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.11	Sefer_Mitzvot_Gadol,_Volume_One.22	Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
24b:40-41		עבודה זרה וחוקות הגויים	3.11			י"ד	141.5	י"ד	141	Rosh_Hashanah.24b:40-41	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.3.11		Shulchan_Arukh,_Yoreh_De'ah.141.5	Tur,_Yoreh_Deah.141	
24b:44						י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:44			Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
24b:48						י"ד	141.7	י"ד	141	Rosh_Hashanah.24b:48			Shulchan_Arukh,_Yoreh_De'ah.141.7	Tur,_Yoreh_Deah.141	
24b:49						י"ד	141.4	י"ד	141	Rosh_Hashanah.24b:49			Shulchan_Arukh,_Yoreh_De'ah.141.4	Tur,_Yoreh_Deah.141	
25a:4		קידוש החודש	2.6						0	Rosh_Hashanah.25a:4	Mishneh_Torah,_Sanctification_of_the_New_Month.2.6				
25a:6		קידוש החודש	2.6						0	Rosh_Hashanah.25a:6	Mishneh_Torah,_Sanctification_of_the_New_Month.2.6				
25a:16		קידוש החודש	2.10						0	Rosh_Hashanah.25a:16	Mishneh_Torah,_Sanctification_of_the_New_Month.2.10				
25a:25		קידוש החודש	17.24						0	Rosh_Hashanah.25a:25	Mishneh_Torah,_Sanctification_of_the_New_Month.17.24				
25a:39		קידוש החודש	8.1						0	Rosh_Hashanah.25a:39	Mishneh_Torah,_Sanctification_of_the_New_Month.8.1				
25a:56		קידוש החודש	2.10						0	Rosh_Hashanah.25a:56	Mishneh_Torah,_Sanctification_of_the_New_Month.2.10				
25b:17		קידוש החודש	2.8						0	Rosh_Hashanah.25b:17	Mishneh_Torah,_Sanctification_of_the_New_Month.2.8				
25b:29		סנהדרין והעונשין המסורין להם	3.4			ח"מ	5.2	ח"מ	5	Rosh_Hashanah.25b:29	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.3.4		Shulchan_Arukh,_Choshen_Mishpat.5.2	Tur,_Choshen_Mishpat.5	
25b:29		סנהדרין והעונשין המסורין להם	11.1						0	Rosh_Hashanah.25b:29	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.11.1				
25b:31		קידוש החודש	2.8						0	Rosh_Hashanah.25b:31	Mishneh_Torah,_Sanctification_of_the_New_Month.2.8				
25b:32		קידוש החודש	2.9						0	Rosh_Hashanah.25b:32	Mishneh_Torah,_Sanctification_of_the_New_Month.2.9				
25b:35		קידוש החודש	2.9						0	Rosh_Hashanah.25b:35	Mishneh_Torah,_Sanctification_of_the_New_Month.2.9				
25b:43		סנהדרין והעונשין המסורין להם	2.10	עשין	97	ח"מ	3.1	ח"מ	3	Rosh_Hashanah.25b:43	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.2.10	Sefer_Mitzvot_Gadol,_Volume_Two.97	Shulchan_Arukh,_Choshen_Mishpat.3.1	Tur,_Choshen_Mishpat.3	
25b:43						ח"מ	3.2			Rosh_Hashanah.25b:43			Shulchan_Arukh,_Choshen_Mishpat.3.2		
25b:43		קידוש החודש	2.9						0	Rosh_Hashanah.25b:43	Mishneh_Torah,_Sanctification_of_the_New_Month.2.9				
26a:2		עדות	5.8	עשין	109	ח"מ	7.5	ח"מ	7	Rosh_Hashanah.26a:2	Mishneh_Torah,_Testimony.5.8	Sefer_Mitzvot_Gadol,_Volume_Two.109	Shulchan_Arukh,_Choshen_Mishpat.7.5	Tur,_Choshen_Mishpat.7	
26a:5				עשין	42	א"ח	586.1	א"ח	586	Rosh_Hashanah.26a:5		Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.586.1	Tur,_Orach_Chaim.586	
26b:28		שופר וסוכה ולולב	1.2	עשין	42				0	Rosh_Hashanah.26b:28	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.2	Sefer_Mitzvot_Gadol,_Volume_Two.42			
26b:31		תעניות	1.4						0	Rosh_Hashanah.26b:31	Mishneh_Torah,_Fasts.1.4				
26b:32		שופר וסוכה ולולב	1.1						0	Rosh_Hashanah.26b:32	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.1				
26b:32		שמיטה ויובל	10.1						0	Rosh_Hashanah.26b:32	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.1				
26b:32		תפילה וברכת כהנים	2.8						0	Rosh_Hashanah.26b:32	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.2.8				
26b:37		שופר וסוכה ולולב	1.1	עשין	42	א"ח	586.1	א"ח	586	Rosh_Hashanah.26b:37	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.1	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.586.1	Tur,_Orach_Chaim.586	
27a:3		שופר וסוכה ולולב	1.6			א"ח	586.16	א"ח	586	Rosh_Hashanah.27a:3	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.16	Tur,_Orach_Chaim.586	
27a:24		תפילה וברכת כהנים	12.11			א"ח	141.2	א"ח	141	Rosh_Hashanah.27a:24	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.11		Shulchan_Arukh,_Orach_Chayim.141.2	Tur,_Orach_Chaim.141	
27a:24		תפילה וברכת כהנים	12.11			א"ח	141.2	א"ח	141	Rosh_Hashanah.27a:24	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.11		Shulchan_Arukh,_Orach_Chayim.141.2	Tur,_Orach_Chaim.141	
27a:26						א"ח	488.2	א"ח	488	Rosh_Hashanah.27a:26			Shulchan_Arukh,_Orach_Chayim.488.2	Tur,_Orach_Chaim.488	
27a:26						א"ח	644.2	א"ח	644	Rosh_Hashanah.27a:26			Shulchan_Arukh,_Orach_Chayim.644.2	Tur,_Orach_Chaim.644	
27a:26		מגילה וחנוכה	2.7			א"ח	690.2	א"ח	690	Rosh_Hashanah.27a:26	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.7		Shulchan_Arukh,_Orach_Chayim.690.2	Tur,_Orach_Chaim.690	
27a:42		תעניות	1.4						0	Rosh_Hashanah.27a:42	Mishneh_Torah,_Fasts.1.4				
27a:61		שופר וסוכה ולולב	1.5	עשין	42	א"ח	586.5	א"ח	586	Rosh_Hashanah.27a:61	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.586.5	Tur,_Orach_Chaim.586	
27a:61		שופר וסוכה ולולב	1.5	עשין	42	א"ח	586.10	א"ח	586	Rosh_Hashanah.27a:61	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.586.10	Tur,_Orach_Chaim.586	
27b:6		שופר וסוכה ולולב	1.7			א"ח	586.13	א"ח	586	Rosh_Hashanah.27b:6	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.7		Shulchan_Arukh,_Orach_Chayim.586.13	Tur,_Orach_Chaim.586	
27b:6		שופר וסוכה ולולב	1.7			א"ח	586.14	א"ח	586	Rosh_Hashanah.27b:6	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.7		Shulchan_Arukh,_Orach_Chayim.586.14	Tur,_Orach_Chaim.586	
27b:6		שופר וסוכה ולולב	1.6			א"ח	586.16	א"ח	586	Rosh_Hashanah.27b:6	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.16	Tur,_Orach_Chaim.586	
27b:7-9		שופר וסוכה ולולב	1.6			א"ח	586.16	א"ח	586	Rosh_Hashanah.27b:7-9	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.16	Tur,_Orach_Chaim.586	
27b:10		שופר וסוכה ולולב	1.6			א"ח	586.20	א"ח	586	Rosh_Hashanah.27b:10	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.20	Tur,_Orach_Chaim.586	
27b:15		שופר וסוכה ולולב	1.6			א"ח	586.12	א"ח	586	Rosh_Hashanah.27b:15	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.12	Tur,_Orach_Chaim.586	
27b:22		שופר וסוכה ולולב	1.6			א"ח	586.11	א"ח	586	Rosh_Hashanah.27b:22	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.6		Shulchan_Arukh,_Orach_Chayim.586.11	Tur,_Orach_Chaim.586	
27b:25		שופר וסוכה ולולב	1.5			א"ח	586.7	א"ח	586	Rosh_Hashanah.27b:25	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.7	Tur,_Orach_Chaim.586	
27b:27		שופר וסוכה ולולב	1.5			א"ח	586.7	א"ח	586	Rosh_Hashanah.27b:27	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.7	Tur,_Orach_Chaim.586	
27b:35		שופר וסוכה ולולב	1.5			א"ח	586.8	א"ח	586	Rosh_Hashanah.27b:35	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.8	Tur,_Orach_Chaim.586	
27b:35		שופר וסוכה ולולב	1.5			א"ח	586.9	א"ח	586	Rosh_Hashanah.27b:35	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.9	Tur,_Orach_Chaim.586	
27b:38		שופר וסוכה ולולב	1.5			א"ח	586.9	א"ח	586	Rosh_Hashanah.27b:38	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.9	Tur,_Orach_Chaim.586	
27b:39		שופר וסוכה ולולב	1.7			א"ח	586.6	א"ח	586	Rosh_Hashanah.27b:39	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.7		Shulchan_Arukh,_Orach_Chayim.586.6	Tur,_Orach_Chaim.586	
27b:44-45		שופר וסוכה ולולב	1.5			א"ח	586.15	א"ח	586	Rosh_Hashanah.27b:44-45	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.5		Shulchan_Arukh,_Orach_Chayim.586.15	Tur,_Orach_Chaim.586	
27b:48-49		שופר וסוכה ולולב	1.8			א"ח	587.1	א"ח	587	Rosh_Hashanah.27b:48-49	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.8		Shulchan_Arukh,_Orach_Chayim.587.1	Tur,_Orach_Chaim.587	
28a:1						א"ח	587.2	א"ח	587	Rosh_Hashanah.28a:1			Shulchan_Arukh,_Orach_Chayim.587.2	Tur,_Orach_Chaim.587	
28a:1						א"ח	587.3	א"ח	587	Rosh_Hashanah.28a:1			Shulchan_Arukh,_Orach_Chayim.587.3	Tur,_Orach_Chaim.587	
28a:1						א"ח	588.1	א"ח	588	Rosh_Hashanah.28a:1			Shulchan_Arukh,_Orach_Chayim.588.1	Tur,_Orach_Chaim.588	
28a:10		שופר וסוכה ולולב	3.4			א"ח	590.6		590	Rosh_Hashanah.28a:10	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.4		Shulchan_Arukh,_Orach_Chayim.590.6		
28a:18						א"ח	587.2		587	Rosh_Hashanah.28a:18			Shulchan_Arukh,_Orach_Chayim.587.2		
28a:32		שופר וסוכה ולולב	1.3						0	Rosh_Hashanah.28a:32	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.3				
28a:34		שופר וסוכה ולולב	1.3			א"ח	586.3	א"ח	586	Rosh_Hashanah.28a:34	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.3		Shulchan_Arukh,_Orach_Chayim.586.3	Tur,_Orach_Chaim.586	
28a:35		שופר וסוכה ולולב	1.3						0	Rosh_Hashanah.28a:35	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.3				
28a:39						א"ח	589.3	א"ח	589	Rosh_Hashanah.28a:39			Shulchan_Arukh,_Orach_Chayim.589.3	Tur,_Orach_Chaim.589	
28a:39						י"ד	221.12	י"ד	221	Rosh_Hashanah.28a:39			Shulchan_Arukh,_Yoreh_De'ah.221.12	Tur,_Yoreh_Deah.221	
28a:41		שופר וסוכה ולולב	1.3			א"ח	589.5	א"ח	589	Rosh_Hashanah.28a:41	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.3		Shulchan_Arukh,_Orach_Chayim.589.5	Tur,_Orach_Chaim.589	
28a:41						י"ד	221.13	י"ד	221	Rosh_Hashanah.28a:41			Shulchan_Arukh,_Yoreh_De'ah.221.13	Tur,_Yoreh_Deah.221	
28a:42						י"ד	221.13	י"ד	221	Rosh_Hashanah.28a:42			Shulchan_Arukh,_Yoreh_De'ah.221.13	Tur,_Yoreh_Deah.221	
28a:44		חמץ ומצה	6.3			א"ח	475.4	א"ח	475	Rosh_Hashanah.28a:44	Mishneh_Torah,_Leavened_and_Unleavened_Bread.6.3		Shulchan_Arukh,_Orach_Chayim.475.4	Tur,_Orach_Chaim.475	
28a:47		חמץ ומצה	6.3			א"ח	475.5	א"ח	475	Rosh_Hashanah.28a:47	Mishneh_Torah,_Leavened_and_Unleavened_Bread.6.3		Shulchan_Arukh,_Orach_Chayim.475.5	Tur,_Orach_Chaim.475	
28b:10		קריאת שמע	2.1	עשין	18	א"ח	60.5	א"ח	60	Rosh_Hashanah.28b:10	Mishneh_Torah,_Reading_the_Shema.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.60.5	Tur,_Orach_Chaim.60	
28b:21		שופר וסוכה ולולב	2.4			א"ח	589.8	א"ח	589	Rosh_Hashanah.28b:21	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.4		Shulchan_Arukh,_Orach_Chayim.589.8	Tur,_Orach_Chaim.589	
28b:29-30		תפילה וברכת כהנים	14.12			א"ח	128.27	א"ח	128	Rosh_Hashanah.28b:29-30	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.14.12		Shulchan_Arukh,_Orach_Chayim.128.27	Tur,_Orach_Chaim.128	rif
28b:41		פסולי המוקדשין	2.11						0	Rosh_Hashanah.28b:41	Mishneh_Torah,_Sacrifices_Rendered_Unfit.2.11				
28b:43		פסולי המוקדשין	2.11						0	Rosh_Hashanah.28b:43	Mishneh_Torah,_Sacrifices_Rendered_Unfit.2.11				
29a:13		שופר וסוכה ולולב	2.5			א"ח	589.9	א"ח	589	Rosh_Hashanah.29a:13	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.5		Shulchan_Arukh,_Orach_Chayim.589.9	Tur,_Orach_Chaim.589	
29a:17		שופר וסוכה ולולב	2.5			א"ח	589.8	א"ח	589	Rosh_Hashanah.29a:17	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.5		Shulchan_Arukh,_Orach_Chayim.589.8	Tur,_Orach_Chaim.589	
29a:23		שופר וסוכה ולולב	2.2			א"ח	589.2	א"ח	589	Rosh_Hashanah.29a:23	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.2		Shulchan_Arukh,_Orach_Chayim.589.2	Tur,_Orach_Chaim.589	
29a:25		שופר וסוכה ולולב	2.2			א"ח	589.1	א"ח	589	Rosh_Hashanah.29a:25	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.2		Shulchan_Arukh,_Orach_Chayim.589.1	Tur,_Orach_Chaim.589	
29a:28		שופר וסוכה ולולב	2.1						0	Rosh_Hashanah.29a:28	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.1				
29a:29		שופר וסוכה ולולב	2.2			א"ח	589.4	א"ח	589	Rosh_Hashanah.29a:29	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.2		Shulchan_Arukh,_Orach_Chayim.589.4	Tur,_Orach_Chaim.589	
29a:30		שופר וסוכה ולולב	2.2			א"ח	589.4	א"ח	589	Rosh_Hashanah.29a:30	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.2		Shulchan_Arukh,_Orach_Chayim.589.4	Tur,_Orach_Chaim.589	
29a:44		ערכים וחרמין	4.21						0	Rosh_Hashanah.29a:44	Mishneh_Torah,_Appraisals_and_Devoted_Property.4.21				
29a:54		שופר וסוכה ולולב	2.3			א"ח	589.5	א"ח	589	Rosh_Hashanah.29a:54	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.3		Shulchan_Arukh,_Orach_Chayim.589.5	Tur,_Orach_Chaim.589	
29a:56		ברכות	1.10					א"ח	692	Rosh_Hashanah.29a:56	Mishneh_Torah,_Blessings.1.10			Tur,_Orach_Chaim.692	
29a:56		ברכות	1.10			א"ח	167.19	א"ח	167	Rosh_Hashanah.29a:56	Mishneh_Torah,_Blessings.1.10		Shulchan_Arukh,_Orach_Chayim.167.19	Tur,_Orach_Chaim.167	
29a:56						א"ח	213.2	א"ח	213	Rosh_Hashanah.29a:56			Shulchan_Arukh,_Orach_Chayim.213.2	Tur,_Orach_Chaim.213	rif
29a:56						א"ח	273.4	א"ח	273	Rosh_Hashanah.29a:56			Shulchan_Arukh,_Orach_Chayim.273.4	Tur,_Orach_Chaim.273	
29b:5-7		ברכות	1.10	עשין	28	א"ח	167.2	א"ח	167	Rosh_Hashanah.29b:5-7	Mishneh_Torah,_Blessings.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.28	Shulchan_Arukh,_Orach_Chayim.167.2	Tur,_Orach_Chaim.167	
29b:5-7						א"ח	273.4	א"ח	273	Rosh_Hashanah.29b:5-7			Shulchan_Arukh,_Orach_Chayim.273.4	Tur,_Orach_Chaim.273	
