Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
9b.20		תפילה וברכת כהנים	3.8			א"ח	108.7	א"ח	108	http://www.sefaria.org/Chagigah.9b.20	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.3.8		sefaria.org/Shulchan_Arukh,_Orach_Chayim.108.7	sefaria.org/Tur,_Orach_Chaim.108		Chagigah.9b.20	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.3.8		Shulchan_Arukh,_Orach_Chayim.108.7	Tur,_Orach_Chaim.108
10a.10		שבועות	6.2						0	http://www.sefaria.org/Chagigah.10a.10	sefaria.org/Mishneh_Torah,_Oaths.6.2					Chagigah.10a.10	Mishneh_Torah,_Oaths.6.2			
10a.33		שבועות	2.10			י"ד	210.1	י"ד	210	http://www.sefaria.org/Chagigah.10a.33	sefaria.org/Mishneh_Torah,_Oaths.2.10		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.210.1	sefaria.org/Tur,_Yoreh_Deah.210		Chagigah.10a.33	Mishneh_Torah,_Oaths.2.10		Shulchan_Arukh,_Yoreh_De'ah.210.1	Tur,_Yoreh_Deah.210
10a.33		נדרים	2.2			י"ד	239.1	י"ד	239	http://www.sefaria.org/Chagigah.10a.33	sefaria.org/Mishneh_Torah,_Vows.2.2		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.239.1	sefaria.org/Tur,_Yoreh_Deah.239		Chagigah.10a.33	Mishneh_Torah,_Vows.2.2		Shulchan_Arukh,_Yoreh_De'ah.239.1	Tur,_Yoreh_Deah.239
10a.37		שבועות	11.3			י"ד	203.6	י"ד	203	http://www.sefaria.org/Chagigah.10a.37	sefaria.org/Mishneh_Torah,_Oaths.11.3		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.203.6	sefaria.org/Tur,_Yoreh_Deah.203		Chagigah.10a.37	Mishneh_Torah,_Oaths.11.3		Shulchan_Arukh,_Yoreh_De'ah.203.6	Tur,_Yoreh_Deah.203
10a.46		שבת	1.17						0	http://www.sefaria.org/Chagigah.10a.46	sefaria.org/Mishneh_Torah,_Sabbath.1.17					Chagigah.10a.46	Mishneh_Torah,_Sabbath.1.17			
10b.1		שבת	1.8						0	http://www.sefaria.org/Chagigah.10b.1	sefaria.org/Mishneh_Torah,_Sabbath.1.8					Chagigah.10b.1	Mishneh_Torah,_Sabbath.1.8			
10b.28		מעילה	7.1						0	http://www.sefaria.org/Chagigah.10b.28	sefaria.org/Mishneh_Torah,_Trespass.7.1					Chagigah.10b.28	Mishneh_Torah,_Trespass.7.1			
10b.34		תרומות	4.1			י"ד	331.29	י"ד	331	http://www.sefaria.org/Chagigah.10b.34	sefaria.org/Mishneh_Torah,_Heave_Offerings.4.1		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.331.29	sefaria.org/Tur,_Yoreh_Deah.331		Chagigah.10b.34	Mishneh_Torah,_Heave_Offerings.4.1		Shulchan_Arukh,_Yoreh_De'ah.331.29	Tur,_Yoreh_Deah.331
10b.37		מעילה	7.5						0	http://www.sefaria.org/Chagigah.10b.37	sefaria.org/Mishneh_Torah,_Trespass.7.5					Chagigah.10b.37	Mishneh_Torah,_Trespass.7.5			
10b.44		מעילה	6.8						0	http://www.sefaria.org/Chagigah.10b.44	sefaria.org/Mishneh_Torah,_Trespass.6.8					Chagigah.10b.44	Mishneh_Torah,_Trespass.6.8			
10b.48		מעילה	6.7						0	http://www.sefaria.org/Chagigah.10b.48	sefaria.org/Mishneh_Torah,_Trespass.6.7					Chagigah.10b.48	Mishneh_Torah,_Trespass.6.7			
11a.3		מעילה	6.8						0	http://www.sefaria.org/Chagigah.11a.3	sefaria.org/Mishneh_Torah,_Trespass.6.8					Chagigah.11a.3	Mishneh_Torah,_Trespass.6.8			
11a.39		מקואות	1.2	עשין	248	י"ד	201.1	י"ד	201	http://www.sefaria.org/Chagigah.11a.39	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.248	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.201.1	sefaria.org/Tur,_Yoreh_Deah.201		Chagigah.11a.39	Mishneh_Torah,_Immersion_Pools.1.2	Sefer_Mitzvot_Gadol,_Volume_Two.248	Shulchan_Arukh,_Yoreh_De'ah.201.1	Tur,_Yoreh_Deah.201
11a.40		מקואות	4.1	עשין	248	י"ד	198.1	י"ד	198	http://www.sefaria.org/Chagigah.11a.40	sefaria.org/Mishneh_Torah,_Immersion_Pools.4.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.248	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.198.1	sefaria.org/Tur,_Yoreh_Deah.198		Chagigah.11a.40	Mishneh_Torah,_Immersion_Pools.4.1	Sefer_Mitzvot_Gadol,_Volume_Two.248	Shulchan_Arukh,_Yoreh_De'ah.198.1	Tur,_Yoreh_Deah.198
11a.40						י"ד	201.1	י"ד	201	http://www.sefaria.org/Chagigah.11a.40			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.201.1	sefaria.org/Tur,_Yoreh_Deah.201		Chagigah.11a.40			Shulchan_Arukh,_Yoreh_De'ah.201.1	Tur,_Yoreh_Deah.201
11a.49		שאר אבות הטומאות	4.2	עשין	246				0	http://www.sefaria.org/Chagigah.11a.49	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.4.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.246				Chagigah.11a.49	Mishneh_Torah,_Other_Sources_of_Defilement.4.2	Sefer_Mitzvot_Gadol,_Volume_Two.246		
11b.15		יסודי התורה	4.10						0	http://www.sefaria.org/Chagigah.11b.15	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.4.10					Chagigah.11b.15	Mishneh_Torah,_Foundations_of_the_Torah.4.10			
11b.15		יסודי התורה	4.11						0	http://www.sefaria.org/Chagigah.11b.15	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.4.11					Chagigah.11b.15	Mishneh_Torah,_Foundations_of_the_Torah.4.11			
11b.19		מלכים ומלחמות	9.2						0	http://www.sefaria.org/Chagigah.11b.19	sefaria.org/Mishneh_Torah,_Kings_and_Wars.9.2					Chagigah.11b.19	Mishneh_Torah,_Kings_and_Wars.9.2			
11b.19		מלכים ומלחמות	9.3						0	http://www.sefaria.org/Chagigah.11b.19	sefaria.org/Mishneh_Torah,_Kings_and_Wars.9.3					Chagigah.11b.19	Mishneh_Torah,_Kings_and_Wars.9.3			
11b.19		מלכים ומלחמות	9.5						0	http://www.sefaria.org/Chagigah.11b.19	sefaria.org/Mishneh_Torah,_Kings_and_Wars.9.5					Chagigah.11b.19	Mishneh_Torah,_Kings_and_Wars.9.5			
11b.24		איסורי ביאה	22.17						0	http://www.sefaria.org/Chagigah.11b.24	sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.22.17					Chagigah.11b.24	Mishneh_Torah,_Forbidden_Intercourse.22.17			
11b.30		איסורי ביאה	22.19					אה"ע	25	http://www.sefaria.org/Chagigah.11b.30	sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.22.19			sefaria.org/Tur,_Even_HaEzer.25		Chagigah.11b.30	Mishneh_Torah,_Forbidden_Intercourse.22.19			Tur,_Even_HaEzer.25
12b.21		יסודי התורה	3.1						0	http://www.sefaria.org/Chagigah.12b.21	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.3.1					Chagigah.12b.21	Mishneh_Torah,_Foundations_of_the_Torah.3.1			
12b.29		תלמוד תורה	3.13			י"ד	246.23	י"ד	246	http://www.sefaria.org/Chagigah.12b.29	sefaria.org/Mishneh_Torah,_Torah_Study.3.13		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.246.23	sefaria.org/Tur,_Yoreh_Deah.246		Chagigah.12b.29	Mishneh_Torah,_Torah_Study.3.13		Shulchan_Arukh,_Yoreh_De'ah.246.23	Tur,_Yoreh_Deah.246
13a.19		יסודי התורה	2.12						0	http://www.sefaria.org/Chagigah.13a.19	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.2.12					Chagigah.13a.19	Mishneh_Torah,_Foundations_of_the_Torah.2.12			
13a.19		יסודי התורה	4.11						0	http://www.sefaria.org/Chagigah.13a.19	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.4.11					Chagigah.13a.19	Mishneh_Torah,_Foundations_of_the_Torah.4.11			
13a.45		יסודי התורה	2.12						0	http://www.sefaria.org/Chagigah.13a.45	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.2.12					Chagigah.13a.45	Mishneh_Torah,_Foundations_of_the_Torah.2.12			
13a.47		יסודי התורה	2.12							http://www.sefaria.org/Chagigah.13a.47	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.2.12					Chagigah.13a.47	Mishneh_Torah,_Foundations_of_the_Torah.2.12			
14a.7								א"ח	59	http://www.sefaria.org/Chagigah.14a.7				sefaria.org/Tur,_Orach_Chaim.59		Chagigah.14a.7				Tur,_Orach_Chaim.59
14b.49		יסודי התורה	4.13						0	http://www.sefaria.org/Chagigah.14b.49	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.4.13					Chagigah.14b.49	Mishneh_Torah,_Foundations_of_the_Torah.4.13			
14b.61		איסורי ביאה	16.10	לאוין	120	אה"ע	5.11	אה"ע	5	http://www.sefaria.org/Chagigah.14b.61	sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.16.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.120	sefaria.org/Shulchan_Arukh,_Even_HaEzer.5.11	sefaria.org/Tur,_Even_HaEzer.5		Chagigah.14b.61	Mishneh_Torah,_Forbidden_Intercourse.16.10	Sefer_Mitzvot_Gadol,_Volume_One.120	Shulchan_Arukh,_Even_HaEzer.5.11	Tur,_Even_HaEzer.5
15a.27		יסודי התורה	1.11						0	http://www.sefaria.org/Chagigah.15a.27	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.1.11					Chagigah.15a.27	Mishneh_Torah,_Foundations_of_the_Torah.1.11			
15b.45		תלמוד תורה	4.1			י"ד	246.8	י"ד	246	http://www.sefaria.org/Chagigah.15b.45	sefaria.org/Mishneh_Torah,_Torah_Study.4.1		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.246.8	sefaria.org/Tur,_Yoreh_Deah.246		Chagigah.15b.45	Mishneh_Torah,_Torah_Study.4.1		Shulchan_Arukh,_Yoreh_De'ah.246.8	Tur,_Yoreh_Deah.246
16a.33						א"ח	229.1	א"ח	229	http://www.sefaria.org/Chagigah.16a.33			sefaria.org/Shulchan_Arukh,_Orach_Chayim.229.1	sefaria.org/Tur,_Orach_Chaim.229		Chagigah.16a.33			Shulchan_Arukh,_Orach_Chayim.229.1	Tur,_Orach_Chaim.229
16a.47		תפילה וברכת כהנים	14.7	עשין	20	א"ח	128.23	א"ח	128	http://www.sefaria.org/Chagigah.16a.47	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.14.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.20	sefaria.org/Shulchan_Arukh,_Orach_Chayim.128.23	sefaria.org/Tur,_Orach_Chaim.128		Chagigah.16a.47	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.14.7	Sefer_Mitzvot_Gadol,_Volume_Two.20	Shulchan_Arukh,_Orach_Chayim.128.23	Tur,_Orach_Chaim.128
16a.62		חגיגה	1.9							http://www.sefaria.org/Chagigah.16a.62	sefaria.org/Mishneh_Torah,_Festival_Offering.1.9					Chagigah.16a.62	Mishneh_Torah,_Festival_Offering.1.9			
16b.11		עדות	20.1	עשין	110			ח"מ	38	http://www.sefaria.org/Chagigah.16b.11	sefaria.org/Mishneh_Torah,_Testimony.20.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.110		sefaria.org/Tur,_Choshen_Mishpat.38		Chagigah.16b.11	Mishneh_Torah,_Testimony.20.1	Sefer_Mitzvot_Gadol,_Volume_Two.110		Tur,_Choshen_Mishpat.38
16b.38		חגיגה	1.9						0	http://www.sefaria.org/Chagigah.16b.38	sefaria.org/Mishneh_Torah,_Festival_Offering.1.9					Chagigah.16b.38	Mishneh_Torah,_Festival_Offering.1.9			
16b.38		מעשה הקרבנות	3.11						0	http://www.sefaria.org/Chagigah.16b.38	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.3.11					Chagigah.16b.38	Mishneh_Torah,_Sacrificial_Procedure.3.11			
16b.42		מעשה הקרבנות	3.5	עשין	183				0	http://www.sefaria.org/Chagigah.16b.42	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.3.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.183				Chagigah.16b.42	Mishneh_Torah,_Sacrificial_Procedure.3.5	Sefer_Mitzvot_Gadol,_Volume_Two.183		
16b.62		מעשה הקרבנות	3.13						0	http://www.sefaria.org/Chagigah.16b.62	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.3.13					Chagigah.16b.62	Mishneh_Torah,_Sacrificial_Procedure.3.13			
17a.5		חגיגה	1.8						0	http://www.sefaria.org/Chagigah.17a.5	sefaria.org/Mishneh_Torah,_Festival_Offering.1.8					Chagigah.17a.5	Mishneh_Torah,_Festival_Offering.1.8			
17a.5		חגיגה	1.9						0	http://www.sefaria.org/Chagigah.17a.5	sefaria.org/Mishneh_Torah,_Festival_Offering.1.9					Chagigah.17a.5	Mishneh_Torah,_Festival_Offering.1.9			
17a.13		חגיגה	1.7						0	http://www.sefaria.org/Chagigah.17a.13	sefaria.org/Mishneh_Torah,_Festival_Offering.1.7					Chagigah.17a.13	Mishneh_Torah,_Festival_Offering.1.7			
17a.17		תמידים ומוספין	10.13						0	http://www.sefaria.org/Chagigah.17a.17	sefaria.org/Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.10.13					Chagigah.17a.17	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.10.13			
17a.17		חגיגה	1.4						0	http://www.sefaria.org/Chagigah.17a.17	sefaria.org/Mishneh_Torah,_Festival_Offering.1.4					Chagigah.17a.17	Mishneh_Torah,_Festival_Offering.1.4			
17a.17		חגיגה	2.5						0	http://www.sefaria.org/Chagigah.17a.17	sefaria.org/Mishneh_Torah,_Festival_Offering.2.5					Chagigah.17a.17	Mishneh_Torah,_Festival_Offering.2.5			
17b.30		תמידים ומוספין	7.22	עשין	200	א"ח	489.1	א"ח	489	http://www.sefaria.org/Chagigah.17b.30	sefaria.org/Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.22	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.200	sefaria.org/Shulchan_Arukh,_Orach_Chayim.489.1	sefaria.org/Tur,_Orach_Chaim.489		Chagigah.17b.30	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.22	Sefer_Mitzvot_Gadol,_Volume_Two.200	Shulchan_Arukh,_Orach_Chayim.489.1	Tur,_Orach_Chaim.489
18a.15		שביתת יום טוב	7.1			א"ח	530	א"ח	530	http://www.sefaria.org/Chagigah.18a.15	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.7.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.530	sefaria.org/Tur,_Orach_Chaim.530		Chagigah.18a.15	Mishneh_Torah,_Rest_on_a_Holiday.7.1		Shulchan_Arukh,_Orach_Chayim.530	Tur,_Orach_Chaim.530
18a.35		שביתת יום טוב	7.1			א"ח	530	א"ח	530	http://www.sefaria.org/Chagigah.18a.35	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.7.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.530	sefaria.org/Tur,_Orach_Chaim.530		Chagigah.18a.35	Mishneh_Torah,_Rest_on_a_Holiday.7.1		Shulchan_Arukh,_Orach_Chayim.530	Tur,_Orach_Chaim.530
18b.1		ברכות	6.1	עשין	27	א"ח	158.1	א"ח	158	http://www.sefaria.org/Chagigah.18b.1	sefaria.org/Mishneh_Torah,_Blessings.6.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.27	sefaria.org/Shulchan_Arukh,_Orach_Chayim.158.1	sefaria.org/Tur,_Orach_Chaim.158		Chagigah.18b.1	Mishneh_Torah,_Blessings.6.1	Sefer_Mitzvot_Gadol,_Volume_Two.27	Shulchan_Arukh,_Orach_Chayim.158.1	Tur,_Orach_Chaim.158
18b.1		תרומות	11.7						0	http://www.sefaria.org/Chagigah.18b.1	sefaria.org/Mishneh_Torah,_Heave_Offerings.11.7					Chagigah.18b.1	Mishneh_Torah,_Heave_Offerings.11.7			
18b.1		שאר אבות הטומאות	8.8						0	http://www.sefaria.org/Chagigah.18b.1	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.8.8					Chagigah.18b.1	Mishneh_Torah,_Other_Sources_of_Defilement.8.8			
18b.1		מקואות	11.11						0	http://www.sefaria.org/Chagigah.18b.1	sefaria.org/Mishneh_Torah,_Immersion_Pools.11.11					Chagigah.18b.1	Mishneh_Torah,_Immersion_Pools.11.11			
18b.2		שאר אבות הטומאות	8.7	עשין	247				0	http://www.sefaria.org/Chagigah.18b.2	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.8.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.247				Chagigah.18b.2	Mishneh_Torah,_Other_Sources_of_Defilement.8.7	Sefer_Mitzvot_Gadol,_Volume_Two.247		
18b.2		פרה אדומה	13.4						0	http://www.sefaria.org/Chagigah.18b.2	sefaria.org/Mishneh_Torah,_Red_Heifer.13.4					Chagigah.18b.2	Mishneh_Torah,_Red_Heifer.13.4			
18b.3		שאר אבות הטומאות	13.2						0	http://www.sefaria.org/Chagigah.18b.3	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.2					Chagigah.18b.3	Mishneh_Torah,_Other_Sources_of_Defilement.13.2			
18b.7		שאר אבות הטומאות	13.2							http://www.sefaria.org/Chagigah.18b.7	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.2					Chagigah.18b.7	Mishneh_Torah,_Other_Sources_of_Defilement.13.2			
18b.7		מקואות	1.8						0	http://www.sefaria.org/Chagigah.18b.7	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.8					Chagigah.18b.7	Mishneh_Torah,_Immersion_Pools.1.8			
18b.7		מקואות	11.12						0	http://www.sefaria.org/Chagigah.18b.7	sefaria.org/Mishneh_Torah,_Immersion_Pools.11.12					Chagigah.18b.7	Mishneh_Torah,_Immersion_Pools.11.12			
18b.8		שאר אבות הטומאות	13.1							http://www.sefaria.org/Chagigah.18b.8	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.1					Chagigah.18b.8	Mishneh_Torah,_Other_Sources_of_Defilement.13.1			
18b.8		מטמאי משכב ומושב	10.1						0	http://www.sefaria.org/Chagigah.18b.8	sefaria.org/Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.10.1					Chagigah.18b.8	Mishneh_Torah,_Those_Who_Defile_Bed_or_Seat.10.1			
18b.8		שאר אבות הטומאות	12.4						0	http://www.sefaria.org/Chagigah.18b.8	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.12.4					Chagigah.18b.8	Mishneh_Torah,_Other_Sources_of_Defilement.12.4			
18b.8		פרה אדומה	13.2						0	http://www.sefaria.org/Chagigah.18b.8	sefaria.org/Mishneh_Torah,_Red_Heifer.13.2					Chagigah.18b.8	Mishneh_Torah,_Red_Heifer.13.2			
18b.10		פרה אדומה	13.2						0	http://www.sefaria.org/Chagigah.18b.10	sefaria.org/Mishneh_Torah,_Red_Heifer.13.2					Chagigah.18b.10	Mishneh_Torah,_Red_Heifer.13.2			
18b.13		תרומות	6.6						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.6.6					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.6.6			
18b.13		ביכורים ושאר מתנות כהונה שבגבולין	3.1						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.3.1					Chagigah.18b.13	Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.3.1			
18b.13		תרומות	10.1						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.10.1					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.10.1			
18b.13		תרומות	6.5						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.6.5					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.6.5			
18b.13		ביכורים ושאר מתנות כהונה שבגבולין	4.15						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.4.15					Chagigah.18b.13	Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.4.15			
18b.13		ביכורים ושאר מתנות כהונה שבגבולין	4.14							http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.4.14					Chagigah.18b.13	Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.4.14			
18b.13		תרומות	13.1							http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.13.1					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.13.1			
18b.13		תרומות	11.7						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.11.7					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.11.7			
18b.13		תרומות	7.2						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Heave_Offerings.7.2					Chagigah.18b.13	Mishneh_Torah,_Heave_Offerings.7.2			
18b.13		מעשר שני ונטע רבעי	7.11						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.7.11					Chagigah.18b.13	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.7.11			
18b.13		מעשר שני ונטע רבעי	3.1						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.1					Chagigah.18b.13	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.1			
18b.13		מעשר שני ונטע רבעי	3.17						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.17					Chagigah.18b.13	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.17			
18b.13		מעשר שני ונטע רבעי	3.24						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.24					Chagigah.18b.13	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.3.24			
18b.13		מעשר שני ונטע רבעי	7.11						0	http://www.sefaria.org/Chagigah.18b.13	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.7.11					Chagigah.18b.13	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.7.11			
18b.18		שאר אבות הטומאות	9.1						0	http://www.sefaria.org/Chagigah.18b.18	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.9.1					Chagigah.18b.18	Mishneh_Torah,_Other_Sources_of_Defilement.9.1			
18b.18		שאר אבות הטומאות	10.2						0	http://www.sefaria.org/Chagigah.18b.18	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.10.2					Chagigah.18b.18	Mishneh_Torah,_Other_Sources_of_Defilement.10.2			
18b.28		תרומות	11.7	עשין	27.5	א"ח	158.1	א"ח	158	http://www.sefaria.org/Chagigah.18b.28	sefaria.org/Mishneh_Torah,_Heave_Offerings.11.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.27.5	sefaria.org/Shulchan_Arukh,_Orach_Chayim.158.1	sefaria.org/Tur,_Orach_Chaim.158		Chagigah.18b.28	Mishneh_Torah,_Heave_Offerings.11.7	Sefer_Mitzvot_Gadol,_Volume_Two.27.5	Shulchan_Arukh,_Orach_Chayim.158.1	Tur,_Orach_Chaim.158
18b.28		ברכות	6.1						0	http://www.sefaria.org/Chagigah.18b.28	sefaria.org/Mishneh_Torah,_Blessings.6.1					Chagigah.18b.28	Mishneh_Torah,_Blessings.6.1			
18b.30		ברכות	6.3			א"ח	158.5			http://www.sefaria.org/Chagigah.18b.30	sefaria.org/Mishneh_Torah,_Blessings.6.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.158.5			Chagigah.18b.30	Mishneh_Torah,_Blessings.6.3		Shulchan_Arukh,_Orach_Chayim.158.5	
18b.32		שאר אבות הטומאות	13.2			א"ח	159.13	א"ח	159	http://www.sefaria.org/Chagigah.18b.32	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.159.13	sefaria.org/Tur,_Orach_Chaim.159		Chagigah.18b.32	Mishneh_Torah,_Other_Sources_of_Defilement.13.2		Shulchan_Arukh,_Orach_Chayim.159.13	Tur,_Orach_Chaim.159
18b.32		מקואות	1.8						0	http://www.sefaria.org/Chagigah.18b.32	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.8					Chagigah.18b.32	Mishneh_Torah,_Immersion_Pools.1.8			
18b.33		שאר אבות הטומאות	13.2			א"ח	159.13	א"ח	159	http://www.sefaria.org/Chagigah.18b.33	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.159.13	sefaria.org/Tur,_Orach_Chaim.159		Chagigah.18b.33	Mishneh_Torah,_Other_Sources_of_Defilement.13.2		Shulchan_Arukh,_Orach_Chayim.159.13	Tur,_Orach_Chaim.159
18b.33		מקואות	1.8						0	http://www.sefaria.org/Chagigah.18b.33	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.8					Chagigah.18b.33	Mishneh_Torah,_Immersion_Pools.1.8			
18b.37		שאר אבות הטומאות	13.2			א"ח	159.13	א"ח	159	http://www.sefaria.org/Chagigah.18b.37	sefaria.org/Mishneh_Torah,_Other_Sources_of_Defilement.13.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.159.13	sefaria.org/Tur,_Orach_Chaim.159		Chagigah.18b.37	Mishneh_Torah,_Other_Sources_of_Defilement.13.2		Shulchan_Arukh,_Orach_Chayim.159.13	Tur,_Orach_Chaim.159
18b.37		מקואות	1.8						0	http://www.sefaria.org/Chagigah.18b.37	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.8					Chagigah.18b.37	Mishneh_Torah,_Immersion_Pools.1.8			
19a.3		מקואות	9.17	עשין	248	י"ד	201.5	י"ד	201	http://www.sefaria.org/Chagigah.19a.3	sefaria.org/Mishneh_Torah,_Immersion_Pools.9.17	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.248	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.201.5	sefaria.org/Tur,_Yoreh_Deah.201		Chagigah.19a.3	Mishneh_Torah,_Immersion_Pools.9.17	Sefer_Mitzvot_Gadol,_Volume_Two.248	Shulchan_Arukh,_Yoreh_De'ah.201.5	Tur,_Yoreh_Deah.201
