Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
3b.32		תרומות	1.5						0	http://www.sefaria.org/Chagigah.3b.32	sefaria.org/Mishneh_Torah,_Heave_Offerings.1.5					Chagigah.3b.32	Mishneh_Torah,_Heave_Offerings.1.5			
3b.32		בית הבחירה	6.16						0	http://www.sefaria.org/Chagigah.3b.32	sefaria.org/Mishneh_Torah,_The_Chosen_Temple.6.16					Chagigah.3b.32	Mishneh_Torah,_The_Chosen_Temple.6.16			
3b.37		עדות	9.9			י"ד	1.5	י"ד	1	http://www.sefaria.org/Chagigah.3b.37	sefaria.org/Mishneh_Torah,_Testimony.9.9		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.1.5	sefaria.org/Tur,_Yoreh_Deah.1		Chagigah.3b.37	Mishneh_Torah,_Testimony.9.9		Shulchan_Arukh,_Yoreh_De'ah.1.5	Tur,_Yoreh_Deah.1
3b.37						ח"מ	35.8	ח"מ	35	http://www.sefaria.org/Chagigah.3b.37			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.35.8	sefaria.org/Tur,_Choshen_Mishpat.35		Chagigah.3b.37			Shulchan_Arukh,_Choshen_Mishpat.35.8	Tur,_Choshen_Mishpat.35
3b.42		עדות	9.9			י"ד	1.5	י"ד	1	http://www.sefaria.org/Chagigah.3b.42	sefaria.org/Mishneh_Torah,_Testimony.9.9		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.1.5	sefaria.org/Tur,_Yoreh_Deah.1		Chagigah.3b.42	Mishneh_Torah,_Testimony.9.9		Shulchan_Arukh,_Yoreh_De'ah.1.5	Tur,_Yoreh_Deah.1
3b.42						ח"מ	35.8	ח"מ	35	http://www.sefaria.org/Chagigah.3b.42			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.35.8	sefaria.org/Tur,_Choshen_Mishpat.35		Chagigah.3b.42			Shulchan_Arukh,_Choshen_Mishpat.35.8	Tur,_Choshen_Mishpat.35
4a.10		חגיגה	2.1						0	http://www.sefaria.org/Chagigah.4a.10	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1					Chagigah.4a.10	Mishneh_Torah,_Festival_Offering.2.1			
4a.14		עבודה זרה וחוקות הגויים	12.3						0	http://www.sefaria.org/Chagigah.4a.14	sefaria.org/Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.12.3					Chagigah.4a.14	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.12.3			
4a.18		חגיגה	3.2						0	http://www.sefaria.org/Chagigah.4a.18	sefaria.org/Mishneh_Torah,_Festival_Offering.3.2					Chagigah.4a.18	Mishneh_Torah,_Festival_Offering.3.2			
4a.29		חגיגה	2.3						0	http://www.sefaria.org/Chagigah.4a.29	sefaria.org/Mishneh_Torah,_Festival_Offering.2.3					Chagigah.4a.29	Mishneh_Torah,_Festival_Offering.2.3			
4a.35		חגיגה	2.2						0	http://www.sefaria.org/Chagigah.4a.35	sefaria.org/Mishneh_Torah,_Festival_Offering.2.2					Chagigah.4a.35	Mishneh_Torah,_Festival_Offering.2.2			
4a.41		חגיגה	2.1			י"ד	267.17	י"ד	267	http://www.sefaria.org/Chagigah.4a.41	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.267.17	sefaria.org/Tur,_Yoreh_Deah.267		Chagigah.4a.41	Mishneh_Torah,_Festival_Offering.2.1		Shulchan_Arukh,_Yoreh_De'ah.267.17	Tur,_Yoreh_Deah.267
4a.43		חגיגה	2.1						0	http://www.sefaria.org/Chagigah.4a.43	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1					Chagigah.4a.43	Mishneh_Torah,_Festival_Offering.2.1			
4a.53		חגיגה	2.1						0	http://www.sefaria.org/Chagigah.4a.53	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1					Chagigah.4a.53	Mishneh_Torah,_Festival_Offering.2.1			
4b.1		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.4b.1	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.4b.1	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
4b.3		חגיגה	2.1	עשין	229				0	http://www.sefaria.org/Chagigah.4b.3	sefaria.org/Mishneh_Torah,_Festival_Offering.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.4b.3	Mishneh_Torah,_Festival_Offering.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
4b.8		תרומות	7.10						0	http://www.sefaria.org/Chagigah.4b.8	sefaria.org/Mishneh_Torah,_Heave_Offerings.7.10					Chagigah.4b.8	Mishneh_Torah,_Heave_Offerings.7.10			
5b.43		דעות	5.4	לאוין	81	א"ח	240.9	א"ח	240	http://www.sefaria.org/Chagigah.5b.43	sefaria.org/Mishneh_Torah,_Human_Dispositions.5.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.81	sefaria.org/Shulchan_Arukh,_Orach_Chayim.240.9	sefaria.org/Tur,_Orach_Chaim.240		Chagigah.5b.43	Mishneh_Torah,_Human_Dispositions.5.4	Sefer_Mitzvot_Gadol,_Volume_One.81	Shulchan_Arukh,_Orach_Chayim.240.9	Tur,_Orach_Chaim.240
5b.43						אה"ע	25.2	אה"ע	25	http://www.sefaria.org/Chagigah.5b.43			sefaria.org/Shulchan_Arukh,_Even_HaEzer.25.2	sefaria.org/Tur,_Even_HaEzer.25		Chagigah.5b.43			Shulchan_Arukh,_Even_HaEzer.25.2	Tur,_Even_HaEzer.25
6a.3		חגיגה	1.1	עשין	229				0	http://www.sefaria.org/Chagigah.6a.3	sefaria.org/Mishneh_Torah,_Festival_Offering.1.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.6a.3	Mishneh_Torah,_Festival_Offering.1.1	Sefer_Mitzvot_Gadol,_Volume_Two.229		
6a.16		חגיגה	2.3						0	http://www.sefaria.org/Chagigah.6a.16	sefaria.org/Mishneh_Torah,_Festival_Offering.2.3					Chagigah.6a.16	Mishneh_Torah,_Festival_Offering.2.3			
6b.12		חגיגה	1.1						0	http://www.sefaria.org/Chagigah.6b.12	sefaria.org/Mishneh_Torah,_Festival_Offering.1.1					Chagigah.6b.12	Mishneh_Torah,_Festival_Offering.1.1			
7a.1		מתנות עניים	1.15	לאוין	284				0	http://www.sefaria.org/Chagigah.7a.1	sefaria.org/Mishneh_Torah,_Gifts_to_the_Poor.1.15	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.284				Chagigah.7a.1	Mishneh_Torah,_Gifts_to_the_Poor.1.15	Sefer_Mitzvot_Gadol,_Volume_One.284		
7a.1		ביכורים ושאר מתנות כהונה שבגבולין	2.17	עשין	139				0	http://www.sefaria.org/Chagigah.7a.1	sefaria.org/Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.2.17	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.139				Chagigah.7a.1	Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.2.17	Sefer_Mitzvot_Gadol,_Volume_Two.139		
