txt file line,Perek running counter,page running counter,Perek aprx,Page aprx,Rambam,Semag,Tur Shulchan Arukh,original,problem
1,א,א,1,1,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:2']",,,"א א ב מיי' פט""ו מהל' פסולי המוקדשין הלכה ב",False
2,ב,ג,1,1,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:3']",,,"ב ג מיי' שם הל""ג",False
3,ג,א,1,2,"[u'Mishneh Torah, Sacrificial Procedure 7:9']",,,"ג א מיי' פ""ז מהל' מעשה קרבן הלכה ט",False
4,ד,א,1,3,"[u'Mishneh Torah, Sacrificial Procedure 5:2']",,,"ד א מיי' פ""ה מהל' מעשה קרבן הל""ב",False
5,ה,ב,1,3,"[u'Mishneh Torah, Sacrificial Procedure 17:2']",,,"ה ב ג מיי' פי""ז מהל' מעשה קרבן הל""ב",False
6,ו,א,1,4,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:6']",,,"ו א מיי' פט""ו מהל' פסה""מ הלכה ו",False
7,ז,א,1,5,"[u'Mishneh Torah, Sacrifices Rendered Unfit 5:8']",,,"ז א מיי' פ""ה מהל' פסה""מ הל""ח",False
8,ח,ב,1,5,"[u'Mishneh Torah, Sacrifices Rendered Unfit 4:15']",,,"ח ב מיי' פ""ד מהל' פסה""מ הל' טו",False
9,ט,א,1,6,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1']",,,"ט א מיי' פט""ו מהל' פסה""מ הל""א",False
10,י,ב,1,6,"[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:13']",,,"י ב מיי' פ""א מהל' מחוסרי כפרה הלי""ג",False
11,יא,ג,1,6,"[u'Mishneh Torah, Trespass 4:3']",,,"יא ג ד ה מיי' פ""ד מהל' מעילה הל""ג",False
12,יב,א,1,7,"[u'Mishneh Torah, Nazariteship 8:2']",,,"יב א מיי' פ""ח מהל' נזירות הל""ב",False
13,יג,ב,1,7,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:17', u'Mishneh Torah, Offerings for Those with Incomplete Atonement 5:2']",,,"יג ב מיי' פט""ו מהל' פסה""מ הלי""ז ופ""ה מהל' מחוסרי כפרה הל""ב",False
