Name,Match Name 1,Match Name 2,Match Name 3,Match URL 1,Match URL 2,Match URL 3
זכריה בית ראשון,,,,,,
סרח,,,,,,
שפן,,,,,,
מישע,,,,,,
בתואל,בתואל,,,https://www.wikidata.org/wiki/Q1579827,,
יצחק,יצחק,,,https://www.wikidata.org/wiki/Q671872,,
צדקיה,,,,,,
דתן ואבירם,,,,,,
אביה מלך יהודה,אביה,אביה,,https://www.wikidata.org/wiki/Q3603527,https://www.wikidata.org/wiki/Q273517,
עזריהו בן עודד,עוזיהו,,,https://www.wikidata.org/wiki/Q313216,,
חנה,חנה,,,https://www.wikidata.org/wiki/Q2346367,,
ערפה,ערפה,,,https://www.wikidata.org/wiki/Q1697019,,
יהורם מלך ישראל,יורם,,,https://www.wikidata.org/wiki/Q313215,,
עוזיה,עוזיהו,,,https://www.wikidata.org/wiki/Q313216,,
דינה,דינה,,,https://www.wikidata.org/wiki/Q122035,,
זמרי,זמרי,זמרי בן סלוא,,https://www.wikidata.org/wiki/Q313230,https://www.wikidata.org/wiki/Q203956,
כלב בן יפונה,כלב בן יפונה,,,https://www.wikidata.org/wiki/Q922184,,
אדום,,,,,,
ישמעאל בן נתניה,ישמעאל,,,https://www.wikidata.org/wiki/Q183403,,
אדוניה,אדוניה,,,https://www.wikidata.org/wiki/Q360378,,
חנוך בן ירד,חנוך בן קין,,,https://www.wikidata.org/wiki/Q2495184,,
צללפונית,,,,,,
אהרן ובניו,אהרן,,,https://www.wikidata.org/wiki/Q51676,,
ראובן,ראובן,,,https://www.wikidata.org/wiki/Q625661,,
ירבעם בן יואש,ירבעם בן נבט,,,https://www.wikidata.org/wiki/Q313219,,
אביגיל,אביגיל,,,https://www.wikidata.org/wiki/Q4416778,,
אחימעץ,אחימעץ בן צדוק,,,https://www.wikidata.org/wiki/Q2904547,,
אהליאב,,,,,,
עובד,עובד,,,https://www.wikidata.org/wiki/Q1135791,,
אתי הגתי,,,,,,
נעמה העמונית,נעמה העמונית,נעמה,,https://www.wikidata.org/wiki/Q865263,https://www.wikidata.org/wiki/Q1542154,
שמגר,שמגר בן ענת,,,https://www.wikidata.org/wiki/Q1516550,,
אביה בן ירבעם,אביה,אביה,,https://www.wikidata.org/wiki/Q3603527,https://www.wikidata.org/wiki/Q273517,
כורש,כורש,,,https://www.wikidata.org/wiki/Q8423,,
ירד משה,ירד,,,https://www.wikidata.org/wiki/Q927410,,
משה,משה,,,https://www.wikidata.org/wiki/Q9077,,
ישבי,,,,,,
יוכבד,יוכבד,,,https://www.wikidata.org/wiki/Q594805,,
דן,דן,,,https://www.wikidata.org/wiki/Q550869,,
עגלון,עגלון מלך מואב,,,https://www.wikidata.org/wiki/Q2662239,,
אסתר,אסתר,,,https://www.wikidata.org/wiki/Q732413,,
בלק,בלק,,,https://www.wikidata.org/wiki/Q1411953,,
דואג,דואג האדומי,,,https://www.wikidata.org/wiki/Q1234538,,
ארבע,,,,,,
ישמעאל,ישמעאל,,,https://www.wikidata.org/wiki/Q183403,,
זרובבל,זרובבל בן שאלתיאל,,,https://www.wikidata.org/wiki/Q320139,,
שאול מלך,שאול,,,https://www.wikidata.org/wiki/Q28730,,
צלפחד,צלפחד,,,https://www.wikidata.org/wiki/Q2659583,,
אליהוא,אליהוא בן ברכאל,,,https://www.wikidata.org/wiki/Q471388,,
עכן,עכן בן כרמי,,,https://www.wikidata.org/wiki/Q1889647,,
אחזיה,אחזיה,,,https://www.wikidata.org/wiki/Q313214,,
יהונתן בן גרשם,יהונתן,יהונתן בן גרשום,,https://www.wikidata.org/wiki/Q74891,https://www.wikidata.org/wiki/Q6272377,
אחשורוש,אחשוורוש,,,https://www.wikidata.org/wiki/Q1370497,,
הבל,הבל,,,https://www.wikidata.org/wiki/Q313421,,
רעואל,רעואל,,,https://www.wikidata.org/wiki/Q32979741,,
ממוכן,,,,,,
יתר הישמעאלי,,,,,,
מרים,מרים הנביאה,,,https://www.wikidata.org/wiki/Q1938388,,
אגג,אגג,,,https://www.wikidata.org/wiki/Q390086,,
אליקים,אליקים בן חלקיהו,,,https://www.wikidata.org/wiki/Q9252684,,
עדו,,,,,,
כזבי,כזבי בת צור,,,https://www.wikidata.org/wiki/Q1352758,,
אהרן,אהרן,,,https://www.wikidata.org/wiki/Q51676,,
אלישע,אלישע,,,https://www.wikidata.org/wiki/Q206238,,
יעבץ,יעבץ,,,https://www.wikidata.org/wiki/Q1676833,,
יפתח,יפתח הגלעדי,,,https://www.wikidata.org/wiki/Q1133523,,
דניאל,דניאל,,,https://www.wikidata.org/wiki/Q171724,,
ישעיה,ישעיהו,,,https://www.wikidata.org/wiki/Q188794,,
עבד מלך הכושי,עבד מלך הכושי,,,https://www.wikidata.org/wiki/Q177617,,
אמנון,אמנון,,,https://www.wikidata.org/wiki/Q361636,,
אליאב,,,,,,
פוטיפר,פוטיפר,,,https://www.wikidata.org/wiki/Q1148687,,
אלקנה,אלקנה,,,https://www.wikidata.org/wiki/Q2424977,,
ער בכור יהודה,ער,,,https://www.wikidata.org/wiki/Q1347943,,
חושי,,,,,,
חזקיה,חזקיהו,,,https://www.wikidata.org/wiki/Q244912,,
חם,חם בן נח,,,https://www.wikidata.org/wiki/Q229702,,
יהורם מלך יהודה,יורם,,,https://www.wikidata.org/wiki/Q313215,,
נר סבו של שאול,אביאל בן צרור,,,https://www.wikidata.org/wiki/Q16128781,,
חנניה מישאל ועזריה,,,,,,
יהושע,יהושע בן יהוצדק,יהושע בן נון,,https://www.wikidata.org/wiki/Q783824,https://www.wikidata.org/wiki/Q7734,
מירב,,,,,,
אלדד ומידד,,,,,,
שכם,שכם בן חמור,,,https://www.wikidata.org/wiki/Q22054796,,
קרח,,,,,,
שלומית,,,,,,
עוג,עוג מלך הבשן,,,https://www.wikidata.org/wiki/Q878675,,
בגתן ותרש,,,,,,
אחז,,,,,,
אביתר,אביתר,,,https://www.wikidata.org/wiki/Q321804,,
נח,נח,,,https://www.wikidata.org/wiki/Q81422,,
נעמי,נעמי,,,https://www.wikidata.org/wiki/Q2596433,,
הצללפוני,,,,,,
יהונתן בן שאול,יהונתן,יהונתן בן גרשום,,https://www.wikidata.org/wiki/Q74891,https://www.wikidata.org/wiki/Q6272377,
גדעון,גדעון בן יואש,,,https://www.wikidata.org/wiki/Q176125,,
צרפית,,,,,,
קמואל,קמואל,,,https://www.wikidata.org/wiki/Q11944206,,
אמרפל,אמרפל,,,https://www.wikidata.org/wiki/Q2844493,,
עלי,עלי הכהן,,,https://www.wikidata.org/wiki/Q362021,,
חלקיה,חלקיה,,,https://www.wikidata.org/wiki/Q25796501,,
רחל,רחל,,,https://www.wikidata.org/wiki/Q207389,,
פנינה,פנינה,,,https://www.wikidata.org/wiki/Q2068934,,
עוזא,,,,,,
מיכיהו,מיכיהו בן ימלה,,,https://www.wikidata.org/wiki/Q1531578,,
יפת,יפת בן נח,,,https://www.wikidata.org/wiki/Q200637,,
נחש מלך בני עמון,,,,,,
רחב,רחב,,,https://www.wikidata.org/wiki/Q1135632,,
תמר יהודה,תמר,,,https://www.wikidata.org/wiki/Q30148909,,
בנימין,,,,,,
לבן בן בתואל,לבן הארמי,,,https://www.wikidata.org/wiki/Q840401,,
יחזקאל,יחזקאל,,,https://www.wikidata.org/wiki/Q194064,,
אשר בן יעקב,אשר,,,https://www.wikidata.org/wiki/Q1775026,,
פרעה נכה,,,,,,
פתחיה,,,,,,
חפני ופנחס,חפני,,,https://www.wikidata.org/wiki/Q1563312,,
אליהו,אליהו,,,https://www.wikidata.org/wiki/Q133507,,
ברזילי הגלעדי,ברזילי הגלעדי,,,https://www.wikidata.org/wiki/Q6710215,,
