ID,Name,He Name,Edge,Value,Value ID
565584126532d12b35ca6df8,Yose b. Yoezer,יוסי בן יועזר,learned from,Antigonus of Sokho,565584126532d12b35ca6dda
565584126532d12b35ca6df8,Yose b. Yoezer,יוסי בן יועזר,learned from,Shimon haTzaddik,565584126532d12b35ca6e8e
565584126532d12b35ca6df8,Yose b. Yoezer,יוסי בן יועזר,taught,Yehoshua b. Perachya,565584126532d12b35ca6e23
565584126532d12b35ca6df8,Yose b. Yoezer,יוסי בן יועזר,taught,Nittai haArbeli,565584126532d12b35ca6e56
565584126532d12b35ca6e30,Yose b. Yochanan,יוסי בן יוחנן‎,learned from,Antigonus of Sokho,565584126532d12b35ca6dda
565584126532d12b35ca6e30,Yose b. Yochanan,יוסי בן יוחנן‎,learned from,Shimon haTzaddik,565584126532d12b35ca6e8e
565584126532d12b35ca6e30,Yose b. Yochanan,יוסי בן יוחנן‎,taught,Yehoshua b. Perachya,565584126532d12b35ca6e23
565584126532d12b35ca6e30,Yose b. Yochanan,יוסי בן יוחנן‎,taught,Nittai haArbeli,565584126532d12b35ca6e56
565584126532d12b35ca6e23,Yehoshua b. Perachya,יהושע בן פרחיה‎,learned from,Yose b. Yoezer,565584126532d12b35ca6df8
565584126532d12b35ca6e23,Yehoshua b. Perachya,יהושע בן פרחיה‎,learned from,Yose b. Yochanan,565584126532d12b35ca6e30
565584126532d12b35ca6e23,Yehoshua b. Perachya,יהושע בן פרחיה‎,learned from,Nittai haArbeli,565584126532d12b35ca6e56
565584126532d12b35ca6e23,Yehoshua b. Perachya,יהושע בן פרחיה‎,taught,Yehudah b. Tabbai,565584126532d12b35ca6e1a
565584126532d12b35ca6e23,Yehoshua b. Perachya,יהושע בן פרחיה‎,taught,Shimon b. Shetach,565584126532d12b35ca6e8c
565584126532d12b35ca6e56,Nittai haArbeli,נתאי הארבלי,learned from,Yose b. Yoezer,565584126532d12b35ca6df8
565584126532d12b35ca6e56,Nittai haArbeli,נתאי הארבלי,learned from,Yose b. Yochanan,565584126532d12b35ca6e30
565584126532d12b35ca6e56,Nittai haArbeli,נתאי הארבלי,taught,Yehudah b. Tabbai,565584126532d12b35ca6e1a
565584126532d12b35ca6e56,Nittai haArbeli,נתאי הארבלי,taught,Yehoshua b. Perachya,565584126532d12b35ca6e23
565584126532d12b35ca6e56,Nittai haArbeli,נתאי הארבלי,taught,Shimon b. Shetach,565584126532d12b35ca6e8c
565584126532d12b35ca6e1a,Yehudah b. Tabbai,יהודה בן טבאי,learned from,Yehoshua b. Perachya,565584126532d12b35ca6e23
565584126532d12b35ca6e1a,Yehudah b. Tabbai,יהודה בן טבאי,learned from,Nittai haArbeli,565584126532d12b35ca6e56
565584126532d12b35ca6e1a,Yehudah b. Tabbai,יהודה בן טבאי,taught,Avtalyon,565584126532d12b35ca6dbc
565584126532d12b35ca6e1a,Yehudah b. Tabbai,יהודה בן טבאי,taught,Shemayah,565584126532d12b35ca6e8f
565584126532d12b35ca6e8c,Shimon b. Shetach,שמעון בן שטח,learned from,Yehoshua b. Perachya,565584126532d12b35ca6e23
565584126532d12b35ca6e8c,Shimon b. Shetach,שמעון בן שטח,learned from,Nittai haArbeli,565584126532d12b35ca6e56
565584126532d12b35ca6e8c,Shimon b. Shetach,שמעון בן שטח,taught,Avtalyon,565584126532d12b35ca6dbc
565584126532d12b35ca6e8c,Shimon b. Shetach,שמעון בן שטח,taught,Shemayah,565584126532d12b35ca6e8f
565584126532d12b35ca6dbc,Avtalyon,אבטליון,learned from,Yehudah b. Tabbai,565584126532d12b35ca6e1a
565584126532d12b35ca6dbc,Avtalyon,אבטליון,learned from,Shimon b. Shetach,565584126532d12b35ca6e8c
565584126532d12b35ca6dbc,Avtalyon,אבטליון,taught,Hillel the Elder,565584126532d12b35ca6df4
565584126532d12b35ca6dbc,Avtalyon,אבטליון,taught,Shammai,565584126532d12b35ca6e78
565584126532d12b35ca6e8f,Shemayah,שמעיה,learned from,Yehudah b. Tabbai,565584126532d12b35ca6e1a
565584126532d12b35ca6e8f,Shemayah,שמעיה,learned from,Shimon b. Shetach,565584126532d12b35ca6e8c
565584126532d12b35ca6e8f,Shemayah,שמעיה,taught,Hillel the Elder,565584126532d12b35ca6df4
565584126532d12b35ca6e8f,Shemayah,שמעיה,taught,Shammai,565584126532d12b35ca6e78
565584126532d12b35ca6df4,Hillel the Elder,הלל הזקן,learned from,Avtalyon,565584126532d12b35ca6dbc
