item,itemLabel,present_in_work,present_in_workLabel
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q2021659,Quando el Rey Nimrod
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q2910304,Tanhuma
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q2917980,Midrash Rabba
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q2918522,The Cave
http://www.wikidata.org/entity/Q12591,Nebuchadnezzar II,http://www.wikidata.org/entity/Q131590,Jeremiah
http://www.wikidata.org/entity/Q12591,Nebuchadnezzar II,http://www.wikidata.org/entity/Q202230,Nabucco
http://www.wikidata.org/entity/Q12591,Nebuchadnezzar II,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q12591,Nebuchadnezzar II,http://www.wikidata.org/entity/Q3520166,The Burning Fiery Furnace
http://www.wikidata.org/entity/Q12591,Nebuchadnezzar II,http://www.wikidata.org/entity/Q16159105,Daniel 4
http://www.wikidata.org/entity/Q28730,Saul,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q28730,Saul,http://www.wikidata.org/entity/Q728702,Saul
http://www.wikidata.org/entity/Q28730,Saul,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q30973,Meshech,http://www.wikidata.org/entity/Q9184,Book of Genesis
http://www.wikidata.org/entity/Q33923,Peter,http://www.wikidata.org/entity/Q36766,Gospel of John
http://www.wikidata.org/entity/Q33923,Peter,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q33923,Peter,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q33923,Peter,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q33923,Peter,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q428,Quran
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q8258,One Thousand and One Nights
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q161953,Books of Chronicles
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q209748,2 Maccabees
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q1123371,Kebra Nagast
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q1123627,Solomon
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q1247723,Just So Stories
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q1316253,Solomon and Sheba
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q1519440,The Hidden Words
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q2452374,The Judgement of Solomon
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q3031303,The Kingdom of Solomon
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q3818564,The Ring of Solomon
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q7558541,Solomon & Sheba
http://www.wikidata.org/entity/Q37085,Solomon,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q40520,Rebecca,http://www.wikidata.org/entity/Q9184,Book of Genesis
http://www.wikidata.org/entity/Q40574,Lot,http://www.wikidata.org/entity/Q9184,Book of Genesis
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q4579,Proverbs
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q36766,Gospel of John
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q41064,Psalms
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q42040,Revelation
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q48203,Epistle to the Romans
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q51670,Song of Songs
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q80038,Ruth
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q128608,Epistle to the Hebrews
