Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
ר אלעזר חסמא,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
בר כוכבא,בר קפרא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Bar%20Kappara,,,,,,,,,,,,,,
רבי אלעזר בן חרסום,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
רבי יוסי בר ר יהודה,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
ר יוחנן הסנדלר,רבי יוחנן הסנדלר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,,,,,,
אותו האיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהודה בן דורתאי,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
רבי חמי בר חנינה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פלימו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר יהושע,יהושע בן פרחיה‎,רבי יהושע בן חנניה,רבי יהושע בן קרחה,,,,,,,,,,,,,https://www.sefaria.org/person/Yehoshua%20b.%20Perachya,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Hananyah,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,
