Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
רבי יוחנן בן גודגדא,רבן יוחנן בן זכאי‎,רבי יוחנן בן ברוקה,רבי יוחנן בן נורי,רבי יוחנן בן תורתא,יוחנן בן דהבאי,רבי יוחנן הסנדלר,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,https://www.sefaria.org/person/Yohanan%20b.%20Dahavai,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,
רבי נחמיה,רבי נחמיה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehemyah,,,,,,,,,,,,,,
רבי יוסי הכהן,רבי יוסי הכהן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,,,,,,,,,,,,,,
קטיעה בר שלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנן המצרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אלעזר בן דורדיא,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
אבא שאול אבא שאול בן בטנית,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
בן סירא,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
רבי אלעזר בן ערך,רבי אלעזר בן ערך,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,,,,,,,,,,,,,,
שלומציון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ישמעאל בן פיאבי,רבי ישמעאל בן אלישע,רבי ישמעאל יוחנן בן ברוקה,רבי ישמעאל בן יוסי,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yose,,,,,,,,,,,,
רבי יהושע בן קרחה,רבי יהושע בן קרחה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,,,
חנה ושבעת בניה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יקום איש צרורות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבא בנימין,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
נחום איש קודש קדשים,נחום המדי,נחום איש גמזו,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20haMedi,https://www.sefaria.org/person/Nahum%20of%20Gamzo,,,,,,,,,,,,,
לוי בן סיסי,לוי בר סיסי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Levi%20b.%20Sisi,,,,,,,,,,,,,,
יהודה בן גרים,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
רבי שמעון בן איסי בן לקוניא,שמעון בן שטח,רבן שמעון בן גמליאל,שמעון הפקולי,שמעון בן זומא,רבי שמעון בן ננס,שמעון בן עזאי,שמעון התימני,רבי שמעון השקמוני,רבן שמעון בן גמליאל,רבי שמעון בר יוחאי,שמעון בן חלפתא,רבי שמעון בן יהודה,רבי שמעון בן מנסיא,רבי שמעון ברבי יוסי בן לקוניא,רבי שמעון בן רבי,https://www.sefaria.org/person/Shimon%20b.%20Shetach,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Shimon%20haPaqoli,https://www.sefaria.org/person/Shimon%20b.%20Zoma,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Nannas,https://www.sefaria.org/person/Shimon%20b.%20Azzai,https://www.sefaria.org/person/Shimon%20haTimni,https://www.sefaria.org/person/Rabbi%20Shimon%20haShiqmoni,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,https://www.sefaria.org/person/Shimon%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Menasya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Rabbi
מרים בת בלגה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אליעזר,רבי אליעזר בן הורקנוס‎,רבי אליעזר בן יעקב,רבי אליעזר בן פרטא,רבי אליעזר בן יוסי הגלילי,רבי אליעזר בן יעקב,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Hyrcanus,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20b.%20Parta,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(II),,,,,,,,,,
רבי זכריה בן אבקולס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרתא בת בייתוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אלעזר בן דמה,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
רבי אליעזר בן יעקב,רבי אליעזר בן יעקב,רבי אליעזר בן יעקב,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(I),https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(II),,,,,,,,,,,,,
בן זומא,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
ר אלעזר הקפר,רבי אלעזר הקפר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,,,,,,,,,,
אלכסנדר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אלעזר בן עזריה,רבי אלעזר בן עזריה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,,,,,,,,,,,,,,
ניקנור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר ישמעאל בר יוסי,רבי ישמעאל בן יוסי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yose,,,,,,,,,,,,,,
רבי יוסי בר כיפר,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
יונתן בן עוזיאל,רבי יונתן בן עוזיאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yonatan%20b.%20Uziel,,,,,,,,,,,,,,
שמעיה ואבטליון,שמעיה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shemayah,,,,,,,,,,,,,,
ר יעקב בן קרשי,רבי יעקב בן קרשי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Ya'akov%20b.%20Qorshai,,,,,,,,,,,,,,
מונבז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנדרינוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר צדוק,רבי צדוק,רבי צדוק,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Tzadok%20(II),,,,,,,,,,,,,
יוסף בן סימאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמעון בן שטח,שמעון בן שטח,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20b.%20Shetach,,,,,,,,,,,,,,
הלל,הלל הזקן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Hillel%20the%20Elder,,,,,,,,,,,,,,
מתתיהו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי פדת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בני בתירא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהודית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבא תחנה,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
רבי אליעזר בנו של ר יוסי הגלילי,רבי אליעזר בן הורקנוס‎,רבי אליעזר בן יעקב,רבי אליעזר בן פרטא,רבי אליעזר בן יוסי הגלילי,רבי אליעזר בן יעקב,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Hyrcanus,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20b.%20Parta,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(II),,,,,,,,,,
נחום איש גמזו,נחום איש גמזו,,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20of%20Gamzo,,,,,,,,,,,,,,
תודוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי יהודה בן בתירא,רבי יהודה בן בתירא,רבי יהודה בן בתירא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),,,,,,,,,,,,,
אספסינוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמאי,שמאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shammai,,,,,,,,,,,,,,
אונקלוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרים התרמודית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי יהודה נשיאה,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
כלבא שבוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרים בת נקדימון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יששכר איש כפר ברקאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר יוחנן בן מתיא,רבן יוחנן בן זכאי‎,רבי יוחנן בן ברוקה,רבי יוחנן בן נורי,רבי יוחנן בן תורתא,יוחנן בן דהבאי,רבי יוחנן הסנדלר,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,https://www.sefaria.org/person/Yohanan%20b.%20Dahavai,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,
ר יוסי הגלילי,רבי יוסי הגלילי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,,,,,,,,,,,,,,
רבי יהודה בן טבאי,יהודה בן טבאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,,,,,,,,,,,,,,
יוסי בן יועזר,יוסי בן יועזר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,,,,,,,,,,,,,,
הלל בן רבן גמליאל,הלל הזקן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Hillel%20the%20Elder,,,,,,,,,,,,,,
קמחית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חמא בר ביסא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חנינא בן אלעזר,רבי חנינא בן דוסא,רבי חנינא סגן הכהנים,רב חנינא,רבי חנינא בן גמליאל,רבי חנינה בן חכינאי,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,https://www.sefaria.org/person/Rabbi%20Hanina%20Segan%20haKohanim,https://www.sefaria.org/person/Rabbi%20Hanina,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Gamliel,https://www.sefaria.org/person/Rabbi%20Hananyah%20b.%20Hakhinai,,,,,,,,,,
רבי חנניה,חנניה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Hananyah,,,,,,,,,,,,,,
יוסף הכהן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חנינא בן אחי ר יהושע,רבי חנינא בן דוסא,רבי חנינא סגן הכהנים,רב חנינא,רבי חנינא בן גמליאל,רבי חנינה בן חכינאי,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,https://www.sefaria.org/person/Rabbi%20Hanina%20Segan%20haKohanim,https://www.sefaria.org/person/Rabbi%20Hanina,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Gamliel,https://www.sefaria.org/person/Rabbi%20Hananyah%20b.%20Hakhinai,,,,,,,,,,
רבי חנינא בן אנטיגנוס,רבי חנינא בן דוסא,רבי חנינא סגן הכהנים,רב חנינא,רבי חנינא בן גמליאל,רבי חנינה בן חכינאי,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,https://www.sefaria.org/person/Rabbi%20Hanina%20Segan%20haKohanim,https://www.sefaria.org/person/Rabbi%20Hanina,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Gamliel,https://www.sefaria.org/person/Rabbi%20Hananyah%20b.%20Hakhinai,,,,,,,,,,
עקילס,עקילס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Aquilas,,,,,,,,,,,,,,
רבי נחוניא חופר שיחין,רבי נחוניה בן הקנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehunya%20b.%20haKanah,,,,,,,,,,,,,,
רבי ישמעאל,רבי ישמעאל בן אלישע,רבי ישמעאל יוחנן בן ברוקה,רבי ישמעאל בן יוסי,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yose,,,,,,,,,,,,
שמעון הצדיק,שמעון בן שטח,רבן שמעון בן גמליאל,שמעון הפקולי,שמעון בן זומא,רבי שמעון בן ננס,שמעון בן עזאי,שמעון התימני,רבי שמעון השקמוני,רבן שמעון בן גמליאל,רבי שמעון בר יוחאי,שמעון בן חלפתא,רבי שמעון בן יהודה,רבי שמעון בן מנסיא,רבי שמעון ברבי יוסי בן לקוניא,רבי שמעון בן רבי,https://www.sefaria.org/person/Shimon%20b.%20Shetach,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Shimon%20haPaqoli,https://www.sefaria.org/person/Shimon%20b.%20Zoma,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Nannas,https://www.sefaria.org/person/Shimon%20b.%20Azzai,https://www.sefaria.org/person/Shimon%20haTimni,https://www.sefaria.org/person/Rabbi%20Shimon%20haShiqmoni,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,https://www.sefaria.org/person/Shimon%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Menasya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Rabbi
רבי יוסי בן קסמא,רבי יוסי בן קסמא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,,,,,,,,,,,,,,
יונתן בן עמרם,רבי יונתן בן עוזיאל,רבי יונתן,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yonatan%20b.%20Uziel,https://www.sefaria.org/person/Rabbi%20Yonatan,,,,,,,,,,,,,
רבי חנינה בן תרדיון,רבי חנינא בן דוסא,רבי חנינא סגן הכהנים,רב חנינא,רבי חנינא בן גמליאל,רבי חנינה בן חכינאי,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,https://www.sefaria.org/person/Rabbi%20Hanina%20Segan%20haKohanim,https://www.sefaria.org/person/Rabbi%20Hanina,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Gamliel,https://www.sefaria.org/person/Rabbi%20Hananyah%20b.%20Hakhinai,,,,,,,,,,
בבא בן בוטא,בבא בן בוטא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Bava%20b.%20Buta,,,,,,,,,,,,,,
רבי יוחנן בן תורתה,רבי יוחנן בן תורתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,,,,,,,,,,,,,,
רבי זכאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבן יוחנן בן זכאי,רבן יוחנן בן זכאי‎,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,,,,,,,,,,,,,,
ר פפייס,רבי פפייס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pappeyas,,,,,,,,,,,,,,
רבי ראובן בן איסטרובלי,רבי ראובן בן אצטרובילי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Reuven%20b.%20Itztrobeli,,,,,,,,,,,,,,
חוני המעגל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי שמעון בן חלפתא,שמעון בן חלפתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20b.%20Halafta,,,,,,,,,,,,,,
רבי חנינא בן דוסא,רבי חנינא בן דוסא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,,,,,,,,,,,,,,
ר יוסי בן דורמסקית,רבי יוסי בן דורמסקית,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,,,,,,,,,,,,,,
בנימין הצדיק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חוצפית המתורגמן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר יהודה,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
יוחנן כהן גדול,רבן יוחנן בן זכאי‎,רבי יוחנן בן ברוקה,רבי יוחנן בן נורי,רבי יוחנן בן תורתא,יוחנן בן דהבאי,רבי יוחנן הסנדלר,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,https://www.sefaria.org/person/Yohanan%20b.%20Dahavai,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,
רבי פנחס בר ערובא,רבי פנחס בן יאיר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pinehas%20b.%20Yair,,,,,,,,,,,,,,
הורקנוס רבי אליעזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי עקיבא,רבי עקיבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Akiva,,,,,,,,,,,,,,
יוסי בן סימאי,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
רבי נחוניא בן הקנה,רבי נחוניה בן הקנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehunya%20b.%20haKanah,,,,,,,,,,,,,,
ברוריה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איסי בר יהודה,איסי בן יהודה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Issi%20b.%20Yehudah,,,,,,,,,,,,,,
רבן גמליאל,רבן גמליאל הזקן,רבן גמליאל דיבנה,רבן גמליאל דיבנה,,,,,,,,,,,,,https://www.sefaria.org/person/Rabban%20Gamliel%20(I)%20haZaken,https://www.sefaria.org/person/Rabban%20Gamliel%20(II)%20of%20Yavneh,https://www.sefaria.org/person/Rabban%20Gamliel%20(III)%20b.%20Rabbi,,,,,,,,,,,,
אחר אלישע בן אבויה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבא חלקיה,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
