ID,Hebrew Name,English Name,URL,Time Period,jeLink,heWikiLink,enWikiLink,generation
565584126532d12b35ca6dc4,רבי אושעיא בריבי,Rabbi Oshaya Rabbah,https://www.sefaria.org/person/Rabbi%20Oshaya%20Rabbah,mishnah,http://www.jewishencyclopedia.com/view.jsp?artid=929&letter=H,,http://en.wikipedia.org/wiki/Hoshaiah_Rabbah,TA
565584126532d12b35ca6e76,רב שילא,Rav Shela,https://www.sefaria.org/person/Rav%20Shela,mishnah,http://www.jewishencyclopedia.com/view.jsp?artid=589&letter=S,,http://en.wikipedia.org/wiki/Rav_Shela,TA
565584126532d12b35ca6ebb,רבי בנאה,Rabbi Banna'ah,https://www.sefaria.org/person/Rabbi%20Banna'ah,mishnah,http://www.jewishencyclopedia.com/view.jsp?artid=212&letter=B,,,TA
565584126532d12b35ca6e56,נתאי הארבלי,Nittai haArbeli,https://www.sefaria.org/person/Nittai%20haArbeli,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=312&letter=N,,http://en.wikipedia.org/wiki/Nittai_of_Arbela,Z2
565584126532d12b35ca6dbc,אבטליון,Avtalyon,https://www.sefaria.org/person/Avtalyon,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=645&letter=A,,http://en.wikipedia.org/wiki/Abtalion,Z4
565584126532d12b35ca6e96,רבי אליאזר בן חיסמא,Rabbi Eliezar Hisma,https://www.sefaria.org/person/Rabbi%20Eliezar%20Hisma,talmud,,,,T3
565584126532d12b35ca6e97,רבי לויטס איש יבנה,Rabbi Levitas of Yavneh,https://www.sefaria.org/person/Rabbi%20Levitas%20of%20Yavneh,talmud,,,,T3
565584126532d12b35ca6ebc,סמעון בן נתנאל,Shimon b. Netanel,https://www.sefaria.org/person/Shimon%20b.%20Netanel,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=761&letter=S,,,T3
565584126532d12b35ca6e04,רבי חלפתא,Rabbi Halafta,https://www.sefaria.org/person/Rabbi%20Halafta,talmud,,,http://en.wikipedia.org/wiki/Halafta,T4
565584126532d12b35ca6e5c,רבי עילאי,Rabbi Il'ai (I),https://www.sefaria.org/person/Rabbi%20Il'ai%20(I),talmud,,,,T4
565584126532d12b35ca6ea3,פפוס בן יהודה,Pappos b. Yehudah,https://www.sefaria.org/person/Pappos%20b.%20Yehudah,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=61&letter=P,,,T4
565584126532d12b35ca6ea9,רבי חידקא,Rabbi Hidqa,https://www.sefaria.org/person/Rabbi%20Hidqa,talmud,,,,T4
565584126532d12b35ca6db9,אבא שאול,Abba Shaul,https://www.sefaria.org/person/Abba%20Shaul,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=277&letter=S,,,T5
565584126532d12b35ca6e95,רבי דוסתאי ברבי ינאי,Rabbi Dostai b. R' Yannai,https://www.sefaria.org/person/Rabbi%20Dostai%20b.%20R'%20Yannai,talmud,,,,T5
565584126532d12b35ca6eaa,רבי יאשיה,Rabbi Yoshiah,https://www.sefaria.org/person/Rabbi%20Yoshiah,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=565&letter=J,,,T5
565584126532d12b35ca6eb2,רבי אחאי בר יאשיה,Rabbi Achai b. Yoshiah,https://www.sefaria.org/person/Rabbi%20Achai%20b.%20Yoshiah,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=963&letter=A,,,T5
565584126532d12b35ca6eb7,רבי וסי בן כיפר,Rabbi Yose b. Kippar,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kippar,talmud,,,,T5
565584126532d12b35ca6ebd,רבי חלפתא איש כפר חנניה,Rabbi Halafta of Kefar Hanania,https://www.sefaria.org/person/Rabbi%20Halafta%20of%20Kefar%20Hanania,talmud,,,,T5
565584126532d12b35ca6e7e,רבי שמוען בן אלעזר,Rabbi Shimon b. Elazar,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Elazar,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=739&letter=S,,,T6
565584126532d12b35ca6eb6,רבי דוסתאי בן יהודה,Rabbi Dostai b. Yehuda,https://www.sefaria.org/person/Rabbi%20Dostai%20b.%20Yehuda,talmud,,,,T6
565584126532d12b35ca6eb8,רבי מנחם ברבי יוסי,Rabbi Menahem b. R' Yose,https://www.sefaria.org/person/Rabbi%20Menahem%20b.%20R'%20Yose,talmud,,,,T6
565584126532d12b35ca6dc4,רבי אושעיא בריבי,Rabbi Oshaya Rabbah,https://www.sefaria.org/person/Rabbi%20Oshaya%20Rabbah,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=929&letter=H,,http://en.wikipedia.org/wiki/Hoshaiah_Rabbah,TA
565584126532d12b35ca6e76,רב שילא,Rav Shela,https://www.sefaria.org/person/Rav%20Shela,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=589&letter=S,,http://en.wikipedia.org/wiki/Rav_Shela,TA
565584126532d12b35ca6ebb,רבי בנאה,Rabbi Banna'ah,https://www.sefaria.org/person/Rabbi%20Banna'ah,talmud,http://www.jewishencyclopedia.com/view.jsp?artid=212&letter=B,,,TA
