he,en,category1,category2
אבא אומנא,,talmudic person,
אבא סוראה,,talmudic person,
אביאל,,biblical person,
אביגיל,,biblical person,
אביה מלך יהודה,,biblical person,
אביה בן ירבעם,,biblical person,
אבימלך בן ירובעל,,biblical person,
אבישג,,biblical person,
אבישי,,biblical person,
אביתר,,biblical person,
אבנר,,biblical person,
אבצן,,biblical person,
אברהם,,biblical person,
אבשלום,,biblical person,
אגג,,biblical person,
אגור,,biblical person,
אגריפס,,talmudic person,
אדום,Edom,nation/ethnicity,biblical person
אדוניה,,biblical person,
אדם הראשון,,biblical person,
אהוד,,biblical person,
אהליאב,,biblical person,
אהרן ובניו,Aharon and his children,biblical person,
אהרן,,biblical person,
אויל מרודך,,biblical person,
און בן פלת,,biblical person,
אונן,,biblical person,
אונקלוס,,mishnaic person,
אוריה החתי,,biblical person,
אוריה,,biblical person,
אותו האיש,"""that person""",mishnaic person,
אחאב,,biblical person,
אחז,,biblical person,
אחזיה,,biblical person,
אחיה השילוני,,biblical person,
אחימלך,,biblical person,
אחימן,,biblical person,
אחימעץ,,biblical person,
אחיתופל,,biblical person,
אחר אלישע בן אבויה,,mishnaic person,
אחר,,mishnaic person,
אחשורוש,,biblical person,
איוב וחבריו,Iyov and friends,biblical person,
איוב,,biblical person,
איזבל,,biblical person,
אימא שלום,,mishnaic person,
איפרא הורמיז,,talmudic person,
איש בושת,,biblical person,
איתיאל,,biblical person,
איתמר,,biblical person,
אכיש,,biblical person,
אלדד ומידד,,biblical person,
אליאב,,biblical person,
אליהו,,biblical person,
אליהוא,,biblical person,
אלימלך,,biblical person,
אליעזר,,biblical person,
אליפז,,biblical person,
אליקים,,biblical person,
אלישבע,,biblical person,
אלישמע בן פיכאי,,biblical person,
אלישע בן אבויה,,mishnaic person,
אלישע בעל כנפים,,talmudic person,
אלישע,,biblical person,
אלכסנדר,,mishnaic person,
אלעזר,,biblical person,
אלקנה,,biblical person,
אמון,,biblical person,
אמנון,,biblical person,
אמציה,,biblical person,
אמרפל,,biblical person,
אמתלאה,,biblical person,
אנדרינוס,,mishnaic person,
אנשי כנסת הגדולה,,group of people,mishnaic person
אסא,,biblical person,
אסנת,,biblical person,
אסף תהלים,,biblical person,
אספסינוס,,mishnaic person,
אסתר,,biblical person,
אפרים,,biblical person,nation/ethnicity
ארבע,,biblical person,
