Hebrew Name,English Name,URL
יוון,Javan,https://www.wikidata.org/wiki/Q1684266
סבתה,Sabtah,https://www.wikidata.org/wiki/Q13143737
שוע,Shua,https://www.wikidata.org/wiki/Q30226376
אשור,Ashur,https://www.wikidata.org/wiki/Q2426606
אמוץ,Amoz,https://www.wikidata.org/wiki/Q4748020
בלע בן בעור,Bela ben Beor,https://www.wikidata.org/wiki/Q4081479
רצין מלך ארם-דמשק,Rezin,https://www.wikidata.org/wiki/Q878947
חול,Hul,https://www.wikidata.org/wiki/Q2898616
מעכה,Maacah,https://www.wikidata.org/wiki/Q2903509
משך,Meshech,https://www.wikidata.org/wiki/Q30973
בעז,Boaz,https://www.wikidata.org/wiki/Q212253
משמע,Mishma,https://www.wikidata.org/wiki/Q20101216
פוט,Phut,https://www.wikidata.org/wiki/Q946939
עודד,Oded,https://www.wikidata.org/wiki/Q19893741
יהודי,Q18191849,https://www.wikidata.org/wiki/Q18191849
חצרון,Hezron,https://www.wikidata.org/wiki/Q4177234
רעי איוב,Bildad,https://www.wikidata.org/wiki/Q2776374
תרצה,Tirzah,https://www.wikidata.org/wiki/Q27587242
פלג,Peleg,https://www.wikidata.org/wiki/Q1648259
קדר,Qedar,https://www.wikidata.org/wiki/Q21087985
שלה,Shelah,https://www.wikidata.org/wiki/Q1294423
משא,Massa,https://www.wikidata.org/wiki/Q21087988
אנוש,Enos,https://www.wikidata.org/wiki/Q682531
שעיר,Seir,https://www.wikidata.org/wiki/Q42532277
אדבאל,Adbeel,https://www.wikidata.org/wiki/Q24238724
רם‎,Ram,https://www.wikidata.org/wiki/Q1824842
האישה החכמה מאבל בית מעכה,Wise woman of Abel,https://www.wikidata.org/wiki/Q8027483
אתבעל מלך צידונים,Ithobaal I,https://www.wikidata.org/wiki/Q1277966
עבדון בן הלל,Abdon,https://www.wikidata.org/wiki/Q308320
אבימאל,Abimael,https://www.wikidata.org/wiki/Q14925390
ארד,Ard,https://www.wikidata.org/wiki/Q638332
ישבק,Ishbak,https://www.wikidata.org/wiki/Q594903
כליון,Chilion,https://www.wikidata.org/wiki/Q30246326
