seder,start,end
1,1:1,4:2
2,4:3,6:2
3,6:3,9:5
4,9:6,11:1
5,11:2,14:1
6,14:2,16:4
7,16:5,19:24
8,19:25,22:22
9,22:23,24:22
10,24:23,27:12
11,27:13,29:22
12,29:23,32:17
13,32:18,35:9
14,35:10,37:19
15,37:20,39:8
16,40:1,41:26
17,41:27,44:5
18,44:6,45:16
19,45:17,48:1
20,48:2,49:25
21,49:26,52:6
22,52:7,55:12
23,55:13,58:13
24,58:14,61:8
25,61:9,65:8
26,65:9,66:24
