seder,start,end
1,1:1,1:47
2,1:48,2:44
3,2:45,4:19
4,4:20,6:12
5,6:13,7:20
6,7:21,8:10
7,8:11,8:57
8,8:58,10:8
9,10:9,11:27
10,11:28,12:23
11,12:24,13:30
12,13:31,15:7
13,15:8,16:14
14,16:15,17:23
15,17:24,18:38
16,18:39,20:12
17,20:13,21:16
18,21:17,22:42
19,22:43,2:14
20,2:15,4:25
21,4:26,6:22
22,6:23,7:15
23,7:16,9:12
24,9:13,10:14
25,10:15,12:2
26,12:3,13:22
27,13:23,15:6
28,15:7,16:19
29,16:20,18:5
30,18:6,19:18
31,19:19,20:7
32,20:8,22:1
33,22:2,23:24
34,23:25,24:17
35,24:18,25:30
