masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
33,,"שבת ג ע""ד (47)",,,,"שבת א, ד )ג ע""ד (19, רבי יוחנן"
34,,,"מ' עד' א, ב",,,"שבת א, ד )ג ע""ד (19, שאין בית"
35,,"ה ש' יב' יא ע""א",,,,"שבת א, ד )ג ע""ד (26, דלא כן"
,,,,,,
,,,,,,
,"ה ש' ב""ב  נט ע""א","ב""ב יד ע""ב",Unnamed: 0,,דבית רבי,"שבת ג, ז )ו ע""ג (39,"
0,"שבת כב ע""א;","כל' כז ע""ב;  שבת ו ע""א","ת' ביצה ב, יח",,לא יגור,"שבת ג, ז )ו ע""ג (40,"
1,"שבת כט ע""ב;","1)(;  שבת ז ע""ב ;(20)",(68:292),,,
2,"שבת מו ע""ב; פס'","ביצה סא ע""ד",,,,
3,"קא ע""א; ביצה כג",,,,,
4,"ע""ב; מנ' מא ע""ב",,,,,
5,,,"מ' כל' א, ט",,ניטלין ב שבת,"שבת ג, ז )ו ע""ג (44,"
6,,,"מ' ביצה ב, י",,כל הכלים,"שבת ג, ז )ו ע""ג (46,"
7,,"ב""ב יד ע""ב",,,רבי הו נא,"שבת ג, ז )ו ע""ג (46,"
8,,,"מ'  שבת ג, ו",,אין  נותנין,"שבת ג, ח )ו ע""ג (52,"
9,,,"מ'  שבת ג, ו",,נותנין כלי,"שבת ג, ח )ו ע""ג (53,"
10,,"שבת טו ע""ד",,,רבי  שמואל,"שבת ג, ח )ו ע""ג (54,"
11,"שבת מז ע""ב",,,,דרבי יוסי,"שבת ג, ח )ו ע""ג (55,"
12,,,"ה ש' מ'  שבת טז, ה",,רבי מאיר,"שבת ג, ח )ו ע""ג (55,"
13,,,"מ'  שבת ב, ז",,ספק ח שיכה,"שבת ד, א )ו ע""ד (20,"
14,,"ה ש'  שבת ז ע""ב ;(49)",,,אמר רבי,"שבת ד, א )ו ע""ד (22,"
15,,"ח ע""א (56)",,,,
16,"ה ש'  שבת  נא ע""א",,,,לטמון  שלג,"שבת ד, א )ו ע""ד (24,"
17,,"ה ש'  שבת ה ע""ג (55)",,,ברתיה דרבי,"שבת ד, א )ו ע""ד (30,"
18,"ה ש'  שבת מז ע""ב",,,,הגפת מלמטן,"שבת ד, א )ו ע""ד (33,"
19,,,"מ'  שבת ה, א",,טומנין בכסות,"שבת ד, א )ו ע""ד (34,"
20,,"שבת ו ע""ד (54)",,,ר' יוסה,"שבת ד, א )ו ע""ד (35,"
21,,,"מ'  שבת כג, ה",,מטילין אותו,"שבת ד, א )ו ע""ד (37,"
22,"ה ש' ב""ב יט ע""א",,,,ההן חלא,"שבת ד, א )ו ע""ד (37,"
23,,,"ה ש' מ' ב""ב ב, א",,כל דבר,"שבת ד, א )ו ע""ד (38,"
24,,,"ה ש' מ'  שבת ד, א",,תמן טומנין,"שבת ד, א )ו ע""ד (39,"
25,,,"ת' ב""מ ח, ל (24:390)",,והמ שכיר בית,"שבת ד, א )ו ע""ד (40,"
26,,"ב""ב יג ע""ב",,,אתיב רבי,"שבת ד, א )ו ע""ד (43,"
27,"ה ש'  שבת מט ע""א",,,,לא סוף,"שבת ד, א )ו ע""ד (48,"
28,,"ע""ז מא ע""ג","מ' כלים ט, ה",,כן בגפת,"שבת ד, א )ו ע""ד (51,"
29,,"שבת ו ע""ד (35)",,,רבי יודה,"שבת ד, א )ו ע""ד (54,"
30,"שבת  נ ע""א",,,,בנתו נין באפותיקי,"שבת ד, ב )ו ע""ד (59,"
31,"שבת מג ע""א","ביצה סב ע""ד; מ""ק פא",,,רב ירמיה,"שבת ד, ב )ו ע""ד (60,"
32,,"ע""ב",,,,
33,,"שבת יד ע""ב ;(9)",,,אמר רבי,"שבת ד, ב )ו ע""ד (61,"
34,,"שבת טו ע""ד (44)",,,,
35,"שבת מב ע""ב",,,,כופין עליה,"שבת ד, ב )ו ע""ד (63,"
,,,,,,
,,,,,,
,,,,"י שעיה ג, כא",ניזמי האף,"שבת ו, ד )ח ע""ב (52,"
0,,,,"י שעיה ג, כב",המחלצות,"שבת ו, ד )ח ע""ב (53,"
1,,,,"י שעיה ג, כב",המעטפות,"שבת ו, ד )ח ע""ב (53,"
2,,,,"י שעיה ג, כב",המטפחות,"שבת ו, ד )ח ע""ב (54,"
3,,,,"י שעיה ג, כב",והחריטין,"שבת ו, ד )ח ע""ב (54,"
4,,,,"שמות לב, ד",ויקח מידק,"שבת ו, ד )ח ע""ב (55,"
,,,,,,
,,,,,,
,"שבת ע ע""ב",Unnamed: 0,,,שגג בזה,"שבת ז, א )ט ע""ב (27,"
0,,"שבת יד ע""א",,,כתב אות,"שבת ז, א )ט ע""ב (34,"
1,"שבת עא ע""א",,,,קצר חצי,"שבת ז, א )ט ע""ב (37,"
2,,"חלה  נח ע""ג ;(45)",,,"א""ר מנא","שבת ז, א )ט ע""ב (39,"
,,,,,,
,,,,,,
,,,,,,
0,"ע""ז כח ע""א",,,,,"שבת יד, ד )יד ע""ד (31, דכל  שהוא"
1,,"איכ""ר 158; ק""ר א, ז;",,,,"שבת יד, ד )יד ע""ד (34, בר בריה"
2,,"ק""ר י, ה )כו ע""ג(",,,,
3,,"ה ש' ב""ר (8:861)",,,,"שבת יד, ד )יד ע""ד (36, והוות ליה"
4,,"שבת טו ע""ג 43)(; כת'",,"קהלת י, ה",,"שבת יד, ד )יד ע""ד (37, כ שגגה  שיוצא"
5,,"כו ע""ג; ע""ז מ ע""ד",,,,
6,"פס' כה ע""א",,,,,"שבת יד, ד )יד ע""ד (37, בכל מתרפין"
7,,,"ספ' טו ע""ד",,,"שבת יד, ד )יד ע""ד (43, לפיכך הותר"
8,"סנ' עה ע""א",,,,,"שבת יד, ד )יד ע""ד (46, חד בר"
9,,,"מ' אה' ז, ו",,,"שבת יד, ד )יד ע""ד (54, יצא רובו"
10,"סנ' עב ע""ב","סנ' כג ע""ג",,,,"שבת יד, ד )יד ע""ד (57, מהו להציל"
11,,,"מ' אה' ז, ו",,,"שבת יד, ד )יד ע""ד (58, יצא רובו"
12,"ע""ז כז ע""ב","ק""ר א, ח )ד ע""ב(","ת' חולין ב, כב",,,"שבת יד, ד )יד ע""ד (60, מע שה בר'"
13,,,(13:503),,,
14,,,,"קהלת י, ח",,"שבת יד, ד )יד ע""ד (63, ופורץ גדר"
15,,,,"ויקרא יח, ה",,"שבת יד, ד )טו ע""א (1, א שר יע שה"
16,"שבת קיא ע""ב",,,,,"שבת יד, ד )טו ע""א (2, הלכה כרבי"
17,,"שבת ג ע""א",,,,"שבת יד, ד )טו ע""א (2, אמר רבי"
18,,"שבת י ע""ג ;(24)",,,,"שבת טו, א )טו ע""א (29, ולא ל שעה"
19,,"שבת י ע""ד 8)(;  שבת",,,,
20,,"יג ע""ג 2)(; ער' כב ע""ג",,,,
21,,-19,,,,
22,,,,"שמות כו, ב",,"שבת טו, א )טו ע""א 35,( ארך היריעה"
23,"שבת קמו ע""א",,"ת'  שבת יב, טו (59:55)",,,"שבת טו, א )טו ע""א (38, חותל  של"
24,"שבת קיב ע""א",,,,,"שבת טו, ב )טו ע""א 40,( במפתח חלוק"
25,,,"ת'  שבת יב, יד (54:55)",,,"שבת טו, ב )טו ע""א (41, נ שמט ורצועות"
26,,,"ת'  שבת יב, יד (57:55)",,,"שבת טו, ב )טו ע""א (41, חוטמו  שנ שמט"
27,"ביצה לא ע""ב",,"ת' ביצה ג, יב (46:296)",,,"שבת טו, ב )טו ע""א (46, מודין חכמים"
28,"שבת קיג ע""א",,,,,"שבת טו, ג )טו ע""א (54, קיפול ב שנים"
29,,"פס""ר קכא ע""א",,,,"שבת טו, ג )טו ע""א (56, רבי חגי"
30,,"ה ש' מ""ק פא ע""ב (28)",,,,"שבת טו, ג )טו ע""א (56, לא  ניתנו"
31,"פס' סח ע""ב; ביצה",,,,,"שבת טו, ג )טו ע""א (60, כיצד הוא"
32,"טו ע""ב",,,,,
33,,,,"ויקרא כג, ג",,"שבת טו, ג )טו ע""א (61, שבת הוא"
34,,,,"דברים טז, ח",,"שבת טו, ג )טו ע""א (61, עצרת לה'"
35,,,,"ויקרא כג, ג",,"שבת טו, ג )טו ע""א (62, שבת לה'"
36,"שבת קנ ע""ב","ו""ר תתטו",,,,"שבת טו, ג )טו ע""א (64, מע שה בחסיד"
,,,,,,
,,,,,,
,Unnamed: 0,"בר' ג ע""ד",Unnamed: 1,Unnamed: 2,,"שבת טו, ג )טו ע""ב (6, טופוס ברכות"
0,"שבת קיח ע""א",,"ת'  שבת יב, יז (71:56)",,,"שבת טו, ג )טו ע""ב (7, מדיחין כוסות"
1,"שבת צה ע""א","שבת ה ע""ג (4)",,,,"שבת טו, ג )טו ע""ב (9, רבי ירמיה"
2,"שבת קיד ע""ב",,,,,"שבת טו, ג )טו ע""ב (11, יום הכיפורי'"
3,,,"מ'  שבת טו, ג",,,"שבת טו, ג )טו ע""ב (12, חלבי  שבת"
4,,,"ת'  שבת יב, יז (69:56)",,,"שבת טו, ג )טו ע""ב (14, אילו הקטיר"
5,"מנ' כט ע""ב","מג' עא ע""ג",,,,"שבת טז, א )טו ע""ב (56, והא תני"
6,,,"מ'  שבת טז, א",,,"שבת טז, א )טו ע""ב (58, מפני מה"
7,,,"ה ש' מ' ידים ג, ה",,,"שבת טז, א )טו ע""ב (60, מטמאין את"
8,,,"מ'  שבת טז, א",,,"שבת טז, א )טו ע""ב 63,( אף על"
9,,,"ה ש' ת'  שבת יד, ב",,,"שבת טז, א )טו ע""ב (64, שמצילין אותן"
10,,,(4:57),,,
11,,,"מ' ער' י, ג",,,"שבת טז, א )טו ע""ב (64, דרבי  שמעון"
12,,,"מ' מג' א, ח",,,"שבת טז, א )טו ע""ג (3, דרבן  שמעון"
13,"שבת קטו ע""א",,"ת'  שבת יג, ב (7:57)",,,"שבת טז, א )טו ע""ג (5, מע שה ברבן"
14,"שבת קטז ע""ב",,"ת'  שבת יג, א (1:57)",,,"שבת טז, א )טו ע""ג (6, אף על"
15,,"מג' עד ע""ב",,,,"שבת טז, א )טו ע""ג (6, אין קורין"
16,,"ו""ר  שכח; איכ""ר 153",,,,"שבת טז, א )טו ע""ג (8, דלמא רבי"
17,,,,"תהלים לב, י",,"שבת טז, א )טו ע""ג (11, רבים מכאובים"
18,,,,"איכה ד, כ",,"שבת טז, א )טו ע""ג (12, רוח אפי נו"
19,"ה ש'  שבת קלד ע""ב",,,,,"שבת טז, א )טו ע""ג (14, ספוג יב ש"
20,"שבת קטז ע""ב",,"ת'  שבת יג, א (3:57)",,,"שבת טז, א )טו ע""ג (18, רבי  נחמיה מפני"
21,"ב""מ לג ע""א","בר' ג ע""ב; הו' מח",,,,"שבת טז, א )טו ע""ג (23, דתני רבי"
22,,"ע""ג; ד""א ג, ב (97)",,,,
23,"שבת קטו ע""ב",,"ת'  שבת יג, ד (13:58)",,,"שבת טז, א )טו ע""ג (27, ברכות  שכתוב"
24,,"סופ' טז, ח ;(51:291)",,,,"שבת טז, א )טו ע""ג (33, אמר רבי"
25,,"מת""ה כב, יט ;(189)",,,,
26,,"ב""ר יד, ו 130)(; פד""כ",,,,
27,,"כג 341)(; מת""ה מט,",,,,
28,,"ב 277)(; ק""ר ג, יא )י",,,,
29,,"ע""ג(;  ש""ר כח, א )מט",,,,
30,,"ע""ד(; במ""ר יג, ג ) נא",,,,
31,,"ע""ד(",,,,
32,,,,"תהלים סח, יט",,"שבת טז, א )טו ע""ג (36, לקחת מתנות"
33,,,,"יהו שע יד, טו",,"שבת טז, א )טו ע""ג (36, האדם הגדול"
34,,,,"תהלים כב, ד",,"שבת טז, א )טו ע""ג (38, ואתה קדו ש"
35,,,,"תהלים קנ, א",,"שבת טז, א )טו ע""ג (40, הללוי' הללו"
36,,,,"תהלים קו, טז",,"שבת טז, א )טו ע""ג (40, לאהרן קדו ש"
,,,,,,
,,,,,,
,Unnamed: 0,Unnamed: 1,"מ'  שבת יז, ב",,מחט  של,"שבת יז, ב )טז ע""ב (11,"
0,,"שבת י ע""ב ;(43)",,,מהו מיגבלתה,"שבת יז, ב )טז ע""ב (12,"
1,,"ביצה סב ע""ג (54)",,,,
2,"ה ש'  שבת קכג ע""ב",,,,קנה  שהתקי נו,"שבת יז, ב )טז ע""ב (13,"
3,"שבת קכו ע""א",,"ת'  שבת יד, ג (15:65)",,קנה  שהתקי נו,"שבת יז, ג )טז ע""ב (15,"
4,,"שבת טז ע""ב  (44,41)",,,אמר רבי,"שבת יז, ג )טז ע""ב (18,"
5,,"שבת טז ע""ב (28)",,,הלכה כרבי,"שבת יז, ד )טז ע""ב (20,"
6,"שבת קכד ע""א",,,,חד אמר,"שבת יז, ד )טז ע""ב (21,"
7,,"שבת טז ע""ב (20)",,,הלכה כרבי,"שבת יז, ד )טז ע""ב (28,"
8,,"שבת יא ע""ג (63)","מ'  שבת ח, ו",,זכוכית לגרוד,"שבת יז, ה )טז ע""ב (28,"
9,,,"מ'  שבת כא, א",,האבן בתוכה,"שבת יז, ו )טז ע""ב (31,"
10,,"שבת ו ע""ג",,,תני דבי,"שבת יז, ו )טז ע""ב (31,"
11,,,"מ'  שבת יז, ו",,האבן  שבקירויה,"שבת יז, ו )טז ע""ב (33,"
12,,,"מ'  שבת יז, ו",,ואם לאו,"שבת יז, ו )טז ע""ב (35,"
13,,,"מ'  שבת כא, א",,נוטל אדם,"שבת יז, ו )טז ע""ב (37,"
14,,"שבת ו ע""ג",,,ותני דבי,"שבת יז, ו )טז ע""ב (38,"
15,,"ה ש'  שבת ח ע""ב (7)",,,כקמיע מומחה,"שבת יז, ו )טז ע""ב (40,"
16,"שבת קב ע""א","ער' כו ע""ג",,,אי זהו,"שבת יז, ז )טז ע""ב (40,"
17,,,"ה ש' מ' ער' י, יא",,נגר הנגרר,"שבת יז, ז )טז ע""ב (40,"
18,,"שבת טז ע""ב  (44,18)",,,אמר רבי,"שבת יז, ז )טז ע""ב (41,"
19,"שבת קכו ע""א",,,,אמ' רבי,"שבת יז, ז )טז ע""ב (42,"
20,,"ה ש'  שבי לח ע""ב; תר'",,,אתייא יחידייא,"שבת יז, ז )טז ע""ב (42,"
21,,"מד ע""א; ער' כו ע""ג;",,,,
22,,"ביצה סב ע""ג; מ""ק פ",,,,
23,,"ע""ג",,,,
24,,"שבת טז ע""ב  (41,18)",,,דמר ר',"שבת יז, ז )טז ע""ב (44,"
25,,,"ה ש' מ' ער' י, א",,כרבי יודן,"שבת יז, ז )טז ע""ב (45,"
26,"ער' קב ע""א",,,,הלכה כרבי,"שבת יז, ז )טז ע""ב (46,"
27,,"שבת יא ע""א ;(19)",,,רבי זעירא,"שבת יח, א )טז ע""ג (9,"
28,,"פס' לז ע""ג 13)(;  שק'",,,,
29,,"מז ע""ג",,,,
30,,,"מ'  שק' ג, ב",,ב של ש קופות,"שבת יח, א )טז ע""ג (12,"
31,,"שבת יא ע""א ;(16)","מ'  שבת ח, א",,המוציא יין,"שבת יח, א )טז ע""ג (12,"
32,,"פס' לז ע""ג 11)(;  שק'",,,,
33,,"מז ע""ב (11)",,,,
34,,,"ת' פס' י, יא (14:191)",,ארבע כוסות,"שבת יח, א )טז ע""ג (14,"
35,"שבת קכז ע""א",,"ת'  שבת יד, ד (21:65)",,ו שוין  שלא,"שבת יח, א )טז ע""ג (16,"
,,,,,,
,,,,,,
,"שבת קמ ע""א",Unnamed: 0,,,גו ש  של,"שבת כ, ב )יז ע""ג (49,"
0,,"ה ש'  שבת יד ע""ג (32)",,,רבי יעקב,"שבת כ, ב )יז ע""ג (49,"
1,"שבת קמ ע""א","שבת יד ע""ג",,,ועו שין יי נומילין,"שבת כ, ב )יז ע""ג (52,"
2,"שבת קמ ע""א",,,,אפילו בצו נין,"שבת כ, ג )יז ע""ג (54,"
3,"שבת קמ ע""א",,,,מי חלתית,"שבת כ, ג )יז ע""ג (56,"
,,,,,,
,,,,,,
Bava Batra,,,,,,
,,Unnamed: 0,"מ' כת' ב, ב",,מודה רבי,"ב""ב ג, ד )יד ע""א (33,"
0,,"כת' ב, ב )כו ע""ב(",,,כהדא ראובן,"ב""ב ג, ד )יד ע""א (34,"
1,,"קד' ס ע""ג",,,מי מודיע,"ב""ב ג, ד )יד ע""א (38,"
2,,,"ת' ב""ב ב, ו",,האומנין,"ב""ב ג, ה )יד ע""א (44,"
3,,,"מ' נד' ה, א",,שניהם,"ב""ב ג, ז )יד ע""ב (1,"
4,,,"ת' ב""ב ב, יג",,מקום המרזב,"ב""ב ג, ח )יד ע""ב (7,"
5,,"שבת ו ע""ג",,,ר' ינאי,"ב""ב ג, ח )יד ע""ב (8,"
6,,,"ת' ב""ב ב, טו (6:401)",,כשם שבני,"ב""ב ג, י )יד ע""ב (18,"
7,,,,,ודא מסייעא,"ב""ב ג, י )יד ע""ב (25,"
8,,,"מ' ב""ב ו, ז",,מי שהיתה,"ב""ב ג, יב )יד ע""ב (29,"
9,,,"ת' ב""ב ב, יז",,לקח חצר,"ב""ב ג, יב )יד ע""ב (31,"
10,,,"מ' ב""ב ד, א",,רבי יהודה,"ב""ב ד, א )יד ע""ג (21,"
11,,,"ת' ב""ב ג, א (30:401)",,לאיזה דבר,"ב""ב ד, ב )יד ע""ג (23,"
12,,"כת' לו ע""ב",,,אדמון,"ב""ב ד, ב )יד ע""ג (26,"
13,,,"ת' ב""ב ג, א",,את המכתשת,"ב""ב ד, ג )יד ע""ג (31,"
14,,,"ת' ב""ב ג, ב (7:402)",,בית הבד,"ב""ב ד, ה )יד ע""ג (40,"
,,,,,,
,,,,,,
,,"ע""ז מד ע""ד ,51) ג(",Unnamed: 0,Unnamed: 1,דאינון דרשי,"ב""ב ח, א )טז ע""א (2,"
0,,,,"במדבר כז, ח",ובן אין,"ב""ב ח, א )טז ע""א (2,"
1,,,,"במדבר כז, ט",ואם אין,"ב""ב ח, א )טז ע""א (3,"
2,,"ע""ז מד ע""ד ,51) ג(",,,דאינון דרשי,"ב""ב ח, א )טז ע""א (5,"
3,,,,"במדבר לו, ח",וכל בת,"ב""ב ח, א )טז ע""א (7,"
4,,"הש' ב""מ כז, ז",,,את האב,"ב""ב ח, א )טז ע""א (9,"
5,,,,"במדבר כז, יא",קרוב,"ב""ב ח, א )טז ע""א (11,"
6,,,"ת' ב""ב ז, י (18:408)",,רבי שמעון,"ב""ב ח, א )טז ע""א (14,"
7,,,,"במדבר לו, ח",וכל בת,"ב""ב ח, א )טז ע""א (23,"
8,,,,"במדבר כז, ח",בן,"ב""ב ח, א )טז ע""א (31,"
9,,,,"במדבר כז, י",לשארו,"ב""ב ח, א )טז ע""א (31,"
10,,"במ""ר כא, יא )צ ע""א(",,,בנות צלפחד,"ב""ב ח, א )טז ע""א (32,"
11,,,,"במדבר כז, ה",ויקרב משה,"ב""ב ח, ג )טז ע""א (33,"
12,,,,"במדבר כז, ז",כן בנו',"ב""ב ח, ג )טז ע""א (34,"
,,,,,,
,,,,,,
Terumot,,,,,,
,,"תר' מד ע""ג 17)(; תר'",Unnamed: 0,,כרבי מאיר,"תר' ז, א )מד ע""ג (41,"
0,,"מד ע""ג 46)(; תר' מד",,,,
1,,"ע""ד (31)",,,,
2,,,"מ' תר' ז, א",,האוכל תרומה,"תר' ז, א )מד ע""ג (42,"
3,,"תר' מד ע""ג 17)(; תר'",,,כרבי מאיר,"תר' ז, א )מד ע""ג (46,"
,,,,,,
,,,,,,
Bava Metzia,,,,,,
,,"ב""מ ד, ב )ט ע""ד (15,",Unnamed: 0,Unnamed: 1,רבי יוסי,"ב""מ ד, ג )ט ע""ד (31,"
0,,,"ת' ב""מ ג, יז-יח",,יותר מיכן,"ב""מ ד, ד )ט ע""ד (33,"
1,,,"24:377)(; ת' מע""ש",,,
2,,,"ג, ו (19:258)",,,
3,,,"ת' ב""מ ג, יט",,לא יתנה,"ב""מ ד, ד )ט ע""ד (36,"
4,,"מע""ש נג ע""ג",,,חזקיה,"ב""מ ד, ה )ט ע""ד (40,"
5,,,"מ' מע""ש ב, ו",,בורר היפה,"ב""מ ד, ה )ט ע""ד (41,"
6,,"מע""ש נד ע""ד",,,יעקב,"ב""מ ד, ה )ט ע""ד (44,"
7,,,,"ויקרא כז, לא",ממעשרו,"ב""מ ד, ה )ט ע""ד (47,"
8,,,"ספ' קטו ע""ב",,פרט לפחות,"ב""מ ד, ה )ט ע""ד (48,"
9,,,"מ' ב""מ ד, ח",,ה' חומשין,"ב""מ ד, ה )ט ע""ד (50,"
10,,"ב""ב יד ע""א",,,אם מזו,"ב""מ ה, א )י ע""א (51,"
11,,"פס' כט ע""א; גט' מו","ת' ב""מ ה, כב",,ישראל שהלוה,"ב""מ ה, א )י ע""א (54,"
12,,"ע""א",,,,
13,,,,"ויקרא כה, לז",את כספך,"ב""מ ה, א )י ע""א (55,"
14,,,,"ויקרא כה, לו",אל תקח,"ב""מ ה, א )י ע""א (57,"
15,,"אס""ר, ז י )יא ע""ד (8,",,,ווי למזבנה,"ב""מ ה, א )י ע""א (60,"
16,,"קד' סב ע""ד",,,במה קנה,"ב""מ ה, א )י ע""א (60,"
17,,,"ת' ב""מ ד, ג",,יש דברים,"ב""מ ה, א )י ע""א (64,"
18,,,"ת' ב""מ ד, ד",,המוכר שדה,"ב""מ ה, ג )י ע""ב (7,"
19,,,"מ' ערכ' ט, ג",,שנה האמורה,"ב""מ ה, ג )י ע""ב (14,"
20,,,"ת' ב""מ ד, כב",,הנותן מעות,"ב""מ ה, ה )י ע""ב (22,"
21,,,"ת' ב""מ ד, יח",,הנותן מעות,"ב""מ ה, ה )י ע""ב (23,"
22,,,"ת' ב""מ ד, יז",,הנותן מעות,"ב""מ ה, ה )י ע""ב (26,"
23,,,"ת' ב""מ ד, כא (2:381)",,הנותן מעות,"ב""מ ה, ה )י ע""ב (27,"
24,,,"ת' ב""מ ד, כא",,הנותן מעות,"ב""מ ה, ה )י ע""ב (29,"
,,,,,,
,,,,,,
Eruvin,,,,,,
,"ער' פח ע""א",Unnamed: 0,Unnamed: 1,,שיערו מקום,"ער' ח, ט )כה ע""ב,"
0,,,,,,(30
1,"ער' פח ע""ב",,,,וארבע אמות,"ער' ח, ט )כה ע""ב,"
2,,,,,,(30
3,,,"ת' ער' ו, יח (58:123)",,צריך לפוק,"ער' ח, ט )כה ע""ב,"
4,,,,,,(31
5,"ער' פח ע""ב",,"ת' ער' ו, יח (60:123)",,נתמלאת העוקה,"ער' ח, ט )כה ע""ב,"
6,,,,,,(31
7,,"ה ש' תע' סג ע""ג (50)",,,אמר ליה,"ער' ח, ט )כה ע""ב,"
8,,,,,,(33
9,,,"מ' ער' ח, י",,החצר והאכסדרה,"ער' ח, ט )כה ע""ב,"
10,,,,,,(36
11,,,"ת' ער' ו, יט (62:123)",,המרפסת הגג,"ער' ח, ט )כה ע""ב,"
12,,,,,,(37
13,,,"ת' ער' ו, יט (63:123)",,הבית והעלייה,"ער' ח, ט )כה ע""ב,"
14,,,,,,(38
15,,,"מ' ער' ח, י",,ר' אליעזר,"ער' ח, ט )כה ע""ב,"
16,,,,,,(40
17,,,"ת' ער' ו, יח (57:123)",,סילו נות  שבכרכים,"ער' ח, ט )כה ע""ב,"
18,,,,,,(43
19,,,"ת' ער' ו, כב (65:123)",,אם היתה,"ער' ח, ט )כה ע""ב,"
20,,,,,,(44
21,"ער' פח ע""ב",,,,אם עו נת,"ער' ח, ט )כה ע""ב,"
22,,,,,,(44
23,"ער' צ ע""א","ער' כג ע""א 36)(; ער'",,,שמואל אמר,"ער' ט, א )כה ע""ג (9,"
24,,"כד ע""ב 25)(; ער' כה",,,,
25,,"ע""ג (42)",,,,
26,"ער' צ ע""א",,,,מהו לטלטל,"ער' ט, א )כה ע""ג (15,"
27,,,"מ' ער' ט, ב",,גג גדול,"ער' ט, א )כה ע""ג (16,"
28,,,"ת' ער' ז, יד (61:131)",,רבי מאיר,"ער' ט, א )כה ע""ג (21,"
29,,"ה ש'  נד' לט ע""א (35)",,,הרי  שהיה,"ער' ט, א )כה ע""ג (25,"
30,,,"ה ש' מ' מכ' ו, ח",,עד כאן,"ער' ט, א )כה ע""ג (26,"
31,"ער' צא ע""א",,"ת' ער' ה, כד (70:117)",,אמר רבי,"ער' ט, א )כה ע""ג (29,"
32,"ער' צא ע""א",,"ת' ער' ה, כד (67:116)",,אמר רבי,"ער' ט, א )כה ע""ג (31,"
,,,,,,
,,,,,,
Shekalim,,,,,,
,,,,"ויקרא כז, יא",ואם כל,"שק' ד, י )מח ע""ג (5,"
0,,,,"ויקרא כז, יא",והעמיד,"שק' ד, י )מח ע""ג (7,"
1,,,,"ויקרא כז, יב",והעריך,"שק' ד, י )מח ע""ג (7,"
2,,,,"ויקרא כז, יא",ואם כל,"שק' ד, י )מח ע""ג (7,"
,,,,,,
,,,,,,
,,,"ס""ב קז (110)","במדבר טו, יא",או לאיל,"שק' ה, ד )מט ע""א (52,"
,,,,,,
,,,,,,
,Unnamed: 0,,,"דה""ב לה, ג",עתה עבדו,"שק' ו, א )מט ע""ג (43,"
0,,,,"שמות ל, כג",ואתה קח,"שק' ו, א )מט ע""ג (44,"
1,"הור' יא ע""ב; כר' ה",,,"שמות ל, כד",וקדה חמש,"שק' ו, א )מט ע""ג (44,"
2,"ע""א",,,,,
3,,,,"שמות ל, כד",שמן זית,"שק' ו, א )מט ע""ג (45,"
4,,,,"שמות ל, כה",שמן משחת,"שק' ו, א )מט ע""ג (47,"
,,,,,,
,,,,,,
,,,,"יחזקאל מז, ב",והנה מים,"שק' ו, ב )נ ע""א (6,"
0,,,,"יחזקאל מז, ג",כצאת האיש,"שק' ו, ב )נ ע""א (7,"
1,,,,"יחזקאל מז, ד",וימד אלף (1),"שק' ו, ב )נ ע""א (8,"
2,,,,"יחזקאל מז, ד",וימד אלף (2),"שק' ו, ב )נ ע""א (8,"
3,,,,"יחזקאל מז, ה",וימד אלף נחל,"שק' ו, ב )נ ע""א (9,"
4,,,,"ישעיה לג, כא",וצי אדיר,"שק' ו, ב )נ ע""א (10,"
5,,,,"יחזקאל מז, ה",כי גאו,"שק' ו, ב )נ ע""א (11,"
6,,,,"ישעיה כה, יא",ופרש ידיו,"שק' ו, ב )נ ע""א (12,"
,,,,,,
,,,,,,
Makkot,,,,,,
Moed Katan,,,,,,
,"ביצה לד ע""א",Unnamed: 0,"ת'  ביצה ג, טז (57:297)",,תנור וכיריים,"מ""ק א, ט )פא ע""א (3,"
0,,"הש'  שבת ח ע""א (52)",,,אפילו כן,"מ""ק א, י )פא ע""א (10,"
1,"מ""ק יא ע""א",,,,הדא דת,"מ""ק א, י )פא ע""א (12,"
2,,"הש'  פאה יז ע""ב; שבת",,,הווי צורכה,"מ""ק ב, א )פא ע""א (48,"
3,,"ג ע""א; ע""ז לט ע""ד",,,,
4,,"מ""ק פא ע""ב (50)",,,רבי יודה,"מ""ק ב, א )פא ע""א (52,"
5,"מ""ק יא ע""ב","הש'  שמ'  ה, ב (126)",,,אילו דברים,"מ""ק ב, א )פא ע""א (55,"
6,,"שמ'  ה, ו (126)",,,וזורעין את,"מ""ק ב, א )פא ע""א (57,"
7,,,"מ'  מ""ק ב, ב",,וכן מי,"מ""ק ב, ב )פא ע""א (64,"
8,"מ""ק יב ע""ב",,,,כהדא רבי,"מ""ק ב, ב )פא ע""ב (3,"
9,"מ""ק יא ע""א",,,,רב חייה,"מ""ק ב, ב )פא ע""ב (5,"
10,"מ""ק יא ע""א",,,,שמואל אמר,"מ""ק ב, ב )פא ע""ב (8,"
,,,,,,
,,,,,,
Taanit,,,,,,
,,,,"ישעיה כו, יט",יחיו מתיך,"תע'  א, א )סג ע""ד (7,"
0,,,,"ישעיה כו, יט",וארץ רפאים,"תע'  א, א )סג ע""ד (9,"
1,,,,"תהלים קי, ד",נשבע ה',"תע'  א, א )סג ע""ד (11,"
