masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
32,,,"מ' דמאי ג, ד",,אצל נכרי,"ע""ז ב, ג )מא ע""ב (10,"
,,,,,,
,,,,,,
,,Unnamed: 0,Unnamed: 1,,נודות,"ע""ז ב, ד )מא ע""ב (38,"
0,,"הש' פאה יח ע""ד (52)",,,וחש,"ע""ז ב, ד )מא ע""ב (40,"
1,,,"ת' ע""ז א, טו",,קנקני,"ע""ז ב, ד )מא ע""ב (42,"
2,,,"ת' ע""ז א, טו",,כנס,"ע""ז ב, ד )מא ע""ב (53,"
3,,,"ת' ע""ז א, טו",,קנקני,"ע""ז ב, ד )מא ע""ב (63,"
4,,"הש' מג' עג ע""ד",,,אזל,"ע""ז ב, ד )מא ע""ג (2,"
5,,,"מ' ע""ז ד, ח",,אינו,"ע""ז ב, ה )מא ע""ג (8,"
6,,"שבת ו ע""ד",,,תנינן,"ע""ז ב, ה )מא ע""ג (9,"
7,,,"מ' כלים ט, ה",,בגפת,"ע""ז ב, ה )מא ע""ג (9,"
8,,,"ת' כלים ב""ק ו, יח",,אי זו,"ע""ז ב, ה )מא ע""ג (10,"
9,,,"מ' תר' יא, א",,יין,"ע""ז ב, ו )מא ע""ג (11,"
10,,,"ת' תר' ט, ו",,אם עבר,"ע""ז ב, ו )מא ע""ג (12,"
11,,"תר' מז ע""ג",,,רבי מנא,"ע""ז ב, ו )מא ע""ג (13,"
12,,,"ת' ע""ז ד, יא",,אומן,"ע""ז ב, ו )מא ע""ג (15,"
13,,"תר' מא ע""ד",,,מחלפה,"ע""ז ב, ו )מא ע""ג (21,"
14,,"ע""ז ב, ח )מא ע""ג (54,",,,רבי יעקב,"ע""ז ב, ז )מא ע""ג (24,"
15,,"שבי' לט ע""ד",,,טבעת,"ע""ז ב, ז )מא ע""ג (27,"
16,,"ביצה ס ע""א",,,ר' חייא,"ע""ז ב, ז )מא ע""ג (27,"
17,,,"הש' מ' חו' ח, ה",,מעמידין,"ע""ז ב, ז )מא ע""ג (28,"
18,,,"מ' חו' ב, ז",,שמחשבת,"ע""ז ב, ז )מא ע""ג (30,"
19,,,"מ' חו' ח, ה",,קיבת,"ע""ז ב, ז )מא ע""ג (33,"
,,,,,,
,,,,,,
,,"ב""ר 973",Unnamed: 0,Unnamed: 1,קריספא,"ע""ז ג, ג )מב ע""ד (25,"
0,,,,"דברים ט, כא",חטאתכם,"ע""ז ג, ג )מב ע""ד (29,"
1,,,,"שמות לה, כ",ויזר,"ע""ז ג, ג )מב ע""ד (31,"
2,,,,"דה""ב טו, טז",וגם מעכה,"ע""ז ג, ג )מב ע""ד (31,"
3,,,,"דה""ב טו, טז",ויכרת,"ע""ז ג, ג )מב ע""ד (32,"
4,,,,"מל""ב יח, ד",וכתת נחש,"ע""ז ג, ג )מב ע""ד (32,"
5,,,,"שמ""ב ה, כא",ויעזבו,"ע""ז ג, ג )מב ע""ד (34,"
6,,,,"דה""א יד, יא",ויאמר,"ע""ז ג, ג )מב ע""ד (35,"
7,,"הש' ע""ז מד ע""א (41)",,,ורבנן,"ע""ז ג, ג )מב ע""ד (37,"
8,,"שבת ו ע""א",,,רבי יעקב,"ע""ז ג, ד )מב ע""ד (42,"
9,,"הש' דא""ר י",,,שואלין,"ע""ז ג, ד )מב ע""ד (46,"
10,,,"הש' מ' סנ' ז, ו; ס""ב",,שאין,"ע""ז ג, ד )מב ע""ד (51,"
11,,,171,,,
12,,,,"דברים ז, כה",לא תחמוד,"ע""ז ג, ו )מב ע""ד (54,"
,,,,,,
,,,,,,
,,Unnamed: 0,Unnamed: 1,"דברים כט, טז",כסף וזהב,"ע""ז ג, ו )מב ע""ד (55,"
0,,"כל' ל ע""ד","מ' תמ' ו, א",,הנעבד,"ע""ז ג, ו )מב ע""ד (62,"
1,,,"הש' ת' תמ' ד, א",,בין שלו,"ע""ז ג, ו )מב ע""ד (62,"
2,,"הש' כל' ז, ד","מ' כל' ז, ד",,רבי יהודה,"ע""ז ג, ו )מב ע""ד (63,"
3,,"ע""ז מא ע""ב (29)",,,דבר שיש,"ע""ז ג, ו )מג ע""א (1,"
4,,,,"ישעיהו נז, ו",בחלקי,"ע""ז ג, ו )מג ע""א (12,"
5,,,"מ' ע""ז ג, ה",,מפני מה,"ע""ז ג, ו )מג ע""א (13,"
6,,"בר' יד ע""א; תע' סד",,,ר' חנינה,"ע""ז ג, ו )מג ע""א (14,"
7,,"ע""ב; ב""ר 125",,,,
8,,,"הש' מ' ב""ב ב, יא",,שקמה,"ע""ז ג, ו )מג ע""א (16,"
9,,"ש""ר ה, ט )טו ע""א(",,,אחת לשלשים,"ע""ז ג, ו )מג ע""א (16,"
10,,,,"ישעיהו כז, ג",אני ה',"ע""ז ג, ו )מג ע""א (17,"
11,,"ערלה סא ע""ג",,,ביצת,"ע""ז ג, ו )מג ע""א (19,"
12,,"ע""ז ג, ו )מג ע""א (9,",,,השתחוה,"ע""ז ג, ו )מג ע""א (23,"
13,,,"הש' מ' תר' ט, ד",,זרעה,"ע""ז ג, ו )מג ע""א (27,"
14,,,,"דה""א כא, יט",ויעל דוד,"ע""ז ג, ז )מג ע""א (34,"
15,,"שבת יא ע""ד (10)",,,כתיב,"ע""ז ג, ח )מג ע""א (36,"
16,,,,"ויקרא יח, כט",כי כל,"ע""ז ג, ח )מג ע""א (37,"
17,,,,"דברים יד, ג",לא תאכל,"ע""ז ג, ח )מג ע""א (37,"
18,,,,"דברים ז, כו",ולא תביא,"ע""ז ג, ח )מג ע""א (38,"
,,,,,,
,,,,,,
,,"ע""ז ג, טז )מג ע""ג (10,",Unnamed: 0,Unnamed: 1,רב,"ע""ז ג, יג )מג ע""ג (1,"
0,,"ערלה סג ע""א",,,"א""ר חגיי","ע""ז ג, טו )מג ע""ג (5,"
1,,,"מ' ע""ז ה, י",,ימכר,"ע""ז ג, טו )מג ע""ג (7,"
2,,"ע""ז ג, יג )מג ע""ג (1,",,,רב,"ע""ז ג, טו )מג ע""ג (10,"
3,,"תר' מד ע""ד; מג' עא",,,השוחט,"ע""ז ד, א )מג ע""ג (64,"
4,,"ע""א; כת' כז ע""ג",,,,
5,,,"מ' סנ' ז, ו",,בזריקה,"ע""ז ד, א )מג ע""ד (3,"
6,,,"ספ' קו ע""ב (23)",,הדרכים,"ע""ז ד, א )מג ע""ד (3,"
7,,,,"ויקרא כו, א",ואבן,"ע""ז ד, א )מג ע""ד (5,"
8,,,"הש' ספ' קו ע""ב",,יכול,"ע""ז ד, א )מג ע""ד (5,"
9,,,"ספ' קו ע""ב (29)",,עליה,"ע""ז ד, א )מג ע""ד (7,"
10,,,,"שמ""ב טו, לב",ויהי דוד,"ע""ז ד, א )מג ע""ד (12,"
11,,,,"דה""ב ז, ג",ויכרעו,"ע""ז ד, א )מג ע""ד (13,"
12,,"יומא מ ע""ב (8)",,,רבי אבהו,"ע""ז ד, א )מג ע""ד (14,"
13,,"סוכה נד ע""ב; שבי' לג",,,רבי יוחנן,"ע""ז ד, א )מג ע""ד (15,"
14,,"ע""ב",,,,
15,,"תע' סה ע""ד",,,רבי ינאי,"ע""ז ד, א )מג ע""ד (18,"
16,,,,"יהושע ז, י",קום לך,"ע""ז ד, א )מג ע""ד (20,"
17,,"שבת יא ע""ד; ע""ז מב",,,דריש לקיש,"ע""ז ד, א )מג ע""ד (23,"
18,,"ע""ד 4)(; ע""ז מג ע""ב",,,,
19,,"63,12)(; מד""ש יא, ה",,,,
20,,-79,,,,
21,,"הש' שבי' לט ע""א (55)",,,בר,"ע""ז ד, א )מג ע""ד (37,"
22,,,"ת' ע""ז ו, א",,חלילין,"ע""ז ד, ג )מג ע""ד (42,"
23,,,,"דברים יב, ב",אבד,"ע""ז ד, ד )מג ע""ד (56,"
24,,,,"דברים כז, טו",ארור,"ע""ז ד, ד )מג ע""ד (56,"
25,,,"ת' ע""ז, ה, ג-ד",,"ע""ז","ע""ז ד, ד )מג ע""ד (57,"
26,,,,"דברים יב, ג",תשרפו,"ע""ז ד, ד )מג ע""ד (60,"
27,,,,"דברים יב, ב",אשר אתם,"ע""ז ד, ד )מג ע""ד (60,"
28,,,,"דברים ז, כה",לא תחמוד,"ע""ז ד, ד )מג ע""ד (61,"
29,,"הש' ב""מ ט ע""ג (26)",,,אית תניי,"ע""ז ד, ד )מד ע""א (2,"
30,,,"ת' ע""ז ה, ז",,רבי שמעון,"ע""ז ד, ד )מד ע""א (3,"
31,,,,"דברים כז, טו",ארור,"ע""ז ד, ד )מד ע""א (5,"
32,,,"מ' ע""ז ד, ו",,כעבודה,"ע""ז ד, ד )מד ע""א (9,"
33,,"ע""ז מג ע""ב",,,המתיך,"ע""ז ד, ד )מד ע""א (13,"
34,,,"הש' מ' ע""ז ד, ו",,תמן,"ע""ז ד, ד )מד ע""א (16,"
,,,,,,
,,,,,,
Gittin,,,,,,
,,"גט' מד ע""ב (49)","ת' גט' ב, ד (18:250)",Unnamed: 0,דרבי יוסי,"גט' ב, ג )מד ע""ב (42,"
0,,,,"דברים כד, א",ספר,"גט' ב, ג )מד ע""ב (42,"
1,,"ער' יט ע""א","ת' גט' ב, ד",,דרבנין,"גט' ב, ג )מד ע""ב (44,"
2,,,"20:250)(; ס""ד רסט",,,
3,,,-289,,,
4,,,,"דברים כד, א",ספר,"גט' ב, ג )מד ע""ב (44,"
5,,"גט' מד ע""ב (42)","ת' גט' ב, ד (18:250)",,"א""ר יוסי","גט' ב, ג )מד ע""ב (49,"
,,,,,,
,,,,,,
,"ב""ב טו ע""ב",,"ת' תר' ד, ח (32:125)",,יין מגיתו,"גט' ג, ח )מה ע""א (58,"
0,"הש' פס' לו ע""א (1)",,,,אשכחת אמר,"גט' ג, ח )מה ע""א (59,"
1,,,"ת' תר' ו, ח (31:124)",,בדק חבית,"גט' ג, ח )מה ע""ב (2,"
2,,,"מ' טה' ג, ה",,מחט שנמצאת,"גט' ג, ח )מה ע""ב (8,"
3,,,"ת' טה' ג, ד (37:662)",,הניחה שיפה,"גט' ג, ח )מה ע""ב (8,"
4,"ב""ב טו ע""ג",,,,רבי קריספא,"גט' ג, ח )מה ע""ב (13,"
5,,,"מ' ב""ב ו, ג",,ישן משל,"גט' ג, ח )מה ע""ב (16,"
6,"קד' סו ע""ג",,,,הדא פליגא,"גט' ד, א )מה ע""ג (1,"
,,,,,,
,,,,,,
,,"קד' נט ע""א",Unnamed: 0,,ולא כן,"גט' ד, ה )מו ע""א (10,"
0,,,"מ' מ""ק א, ז",,אין נושאין,"גט' ד, ה )מו ע""א (12,"
1,,"מ""ק פ ע""ד",,,שמעון בר,"גט' ד, ה )מו ע""א (13,"
2,,,"מ' גט' ד, ה",,ליבטיל והלא,"גט' ד, ה )מו ע""א (14,"
3,,,"ת' ע""ז ג, יח (4:465)",,אני פלוני,"גט' ד, ו )מו ע""א (20,"
4,,,"ת' ע""ז ג, יח (7:465)",,יוצא עבד,"גט' ד, ו )מו ע""א (21,"
5,,,"ת' ע""ז ג, יח (9:465)",,כופין אותו,"גט' ד, ו )מו ע""א (22,"
6,,"ע""ז מא ע""א","ת' ע""ז ג, ו (30:463)",,גוי מוכר,"גט' ד, ו )מו ע""א (35,"
7,,,"ת' ע""ז ג, ז (31:463)",,מעשה בגוי,"גט' ד, ו )מו ע""א (36,"
8,,,"ת' גט' ג, ה (34:256)",,מפני מה,"גט' ד, ז )מו ע""א (39,"
9,,,"ת' גט' ג, ה (38:256)",,מפני מה,"גט' ד, ז )מו ע""א (44,"
10,,"כת' לא ע""ג; קד' סב",,,אמר רבי,"גט' ד, ז )מו ע""א (51,"
11,,"ע""ג",,,,
12,,,"הש' ת' גט' ג, ה",,מפני מה,"גט' ד, ז )מו ע""א (54,"
13,,,(46:256),,,
14,,,"מ' גט' ד, ז",,רבי יהודה,"גט' ד, ח )מו ע""א (61,"
15,,,"ת' גט' ג, ה (43:256)",,משום רבי,"גט' ד, ח )מו ע""א (62,"
,,,,,,
,,,,,,
,,"ב""ב יז ע""ג",Unnamed: 0,Unnamed: 1,אמר רבי,"גט' ה, ח )מז ע""ב (36,"
0,,,,"דברים לא, ט",ויכתב משה,"גט' ה, ט )מז ע""ב (40,"
1,,"בר' ט ע""ד",,,דאמר ר',"גט' ה, ט )מז ע""ב (42,"
2,,,"מ' פרה יב, ב",,נתכוון להזות,"גט' ה, ט )מז ע""ב (49,"
3,,,,"במדבר ו, כז",ושמו את,"גט' ה, ט )מז ע""ב (54,"
4,,"ער' כג ע""ד",,,"א""ר אבין","גט' ה, ט )מז ע""ב (55,"
5,,"מע""ש נב ע""א; ער כד",,,על דעתיה,"גט' ה, ט )מז ע""ב (58,"
6,,"ע""ג",,,,
7,,,"סז""ב 12:232","שמות כב, ט",כי יתן,"גט' ה, ט )מז ע""ב (63,"
,,,,,,
,,,,,,
