הלכות השכמת הבוקר,Laws Upon Awakening in the Morning,1,7
הלכות ציצית,Laws of Tzitzit,8,24
הלכות תפילין,Laws of Tefillin,25,45
הלכות ברכות השחר,Laws of Morning Blessings,46,57
הלכות קריאת שמע,Laws of Reciting Shema,58,88
הלכות תפילה,Laws of Prayer,89,134
הלכות קריאת התורה,Laws of Reading the Torah,135,149
הלכות בית הכנסת,Laws of the Synagogue,150,155
הלכות משא ומתן,Laws of  Business,156,156
הלכות נטילת ידים לסעודה,Laws of Washing One's Hands for a Meal,157,165
הלכות בציעת הפת,Laws of Cutting the Bread,166,169
הלכות סעודה,Laws of the Meal,170,181
הלכות ברכת המזון,Laws of Grace After Meals,182,201
הלכות ברכת הפירות,Laws of Blessings on Fruit,202,217
דיני שאר מיני ברכות,Laws of Other Blessings,218,231
הלכות תפילות מנחה וערבית,Laws of Afternoon and Evening Prayers,232,241
כללים ומלאכה על ידי אינו יהודי,Laws of Work Done by Non Jew,242,248
סדר יום השבת,Laws of Sabbath Day,249,300
מלאכות שבת,Laws of Forbidden Activities on the Sabbath,301,344
הוצאה והכנסה מרשות לרשות,Laws of Eruvin,345,365
עירובי חצרות,Laws of Eruvei Chatzerot,366,395
תחום שבת,Laws of Techumin,396,407
עירובי תחומין,Laws of Eruv Techumin,408,416
הלכות ראש חודש,Laws of Rosh Chodesh,417,428
הלכות פסח ודיני חודש ניסן,Laws of Passover,429,494
הלכות יום טוב,Laws of the Festivals,495,529
הלכות חול המועד,Laws of Chol HaMoed,530,548
הלכות תשעה באב,Laws of the Ninth of Av,549,561
הלכות תענית,Laws of Fast Days,562,580
הלכות ראש השנה,Laws of Rosh Hashanah,581,603
הלכות יום הכיפורים,Laws of Yom Kippur,604,624
הלכות סוכה,Laws of Sukkot,625,644
הלכות לולב,Laws of the Four Species,645,669
הלכות חנוכה,Laws of Chanukah,670,685
הלכות מגילה,Laws of Purim,686,695
