הלכות שחיטה,Ritual Slaughter,1,28
הלכות טריפות,Unslaughterable Animals,29,60
הלכות מתנות כהונה,Priestly Gifts,61,61
הלכות אבר מן החי,A Limb from a Live Animal,62,62
הלכות בשר שנתעלם מן העין,Meat that was Unobserved,63,63
הלכות חלבים,Prohibited Fats,64,64
הלכות דם,Blood,65,68
הלכות מליחה,Salting,69,78
הלכות בהמה וחיה טהורה,Domesticated and Undomesticated Kosher Animals,79,80
הלכות דברים היוצאים מן החי,Things that Come From a Live Animal,81,81
הלכות עופות,Birds,82,82
הלכות סימני דגים,Fish,83,83
הלכות שרצים תולעים וחגבים,Insects,84,85
הלכות ביצים,Eggs,86,86
הלכות בשר בחלב,Meat with Milk,87,97
הלכות תערובות,Admixtures,98,111
הלכות מאכלי עובדי כוכבים,Food of Idol Worshipers,112,120
הלכות הכשר כלים,The Koshering of Utensils,121,121
הלכות נותן טעם לפגם,That Which Gives Detrimental Taste,122,122
הלכות נדה ,The Menstruant,183,200
הלכות מקוואות,Ritual Baths,201,202
הלכות כיבוד אב ואם,Honoring One's Father and Mother,240,241
הלכות כבוד רבו ותלמיד חכם,Honoring One's Rabbi and a Torah Scholar,242,242
הלכות כבוד תלמיד חכם,Honoring a Torah Scholar,243,244
הלכות תלמוד תורה,Torah Study,245,246
הלכות צדקה,Charity,247,259
הלכות מילה,Circumcision,260,266
הלכות עבדים,Slaves,267,267
הלכות גרים,Converts,268,269
הלכות ספר תורה,A Torah Scroll,270,284
הלכות מזוזה,Mezuzah,285,291
הלכות שילוח הקן,Sending Away the Mother Bird,292,292
הלכות חדש,New Grain,293,293
הלכות ערלה,Orlah,294,294
הלכות כלאים,Interspecies Mingling,295,304
הלכות בכור,Redemption of the Firstborn,305,321
הלכות חלה,Challah,322,330
הלכות תרומות ומעשרות, Tithes,331,332
הלכות ראשית הגז,First Shearings,333,333
הלכות נידוי וחרם,Excommunication,334,334
הלכות ביקור חולים, Visiting the Sick,335,338
הלכות אבלות,	Mourning,339,403
