הלכות פריה ורביה,Laws of Procreation,1,6
הלכות אישות,Laws of Matrimony,7,25
הלכות קידושין,Laws of Kiddushin,26,65
הלכות גיטין,Laws of Gittin,119,154
הלכות מיאון,Laws of Miun,155,155
הלכות חליצה ויבום,Laws of Chalitza and Yibbum,156,176
הלכות אונס ומפתה,Laws of a Seducer,177,177
הלכות סוטה,Laws of Sotah,178,178
